年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse,ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／排出量 Discharged／ピックアップ回収量 Recyclables recovered from refuse (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incineration (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成30,2018,2,13123,23,江戸川区,Edogawa-ku,160597,149145,122340,2480,4264,20062,-,10001,1451,…,…,…,…,…,…
平成30,2018,2,,,継続持込,Carried by enterprise,972858,972858,972858,-,-,-,-,-,-,…,…,…,…,…,…
平成30,2018,1,13200,,市部,All shi,1100599,1028825,704345,58542,27871,236435,1632,71773,-,771181,320788,1057,411419,39065,39065
平成30,2018,2,13201,1,八王子市,Hachioji-shi,156986,149685,110322,5345,2304,31369,345,7301,-,116246,38588,-,53255,8114,8114
平成30,2018,2,13202,2,立川市,Tachikawa-shi,43928,40724,25504,1991,1240,11925,64,3204,-,28548,14860,-,18968,331,331
平成30,2018,2,13203,3,武蔵野市,Musashino-shi,42404,39572,26481,1064,1571,10366,90,2832,-,28499,13091,-,16783,248,248
平成30,2018,2,13204,4,三鷹市,Mitaka-shi,47275,44694,27650,1556,1808,13627,53,2581,-,31677,16143,-,18718,220,220
平成30,2018,2,13205,5,青梅市,Ome-shi,40069,36458,26994,2566,1418,5428,52,3611,-,28701,9464,-,13912,3924,3924
平成30,2018,2,13206,6,府中市,Fuchu-shi,62796,57108,36673,3294,2149,14909,83,5688,-,41803,20435,-,25065,333,333
平成30,2018,2,13207,7,昭島市,Akishima-shi,31204,29870,21032,1362,1072,6362,42,1334,-,22711,8906,-,11144,635,635
平成30,2018,2,13208,8,調布市,Chofu-shi,60146,56334,32997,3467,1639,18143,88,3811,-,38125,22455,-,25976,585,585
平成30,2018,2,13209,9,町田市,Machida-shi,118542,107600,81992,6817,2831,15811,149,10942,-,89178,25623,-,37854,7973,7973
平成30,2018,2,13210,10,小金井市,Koganei-shi,26768,25234,12021,3700,918,8555,40,1534,-,12021,13213,-,15040,81,81
平成30,2018,2,13211,11,小平市,Kodaira-shi,53302,51260,33685,5598,1318,10588,71,2042,-,39699,17576,-,18666,266,266
平成30,2018,2,13212,12,日野市,Hino-shi,43263,41745,26442,5249,1257,8732,65,1518,-,32413,14444,-,14745,5876,5876
平成30,2018,2,13213,13,東村山市,Higashimurayama-shi,37634,35399,23279,1950,1432,8686,52,2235,-,23517,12120,-,16116,262,262
平成30,2018,2,13214,14,国分寺市,Kokubunji-shi,30650,27886,16735,1596,859,8653,43,2764,-,19086,11151,-,13576,148,148
平成30,2018,2,13215,15,国立市,Kunitachi-shi,20736,19557,13348,708,596,4877,28,1179,-,14742,6209,-,7642,194,194
平成30,2018,2,13218,16,福生市,Fussa-shi　,16504,15523,10782,536,588,3596,21,981,-,11774,4741,-,5771,129,129
平成30,2018,2,13219,17,狛江市,Komae-shi,20043,18748,13128,831,448,4319,22,1295,-,14143,5620,-,7483,61,61
平成30,2018,2,13220,18,東大和市,Higashiyamato-shi,20700,19527,14208,656,309,4323,31,1173,-,15034,5319,-,7580,284,284
平成30,2018,2,13221,19,清瀬市,Kiyose-shi,18984,17990,12398,1363,141,4062,26,994,-,13701,5592,-,6906,216,216
平成30,2018,2,13222,20,東久留米市,Higashikurume-shi,30962,28242,19463,1752,240,6750,37,2720,-,21177,8779,-,12327,262,262
平成30,2018,2,13223,21,武蔵村山市,Musashimurayama-shi,20143,19651,14126,925,350,4223,27,492,-,15317,5526,-,6806,178,178
平成30,2018,2,13224,22,多摩市,Tama-shi,41687,37954,29215,893,1237,6565,44,3733,-,30952,8739,-,14396,351,351
平成30,2018,2,13225,23,稲城市,Inagi-shi,23543,21699,16859,1128,452,3209,51,1844,-,18216,4840,-,7358,1788,1788
平成30,2018,2,13227,24,羽村市,Hamura-shi,16827,15970,10961,385,611,3991,22,857,-,11788,5009,-,6000,646,646
平成30,2018,2,13228,25,あきる野市,Akiruno-shi,25150,23108,17953,368,828,3924,35,2042,-,18962,5155,1057,8389,5559,5559
平成30,2018,2,13229,26,西東京市,Nishitokyo-shi,50353,47287,30097,3442,255,13442,51,3066,-,33151,17190,-,20943,401,401
平成30,2018,1,13300,,郡部,All gun,19850,19022,14174,455,761,3607,25,828,-,15270,4556,335,6008,3765,3765
平成30,2018,2,13303,1,瑞穂町,Mizuho-machi,11784,11445,8190,333,486,2420,16,339,-,8882,3255,-,3688,1319,1319
平成30,2018,2,13305,2,日の出町,Hinode-machi,5344,4861,4050,74,152,580,5,483,-,4297,585,220,1534,404,404
平成30,2018,2,13307,3,檜原村,Hinohara-mura,832,826,586,13,53,174,-,6,-,652,174,34,170,700,700
平成30,2018,2,13308,4,奥多摩町,Okutama-machi,1890,1890,1348,35,70,433,4,-,-,1439,542,81,616,1342,1342
平成30,2018,1,13350,,島部,All islands,13739,13738,10237,914,1148,1412,27,1,-,10486,2742,2195,1530,25287,25287
平成30,2018,2,13361,1,大島町,Oshima-machi,3590,3590,2960,142,173,311,4,-,-,3099,630,649,295,9485,9485
平成30,2018,2,13362,2,利島村,Toshima-mura,106,106,94,2,-,10,-,-,-,96,12,12,10,513,513
平成30,2018,2,13363,3,新島村,Niijima-mura,1462,1462,1056,364,2,40,-,-,-,1056,42,483,40,1490,1490
平成30,2018,2,13364,4,神津島村,Kouzushima-mura,1699,1699,1274,37,349,39,-,-,-,1281,90,367,67,498,498
平成30,2018,2,13381,5,三宅村,Miyake-mura,1387,1387,1154,173,60,-,-,-,-,1189,233,147,90,2099,2099
平成30,2018,2,13382,6,御蔵島村,Mikurajima-mura,177,177,172,-,-,4,1,-,-,230,5,28,5,73,73
平成30,2018,2,13401,7,八丈町,Hachijo-machi,4134,4134,2863,174,536,558,3,-,-,2863,1177,377,558,10439,10439
平成30,2018,2,13402,8,青ヶ島村,Aogashima-mura,82,82,60,22,-,-,-,-,-,60,43,10,20,245,245
平成30,2018,2,13421,9,小笠原村,Ogasawara-mura,1102,1101,604,-,28,450,19,1,-,612,510,122,445,445,445
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,
19-9  ごみ ・ し尿 (平成28～30年度) 19-9  REFUSE AND HUMAN WASTE ( Fiscal years 2016-2018 ),,,,,,,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部一般廃棄物対策課「東京都区市町村清掃事業年報」 Source: Bureau of Environment， TMG        ,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村・継続持込),,,,,,,,,,,,,,,,,,,,,
