年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ｺﾞﾙﾌ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,自動車税環境性能割交付金 Motor vehicle tax (environmental excite),地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 h),都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
令和元,2019,13209,9,町田市,Machida-shi,159398,68974,734,103,829,7125,41,-,217,77,915,2347,46,1211,960,1927,29972,-,21383,386,66,7226,2506,1442,10913
令和元,2019,13210,10,小金井市,Koganei-shi,46998,21868,166,36,290,1926,-,-,49,17,303,32,8,394,490,459,7981,-,7316,246,29,1880,1815,352,1342
令和元,2019,13211,11,小平市,Kodaira-shi,67702,31886,269,46,367,3124,14,-,79,28,573,850,17,518,689,835,11958,-,9493,125,4,1897,1995,455,2478
令和元,2019,13212,12,日野市,Hino-shi,73582,31114,303,44,351,3065,-,-,89,32,529,1176,19,530,657,782,12563,-,9839,164,41,4468,1790,1556,4471
令和元,2019,13213,13,東村山市,Higashimurayama-shi,56994,21012,234,31,251,2404,-,-,69,24,379,4530,13,296,595,577,10644,-,8879,39,24,2113,1249,409,3221
令和元,2019,13214,14,国分寺市,Kokubunji-shi,48601,23864,182,37,295,1994,-,-,53,19,308,37,9,580,582,449,7369,-,6811,110,51,1477,1298,884,2193
令和元,2019,13215,15,国立市,Kunitachi-shi,30652,15112,117,23,187,1249,-,-,35,12,162,86,9,274,390,373,4953,-,4612,189,90,885,652,278,963
令和元,2019,13218,16,福生市,Fussa-shi,25359,8084,93,11,91,965,-,-,27,10,94,2453,8,181,181,203,4802,1711,3927,20,1,1182,447,199,668
令和元,2019,13219,17,狛江市,Komae-shi,29858,12880,114,22,174,1244,-,-,33,12,220,1434,6,286,226,352,4564,-,4972,20,51,379,1154,203,1511
令和元,2019,13220,18,東大和市,Higashiyamato-shi,33398,12854,148,18,145,1377,-,-,44,15,198,2149,10,273,131,344,6311,-,4961,23,21,1235,1547,179,1413
令和元,2019,13221,19,清瀬市,Kiyose-shi,31714,9677,120,15,118,1196,-,-,35,12,168,4080,6,171,193,179,6165,40,4941,218,163,1107,851,128,2129
令和元,2019,13222,20,東久留米市,Higashikurume-shi,44385,17214,188,25,202,1859,-,-,55,20,327,2941,12,308,373,343,7767,-,6304,81,35,1661,2007,339,2323
令和元,2019,13223,21,武蔵村山市,Musashimurayama-shi,29004,10440,128,12,99,1203,-,-,38,13,183,2093,10,209,127,146,6081,462,4650,27,15,895,828,262,1083
令和元,2019,13224,22,多摩市,Tama-shi,57551,29149,254,35,283,2553,34,-,75,27,299,74,14,448,310,667,9238,26,7800,64,15,2303,1345,532,2005
令和元,2019,13225,23,稲城市,Inagi-shi,34035,15692,144,23,185,1406,77,-,43,15,248,801,9,310,338,408,5217,231,5837,131,7,26,946,230,1713
令和元,2019,13227,24,羽村市,Hamura-shi,23200,10452,103,12,95,988,-,-,31,11,109,251,7,175,191,210,3693,265,3399,41,6,1671,571,189,730
令和元,2019,13228,25,あきる野市,Akiruno-shi,31504,10825,179,15,120,1319,55,-,52,18,154,4436,11,301,161,275,4557,-,5681,215,42,628,323,182,1954
令和元,2019,13229,26,西東京市,Nishitokyo-shi,72193,32727,268,50,399,3181,-,-,78,28,607,3053,16,536,516,442,13074,-,9711,321,92,1753,1292,386,3662
平成29,2017,13300,,郡部,All gun,34757,10152,160,13,104,1332,-,-,92,…,44,4156,13,215,275,266,2820,788,9064,190,12,1164,1177,1271,1452
平成30,2018,13300,,郡部,All gun,34731,10342,161,13,80,1136,-,-,96,…,51,4196,12,214,287,263,2673,772,8561,205,11,1449,1245,1241,1724
令和元,2019,13300,,郡部,All gun,37868,10508,192,10,79,1088,-,-,48,17,131,4398,12,135,255,263,3248,815,9623,400,23,2377,795,1325,2125
令和元,2019,13303,1,瑞穂町,Mizuho-machi,17441,6730,80,6,49,639,-,-,24,8,83,53,7,46,68,152,2155,815,2389,234,5,1834,283,204,1576
令和元,2019,13305,2,日の出町,Hinode-machi,9364,2878,46,3,22,319,-,-,13,4,42,1122,3,72,49,80,789,-,2114,89,3,23,233,1041,419
令和元,2019,13307,3,檜原村,Hinohara-mura,3725,201,23,0,2,38,-,-,3,1,2,1296,1,4,23,8,98,-,1634,9,6,201,116,22,39
令和元,2019,13308,4,奥多摩町,Okutama-machi,7338,699,43,1,6,92,-,-,9,3,5,1926,2,12,116,24,207,-,3487,68,8,320,162,57,91
平成29,2017,13350,,島部,All islands,39225,3446,191,6,51,580,1,-,102,…,4,11104,9,30,952,292,2309,131,12983,130,117,2043,1050,871,2822
平成30,2018,13350,,島部,All islands,37085,3404,192,7,40,495,1,-,106,…,5,11012,8,34,928,262,1798,122,11621,159,125,1628,1114,753,3274
令和元,2019,13350,,島部,All islands,37687,3466,196,5,39,474,1,-,54,19,106,11256,8,29,876,146,1868,139,12188,144,193,1626,1370,849,2636
令和元,2019,13361,1,大島町,Oshima-machi,9531,935,59,1,11,138,1,-,18,6,24,2342,3,16,139,64,576,-,2901,7,61,561,275,195,1198
令和元,2019,13362,2,利島村,Toshima-mura,1317,47,2,0,1,6,-,-,1,0,4,345,-,-,18,0,11,-,749,7,3,-,60,53,9
令和元,2019,13363,3,新島村,Niijima-mura,4436,335,18,0,3,50,-,-,5,2,12,1393,1,-,86,9,168,20,1479,49,10,335,137,91,231
令和元,2019,13364,4,神津島村,Kouzushima-mura,2884,240,9,0,3,34,-,-,3,1,11,959,1,0,51,10,96,-,1248,6,8,47,62,47,50
令和元,2019,13381,5,三宅村,Miyake-mura,4271,363,20,1,4,46,-,-,6,2,10,1345,1,1,66,25,86,-,1357,18,4,223,131,49,514
令和元,2019,13382,6,御蔵島村,Mikurajima-mura,1600,45,2,0,1,6,-,-,0,0,0,391,-,1,20,0,24,-,667,4,1,241,46,140,9
令和元,2019,13401,7,八丈町,Hachijo-machi,7554,961,74,1,10,133,-,-,18,6,37,2648,3,2,191,21,478,-,2211,2,105,76,131,117,329
令和元,2019,13402,8,青ヶ島村,Aogashima-mura,1210,38,4,0,0,4,-,-,1,0,1,270,-,-,10,0,14,-,482,3,0,-,306,78,-
令和元,2019,13421,9,小笠原村,Ogasawara-mura,4884,503,8,1,7,57,-,-,2,1,7,1562,-,8,294,16,416,119,1094,47,2,143,222,80,295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,   ,,,,,,,,,,
21-6 市町村普通会計決算額 (1) 歳入 (平成29～令和元年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (1) REVENUE ( Fiscal Years 2017-2019 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。 Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
