年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets
令和元,2019,中央本線,Chuo Line,信濃町,Shinanomachi,※,9359,4630,4729
令和元,2019,中央本線,Chuo Line,千駄ケ谷,Sendagaya,※,6021,3180,2841
令和元,2019,中央本線,Chuo Line,代々木,Yoyogi,※,25493,12145,13348
令和元,2019,中央本線,Chuo Line,大久保,Okubo,※,10130,5187,4943
令和元,2019,中央本線,Chuo Line,東中野,Higashi-nakano,※,15079,8966,6113
令和元,2019,中央本線,Chuo Line,中野,Nakano,※,55232,35231,20000
令和元,2019,中央本線,Chuo Line,高円寺,Koenji,※,18903,11012,7891
令和元,2019,中央本線,Chuo Line,阿佐ケ谷,Asagaya,※,16691,10075,6616
令和元,2019,中央本線,Chuo Line,荻窪,Ogikubo,※,33238,20765,12473
令和元,2019,中央本線,Chuo Line,西荻窪,Nishi-ogikubo,※,16731,10063,6667
令和元,2019,中央本線,Chuo Line,吉祥寺,Kichijoji,,51917,30201,21715
令和元,2019,中央本線,Chuo Line,三鷹,Mitaka,,36159,24730,11429
令和元,2019,中央本線,Chuo Line,武蔵境,Musashi-sakai,,25220,17473,7747
令和元,2019,中央本線,Chuo Line,東小金井,Higashi-koganei,,11623,8177,3446
令和元,2019,中央本線,Chuo Line,武蔵小金井,Musashi-koganei,,22899,15933,6966
令和元,2019,中央本線,Chuo Line,国分寺,Kokubunji,,41025,27968,13057
令和元,2019,中央本線,Chuo Line,西国分寺,Nishi-kokubunji,,10825,6263,4562
令和元,2019,中央本線,Chuo Line,国立,Kunitachi,,19593,13284,6309
令和元,2019,中央本線,Chuo Line,立川,Tachikawa,,60989,33826,27162
令和元,2019,中央本線,Chuo Line,日野,Hino,,9851,7048,2803
令和元,2019,中央本線,Chuo Line,豊田,Toyoda,,13073,9451,3622
令和元,2019,中央本線,Chuo Line,八王子,Hachioji,,30585,17927,12658
令和元,2019,中央本線,Chuo Line,西八王子,Nishi-hachioji,,11647,8342,3305
令和元,2019,中央本線,Chuo Line,高尾,Takao,,10326,6819,3508
令和元,2019,南武線,Nambu Line,,,,45118,29262,15854
令和元,2019,南武線,Nambu Line,矢野口,Yanokuchi,,3714,2584,1129
令和元,2019,南武線,Nambu Line,稲城長沼,Inaginaganuma,,3017,2152,864
令和元,2019,南武線,Nambu Line,南多摩,Minamitama,,2494,1579,915
令和元,2019,南武線,Nambu Line,府中本町,Fuchu-hommachi,,6268,2887,3381
令和元,2019,南武線,Nambu Line,分倍河原,Bubaigawara,,15094,9875,5218
令和元,2019,南武線,Nambu Line,西府,Nishifu,,3903,2853,1050
令和元,2019,南武線,Nambu Line,谷保,Yaho,,3803,2589,1213
令和元,2019,南武線,Nambu Line,矢川,Yagawa,,3126,2110,1016
令和元,2019,南武線,Nambu Line,西国立,Nishi-kunitachi,,3700,2632,1067
令和元,2019,横浜線,Yokohama Line,,,,60137,38933,21203
令和元,2019,横浜線,Yokohama Line,成瀬,Naruse,,6989,4674,2315
令和元,2019,横浜線,Yokohama Line,町田,Machida,,40589,25372,15217
令和元,2019,横浜線,Yokohama Line,相原,Aihara,,3809,2748,1060
令和元,2019,横浜線,Yokohama Line,八王子みなみ野,Hachiojiminamino,,6842,4938,1904
令和元,2019,横浜線,Yokohama Line,片倉,Katakura,,1908,1201,706
令和元,2019,青梅線,Ome Line,,,,58074,38202,19869
令和元,2019,青梅線,Ome Line,西立川,Nishi-tachikawa,,2438,1386,1052
令和元,2019,青梅線,Ome Line,東中神,Higashi-nakagami,,2630,1781,849
令和元,2019,青梅線,Ome Line,中神,Nakagami,,4190,2888,1301
令和元,2019,青梅線,Ome Line,昭島,Akishima,,9522,6142,3380
令和元,2019,青梅線,Ome Line,拝島,Haijima,,10960,7093,3868
令和元,2019,青梅線,Ome Line,牛浜,Ushihama,,1638,930,708
令和元,2019,青梅線,Ome Line,福生,Fussa,,5862,3694,2168
令和元,2019,青梅線,Ome Line,羽村,Hamura,,5009,3438,1571
令和元,2019,青梅線,Ome Line,小作,Ozaku,,5897,4111,1786
令和元,2019,青梅線,Ome Line,河辺,Kabe,,4911,3306,1605
令和元,2019,青梅線,Ome Line,東青梅,Higashi-ome,,2376,1708,668
令和元,2019,青梅線,Ome Line,青梅,Ome,,2324,1628,696
令和元,2019,青梅線,Ome Line,宮ノ平,Miyanohira,○,…,…,…
令和元,2019,青梅線,Ome Line,日向和田,Hinatawada,○,…,…,…
令和元,2019,青梅線,Ome Line,石神前,Ishigamimae,○,…,…,…
令和元,2019,青梅線,Ome Line,二俣尾,Futamatao,○,…,…,…
令和元,2019,青梅線,Ome Line,軍畑,Ikusabata,○,…,…,…
令和元,2019,青梅線,Ome Line,沢井,Sawai,○,…,…,…
令和元,2019,青梅線,Ome Line,御嶽,Mitake,○,…,…,…
令和元,2019,青梅線,Ome Line,川井,Kawai,○,…,…,…
令和元,2019,青梅線,Ome Line,古里,Kori,○,…,…,…
令和元,2019,青梅線,Ome Line,鳩ノ巣,Hatonosu,○,…,…,…
令和元,2019,青梅線,Ome Line,白丸,Shiromaru,○,…,…,…
令和元,2019,青梅線,Ome Line,奥多摩,Okutama,,317,98,219
令和元,2019,五日市線,Itsukaichi Line,,,,7676,5386,2289
令和元,2019,五日市線,Itsukaichi Line,熊川,Kumagawa,○,…,…,…
令和元,2019,五日市線,Itsukaichi Line,東秋留,Higashi-akiru,,1681,1237,443
令和元,2019,五日市線,Itsukaichi Line,秋川,Akigawa,,2379,1675,703
令和元,2019,五日市線,Itsukaichi Line,武蔵引田,Musashi-hikida,,1184,841,343
令和元,2019,五日市線,Itsukaichi Line,武蔵増戸,Musashi-masuko,,908,630,278
令和元,2019,五日市線,Itsukaichi Line,武蔵五日市,Musashi-itsukaichi,,1524,1003,521
令和元,2019,武蔵野線,Musashino Line,,,,24003,16605,7397
令和元,2019,武蔵野線,Musashino Line,北府中,Kita-fuchu,,5513,4372,1141
令和元,2019,武蔵野線,Musashino Line,新小平,Shin-kodaira,,4190,2820,1370
令和元,2019,武蔵野線,Musashino Line,新秋津,Shin-akitsu,,14299,9414,4886
令和元,2019,八高線,Hachiko Line,,,,6254,4932,1321
令和元,2019,八高線,Hachiko Line,北八王子,Kita-hachioji,,3532,2945,586
令和元,2019,八高線,Hachiko Line,小宮,Komiya,,1118,810,308
令和元,2019,八高線,Hachiko Line,東福生,Higashi-fussa,○,…,…,…
令和元,2019,八高線,Hachiko Line,箱根ケ崎,Hakonegasaki,,1605,1177,427
令和元,2019,東北本線,Tohoku Line,,,※,363147,196296,166849
令和元,2019,東北本線,Tohoku Line,秋葉原,Akihabara,,90780,43503,47277
令和元,2019,東北本線,Tohoku Line,御徒町,Okachimachi,,25498,13738,11760
令和元,2019,東北本線,Tohoku Line,上野,Ueno,,66870,32029,34841
令和元,2019,東北本線,Tohoku Line,鶯谷,Uguisudani,,9409,4285,5123
令和元,2019,東北本線,Tohoku Line,日暮里,Nippori,,41878,23712,18165
令和元,2019,東北本線,Tohoku Line,西日暮里,Nishi-nippori,,36489,22541,13947
令和元,2019,東北本線,Tohoku Line,田端,Tabata,,17205,9987,7218
令和元,2019,東北本線,Tohoku Line,上中里,Kami-nakazato,,2943,1855,1088
令和元,2019,東北本線,Tohoku Line,王子,Oji,,23381,15550,7831
令和元,2019,東北本線,Tohoku Line,東十条,Higashi-jujo,,8900,5703,3196
令和元,2019,東北本線,Tohoku Line,赤羽,Akabane,,36003,20788,15215
令和元,2019,東北本線,Tohoku Line,尾久,Oku,,3792,2604,1188
令和元,2019,山手線,Yamanote Line,,,※,1035169,582890,452276
令和元,2019,山手線,Yamanote Line,大崎,Osaki,,64817,43987,20829
令和元,2019,山手線,Yamanote Line,五反田,Gotanda,,51337,31278,20059
令和元,2019,山手線,Yamanote Line,目黒,Meguro,,41540,23641,17899
令和元,2019,山手線,Yamanote Line,恵比寿,Ebisu,,53365,28776,24588
令和元,2019,山手線,Yamanote Line,渋谷,Shibuya,,134003,70545,63457
令和元,2019,山手線,Yamanote Line,原宿,Harajuku,,26564,8680,17883
令和元,2019,山手線,Yamanote Line,新宿,Shinjuku,,283791,153577,130215
令和元,2019,山手線,Yamanote Line,新大久保,Shin-okubo,,18094,6990,11105
令和元,2019,山手線,Yamanote Line,高田馬場,Takadanobaba,,76137,47375,28761
令和元,2019,山手線,Yamanote Line,目白,Mejiro,,13738,8792,4945
令和元,2019,山手線,Yamanote Line,池袋,Ikebukuro,,204456,119804,84653
令和元,2019,山手線,Yamanote Line,大塚,Otsuka,,21551,11974,9577
令和元,2019,山手線,Yamanote Line,巣鴨,Sugamo,,27894,16718,11175
令和元,2019,山手線,Yamanote Line,駒込,Komagome,,17883,10752,7131
令和元,2019,埼京線,Saikyo Line,,,※,40666,27495,13171
令和元,2019,埼京線,Saikyo Line,板橋,Itabashi,,12338,7599,4739
令和元,2019,埼京線,Saikyo Line,十条,Jujo,,13333,9350,3983
令和元,2019,埼京線,Saikyo Line,北赤羽,Kita-akabane,,6983,4942,2040
令和元,2019,埼京線,Saikyo Line,浮間舟渡,Ukimafunado,,8012,5603,2409
令和元,2019,常磐線,Joban Line,,,※,131406,93550,37855
令和元,2019,常磐線,Joban Line,三河島,Mikawashima,,4195,2870,1325
令和元,2019,常磐線,Joban Line,南千住,Minami-senju,,6296,4166,2129
令和元,2019,常磐線,Joban Line,北千住,Kita-senju,,81118,59944,21174
令和元,2019,常磐線,Joban Line,綾瀬,Ayase,,5221,3402,1819
令和元,2019,常磐線,Joban Line,亀有,Kameari,,15702,10184,5518
令和元,2019,常磐線,Joban Line,金町,Kanamachi,,18875,12985,5890
令和元,2019,総武線,Sobu Line,,,※,175399,111751,63647
令和元,2019,総武線,Sobu Line,両国,Ryogoku,,14328,8470,5858
令和元,2019,総武線,Sobu Line,浅草橋,Asakusabashi,,19731,12032,7700
令和元,2019,総武線,Sobu Line,新日本橋,Shin-nihombashi,,7357,5430,1926
令和元,2019,総武線,Sobu Line,馬喰町,Bakurocho,,9583,6617,2966
令和元,2019,総武線,Sobu Line,錦糸町,Kinshicho,,38679,21505,17174
令和元,2019,総武線,Sobu Line,亀戸,Kameido,,21097,13799,7298
令和元,2019,総武線,Sobu Line,平井,Hirai,,12238,8393,3845
令和元,2019,総武線,Sobu Line,新小岩,Shin-koiwa,,28184,19274,8910
令和元,2019,総武線,Sobu Line,小岩,Koiwa,,24202,16231,7971
令和元,2019,京葉線,Keiyo Line,,,※,54276,33329,20945
令和元,2019,京葉線,Keiyo Line,八丁堀,Hatchobori,,13160,7890,5270
令和元,2019,京葉線,Keiyo Line,越中島,Etchujima,,2163,1438,725
令和元,2019,京葉線,Keiyo Line,潮見,Shiomi,,5050,3485,1565
令和元,2019,京葉線,Keiyo Line,新木場,Shin-kiba,,28888,17683,11205
令和元,2019,京葉線,Keiyo Line,葛西臨海公園,Kasairinkaikoen,,5015,2834,2181
,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-8　JRの駅別乗車人員 (平成27～令和元年度) 4-8  NUMBER OF PASSENGERS OF EAST JAPAN RAILWAY COMPANY TRAINS BY STATION ( Fiscal Years 2015-2019 ),,,,,,,,,
各駅はJRの基準により配列した。 またJR内の乗り継ぎを除く。 乗り換え駅は主線に載せた。,,,,,,,,,
Stations are listed according to JR standards. Figures exclude transfers between JR lines. Transit stations are listed under their main line.,,,,,,,,,
注 1) ※印は区部にある駅 （線） を示す。,,,,,,,,,
2) ○印の駅は無人駅のため，資料元において非公開としているので各々の計にも含まない。,,,,,,,,,
Note: 1) Lines and stations marked with  a ※ refer to those located in the ku area.,,,,,,,,,
2) Stations marked with a ○ are unmanned stations and are not included in the respective totals as figures are not disclosed by the data source.,,,,,,,,,
資料：東日本旅客鉄道株式会社東京支社総務部企画室， 東日本旅客鉄道株式会社「各駅の乗車人員 2019年度 」 Source: East Japan Railway Company,,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,
