地域階層,地区コード,項番,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く)  a),事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) b),事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 c),事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 d),事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 e),事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 f),事業所数 Establishments／電気機械器具 g),事業所数 Establishments／情報通信機械器具 h),事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) a),従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) b),従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 c),従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 d),従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 e),従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 f),従業者数 Persons engaged／電気機械器具 g),従業者数 Persons engaged／情報通信機械器具 h),従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) a),製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) b),製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 c),製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 d),製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 e),製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 f),製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 g),製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 h),製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
2,13110,10,目黒区,Meguro-ku,117,2533,1161813,2683643,4842348,2015510,19,-,2,-,2,2,6,4,-,7,-,-,1,-,2,15,11,12,6,4,10,3,3,8,613,-,9,-,34,9,54,65,-,53,-,-,24,-,25,207,179,263,177,61,341,63,34,322,849039,-,x,-,x,x,78562,158724,-,45431,-,-,x,-,x,467600,309329,575864,227496,178694,561864,93456,44410,932268
2,13111,11,大田区,Ota-ku,1151,18982,8762894,23153286,42125693,17754471,45,2,14,2,8,15,54,17,1,93,9,2,17,25,28,236,86,213,73,31,95,7,56,22,1211,51,193,21,139,238,1170,847,48,1214,208,46,288,377,365,3404,1289,3318,1094,476,1773,222,658,332,3491003,x,197099,x,288327,387502,1714677,3083529,x,1920702,477866,x,1498397,1873068,2286542,5696655,2866190,7222940,2078433,707509,3271709,435391,1038320,635406
2,13112,12,世田谷区,Setagaya-ku,129,1866,758861,2053681,3839134,1661731,21,-,5,-,5,1,18,7,-,3,1,-,5,-,1,15,2,10,12,3,13,1,1,5,297,-,58,-,53,5,297,133,-,32,4,-,92,-,8,140,34,109,208,99,134,13,6,144,742181,-,61468,-,104857,x,339936,409723,-,12923,x,-,574971,-,x,200677,x,172822,425916,202917,167552,x,x,241514
2,13113,13,渋谷区,Shibuya-ku,42,886,385787,716809,1525131,752455,2,-,2,-,1,1,15,1,-,2,-,-,-,-,-,1,-,-,4,-,6,1,-,6,48,-,15,-,7,10,520,9,-,10,-,-,-,-,-,12,-,-,128,-,61,4,-,62,x,-,x,-,x,x,895430,x,-,x,-,-,-,-,-,x,-,-,331785,-,69707,x,-,x
2,13114,14,中野区,Nakano-ku,59,799,347502,693094,1320295,587940,6,2,6,-,1,3,13,2,-,-,-,1,2,-,-,4,-,5,4,1,2,-,1,6,115,14,98,-,4,45,149,17,-,-,-,7,12,-,-,73,-,67,96,5,28,-,20,49,212160,x,69411,-,x,70312,223269,x,-,-,-,x,x,-,-,106892,-,131217,262194,x,x,-,x,x
2,13115,15,杉並区,Suginami-ku,90,1265,562571,1244965,2289649,971928,11,-,7,1,5,2,19,-,-,2,-,-,1,2,-,4,2,5,8,1,8,2,3,7,211,-,100,4,33,12,181,-,-,30,-,-,5,15,-,27,17,42,299,11,131,48,30,69,785980,-,144653,x,55333,x,298062,-,-,x,-,-,x,x,-,30575,x,55731,284852,x,231382,x,46751,x
2,13116,16,豊島区,Toshima-ku,117,2160,943955,1954882,4174961,2078694,7,-,9,1,3,5,48,3,-,3,2,2,1,-,-,6,3,1,6,1,7,3,-,6,97,-,78,13,81,51,1133,50,-,47,16,11,10,-,-,60,67,11,101,59,68,83,-,124,176312,-,76564,x,150829,41213,2227531,128174,-,69044,x,x,x,-,-,64088,117053,x,127036,x,286576,115513,-,386628
2,13117,17,北区,Kita-ku,224,8539,4340798,8495968,17523812,8504335,12,-,12,-,1,7,70,7,-,6,4,7,1,1,2,19,7,10,13,2,14,2,8,19,188,-,141,-,9,98,4419,912,-,51,36,55,10,29,22,248,110,215,776,26,326,91,206,571,227969,-,182096,-,x,130239,8322744,1303543,-,43118,60810,83466,x,x,x,453469,266152,614474,2471614,x,622901,x,596510,1700261
2,13118,18,荒川区,Arakawa-ku,384,5129,2043882,4686041,8396107,3462104,16,1,11,1,8,22,94,3,-,23,12,11,4,3,3,62,13,21,16,4,16,-,5,35,526,22,88,25,66,196,1446,94,-,243,112,172,46,15,30,607,236,176,193,94,292,-,44,406,1160541,x,98857,x,99444,219544,2468659,88039,-,404313,101278,285938,46162,28730,x,863834,332545,228688,340195,157558,615664,-,78823,696753
2,13119,19,板橋区,Itabashi-ku,559,14581,7140735,19928407,35261953,14642031,29,-,18,-,6,28,178,26,2,29,4,3,7,7,13,43,10,38,46,8,16,4,14,30,1072,-,290,-,50,523,5763,815,65,375,37,42,363,852,140,517,177,566,1493,78,294,33,386,650,2323892,-,225636,-,75778,905623,9234100,2540095,x,518439,52127,x,1265756,5546091,305507,816891,395217,1367510,6219668,132376,735275,19024,911955,1343797
2,13120,20,練馬区,Nerima-ku,159,2914,1242763,3615977,6487811,2712650,29,-,12,-,6,12,18,2,-,15,2,1,5,1,2,10,3,8,10,2,10,2,2,7,783,-,133,-,101,224,354,73,-,180,15,12,54,7,110,109,70,87,138,18,142,191,26,87,1340389,-,260547,-,197811,470153,482416,x,-,262852,x,x,455083,x,x,144149,118445,146882,205906,x,253042,x,x,79189
2,13121,21,足立区,Adachi-ku,699,12434,4603356,14346347,24535333,9528134,47,-,33,1,36,48,57,19,2,54,17,45,8,5,6,143,24,57,17,4,22,3,10,41,2172,-,384,7,327,834,776,1094,27,733,233,1086,259,188,149,1607,260,785,262,171,277,41,166,596,3604568,-,321947,x,591341,1790633,1574861,3579262,x,1001543,369089,1290843,701601,2192341,490328,2233838,446207,1609786,427983,240026,574002,59730,247102,1094593
2,13122,22,葛飾区,Katsushika-ku,621,8570,3263388,10210283,17318058,6602449,25,1,20,2,11,31,48,6,-,55,49,21,7,2,8,144,12,67,24,4,22,2,9,51,475,8,226,15,72,604,598,185,-,655,572,319,103,8,70,1978,235,700,302,64,580,118,77,606,2083616,x,308049,x,63273,3226776,936888,489157,-,1189549,724399,412751,351691,x,96346,2853249,432246,1108150,470490,66300,1066870,x,127246,973388
2,13123,23,江戸川区,Edogawa-ku,628,9256,3930180,11265036,20119966,8248797,31,-,41,2,20,29,53,11,-,49,14,9,16,14,9,140,28,74,17,4,21,1,14,31,1231,-,362,22,153,632,822,210,-,527,198,132,206,148,168,1638,298,1347,186,38,244,8,221,465,3927034,-,373563,x,222868,2490109,760019,405904,-,696293,238734,237674,720050,448178,1144739,3213181,507358,2797288,342309,80436,520305,x,294937,684227
1,13200,,市部,All shi,2138,103240,54278312,237426012,401362989,153933320,194,18,47,7,44,38,162,40,5,117,8,1,49,14,30,227,75,271,167,156,233,65,87,83,16736,859,809,80,1490,739,4888,1840,88,2132,357,9,967,459,1103,3909,3679,6917,5292,8012,17657,6405,15907,2906,43004801,9701793,x,89771,7450295,1642358,10099832,6941224,2105239,3460303,422380,x,4603574,3533035,4787090,5986282,10283581,21237266,11041517,34393001,65888682,52681094,92527564,8655989
2,13201,1,八王子市,Hachioji-shi,503,15523,6964867,19367143,40057118,19751651,33,3,21,2,12,6,32,13,2,30,1,-,11,2,6,52,17,72,51,37,54,15,17,14,2487,108,329,30,136,91,1563,761,26,579,38,-,165,30,205,773,317,2501,1187,981,1853,513,612,238,7059876,318948,371407,x,179557,147155,3693267,3117733,x,1131149,x,-,631796,x,692463,1014282,558359,9245610,2680339,2567916,3773254,894389,1164417,359101
2,13202,2,立川市,Tachikawa-shi,75,3823,1775346,7291124,9884101,2799635,13,-,-,-,3,4,7,-,-,5,-,-,2,-,1,5,5,7,5,3,6,2,4,3,968,-,-,-,929,101,444,-,-,178,-,-,19,-,8,78,238,105,121,134,301,28,134,37,1417480,-,-,-,5546748,85715,443204,-,-,371841,-,-,x,-,x,133911,265699,259269,120047,251587,685522,x,191718,43766
2,13203,3,武蔵野市,Musashino-shi,25,347,148051,232341,513001,260562,4,-,-,-,-,-,7,-,-,-,-,1,1,-,-,1,-,1,1,2,5,-,-,2,42,-,-,-,-,-,117,-,-,-,-,9,16,-,-,4,-,4,15,51,78,-,-,11,31614,-,-,-,-,-,142127,-,-,-,-,x,x,-,-,x,-,x,x,x,151776,-,-,x
2,13204,4,三鷹市,Mitaka-shi,71,1611,758252,1668674,3152523,1391625,5,-,1,-,-,-,12,1,-,4,1,-,-,-,-,9,3,9,8,3,8,3,3,1,279,-,5,-,-,-,210,41,-,40,5,-,-,-,-,138,50,101,138,39,161,183,214,7,241491,-,x,-,-,-,309624,x,-,78084,x,-,-,-,-,162824,59448,108443,336907,85500,240060,627487,724841,x
2,13205,5,青梅市,Ome-shi,225,7153,3145656,11645245,18881634,6937657,14,2,7,-,2,5,10,2,1,23,1,-,5,6,2,27,4,49,13,15,21,5,6,5,719,87,210,-,13,72,136,54,19,502,20,-,129,124,28,450,123,1034,567,1349,637,165,584,131,1331913,x,166202,-,x,72930,374150,x,x,773591,x,-,244384,1132135,x,629897,227957,2765346,853367,4438828,2067276,283431,2907395,256209
2,13206,6,府中市,Fuchu-shi,110,12958,7638646,49227326,77049539,23948609,8,2,2,-,1,-,11,1,1,5,1,-,5,-,5,8,6,6,3,9,23,8,1,4,1127,153,34,-,16,-,316,11,22,69,7,-,87,-,533,92,436,81,33,620,5782,3379,66,94,2783450,x,x,-,x,-,1250854,x,x,115859,x,-,349371,-,3221778,132183,761881,182401,30283,1751027,18377723,42475129,x,176163
2,13207,7,昭島市,Akishima-shi,116,9829,5501696,27193095,50666970,23344024,11,-,-,1,4,2,2,1,-,1,-,-,2,1,2,19,3,21,8,5,15,1,10,7,2684,-,-,9,99,37,14,10,-,24,-,-,196,7,22,336,35,548,318,1835,2840,19,701,95,6071797,-,-,x,328321,x,x,x,-,x,-,-,x,x,x,407520,39285,1677618,975067,21306612,15196315,x,2366191,132209
2,13208,8,調布市,Chofu-shi,83,2049,999267,2315211,4879952,2399598,8,1,2,-,3,2,9,2,-,4,-,-,3,1,1,4,4,2,8,9,12,2,1,5,126,59,32,-,21,17,142,23,-,53,-,-,39,15,5,116,44,31,151,109,1000,18,14,34,651612,x,x,-,18518,x,167907,x,-,41106,-,-,295188,x,x,131167,54957,x,347694,133980,2238690,x,x,53716
2,13209,9,町田市,Machida-shi,131,4616,1974401,6838038,11247216,4147248,14,1,2,1,-,2,8,2,1,10,1,-,-,2,2,13,7,11,9,13,13,7,4,8,1241,14,26,6,-,36,74,49,21,168,15,-,-,21,29,195,187,299,761,243,362,541,49,279,1938664,x,x,x,-,x,81652,x,x,233389,x,-,-,x,x,440830,364585,1323367,1291509,579390,827686,1306328,50652,855633
2,13210,10,小金井市,Koganei-shi,14,320,157386,182085,388718,191950,2,-,1,-,-,1,1,1,-,1,-,-,1,-,-,-,-,2,2,-,-,-,1,1,14,-,5,-,-,16,4,28,-,15,-,-,5,-,-,-,-,19,33,-,-,-,29,152,x,-,x,-,-,x,x,x,-,x,-,-,x,-,-,-,-,x,x,-,-,-,x,x
2,13211,11,小平市,Kodaira-shi,66,3063,2038894,6866107,10095299,3056519,7,-,3,-,3,3,5,1,-,4,2,-,1,-,1,5,4,10,1,7,6,2,-,1,724,-,37,-,19,27,110,7,-,36,244,-,23,-,18,51,189,140,9,151,49,1224,-,5,1327708,-,19464,-,20320,44378,139118,x,-,51749,x,-,x,-,x,86859,949569,202261,x,206189,46646,x,-,x
2,13212,12,日野市,Hino-shi,59,12092,8692627,21253327,36507407,14511703,3,1,1,-,-,2,9,-,-,2,-,-,2,-,1,5,2,3,3,9,9,2,3,2,115,6,4,-,-,16,160,-,-,16,-,-,34,-,5,84,11,55,196,1412,2962,44,6962,10,126206,x,x,-,-,x,274534,-,-,x,-,-,x,-,x,81780,x,146624,330637,992703,18101764,x,16176240,x
2,13213,13,東村山市,Higashimurayama-shi,76,3149,1270859,4399738,8884361,4166096,12,1,2,-,-,2,8,7,-,7,1,-,1,-,2,5,2,3,3,7,9,1,1,2,937,30,23,-,-,57,233,342,-,104,28,-,47,-,11,111,655,30,24,352,110,14,12,29,2993326,x,x,-,-,x,374204,1173910,-,188907,x,-,x,-,x,172557,x,54279,62101,761950,90080,x,x,x
2,13214,14,国分寺市,Kokubunji-shi,25,970,639692,1015749,1950607,884947,-,-,2,-,-,-,6,-,-,-,-,-,1,-,-,2,-,3,4,2,1,1,-,3,-,-,12,-,-,-,64,-,-,-,-,-,7,-,-,49,-,29,626,45,69,4,-,65,-,-,x,-,-,-,90452,-,-,-,-,-,x,-,-,x,-,31842,1333271,x,x,x,-,221030
2,13215,15,国立市,Kunitachi-shi,18,357,134894,185040,405058,205489,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,1,1,3,2,140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,124,-,15,21,34,13,126393,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,145244,-,x,x,44060,x
2,13218,16,福生市,Fussa-shi,36,1105,505568,1062392,2064149,919578,3,2,1,-,-,-,4,-,-,1,-,-,1,-,2,4,1,3,3,-,5,1,4,1,93,46,7,-,-,-,446,-,-,7,-,-,26,-,13,68,8,80,65,-,78,7,156,5,106351,x,x,-,-,-,888907,-,-,x,-,-,x,-,x,201607,x,135729,106822,-,154311,x,286293,x
2,13219,17,狛江市,Komae-shi,21,401,173470,790834,1206604,402976,2,-,1,-,-,-,4,1,-,-,-,-,-,-,-,3,3,2,1,-,1,2,-,1,31,-,5,-,-,-,140,24,-,-,-,-,-,-,-,45,31,60,38,-,5,15,-,7,x,-,x,-,-,-,361380,x,-,-,-,-,-,-,-,62152,43798,x,x,-,x,x,-,x
2,13220,18,東大和市,Higashiyamato-shi,38,1212,609341,5355243,8290181,2758962,3,1,-,-,2,1,3,-,-,1,-,-,-,-,1,6,-,3,6,4,5,2,-,-,625,7,-,-,20,10,40,-,-,9,-,-,-,-,4,115,-,22,81,34,195,50,-,-,7105737,x,-,-,x,x,37112,-,-,x,-,-,-,-,x,102270,-,144514,363522,19176,383953,x,-,-
2,13221,19,清瀬市,Kiyose-shi,20,950,444674,930196,1903297,913392,3,1,-,-,1,1,1,4,-,2,-,-,-,-,-,1,1,1,1,-,1,-,2,-,95,10,-,-,5,63,5,324,-,15,-,-,-,-,-,9,9,6,11,-,38,-,360,-,77109,x,-,-,x,x,x,815875,-,x,-,-,-,-,-,x,x,x,x,-,x,-,x,-
