年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1),旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1) ／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1)／ホテル Hotel,旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興業場 Entertainment places／総数 Total,常設興業場 Entertainment places／映画館 Cinemas,常設興業場 Entertainment places／スポーツ施設 Sports center,常設興業場 Entertainment places／その他 Others,プール Swimming pool
令和元,2019,2,13105,5,文京区,Bunkyo-ku,116,311,232,20,6,14,3,53,44,…,…,9,-,15,-,1,14,82
令和元,2019,2,13106,6,台東区,Taito-ku,181,458,275,234,26,208,3,720,477,…,…,241,2,34,11,-,23,41
令和元,2019,2,13107,7,墨田区,Sumida-ku,193,495,220,36,19,17,4,263,209,…,…,54,-,22,6,2,14,48
令和元,2019,2,13108,8,江東区,Koto-ku,239,550,362,64,22,42,4,128,110,…,…,18,-,54,21,5,28,120
令和元,2019,2,13109,9,品川区,Shinagawa-ku,207,676,380,62,23,39,8,135,111,…,…,23,1,18,4,2,12,71
令和元,2019,2,13110,10,目黒区,Meguro-ku,146,853,242,37,11,26,1,44,36,…,…,8,-,15,1,-,14,52
令和元,2019,2,13111,11,大田区,Ota-ku,363,812,435,86,38,48,19,112,88,…,…,24,-,17,7,4,6,119
令和元,2019,2,13112,12,世田谷区,Setagaya-ku,361,1645,647,93,25,68,7,79,70,…,…,7,2,47,13,6,28,158
令和元,2019,2,13113,13,渋谷区,Shibuya-ku,173,2466,298,111,11,100,1,227,206,…,…,20,1,84,25,3,56,57
令和元,2019,2,13114,14,中野区,Nakano-ku,205,521,262,36,20,16,4,87,51,…,…,36,-,12,1,-,11,52
令和元,2019,2,13115,15,杉並区,Suginami-ku,283,792,320,40,20,20,25,54,45,…,…,9,-,14,2,-,12,91
令和元,2019,2,13116,16,豊島区,Toshima-ku,210,865,243,72,20,52,1,327,288,…,…,39,-,52,15,-,37,14
令和元,2019,2,13117,17,北区,Kita-ku,224,513,258,57,28,29,-,77,34,…,…,43,-,14,1,1,12,71
令和元,2019,2,13118,18,荒川区,Arakawa-ku,146,288,147,32,24,8,2,104,59,…,…,45,-,9,-,-,9,45
令和元,2019,2,13119,19,板橋区,Itabashi-ku,317,654,353,53,30,23,5,49,34,…,…,15,-,6,2,-,4,110
令和元,2019,2,13120,20,練馬区,Nerima-ku,370,848,406,82,22,60,5,11,10,…,…,1,-,10,3,-,7,150
令和元,2019,2,13121,21,足立区,Adachi-ku,456,927,376,50,31,19,2,62,49,…,…,13,-,17,11,-,6,138
令和元,2019,2,13122,22,葛飾区,Katsushika-ku,319,660,301,46,26,20,1,102,72,…,…,30,-,3,1,-,2,95
令和元,2019,2,13123,23,江戸川区,Edogawa-ku,438,863,390,57,32,25,6,56,49,…,…,7,-,10,1,1,8,138
令和元,2019,1,13200,,市部,All shi,2102,5238,1935,319,49,270,48,345,289,…,…,56,-,195,82,16,97,832
令和元,2019,2,13201,1,八王子市,Hachioji-shi,305,733,299,39,3,36,11,64,57,…,…,7,-,22,9,5,8,26
令和元,2019,2,13202,2,立川市,Tachikawa-shi,104,367,98,15,4,11,1,37,36,…,…,1,-,20,12,2,6,61
令和元,2019,2,13203,3,武蔵野市,Musashino-shi,100,470,83,15,3,12,-,15,13,…,…,2,-,17,9,-,8,35
令和元,2019,2,13204,4,三鷹市,Mitaka-shi,76,160,80,17,4,13,1,3,2,…,…,1,-,4,-,-,4,37
令和元,2019,2,13205,5,青梅市,Ome-shi,103,155,56,13,-,13,6,43,22,…,…,21,-,1,-,-,1,43
令和元,2019,2,13206,6,府中市,Fuchu-shi,123,266,131,18,5,13,1,26,26,…,…,-,-,18,9,3,6,60
令和元,2019,2,13207,7,昭島市,Akishima-shi,69,128,51,9,3,6,1,12,11,…,…,1,-,5,1,-,4,28
令和元,2019,2,13208,8,調布市,Chofu-shi,101,302,128,18,5,13,8,7,7,…,…,-,-,24,11,5,8,47
令和元,2019,2,13209,9,町田市,Machida-shi,182,549,194,27,2,25,3,33,30,…,…,3,-,14,10,-,4,18
令和元,2019,2,13210,10,小金井市,Koganei-shi,50,116,58,5,1,4,1,3,2,…,…,1,-,2,-,-,2,29
令和元,2019,2,13211,11,小平市,Kodaira-shi,106,163,74,15,2,13,2,4,4,…,…,-,-,3,-,-,3,42
令和元,2019,2,13212,12,日野市,Hino-shi,77,172,54,5,-,5,-,2,2,…,…,-,-,2,-,-,2,39
令和元,2019,2,13213,13,東村山市,Higashimurayama-shi,67,167,74,8,2,6,-,16,16,…,…,-,-,1,-,-,1,31
令和元,2019,2,13214,14,国分寺市,Kokubunji-shi,50,157,46,7,1,6,-,10,10,…,…,-,-,2,-,-,2,24
令和元,2019,2,13215,15,国立市,Kunitachi-shi,47,137,35,8,-,8,1,6,6,…,…,-,-,1,-,-,1,26
令和元,2019,2,13218,16,福生市,Fussa-shi,39,109,24,3,-,3,-,5,4,…,…,1,-,1,-,-,1,14
令和元,2019,2,13219,17,狛江市,Komae-shi,38,81,41,5,3,2,-,3,3,…,…,-,-,2,-,-,2,19
令和元,2019,2,13220,18,東大和市,Higashiyamato-shi,47,90,33,9,2,7,-,4,4,…,…,-,-,2,-,-,2,20
令和元,2019,2,13221,19,清瀬市,Kiyose-shi,41,78,33,3,1,2,-,-,-,…,…,-,-,3,-,-,3,22
令和元,2019,2,13222,20,東久留米市,Higashikurume-shi,47,108,59,12,2,10,2,2,2,…,…,-,-,1,-,-,1,28
令和元,2019,2,13223,21,武蔵村山市,Musashimurayama-shi,36,68,26,5,1,4,2,3,3,…,…,-,-,14,12,-,2,24
令和元,2019,2,13224,22,多摩市,Tama-shi,54,151,57,21,-,21,1,8,8,…,…,-,-,20,9,-,11,42
令和元,2019,2,13225,23,稲城市,Inagi-shi,38,65,40,11,1,10,1,3,3,…,…,-,-,2,-,-,2,31
令和元,2019,2,13227,24,羽村市,Hamura-shi,43,106,25,4,-,4,-,4,4,…,…,-,-,3,-,-,3,16
令和元,2019,2,13228,25,あきる野市,Akiruno-shi,60,98,27,9,-,9,6,28,10,…,…,18,-,6,-,-,6,28
令和元,2019,2,13229,26,西東京市,Nishitokyo-shi,99,242,109,18,4,14,-,4,4,…,…,-,-,5,-,1,4,42
令和元,2019,1,13300,,郡部,All gun,44,57,23,22,-,22,41,82,30,…,…,52,-,10,9,-,1,20
令和元,2019,1,13500,,島部,All islands,35,56,13,28,-,28,37,563,106,…,…,457,-,2,-,-,2,43
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,
19-7  環境衛生営業施設数 (平成27～令和元年度末) 19-7  BUSINESS FACILITIES REGULATED BY THE ENVIRONMENT AND HEALTH ACT( End of Fiscal Years 2015-2019 )   ,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 平成30年6月の旅館業法改正により，旅館・ホテル営業に統合された。,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Ryokan and hotels were integrated into one category following amendment of the Hotel Business Act in June 2018.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,,
