年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ･ hotel,飲食店 Eateries／バー・キャバレー Bars ･ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionary (including bread) sales,魚介類加工品販売業 Fishery products sales
令和元,2019,2,13202,2,立川市,Tachikawa-shi,2598,30,150,1694,-,41,48,15,107,96,417,37,250,377,206,200,408,370,579,348
令和元,2019,2,13203,3,武蔵野市,Musashino-shi,2440,8,106,1840,-,55,44,15,85,99,188,64,201,283,152,155,346,475,508,225
令和元,2019,2,13204,4,三鷹市,Mitaka-shi,1047,-,14,713,-,39,37,19,47,50,128,16,118,239,132,119,252,317,334,151
令和元,2019,2,13205,5,青梅市,Ome-shi,1494,43,13,673,-,35,35,11,45,58,581,18,113,210,120,122,277,140,203,60
令和元,2019,2,13206,6,府中市,Fuchu-shi,2111,15,55,1367,-,42,57,16,67,83,409,44,286,431,209,220,450,450,412,381
令和元,2019,2,13207,7,昭島市,Akishima-shi,893,9,4,666,-,25,19,14,45,34,77,15,143,196,108,110,208,184,269,175
令和元,2019,2,13208,8,調布市,Chofu-shi,1737,3,26,1279,-,48,63,19,97,64,138,31,122,298,188,182,344,474,238,310
令和元,2019,2,13209,9,町田市,Machida-shi,2977,24,180,1833,-,60,71,29,168,259,353,55,237,594,321,308,572,626,867,663
令和元,2019,2,13210,10,小金井市,Koganei-shi,776,1,7,575,-,14,18,10,46,34,71,18,56,137,87,78,157,214,208,191
令和元,2019,2,13211,11,小平市,Kodaira-shi,1230,3,6,750,-,31,29,18,75,60,258,19,143,272,147,139,264,310,179,450
令和元,2019,2,13212,12,日野市,Hino-shi,1014,1,8,629,-,22,27,20,59,39,209,12,141,223,122,117,227,176,196,92
令和元,2019,2,13213,13,東村山市,Higashimurayama-shi,1052,9,30,756,-,36,28,15,55,50,73,13,85,189,107,104,164,136,179,113
令和元,2019,2,13214,14,国分寺市,Kokubunji-shi,1027,4,32,782,-,24,24,7,52,28,74,20,60,148,80,76,153,189,100,162
令和元,2019,2,13215,15,国立市,Kunitachi-shi,677,5,4,514,-,13,21,8,38,35,39,17,57,116,70,62,116,107,156,107
令和元,2019,2,13218,16,福生市,Fussa-shi,765,2,81,590,-,16,13,3,23,18,19,5,31,87,62,58,90,84,152,42
令和元,2019,2,13219,17,狛江市,Komae-shi,449,1,3,315,-,13,16,10,27,29,35,3,25,82,61,51,81,250,109,131
令和元,2019,2,13220,18,東大和市,Higashiyamato-shi,540,3,9,364,-,15,21,8,46,38,36,7,45,117,73,63,111,80,109,46
令和元,2019,2,13221,19,清瀬市,Kiyose-shi,459,-,11,323,-,11,11,10,28,23,42,7,42,110,58,52,108,73,90,54
令和元,2019,2,13222,20,東久留米市,Higashikurume-shi,654,1,4,437,-,26,17,14,54,50,51,13,64,160,102,99,180,117,150,98
令和元,2019,2,13223,21,武蔵村山市,Musashimurayama-shi,430,2,2,300,-,14,18,16,26,26,26,12,61,103,72,64,114,73,104,71
令和元,2019,2,13224,22,多摩市,Tama-shi,1011,10,23,687,-,23,18,12,73,63,102,23,138,218,105,101,257,169,186,88
令和元,2019,2,13225,23,稲城市,Inagi-shi,409,-,1,288,-,5,12,9,27,31,36,16,53,112,62,55,105,61,70,32
令和元,2019,2,13227,24,羽村市,Hamura-shi,680,1,54,514,-,15,7,3,20,22,44,4,90,94,57,55,99,75,139,40
令和元,2019,2,13228,25,あきる野市,Akiruno-shi,539,12,-,375,-,16,20,14,33,37,32,13,62,118,72,61,126,111,142,28
令和元,2019,2,13229,26,西東京市,Nishitokyo-shi,1272,4,31,962,-,23,25,16,69,55,87,10,99,235,136,132,234,654,547,463
令和元,2019,1,13300,,郡部,All gun,534,35,-,366,-,11,24,8,15,32,43,10,62,134,75,67,171,221,367,71
令和元,2019,1,13500,,島部,All islands,1055,403,13,446,-,14,11,8,55,50,55,18,5,122,81,100,170,171,212,139
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
19-8  食品衛生営業施設数 (平成27～令和元年度末) 19-8  BUSINESS FACILITIES REGULATED BY THE FOOD SANITATION ACT ( End of Fiscal Years 2015-2019 )  ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,,,,
