年度,Fiscal year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self-employed,就職状況 Placement／就職率 Employment rate (%)
令和元,2019,配管,Plumbing,11,12,9,-,75
令和元,2019,観光ビジネス,Tourism business,59,56,20,-,35.7
令和元,2019,ショップマネジメント,Store management,39,34,18,-,52.9
令和元,2019,調理,Cooking,101,78,62,-,79.5
令和元,2019,介護サービス,Nursing care,254,232,204,1,88.4
令和元,2019,ビルクリーニング管理,Building custodial services,31,28,28,-,100
令和元,2019,福祉用具,Assistive equipment,18,16,13,-,81.3
令和元,2019,介護福祉用具,Nursing care equipment,30,28,21,-,75
令和元,2019,マンション改修施工,Condominium renovation,45,45,25,2,60
令和元,2019,造園土木施工,Gardening and landscape construction,40,37,31,2,89.2
令和元,2019,三次元ＣＡＤ,3D CAD,88,71,27,3,42.3
令和元,2019,マンション維持管理,Condominium maintenance and management,58,58,54,-,93.1
令和元,2019,パソコン実践,Computer operations,434,412,187,-,45.4
令和元,2019,内装施工,Interior construction work,42,39,24,3,69.2
令和元,2019,ビル管理,Building management,173,161,133,3,84.5
令和元,2019,電気設備管理,Electrical facility management,60,59,53,-,89.8
令和元,2019,電気設備管理 (高年齢者向),Electrical facility management (for elderly people),66,64,52,-,81.3
令和元,2019,電気設備保全,Electrical facility maintenance,33,32,28,-,87.5
令和元,2019,経営管理実務,Business management,60,48,22,-,45.8
令和元,2019,ビジネス経理,Business accounting,52,43,25,-,58.1
令和元,2019,庭園施工管理,Gardening management,60,58,36,12,82.8
令和元,2019,生活支援サービス,Living support services,51,49,37,-,75.5
令和元,2019,ホテル・レストランサービス,Hotel and restaurant services,59,55,41,-,74.5
令和元,2019,設備保全,Facility maintenance,27,23,21,-,91.3
令和元,2019,板金溶接,Sheet metal welding,14,13,10,1,84.6
令和元,2019,施設警備,Security services for facilities,12,12,12,-,100
令和元,2019,クリーンスタッフ養成,Cleaning staff training,56,55,46,1,85.5
令和元,2019,自動車運転 (城東),Vehicle driving (Joto),-,-,-,-,-
,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　7  労働 7  LABOR,,,,,,,,
7-2  都立職業能力開発センター (職業訓練校) 修了者就職状況 (平成30，令和元年度) 7-2  PLACEMENT OF TRAINEES OF ＴMG VOCATIONAL SKILLS DEVELOPMENT CENTERS ( VOCATIONAL TRAINING FACILITIES ) ( Fiscal Years 2018 and 2019 ),,,,,,,,
この表の数字には，２か月以下の訓練，障害者訓練及び受託訓練を含まない。,,,,,,,,
Figures do not include training courses of two months or less， those for the disabled， or courses commissioned by others.,,,,,,,,
資料：都産業労働局雇用就業部能力開発課 Source: Bureau of Industrial and Labor Affairs， TMG,,,,,,,,
