年度,Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Inhabitant tax (millions yen)／計 Total,住民税負担額 (百万円) Inhabitant tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Inhabitant tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Tax levied per capita (yen)／計 Total,1人当たり負担額 (円) Tax levied per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Tax levied per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Tax levied per household (yen)／計 Total,1世帯当たり負担額 (円) Tax levied per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Tax levied per household (yen)／市町村民税分 Municipal
平成30,2018,2,13219,狛江市,Komae-shi,10970,4367,6603,132166,52614,79552,264106,105138,158968
平成30,2018,2,13220,東大和市,Higashiyamato-shi,8922,3546,5376,105611,41979,63632,245475,97573,147902
平成30,2018,2,13221,清瀬市,Kiyose-shi,7410,2945,4465,98280,39057,59223,220866,87774,133092
平成30,2018,2,13222,東久留米市,Higashikurume-shi,12775,5081,7694,109835,43686,66150,249758,99338,150420
平成30,2018,2,13223,武蔵村山市,Musashimurayama-shi,6205,2463,3742,86417,34305,52111,210820,83691,127130
平成30,2018,2,13224,多摩市,Tama-shi,17646,7021,10625,119375,47499,71876,259169,103122,156046
平成30,2018,2,13225,稲城市,Inagi-shi,11667,4643,7024,128527,51148,77380,301230,119875,181355
平成30,2018,2,13227,羽村市,Hamura-shi,5880,2336,3544,106895,42464,64431,247221,98208,149013
平成30,2018,2,13228,あきる野市,Akiruno-shi,7460,2964,4496,92973,36944,56029,235267,93487,141780
平成30,2018,2,13229,西東京市,Nishitokyo-shi,25124,9992,15132,123606,49160,74445,269294,107103,162191
平成30,2018,1,13300,郡部,All gun,4878,1935,2943,85299,33842,51458,219363,87030,132333
平成30,2018,2,13303,瑞穂町,Mizuho-machi,3053,1211,1842,92894,36849,56045,225807,89572,136234
平成30,2018,2,13305,日の出町,Hinode-machi,1348,535,813,78271,31082,47189,229848,91275,138573
平成30,2018,2,13307,檜原村,Hinohara-mura,133,53,81,64252,25415,38837,158755,62797,95958
平成30,2018,2,13308,奥多摩町,Okutama-machi,344,136,207,68400,27108,41292,170762,67675,103087
平成30,2018,1,13350,島部,All islands,2451,972,1479,96411,38224,58187,185665,73611,112054
平成30,2018,2,13361,大島町,Oshima-machi,643,255,388,86244,34190,52054,169128,67047,102081
平成30,2018,2,13362,利島村,Toshima-mura,34,14,21,99271,39441,59830,174859,69473,105386
平成30,2018,2,13363,新島村,Niijima-mura,215,85,129,81464,32331,49132,168163,66741,101422
平成30,2018,2,13364,神津島村,Kouzushima-mura,173,68,105,93841,37032,56809,211372,83412,127960
平成30,2018,2,13381,三宅村,Miyake-mura,263,104,158,111944,44508,67436,186467,74137,112330
平成30,2018,2,13382,御蔵島村,Mikurajima-mura,32,13,20,95132,36800,58332,165025,63836,101189
平成30,2018,2,13401,八丈町,Hachijo-machi,600,237,362,82715,32755,49960,156145,61833,94313
平成30,2018,2,13402,青ヶ島村,Aogashima-mura,28,11,17,165459,64719,100740,225504,88206,137298
平成30,2018,2,13421,小笠原村,Ogasawara-mura,463,184,279,152509,60690,91819,300958,119765,181194
,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,
21-8  地域別個人住民税負担額 (平成26～30年度) 21-8  INHABITANT TAX ON INDIVIDUALS LEVIED BY DISTRICT ( Fiscal Years 2014-2018 ),,,,,,,,,,,,,,
この表の住民負担額のうち特別区の区域分は都民税及び特別区民税の収入額，その他の区域分は都民税及び市町村税の収入額による。また，負担額の算出に用いた人口及び世帯数は各年度とも10月1日現在のものである。,,,,,,,,,,,,,,
The individual inhabitant tax for the ku area is revenue from the metropolitan and municipal ku inhabitant taxes， and for the other districts is revenue from the metropolitan and municipal shi， machi， mura inhabitant taxes. The populations and houshold numbers used to calculate the levied amounts are as of Oct. 1 of the fiscal years stated.,,,,,,,,,,,,,,
資料：都主税局税制部歳入課 Source: Bureau of Taxation， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市町村部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,
