消火器番号,設置場所,目標,種別,形式,製造年月,機能年月,格納箱年月,町会,町会名,管轄,緯度,経度
４９Ｂ－１７６,南大井３－２２－７,大森ＹＳビル,粉末,ウ,92,2003.12,88.07,80,大井海岸町会,大井第一,35.5892397,139.7339825
４９Ｂ－１７７,南大井３－２８－１３,カワスミビル,粉末,ウ,2006.03,2006.03,88.07,80,大井海岸町会,大井第一,35.5886614,139.7328301
４９Ｂ－１９７,南大井５－２１－１,公社住宅,粉末,ウ,92.05,2003.03,2003.1,82,大井水神町会,大井第一,35.5943298,139.7321832
４９Ｂ－２０２,南大井６－１２－１４,浅川ビル,粉末,ウ,2003.07,2003.07,94.09,82,大井水神町会,大井第一,35.5913376,139.7313184
４９Ｂ－２０３,南大井６－１１－１５,永井ビル,粉末,ア,2006.08,2006.08,2002.08,82,大井水神町会,大井第一,35.5910510,139.7322261
４９Ｂ－２０５,南大井６－９－１,浅岡鉄工所,粉末,ア,2003.07,2003.07,88.07,82,大井水神町会,大井第一,35.5917868,139.7324372
４９Ｂ－２０７,南大井６－１９－７,歩道橋下,粉末,ウ,2003.05,2003.05,87.05,81,大井坂下町会,大井第一,35.5904667,139.7330483
５８Ｂ－０２０,南大井６－２０－１４,小笠原宅,粉末,ウ,92.11,2004.01,2006.05,81,大井坂下町会,大井第一,35.5902562,139.7323059
６２Ｋ－００２,南大井３－１２－３,ニューハイム大森,粉末,脚,2005.08,2005.08,87.09,79,鈴ケ森町会,大井第一,35.5909356,139.7340049
６２Ｋ－００３,南大井３－２４－８,ライオンズマンション大森第６,粉末,脚,2006.02,2006.02,87.09,80,大井海岸町会,大井第一,35.5888367,139.7338825
８９Ｂ－０２１,南大井３－２７,大井海岸公園,粉末,ウ,90.03,2007.02,90.03,80,大井海岸町会,大井第一,35.5884759,139.7338586
８９Ｂ－０２９,南大井５－２６－１０,長寿庵,粉末,ウ,90.03,2001.01,96.04,82,大井水神町会,大井第一,35.5932641,139.7326993
８９Ｂ－０３０,南大井６－５－１８,ニチメン大森寮,粉末,ウ,90.03,2001.01,90.03,82,大井水神町会,大井第一,35.5925602,139.7311837
８９Ｂ－０３２,南大井６－２８－８,三菱証券,粉末,ウ,2005.03,2005.03,2002.08,81,大井坂下町会,大井第一,35.5879089,139.7297600
８９Ｋ－０２４,南大井３－１６－１１,グラントーレ大森,粉末,脚,89.11,2005.01,89.11,80,大井海岸町会,大井第一,35.5900645,139.7338558
８９Ｋ－０２６,南大井６－２４－６,ダイト－ビルデイング,粉末,脚,89.11,2005.01,89.11,81,大井坂下町会,大井第一,35.5889002,139.7300325
９０Ｂ－００２,南大井３－１８－１０,大森シティータワー,粉末,ウ,2005.03,2005.11,2005.03,80,大井海岸町会,大井第一,35.5897554,139.7338994
９０Ｂ－００３,南大井３－２４－１,照建ビル,粉末,ウ,90.1,2001.01,90.1,80,大井海岸町会,大井第一,35.5891899,139.7334908
９０Ｂ－００６,南大井３－２９－３,白石ビル,粉末,ウ,2006.03,2006.03,2004.08,80,大井海岸町会,大井第一,35.5881806,139.7334587
９０Ｋ－０１７,南大井６－１１－２,ＮＰ南大井　日興パレス,粉末,脚,90.11,2005.01,90.11,82,大井水神町会,大井第一,35.5909652,139.7325833
９１Ｋ－０１５,南大井６－２１－１４,いすず自動車病院,粉末,脚,91.08,2007.02,91.08,81,大井坂下町会,大井第一,35.5896760,139.7327897
９１Ｋ－０１８,南大井３－３５－１４,大森本田ビル,粉末,脚,2004.08,2004.08,2004.08,80,大井海岸町会,大井第一,35.5878787,139.7328020
９１Ｋ－０４０,南大井３－３４,藤和シティコープ,粉末,脚,92.03,2003.03,92.03,80,大井海岸町会,大井第一,35.5876290,139.7333426
９２Ｋ－００２,南大井３－２８－４,角田ビル,粉末,脚,92.09,2005.01,92.09,80,大井海岸町会,大井第一,35.5882795,139.7328376
９２Ｋ－０１２,南大井６－３－１０,ア－バンネット南大井,粉末,脚,91,2004.12,93.02,82,大井水神町会,大井第一,35.5924498,139.7335632
９３Ｂ－００７,南大井６－２４－１,セブンスター　マンション,粉末,ウ,2005.08,2006.06,94.01,81,大井坂下町会,大井第一,35.5893567,139.7299400
９３Ｂ－００８,南大井６－２５－１,佐々木ビル,粉末,ウ,94.01,2005.11,94.01,81,大井坂下町会,大井第一,35.5888496,139.7310735
９３Ｋ－０１２,南大井６－２０－１４,南大井共同ビル,粉末,壁,93.07,2003.12,93.07,81,大井坂下町会,大井第一,35.5901259,139.7323884
９３Ｋ－０２８,南大井３－２２－３,ジョイフル大森,粉末,脚,93,2003.12,94.02,80,大井海岸町会,大井第一,35.5894135,139.7339297
９４Ｋ－０２７,南大井６－１９－１１,アートホテルズ大森,粉末,脚,95.02,2005.01,95.02,81,大井坂下町会,大井第一,35.5904583,139.7326197
９５Ｋ－０１２,南大井５－２３－３,セザール大森,粉末,脚,95.1,2005.01,95.1,82,大井水神町会,大井第一,35.5938655,139.7336245
９６Ｋ－０１５,南大井３－２９－１０,メゾンフジⅡ,粉末,壁,96.08,2001.01,96.08,80,大井海岸町会,大井第一,35.5880531,139.7332159
９７Ｋ－０１９,南大井６－１９－１６,カテリーナ大森,粉末,脚,97.06,2007.02,97.06,81,大井坂下町会,大井第一,35.5904420,139.7321286
９７Ｋ－０３７,南大井６－１６－１９,ダイテック東京本社ビル,粉末,,97.12,2003.12,97.12,81,大井坂下町会,大井第一,35.5913007,139.7303563
９８Ｋ－００９,南大井６－１－７,レグノ大森,粉末,脚,98.05,2003.12,98.05,82,大井水神町会,大井第一,35.5930367,139.7325182
９８Ｋ－０１１,南大井６－２０－１２,品川南大井ビル,粉末,脚,98.05,2003.12,98.05,81,大井坂下町会,大井第一,35.5898985,139.7324822
９８Ｋ－０２７,南大井３－１７－２,サクラハイム大森,粉末,脚,98.09,2003.12,98.09,80,大井海岸町会,大井第一,35.5901668,139.7335658
９８Ｋ－０４９,南大井６－２１－９,ライオンズプラザ大森,粉末,脚,98,2003.12,99.01,81,大井坂下町会,大井第一,35.5896460,139.7316110
９９Ｋ－０３１,南大井６－１９－９,ロイヤルアメニティ大森,粉末,脚,2000.01,2005.01,2000.01,81,大井坂下町会,大井第一,35.5901959,139.7329245
９９Ｋ－０３３,南大井３－１８－１,大森シティータワー,粉末,脚,99,2005.01,2000.01,80,大井海岸町会,大井第一,35.5898035,139.7337436
０６Ｋ－０１９,南大井５－２３－４,ルーブル大森五番館,粉末,脚,2006.08,2006.08,2006.08,82,大井水神町会,大井第一,35.5938955,139.7337720
０６Ｋ－０３７,南大井６－１６－８,大森プロジェクト,粉末,脚,2006.12,2006.12,2006.12,81,大井坂下町会,大井第一,35.5906810,139.7304185
０６Ｋ－０５８,南大井６－６－２,メルシー大森コモード,粉末,壁,2007.03,2007.03,2007.03,82,大井水神町会,大井第一,35.5923242,139.7321922
０７Ｋ－００４,大井６－２０－１１,ミテッツア大森,粉末,脚,2007.05,2007.05,2007.05,103,大井鹿島町会,大井第三,35.5940368,139.7311361
０７Ｋ－００６,南大井５－２３－８,コスモシティ大森,粉末,脚,2007.05,2007.05,2007.05,82,大井水神町会,大井第一,35.5936880,139.7338248
０７Ｋ－０１２,南大井６－１３－１１,（仮称）南大井６丁目マンション,粉末,脚,2007.07,2007.07,2007.07,82,大井水神町会,大井第一,35.5917235,139.7309498
０７Ｋ－０４１,南大井５－２２－１５,大森寮Ａ棟,粉末,脚,2008.02,2008.02,2008.02,82,大井水神町会,大井第一,35.5941857,139.7339484
０７Ｋ－０４２,南大井５－２２－１４,大森寮Ｂ棟,粉末,脚,2008.02,2008.02,2008.02,82,大井水神町会,大井第一,35.5942157,139.7336820
08K-017,南大井3-16-1,シンシア大森Ⅲ,粉末,脚,2008.09,2008.09,2008.09,80,大井海岸町会,大井第一,35.5903084,139.7337519
08K-021,南大井3-23-14,(仮称)南大井毛塚マンション新築工事,粉末,脚,2008.12,2008.12,2008.12,80,大井海岸町会,大井第一,35.5894554,139.7330311
０９Ｋ－０１３,南大井5-27-10,南大井５丁目ﾏﾝｼｮﾝ,粉末,脚,2009.1,2009.1,2009.1,82,大井水神町会,大井第一,35.5931861,139.7338373
０９Ｋ－０１５,南大井6-5-2,〔仮称〕南大井6丁目計画,粉末,直,2009.11,2009.11,2009.11,82,大井水神町会,大井第一,35.5925144,139.7313473
０９Ｋ－０１９,南大井5-27-3,〔仮称〕南大井５丁目,粉末,脚,2010.02,2010.02,2010.02,82,大井水神町会,大井第一,35.5935213,139.7333648
１０Ｋ－００５,南大井３－２３－６,（仮称）南大井３丁目マンション,粉末,脚,2010.04,2010.04,2010.04,80,大井海岸町会,大井第一,35.5891347,139.7332070
００Ｋ－０２２,南大井２－７－３,天竜交通本社ビル,粉末,脚,2000.08,2000.08,2000.08,79,鈴ケ森町会,大井第一,35.5915915,139.7367016
００Ｋ－０４７,南大井４－１９,グランイーグル南大井　ＮＯ１,粉末,脚,2001.01,2001.01,2001.01,79,鈴ケ森町会,大井第一,35.5931998,139.7348670
００Ｋ－０４８,南大井４－１９－４,グランイーグル南大井　ＮＯ２,粉末,脚,2001.01,2001.01,2001.01,79,鈴ケ森町会,大井第一,35.5929118,139.7349505
０１Ｋ－０２８,南大井３－１３－５,大森海岸住宅電気労連会館,粉末,脚,2001.1,2007.02,2001.1,79,鈴ケ森町会,大井第一,35.5905190,139.7342235
０１Ｋ－０３４,南大井２－９－３,クレッセントしながわ公園,粉末,脚,2001.08,2007.02,2001.11,79,鈴ケ森町会,大井第一,35.5909313,139.7368108
０３Ｋ－０４９,南大井３－３１,（仮）エクセレント大森,粉末,壁,2003,2003,2003,80,大井海岸町会,大井第一,35.5876477,139.7349733
０３Ｋ－０６６,南大井３－２１－１５,大森海岸峯田マンション,粉末,脚,2004.02,,,80,大井海岸町会,大井第一,35.5892111,139.7344008
０３Ｋ－０６８,南大井４－２０,スターロワイヤル南大井,粉末,脚,2004.02,,,79,鈴ケ森町会,大井第一,35.5927735,139.7354741
０４Ｋ－０３０,南大井３－１４－１４,レ・ベント南大井,粉末,脚,2004.08,2004.08,2004.08,79,鈴ヶ森町会,大井第一,35.5902962,139.7346608
０４Ｋ－０５３,南大井３－２１－７,クリオレジダンス大森センター棟,粉末,脚,2005.01,,,80,大井海岸町会,大井第一,35.5891969,139.7346846
０４Ｋ－０７９,南大井２－１－７,横山ビル,粉末,脚,2005.09,2005.09,,79,鈴ケ森町会,大井第一,35.5933915,139.7369607
０５Ｋ－０３８,南大井３－８－９,パークハウス大森リルウィング,粉末,脚,2005.12,2005.12,2005.12,79,鈴ケ森町会,大井第一,35.5911648,139.7347207
４７Ｂ－１１８,南大井１－１８－８,中林宅,粉末,ウ,91.1,2007.02,89.11,78,大井南浜町会,大井第一,35.5941075,139.7382078
４７Ｂ－１２４,南大井１－１９－１２,タナカ理容室,粉末,ウ,92.11,2001.01,89.06,78,大井南浜町会,大井第一,35.5939806,139.7375117
４７Ｂ－１４２,南大井２－２－６,鈴木宅,粉末,ア,2003.04,2005.08,91.03,79,鈴ケ森町会,大井第一,35.5932943,139.7374618
４７Ｂ－１５０,南大井３－１４－９,菱冷ビル,粉末,ウ,2004.1,2004.1,86.06,79,鈴ケ森町会,大井第一,35.5904005,139.7355823
４７Ｂ－１５１,南大井４－１８－１０,旧大井消防署,粉末,ウ,2004.07,2004.07,2003.01,79,鈴ケ森町会,大井第一,35.5932768,139.7354495
４７Ｂ－１５２,南大井３－２－８,スタッフジャパン,粉末,ウ,2003.01,2003.01,2003.07,79,鈴ケ森町会,大井第一,35.5925582,139.7353531
４７Ｂ－１５３,南大井３－９－１３,郵便局ポスト横,粉末,ウ,92.11,2001.01,89.08,79,鈴ケ森町会,大井第一,35.5910820,139.7348973
４７Ｂ－１５４,南大井４－１９－１４,興進社,粉末,ウ,2004.07,2004.07,88.07,79,鈴ケ森町会,大井第一,35.5928859,139.7346592
４７Ｂ－１５５,南大井３－７－７,南大井３丁目児童遊園,粉末,ウ,2003.07,2003.07,88.04,79,鈴ケ森町会,大井第一,35.5914600,139.7348548
４７Ｂ－１６２,南大井２－１２－１０,ライオンズマンション大森,粉末,ウ,91,2007.02,2004.08,80,大井海岸町会,大井第一,35.5891339,139.7361432
４７Ｂ－１６５,南大井３－２０－５,ファミネス大森,粉末,ウ,92,2007.02,89.11,80,大井海岸町会,大井第一,35.5891045,139.7354074
４７Ｂ－１６７,南大井３－３１－６,黒田宅,粉末,ウ,2003.08,2003.08,2004.01,80,大井海岸町会,大井第一,35.5879491,139.7352622
４７Ｂ－１６８,南大井３－１９－９,クレオレジデンス大森イースト,粉末,ウ,2003.07,2003.07,95.08,80,大井海岸町会,大井第一,35.5894211,139.7349785
４７Ｂ－１７０,南大井３－３０－１,大森サンハイツ,粉末,ウ,2004.07,2005.08,88.05,80,大井海岸町会,大井第一,35.5881015,139.7340711
４７Ｂ－１７３,南大井３－１８－５,山本宅,粉末,ア,98,2003.03,89.02,80,大井海岸町会,大井第一,35.5898155,139.7341361
４９Ｂ－１１２,勝島２－１－９,蛯名厩舎,粉末,ア,2004.07,2004.07,85.06,91,勝島町会,大井第一,35.5901517,139.7437942
４９Ｂ－１４５,南大井４－１６－８,鈴が森小学校東側,粉末,ウ,2004.07,2004.07,91.03,83,南大井第四町会,大井第一,35.5942580,139.7357982
４９Ｂ－１４７,南大井２－１－１０,鈴木宅,粉末,ア,2003.07,2003.07,88.07,79,鈴ケ森町会,大井第一,35.5936356,139.7368340
４９Ｂ－１５２,南大井３－６－１９,花園ビル横,粉末,ウ,2003.02,2003.02,2003.02,79,鈴ケ森町会,大井第一,35.5924135,139.7340946
４９Ｂ－１５３,南大井３－４－６,グレースジョイ,粉末,ウ,2006.08,2006.08,88.07,79,鈴ケ森町会,大井第一,35.5915578,139.7357497
４９Ｂ－１５５,南大井３－５－１１,森井宅,粉末,ウ,2005.11,2005.11,85.01,79,鈴ケ森町会,大井第一,35.5918813,139.7350945
４９Ｂ－１６０,南大井３－１１－１０,釘井宅,粉末,ウ,2003.07,2003.07,88.07,79,鈴ケ森町会,大井第一,35.5905204,139.7352345
４９Ｂ－１６３,南大井４－１９－３,鈴ヶ森学童クラブ,粉末,ウ,2004.07,2004.07,89.11,79,鈴ケ森町会,大井第一,35.5932867,139.7346672
４９Ｂ－１６５,南大井４－２０－６,歯研会ビル,粉末,ウ,2003.07,2003.07,90.11,79,鈴ケ森町会,大井第一,35.5927160,139.7357244
４９Ｂ－１６６,南大井３－１－２,ヴエルタ大森,粉末,ア,2003.07,2003.07,90.11,79,鈴ケ森町会,大井第一,35.5927417,139.7344795
４９Ｂ－１６７,南大井２－８－６,ＮＩＣニックハイム,粉末,ウ,2003.07,2003.07,92.11,79,鈴ケ森町会,大井第一,35.5912043,139.7364183
４９Ｂ－１７０,南大井２－１２－１７,田附宅,粉末,ウ,2004.07,2004.07,89.11,80,大井海岸町会,大井第一,35.5895337,139.7367920
４９Ｂ－１７２,南大井３－１５－１４,大塚商会大森ビル,粉末,ウ,2004.07,2004.07,94.08,80,大井海岸町会,大井第一,35.5901066,139.7345299
６２Ｋ－００１,南大井２－１１－４,ライオンズマンション大森第３,粉末,脚,2005.08,2005.08,87.09,80,大井海岸町会,大井第一,35.5897661,139.7364684
６２Ｋ－００５,南大井３－２０－８,ファミネ大森,粉末,脚,2005.08,2005.08,87.09,80,大井海岸町会,大井第一,35.5887981,139.7352685
６２Ｋ－００７,南大井３－２０－１７,コーズ第５大森,粉末,脚,2005.08,2005.08,87.09,80,大井海岸町会,大井第一,35.5892336,139.7352357
６２Ｋ－０１１,南大井３－２６－１２,スカイコート大森,粉末,脚,2005.08,2005.08,87.09,80,大井海岸町会,大井第一,35.5882359,139.7340822
６３Ｋ－０４９,南大井３－１６－５,ヴェラハイツ大森,粉末,脚,88.08,2003.12,88.08,80,大井海岸町会,大井第一,35.5901101,139.7343182
８９Ｂ－０２０,南大井１－２０－１３,㈱坂和,粉末,ウ,2001,2004.08,93.09,78,大井南浜町会,大井第一,35.5940739,139.7369618
８９Ｂ－０２２,南大井３－３０－６,アロー,粉末,ウ,2006.08,2006.08,90.11,80,大井海岸町会,大井第一,35.5879490,139.7346847
８９Ｂ－０２３,南大井２－６－５,東京食品南大井ビル,粉末,ウ,90.03,2001.01,90.03,79,鈴ケ森町会,大井第一,35.5920650,139.7374721
８９Ｂ－０２４,南大井４－１６－２１,山和工機ｋｋ,粉末,ウ,90.03,2004.12,90.03,79,鈴ケ森町会,大井第一,35.5941305,139.7344669
８９Ｋ－０２５,南大井３－２６－７,ＩＣＬビル（いすずカ－ライフ）,粉末,脚,89.11,2005.01,89.11,80,大井海岸町会,大井第一,35.5881848,139.7346782
９１Ｋ－００５,南大井３－８－１３,ハイタウン大森Ｎｏ．５,粉末,脚,91.06,2007.02,91.06,79,鈴ケ森町会,大井第一,35.5911983,139.7343120
９１Ｋ－０４１,南大井３－９－７,メゾン品川南,粉末,脚,92.03,2007.02,92.03,79,鈴ケ森町会,大井第一,35.5912247,139.7356431
９４Ｋ－０１３,南大井１－２０－１２,グランイーグル南大井,粉末,脚,94.11,2005.1,94.11,78,大井南浜町会,大井第一,35.5938729,139.7370331
９４Ｋ－０１９,南大井３－１９－１１,リバニュー大森,粉末,壁,94.11,2003.12,2006.1,80,大井海岸町会,大井第一,35.5896630,139.7345200
９４Ｋ－０２８,南大井３－１５－３,サンシャイン　ビル,粉末,脚,99,2005.01,95.02,80,大井海岸町会,大井第一,35.5899688,139.7351159
９５Ｋ－０２６,南大井３－４－５,スターロワイヤル大森,粉末,脚,96.02,2005.01,96.02,79,鈴ケ森町会,大井第一,35.5917061,139.7357280
９６Ｋ－０３１,南大井３－９－９,メインステージ大森海岸,粉末,脚,97,2007.02,97.01,79,鈴ケ森町会,大井第一,35.5910187,139.7355845
９７Ｋ－０４４,南大井３－１３－９,グランフォーレ大森,粉末,,97,2007.02,98.01,79,鈴ケ森町会,大井第一,35.5905468,139.7344759
０６Ｋ－０４８,南大井３－１４－９,南大井３丁目マンション,粉末,脚,2007.02,2007.02,2007.02,79,鈴ケ森町会,大井第一,35.5902021,139.7353910
０７Ｋ－００９,南大井３－３０－６,（仮称）品川南大井３丁目ＰＪ新築工事,粉末,脚,2007.06,2007.06,2007.06,80,大井海岸町会,大井第一,35.5879055,139.7346225
０７Ｋ－０１８,南大井４－１５－６,ヴェローナ南大井,粉末,脚,2007.09,2007.09,2007.09,83,南大井第４町会,大井第一,35.5943227,139.7362240
０９Ｋ－０２３,南大井3-21-16,〔仮称〕南大井３丁目ﾏﾝｼｮﾝ,粉末,脚,2010.02,2010.02,2010.02,80,大井海岸町会,大井第一,35.5894288,139.7343282
４７Ｂ－１９２,南大井５－２２－７,日比野宅,粉末（2010.9撤去）,ア,2004.07,2004.07,93.09,82,大井水神町会,大井第一,35.5943478,139.7342200
９４Ｋ－０３２,八潮２－６－７,国際たばこ倉庫㈱　大井倉庫,粉末,脚,94,2004.12,95.03,,該当町会なし,八潮,35.5928731,139.7674059
４７Ｃ－２４６,中延６－１１－１７,㈱岩付電機製作所,粉末,ウ,2004.07,2004.07,88.08,159,中延６丁目町会,荏原第四,35.6010536,139.7099561
４９Ｃ－１９２,中延６－１１－１３,井田宅,粉末（2010.3撤去）,ア,2006.08,2006.08,88.03,159,中延６丁目町会,荏原第四,35.6009923,139.7106360
０１Ｋ－０６０,西大井３－１６－２０,アデニウム山王,粉末,脚,2002.03,2007.02,2002.03,105,出石町会,大井第三,35.5947377,139.7228067
０２Ｋ－０２０,西大井５－１７－１９,パークハウス西大井,粉末,脚,2002.06,2002.06,2002.06,108,西大井五丁目伊藤町会,大井第三,35.5970015,139.7187705
０２Ｋ－０４６,西大井６－１４－１４,ビバリーホームズ中延,粉末,脚,2002.1,2002.1,2002.1,109,西大井六丁目町会,大井第三,35.5996694,139.7172406
０３Ｋ－００５,西大井１－１－９,ＪタワーＡコート,粉末,脚,2003.05,,,101,西大井一丁目町会,大井第二,35.6004808,139.7214691
０３Ｋ－００８,西大井６－１６－３,オーベストカーサ,粉末,壁,2003.04,,,109,西大井六丁目町会,大井第三,35.6004619,139.7163331
０３Ｋ－０２２,西大井５－１５－１４,マイキャッスル西大井ディライトコート,粉末,脚,2003.07,,,108,西大井五丁目伊藤町会,大井第三,35.5978611,139.7195669
０３Ｋ－０２４,西大井１－９－１１,Ｙｓ-ＣＯＵＲＴ,粉末,脚,2003.07,,,101,西大井一丁目町会,大井第二,35.6005602,139.7221762
０３Ｋ－０７４,西大井３－１６－２５,アプリーレ大森山王,粉末,脚,2004.03,,,105,出石町会,大井第三,35.5946661,139.7223542
０４Ｋ－００５,西大井６－２－１４,品川区立かがやき園,粉末,直,2004.04,2004.04,2004.04,109,西大井六丁目町会,大井第三,35.6009451,139.7152429
４７Ｂ－３６６,西大井１－８－４,駐車場内,粉末,ウ,2007.03,2007.03,84.1,101,西大井一丁目町会,大井第二,35.6009958,139.7228962
４７Ｂ－３７０,西大井１－１０－３,伊藤宅,粉末,ウ,2004.07,2004.07,89.11,101,西大井一丁目町会,大井第二,35.6005892,139.7228237
４７Ｂ－３８３,西大井２－１－９,倉木宅,粉末,ウ,2001,2007.02,82.03,106,西大井二丁目町会,大井第三,35.5997754,139.7212463
４７Ｂ－３９２,西大井３－１４－１８,郷宅,粉末,ア,2004.07,2004.07,89.11,105,出石町会,大井第三,35.5964114,139.7224238
４７Ｂ－３９３,西大井３－１４－１,宮本宅,粉末,ウ,2003.07,2003.07,90.11,105,出石町会,大井第三,35.5968425,139.7227452
４７Ｂ－３９７,西大井４－１－１,山本宅,粉末,ウ,2004.07,2004.07,2004.1,107,西大井四丁目町会,大井第三,35.5978123,139.7203942
４７Ｂ－４０４,西大井４－１８－２３,照井宅,粉末,ウ,2003.07,2003.07,82.07,107,西大井四丁目町会,大井第三,35.5946854,139.7186681
