消火器番号,設置場所,目標,種別,形式,製造年月,機能年月,格納箱年月,町会,町会名,管轄,緯度,経度
０５Ｋ－００６,南大井３－２２－３,サンアリーナ大森,機械泡,脚,2005.06,2005.06,2005.06,80,大井海岸町会,大井第一,35.5894052,139.7338608
０５Ｋ－０４０,南大井６－１２－１２,ミオカステーロ南大井,機械泡,脚,2006.01,2006.01,2006.01,82,大井水神町会,大井第一,35.5912135,139.7315336
６２Ｋ－００２,南大井３－１２－３,ニューハイム大森,機械泡,脚,98,2003.12,87.09,79,鈴ケ森町会,大井第一,35.5909378,139.7339269
６２Ｋ－００３,南大井３－２４－８,ライオンズマンション大森第６,機械泡,脚,2006,2006,87.09,80,大井海岸町会,大井第一,35.5888156,139.7338269
８９Ｋ－０２４,南大井３－１６－１１,グラントーレ大森,機械泡,脚,98,2003.12,89.11,80,大井海岸町会,大井第一,35.5900637,139.7338033
８９Ｋ－０２６,南大井６－２４－６,ダイト－ビルデイング,機械泡,脚,2006.08,2006.08,89.11,81,大井坂下町会,大井第一,35.5889037,139.7299822
９０Ｋ－０１７,南大井６－１１－２,ＮＰ南大井　日興パレス,機械泡,脚,90.11,2005.01,90.11,82,大井水神町会,大井第一,35.5909610,139.7325197
９１Ｋ－０１５,南大井６－２１－１４,いすず自動車病院,機械泡,脚,91.08,2007.02,91.08,81,大井坂下町会,大井第一,35.5896687,139.7327311
９１Ｋ－０１８,南大井３－３５－１４,大森本田ビル,機械泡,脚,2004.08,2004.08,2004.08,80,大井海岸町会,大井第一,35.5878606,139.7327187
９１Ｋ－０４０,南大井３－３４,藤和シティコープ,機械泡,脚,91,2003.03,92.03,80,大井海岸町会,大井第一,35.5876323,139.7333998
９２Ｋ－００２,南大井３－２８－４,角田ビル,機械泡,脚,92.09,2005.01,92.09,80,大井海岸町会,大井第一,35.5882940,139.7327762
９２Ｋ－０１２,南大井６－３－１０,ア－バンネット南大井,機械泡,脚,97,2004.12,93.02,82,大井水神町会,大井第一,35.5924539,139.7335174
９３Ｋ－０１２,南大井６－２０－１４,南大井共同ビル,機械泡,壁,93.07,2003.12,93.07,81,大井坂下町会,大井第一,35.5901212,139.7323358
９３Ｋ－０２８,南大井３－２２－３,ジョイフル大森,機械泡,脚,93,2003.12,94.02,80,大井海岸町会,大井第一,35.5894052,139.7338608
９４Ｋ－０２７,南大井６－１９－１１,アートホテルズ大森,機械泡,脚,95.02,2005.01,95.02,81,大井坂下町会,大井第一,35.5904653,139.7325737
９５Ｋ－０１２,南大井５－２３－３,セザール大森,機械泡,脚,95.1,2005.01,95.1,82,大井水神町会,大井第一,35.5938699,139.7335707
９６Ｋ－０１５,南大井３－２９－１０,メゾンフジⅡ,機械泡,壁,96.08,2001.01,96.08,80,大井海岸町会,大井第一,35.5880517,139.7331625
９７Ｋ－０１９,南大井６－１９－１６,カテリーナ大森,機械泡,脚,97.06,2007.02,97.06,81,大井坂下町会,大井第一,35.5904383,139.7320737
９７Ｋ－０３７,南大井６－１６－１９,ダイテック東京本社ビル,機械泡,,99,2003.12,97.12,81,大井坂下町会,大井第一,35.5912915,139.7302838
９８Ｋ－００９,南大井６－１－７,レグノ大森,機械泡,脚,98.05,2003.12,98.05,82,大井水神町会,大井第一,35.5930311,139.7324507
９８Ｋ－０１１,南大井６－２０－１２,品川南大井ビル,機械泡,脚,98.05,2003.12,98.05,81,大井坂下町会,大井第一,35.5898935,139.7324398
９８Ｋ－０２７,南大井３－１７－２,サクラハイム大森,機械泡,脚,98.09,2003.12,98.09,80,大井海岸町会,大井第一,35.5901668,139.7335144
９８Ｋ－０４９,南大井６－２１－９,ライオンズプラザ大森,機械泡,脚,98,2003.12,99.01,81,大井坂下町会,大井第一,35.5896440,139.7315563
９９Ｋ－０３１,南大井６－１９－９,ロイヤルアメニティ大森,機械泡,脚,2000.01,2005.01,2000.01,81,大井坂下町会,大井第一,35.5902079,139.7328700
９９Ｋ－０３３,南大井３－１８－１,大森シティータワー,機械泡,脚,99,2005.01,2000.01,80,大井海岸町会,大井第一,35.5897941,139.7336760
０６Ｋ－０１９,南大井５－２３－４,ルーブル大森五番館,機械泡,脚,2006.08,2006.08,2006.08,82,大井水神町会,大井第一,35.5939007,139.7337318
０６Ｋ－０３７,南大井６－１６－８,大森プロジェクト,機械泡,脚,2006.12,2006.12,2006.12,81,大井坂下町会,大井第一,35.5906832,139.7303735
０６Ｋ－０５８,南大井６－６－２,メルシー大森コモード,機械泡,壁,2007.03,2007.03,2007.03,82,大井水神町会,大井第一,35.5923267,139.7321497
０７Ｋ－００４,大井６－２０－１１,ミテッツア大森,機械泡,脚,2007.05,2007.05,2007.05,103,大井鹿島町会,大井第三,35.5940359,139.7311075
０７Ｋ－００６,南大井５－２３－８,コスモシティ大森,機械泡,脚,2007.05,2007.05,2007.05,82,大井水神町会,大井第一,35.5936872,139.7337906
０７Ｋ－０１２,南大井６－１３－１１,（仮称）南大井６丁目マンション,機械泡,脚,2007.07,2007.07,2007.07,82,大井水神町会,大井第一,35.5917248,139.7309162
０７Ｋ－０４１,南大井５－２２－１５,大森寮Ａ棟,機械泡,脚,2008.02,2008.02,2008.02,82,大井水神町会,大井第一,35.5941879,139.7339172
０７Ｋ－０４２,南大井５－２２－１４,大森寮Ｂ棟,機械泡,脚,2008.02,2008.02,2008.02,82,大井水神町会,大井第一,35.5942188,139.7336495
08K-017,南大井3-16-1,シンシア大森Ⅲ,機械泡,脚,2008.09,2008.09,2008.09,80,大井海岸町会,大井第一,35.5903184,139.7337068
08K-021,南大井3-23-14,(仮称)南大井毛塚マンション新築工事,機械泡,脚,2008.12,2008.12,2008.12,80,大井海岸町会,大井第一,35.5894871,139.7330547
09K-013,南大井5-27-10,南大井５丁目ﾏﾝｼｮﾝ,機械泡,脚,2009.1,2009.1,2009.1,82,大井水神町会,大井第一,35.5931900,139.7338832
09K-015,南大井6-5-2,〔仮称〕南大井6丁目計画,機械泡,直,2009.11,2009.11,2009.11,82,大井水神町会,大井第一,35.5925180,139.7313894
09K-019,南大井5-27-3,〔仮称〕南大井５丁目,機械泡,脚,2010.02,2010.02,2010.02,82,大井水神町会,大井第一,35.5935214,139.7334099
１０Ｋ－００５,南大井３－２３－６,（仮称）南大井３丁目マンション,機械泡,脚,2010.04,2010.04,2010.04,80,大井海岸町会,大井第一,35.5891346,139.7332458
０１Ｋ－０２８,南大井３－１３－５,大森海岸住宅電気労連会館,機械泡,脚,2004.08,2004.08,2001.1,79,鈴ケ森町会,大井第一,35.5905137,139.7341572
０１Ｋ－０３４,南大井２－９－３,クレッセントしながわ公園,機械泡,脚,2001.08,2007.02,2001.11,79,鈴ケ森町会,大井第一,35.5909346,139.7367597
００Ｋ－０２２,南大井２－７－３,天竜交通本社ビル,機械泡,脚,2000.08,2000.08,2000.08,79,鈴ケ森町会,大井第一,35.5915914,139.7366655
００Ｋ－０４７,南大井４－１９,グランイーグル南大井　ＮＯ１,機械泡,脚,2001.01,2001.01,2001.01,79,鈴ケ森町会,大井第一,35.5932142,139.7348056
００Ｋ－０４８,南大井４－１９－４,グランイーグル南大井　ＮＯ２,機械泡,脚,2001.01,2001.01,2001.01,79,鈴ケ森町会,大井第一,35.5929117,139.7348923
０３Ｋ－０４９,南大井３－３１,（仮）エクセレント大森,機械泡,壁,2003,2003,2003,80,大井海岸町会,大井第一,35.5876668,139.7349144
０３Ｋ－０６６,南大井３－２１－１５,大森海岸峯田マンション,機械泡,脚,2004.02,,,80,大井海岸町会,大井第一,35.5892085,139.7343460
０３Ｋ－０６８,南大井４－２０,スターロワイヤル南大井,機械泡,脚,2004.02,,,79,鈴ケ森町会,大井第一,35.5927759,139.7354194
０４Ｋ－０３０,南大井３－１４－１４,レ・ベント南大井,機械泡,脚,2004.08,2004.08,2004.08,79,鈴ヶ森町会,大井第一,35.5903084,139.7347057
０４Ｋ－０５３,南大井３－２１－７,クリオレジダンス大森センター棟,機械泡,脚,2005.01,,,80,大井海岸町会,大井第一,35.5891939,139.7346271
０４Ｋ－０７９,南大井２－１－７,横山ビル,機械泡,脚,2005.09,2005.09,,79,鈴ケ森町会,大井第一,35.5934037,139.7368996
０５Ｋ－０３８,南大井３－８－９,パークハウス大森リルウィング,機械泡,脚,2005.12,2005.12,2005.12,79,鈴ケ森町会,大井第一,35.5911586,139.7346593
６２Ｋ－００１,南大井２－１１－４,ライオンズマンション大森第３,機械泡,脚,2005.08,2005.08,87.09,80,大井海岸町会,大井第一,35.5897597,139.7363981
６２Ｋ－００５,南大井３－２０－８,ファミネ大森,機械泡,脚,2005.08,2005.08,87.09,80,大井海岸町会,大井第一,35.5887804,139.7352049
６２Ｋ－００７,南大井３－２０－１７,コーズ第５大森,機械泡,脚,2005.08,2005.08,87.09,80,大井海岸町会,大井第一,35.5892367,139.7351746
６２Ｋ－０１１,南大井３－２６－１２,スカイコート大森,機械泡,脚,2005.08,2005.08,87.09,80,大井海岸町会,大井第一,35.5882381,139.7340283
６３Ｋ－０４９,南大井３－１６－５,ヴェラハイツ大森,機械泡,脚,2006.08,2006.08,88.08,80,大井海岸町会,大井第一,35.5900985,139.7342683
８９Ｋ－０２５,南大井３－２６－７,ＩＣＬビル（いすずカ－ライフ）,機械泡,脚,2006.08,2006.08,89.11,80,大井海岸町会,大井第一,35.5881849,139.7346119
９１Ｋ－００５,南大井３－８－１３,ハイタウン大森Ｎｏ．５,機械泡,脚,91.06,2007.02,91.06,79,鈴ケ森町会,大井第一,35.5911936,139.7342521
９１Ｋ－０４１,南大井３－９－７,メゾン品川南,機械泡,脚,92.03,2007.02,92.03,79,鈴ケ森町会,大井第一,35.5912200,139.7355845
９４Ｋ－０１３,南大井１－２０－１２,グランイーグル南大井,機械泡,脚,94.11,2005.1,94.11,78,大井南浜町会,大井第一,35.5938784,139.7369704
９４Ｋ－０１９,南大井３－１９－１１,リバニュー大森,機械泡,壁,94.11,2003.12,2006.1,80,大井海岸町会,大井第一,35.5896585,139.7344760
９４Ｋ－０２８,南大井３－１５－３,サンシャイン　ビル,機械泡,脚,94,2005.01,95.02,80,大井海岸町会,大井第一,35.5899596,139.7350393
９５Ｋ－０２６,南大井３－４－５,スターロワイヤル大森,機械泡,脚,96.02,2005.01,96.02,79,鈴ケ森町会,大井第一,35.5916994,139.7356745
９６Ｋ－０３１,南大井３－９－９,メインステージ大森海岸,機械泡,脚,96,2007.02,97.01,79,鈴ケ森町会,大井第一,35.5910117,139.7355173
９７Ｋ－０４４,南大井３－１３－９,グランフォーレ大森,機械泡,,98.01,2007.02,98.01,79,鈴ケ森町会,大井第一,35.5905528,139.7344171
０６Ｋ－０４８,南大井３－１４－９,南大井３丁目マンション,機械泡,脚,2007.02,2007.02,2007.02,79,鈴ケ森町会,大井第一,35.5902055,139.7353470
０７Ｋ－００９,南大井３－３０－６,（仮称）品川南大井３丁目ＰＪ新築工事,機械泡,脚,2007.06,2007.06,2007.06,80,大井海岸町会,大井第一,35.5879098,139.7345883
０７Ｋ－０１８,南大井４－１５－６,ヴェローナ南大井,機械泡,脚,2007.09,2007.09,2007.09,83,南大井第４町会,大井第一,35.5943244,139.7361804
09K-023,南大井3-21-16,〔仮称〕南大井３丁目ﾏﾝｼｮﾝ,機械泡,脚,2010.02,2010.02,2010.02,80,大井海岸町会,大井第一,35.5894313,139.7343760
９４Ｋ－０３２,八潮２－６－７,国際たばこ倉庫㈱　大井倉庫,機械泡,脚,95.03,2004.12,95.03,,該当町会なし,八潮,35.5928731,139.7674059
０１Ｋ－０６０,西大井３－１６－２０,アデニウム山王,機械泡,脚,2002.03,2007.02,2002.03,105,出石町会,大井第三,35.5947296,139.7227466
０２Ｋ－０２０,西大井５－１７－１９,パークハウス西大井,機械泡,脚,2002.06,2002.06,2002.06,108,西大井五丁目伊藤町会,大井第三,35.5970015,139.7187192
０２Ｋ－０４６,西大井６－１４－１４,ビバリーホームズ中延,機械泡,脚,2002.1,2002.1,2002.1,109,西大井六丁目町会,大井第三,35.5996628,139.7171930
０３Ｋ－００５,西大井１－１－９,ＪタワーＡコート,機械泡,脚,2003.05,,,101,西大井一丁目町会,大井第二,35.6004703,139.7214090
０３Ｋ－００８,西大井６－１６－３,オーベストカーサ,機械泡,壁,2003.04,,,109,西大井六丁目町会,大井第三,35.6004690,139.7162745
０３Ｋ－０２２,西大井５－１５－１４,マイキャッスル西大井ディライトコート,機械泡,脚,2003.07,,,108,西大井五丁目伊藤町会,大井第三,35.5978861,139.7196079
０３Ｋ－０２４,西大井１－９－１１,Ｙｓ-ＣＯＵＲＴ,機械泡,脚,2003.07,,,101,西大井一丁目町会,大井第二,35.6005622,139.7222412
０３Ｋ－０７４,西大井３－１６－２５,アプリーレ大森山王,機械泡,脚,2004.03,,,105,出石町会,大井第三,35.5946855,139.7223153
０４Ｋ－００５,西大井６－２－１４,品川区立かがやき園,機械泡,直,2004.04,2004.04,2004.04,109,西大井六丁目町会,大井第三,35.6009337,139.7151793
８９Ｋ－０２２,西大井５－１７－７,グランディオーズ　　マンション,機械泡,脚,2006.08,2006.08,89.11,108,西大井五丁目伊藤町会,大井第三,35.5980996,139.7184169
８９Ｋ－０２３,西大井６－３－６,オーベル品川西大井,機械泡,脚,2006.08,2006.08,89.11,109,西大井六丁目町会,大井第三,35.6010351,139.7165645
９３Ｋ－００２,西大井２－１１－１０,ＮＴＴ大井原町社宅　東棟,機械泡,脚,93.08,2003.12,93.08,106,西大井二丁目町会,大井第三,35.5983314,139.7228055
９５Ｋ－００２,西大井６－１－３１,関東財務局荏原住宅,機械泡,脚,95.05,2004.12,95.05,159,中延６丁目町会,荏原第四,35.6009814,139.7128683
９７Ｋ－００６,西大井１－１０－１５,ベルージュ西大井,機械泡,脚,97.04,2007.02,97.04,101,西大井一丁目町会,大井第二,35.6002884,139.7228973
９７Ｋ－０１６,西大井２－５,ツインタウン西大井Ⅱ,機械泡,脚,97.06,2007.02,97.06,106,西大井二丁目町会,大井第三,35.5988855,139.7227840
９７Ｋ－０２８,西大井２－１０－１６,コーポレート西大井,機械泡,,97.09,2003.07,97.09,106,西大井二丁目町会,大井第三,35.5980130,139.7212231
９７Ｋ－０５８,西大井５－４－２,ルミネックス中延,機械泡,,98.03,2003.02,98.03,108,西大井五丁目伊藤町会,大井第三,35.5996606,139.7152582
９９Ｋ－０１４,西大井６－１６－６,ガーデンホーム西大井,機械泡,脚,99.08,2007.02,99.08,109,西大井六丁目町会,大井第三,35.6006338,139.7164581
９９Ｋ－０２７,西大井５－６－２７,三菱信託銀行大井独身寮,機械泡,脚,99.12,2004.12,99.12,108,西大井五丁目伊藤町会,大井第三,35.5986479,139.7161345
９９Ｋ－０４２,西大井２－４－４,特別養護老人ホームロイヤルサニー,機械泡,脚,2000.02,2004.12,2000.02,106,西大井二丁目町会,大井第三,35.6000826,139.7224578
０５Ｋ－０５６,西大井４－１０－１５,サンリヤン大森,機械泡,脚,2006.03,2006.03,2006.03,107,西大井四丁目町会,大井第三,35.5956734,139.7212881
０７Ｋ－０２７,西大井５－１７－２４,ブリリアンコート西大井,機械泡,脚,2008.01,2008.01,2008.01,108,西大井５丁目伊藤町会,大井第三,35.5971431,139.7183528
０７Ｋ－０４５,西大井６－１３－２０,ＺＥＳＴＹ西大井,機械泡,脚,2008.03,2008.03,2008.03,109,西大井６丁目町会,大井第三,35.6001172,139.7174228
08K-034,西大井6-18-16,ﾋﾞﾊﾞﾘｰﾎｰﾑｽﾞ中延Ⅱ,機械泡,脚,2009.03,2009.03,2009.03,109,西大井六丁目町会,大井第三,35.5999713,139.7149357
09K-014,西大井5-21-11,ステージファースト西大井壱番館,機械泡,脚,2009.11,2009.11,2009.11,108,西大井五丁目伊藤町会,大井第三,35.5964929,139.7180067
09K-018,西大井5-23-10,〔仮称〕西大井５丁目有料老人ホーム,機械泡,脚,2009.12,2009.12,2009.12,108,西大井五丁目伊藤町会,大井第三,35.5984046,139.7158446
09K-020,西大井6-17-3,〔仮称〕西大井６丁目マンション,機械泡,脚,2010.02,2010.02,2010.02,109,西大井六丁目町会,大井第三,35.6005857,139.7154268
０２Ｋ－０１８,大井４－２８－１３,クラーク大井町エターナルコート,機械泡,脚,2002.06,2002.06,2002.06,99,大井倉田町会,大井第二,35.5984029,139.7331907
００Ｋ－０５１,大井４－１８－５,ガーデンホーム大井,機械泡,脚,2001.02,2001.02,2001.02,99,大井倉田町会,大井第二,35.6010255,139.7315693
０２Ｋ－０７２,大井６－１０－２４,日本海事協会大井住宅,機械泡,脚,2003.02,2003.02,2003.02,103,大井鹿島町会,大井第三,35.5969819,139.7302144
０２Ｋ－０８３,大井４－２９－３５,ディナスカーラ大井町,機械泡,脚,2003.03,2003.03,2003.03,99,大井倉田町会,大井第二,35.5990749,139.7308170
０３Ｋ－０５４,大井５－５－２３,グローリオ大井町,機械泡,直,2004.02,,,100,大井滝王子町会,大井第二,35.5996412,139.7289296
０４Ｋ－０１０,大井５－２７－５,リリーベル西大井,機械泡,脚,2004.05,2004.05,2004.05,100,大井滝王子町会,大井第二,35.5979850,139.7269574
０４Ｋ－０１８,大井５－３－２１,メゾン・ラフィーネ,機械泡,壁,2004.06,,,100,大井滝王子町会,大井第二,35.5998539,139.7269062
０４Ｋ－０２４,大井４－２４－１８,グリフィン・大井４丁目,機械泡,脚,2004.07,,,99,大井倉田町会,大井第二,35.6002282,139.7307381
６２Ｋ－０１０,南大井５－１８－１,エンゼルハイム大森第２,機械泡,脚,2005.08,2005.08,87.09,82,大井水神町会,大井第一,35.5952689,139.7335895
６３Ｋ－０５０,大井７－１９－１,ＣＲＥＳＣＥＮＴ　１９８８,機械泡,脚,2006.08,2006.08,88.08,104,大井庚塚町会,大井第三,35.5945326,139.7254214
８９Ｋ－０２７,大井５－１０－２,大井警察署,機械泡,脚,2006.08,2006.08,89.11,100,大井滝王子町会,大井第二,35.5990566,139.7297643
９４Ｋ－００３,大井５－１３－３,ナイスアーバン大井,機械泡,脚,94.05,2003.12,94.05,100,大井滝王子町会,大井第二,35.5990229,139.7268134
９４Ｋ－０３１,大井３－２６－１２,アンビアンテ　ミリカ,機械泡,脚,95.03,2005.01,95.03,98,大井三丁目町会,大井第二,35.6004301,139.7300459
９５Ｋ－０２５,大井７－１３－１４,(有)アイル,機械泡,脚,96.02,2005.01,96.02,104,大井庚塚町会,大井第三,35.5952848,139.7268114
９５Ｋ－０３０,大井６－１８－２９,ライフビラ大井鹿島弐番館,機械泡,脚,96.03,2001.01,96.03,103,大井鹿島町会,大井第三,35.5951104,139.7303547
９５Ｋ－０３１,大井６－１８－２９,ライフビラ大井鹿島弐番館,機械泡,脚,96.03,2001.01,96.03,103,大井鹿島町会,大井第三,35.5955085,139.7309408
９６Ｋ－０４４,大井６－１３－１,ソフィア大井町,機械泡,,97.03,2001.01,97.03,103,大井鹿島町会,大井第三,35.5968353,139.7317448
９７Ｋ－０３５,大井７－６－３,大井７丁目建売,機械泡,,97.11,2007.02,97.11,104,大井庚塚町会,大井第三,35.5959927,139.7273660
９８Ｋ－００３,南大井５－１５－１１,パル南大井プルミエール,機械泡,脚,98.04,2003.12,98.04,82,大井水神町会,大井第一,35.5961121,139.7332395
９８Ｋ－０３３,南大井５－２１－１,トミンハイム南大井５丁目,機械泡,脚,98.1,2003.12,98.1,82,大井水神町会,大井第一,35.5946556,139.7322670
９９Ｋ－０１０,大井７－３－１３,グランドステージ山王,機械泡,脚,99.07,2003.12,99.07,104,大井庚塚町会,大井第三,35.5968540,139.7270760
９９Ｋ－０１７,大井６－１８－２０,細田品川区大井宅造計画,機械泡,脚,99.09,2004.01,99.09,103,大井鹿島町会,大井第三,35.5946705,139.7306336
９９Ｋ－０２５,大井５－２１－１５,アンソレイユ大井南,機械泡,脚,99.11,2007.02,99.11,100,大井滝王子町会,大井第二,35.5973235,139.7298432
９９Ｋ－０４４,南大井５－１９－２,品川区南大井複合センター,機械泡,脚,2000.02,2005.01,2000.02,82,大井水神町会,大井第一,35.5947481,139.7339445
９９Ｋ－０５５,大井５－１３－１,アールヴェール西大井,機械泡,脚,2000,2005.01,2000.03,100,大井滝王子町会,大井第二,35.5989918,139.7264987
０６Ｋ－０２９,南大井５－２２－３,南大井５丁目マンション,機械泡,壁,2006.1,2006.1,2006.1,82,大井水神町会,大井第一,35.5944129,139.7335656
０６Ｋ－０３２,大井４－２４－１８,ベルファース大井町,機械泡,脚,2006.11,2006.11,2006.11,99,大井倉田町会,大井第二,35.6000987,139.7308017
０７Ｋ－０１３,大井５－１１－４,ルーブル大井,機械泡,脚,2007.07,2007.07,2007.07,45,大井滝王子町会,大井第三,35.5987846,139.7289371
０７Ｋ－０２８,南大井５－２１－,南大井５丁目プロジェクトⅡ,機械泡,脚,2008.01,2008.01,2008.01,82,大井水神町会,大井第一,35.5944129,139.7326174
09K-012,大井5-13-8,アトラス品川大井,機械泡,脚,2009.1,2009.1,2009.1,100,大井滝王子町会,大井第二,35.5988829,139.7272997
０１Ｋ－０２０,南大井１－５－８,リバーフロント南大井,機械泡,脚,2001.08,2007.02,2001.08,78,大井南浜町会,大井第一,35.5971669,139.7395876
０１Ｋ－０３６,東大井２－２４－９,ネオマイム東大井ｽﾃｰｼｮﾝﾌﾟﾘｯﾂ,機械泡,脚,2001.11,2007.02,2001.12,77,北浜川仲町会,大井第一,35.5979818,139.7389337
０１Ｋ－０５７,勝島１－７－７,JR貨物ルネス勝島,機械泡,脚,2002.03,2007.02,2002.03,91,勝島町会,大井第一,35.5980798,139.7433125
００Ｋ－０４０,南大井４－５－４,グランド・ガーラ南大井,機械泡,脚,2000.11,2000.11,2000.11,83,南大井第四町会,大井第一,35.5975852,139.7374227
０２Ｋ－０４１,東大井３－１８－１４,エクセルダイヤ東大井,機械泡,脚,2002.09,2002.09,2002.09,76,北浜川西町会,大井第一,35.5992852,139.7382876
０２Ｋ－０６０,南大井４－１１－４,デュオ・スカーラ南大井,機械泡,脚,2002.12,2002.12,2002.12,83,南大井第四町会,大井第一,35.5954445,139.7365032
０２Ｋ－０６４,南大井５－１３－５,ワールドパレス南大井,機械泡,脚,2003.02,2003.02,2003.02,82,大井水神町会,大井第一,35.5959880,139.7344968
０２Ｋ－０８９,東大井２－７－３,クレール品川,機械泡,脚,2003.03,,,74,鮫洲南町会,大井第一,35.6010429,139.7417608
０３Ｋ－０２９,南大井４－６－７,日神パレステージ南大井,機械泡,壁,2003.08,,,83,南大井第四町会,大井第一,35.5968050,139.7370206
０３Ｋ－０４１,南大井５－１２－１０,パピヨン南大井,機械泡,脚,2003,,,84,大井寺下町会,大井第一,35.5961558,139.7348580
０３Ｋ－０４２,勝島２－１,大井競馬場１号スタンド,機械泡,壁,2003.12,,,91,勝島町会,大井第一,35.5945526,139.7419542
０３Ｋ－０７１,東大井３－２７－５,アイディ品川,機械泡,脚,2004.03,,,76,北浜川西町会,大井第一,35.5990517,139.7381712
０３Ｋ－０７２,南大井５－１３－３,ガーデンホームズ大井水神公園,機械泡,壁,2004.03,,,82,大井水神町会,大井第一,35.5960552,139.7342433
０４Ｋ－０１２,勝島１－７,日本貨物鉄道㈱勝島住宅Ａ棟,機械泡,脚,2004.05,2004.05,2004.05,91,勝島町会,大井第一,35.5978715,139.7433297
０４Ｋ－０４２,南大井５－１０－１６,アビタシオン,機械泡,脚,2004.11,,,84,大井寺下町会,大井第一,35.5968271,139.7349679
０５Ｋ－０１９,東大井２－１４－１,グランドステージ大井町,機械泡,脚,2005.08,2005.08,2005.08,75,北浜川東町会,大井第一,35.6006216,139.7400399
６２Ｋ－００８,南大井１－８－１８,パークサイド南大井,機械泡,脚,2005.08,2005.08,87.09,78,大井南浜町会,大井第一,35.5956199,139.7393338
６２Ｋ－００９,南大井１－１４－２,ハイホーム南大井,機械泡,脚,2005.08,2005.08,87.09,78,大井南浜町会,大井第一,35.5954599,139.7376703
６２Ｋ－０１６,東大井２－１６－４,藤和東大井コープ,機械泡,脚,92,2003.12,87.09,75,北浜川東町会,大井第一,35.5999005,139.7412009
８９Ｋ－０４４,南大井４－７－１２,南大井九重ハイツ,機械泡,脚,2006.08,2006.08,89.11,83,南大井第四町会,大井第一,35.5964435,139.7361570
９０Ｋ－０１３,東大井２－１７－９,大石電機工業㈱本社,機械泡,脚,90.11,2004.12,2005.03,75,北浜川東町会,大井第一,35.5989346,139.7406966
９２Ｋ－００６,勝島１－３－１０,ボルボ自動車,機械泡,脚,92.1,2004.12,92.1,91,勝島町会,大井第一,35.5988312,139.7449686
９３Ｋ－０２７,南大井１－１３－５,東急南大井ビル,機械泡,脚,94.02,2005.1,94.02,83,南大井第四町会,大井第一,35.5947916,139.7368354
９４Ｋ－００２,南大井４－１２－７,紺野,機械泡,脚,94.04,2003.12,94.04,83,南大井第四町会,大井第一,35.5957975,139.7361817
９４Ｋ－０１０,東大井３－１７－４,プリメイル品川,機械泡,脚,1994.08,2003.12,94.08,76,北浜川西町会,大井第一,35.6008298,139.7388713
９４Ｋ－０１６,南大井１－１７－１２,ステージ南大井グランドパーク,機械泡,脚,94.11,2003.12,94.11,78,大井南浜町会,大井第一,35.5949261,139.7387267
９５Ｋ－０２７,南大井１－１－１１,クリオ南大井,機械泡,脚,98,2004.12,96.02,83,南大井第四町会,大井第一,35.5971705,139.7378494
９５Ｋ－０３７,勝島１－３－１８,警視庁勝島住宅前,機械泡,脚,96.03,2001.01,96.03,91,勝島町会,大井第一,35.5982745,139.7449713
