消火器番号,設置場所,目標,種別,形式,製造年月,機能年月,格納箱年月,町会,町会名,管轄,緯度,経度
４７Ｂ－１６３,南大井３－１５－８,クレセント大森,強化液,ア,2001,2007.02,2006.05,80,大井海岸町会,大井第一,35.5897294,139.7351896
４７Ｂ－１６４,南大井３－２０－１９,ライオンズマンション第５,強化液,ウ,2004.07,2004.07,2005.03,80,大井海岸町会,大井第一,35.5893405,139.7354584
４７Ｂ－１６９,南大井３－２５－２,コクヨ社宅,強化液,ウ,2004.07,2004.07,91.06,80,大井海岸町会,大井第一,35.5889544,139.7344519
４７Ｂ－１７１,南大井３－３３－５,渋澤ビル,強化液,ウ,92.04,2003.07,94.09,80,大井海岸町会,大井第一,35.5876240,139.7343948
４７Ｂ－１７２,南大井３－３０－１０,とり銀ちゃん,強化液,ウ,2005.02,2005.02,95.09,80,大井海岸町会,大井第一,35.5877524,139.7341395
４９Ｂ－１２３,南大井１－１９－１０,レオパレス２１,強化液,ウ,2004.07,2004.07,2005.02,78,大井南浜町会,大井第一,35.5937356,139.7374342
４９Ｂ－１２４,南大井１－１８－７,内田タクシ－,強化液,ウ,2003.07,2003.07,89.11,78,大井南浜町会,大井第一,35.5938921,139.7381770
４９Ｂ－１４８,南大井２－２－３,鈴木宅,強化液,ウ,2007.03,2007.03,88.07,79,鈴ケ森町会,大井第一,35.5935396,139.7376792
４９Ｂ－１５６,南大井３－６－３,ライオンズマンション,強化液,ウ,2004.07,2004.07,85.08,79,鈴ケ森町会,大井第一,35.5923454,139.7343220
４９Ｂ－１６２,南大井３－１１－１４,㈱興恵,強化液,ウ,2004.07,2004.07,87.03,79,鈴ケ森町会,大井第一,35.5906468,139.7347310
４９Ｂ－１６４,南大井４－２０－５,鈴木ビル,強化液,ウ,2003.07,2003.07,90.11,79,鈴ケ森町会,大井第一,35.5929493,139.7360097
４９Ｂ－１６８,南大井２－９－３,㈱初田製作所,強化液,ウ,2007.03,2007.03,2002.08,79,鈴ケ森町会,大井第一,35.5909335,139.7363883
４９Ｂ－１６９,南大井２－１２－１,大森パークハイツ,強化液,ウ,2003.07,2003.07,95.09,80,大井海岸町会,大井第一,35.5880891,139.7361068
４９Ｂ－１７１,南大井３－１６－３,オフィスベルメイト,強化液,ウ,2004.07,2004.07,95.09,80,大井海岸町会,大井第一,35.5902143,139.7341047
４９Ｂ－１７８,南大井３－３１－１１,小公園,強化液,ウ,97,2003.03,2003.04,80,大井海岸町会,大井第一,35.5876724,139.7347660
４９Ｂ－１７９,南大井３－３１－１１,小公園,強化液,ウ,92.12,2000.05,2004.08,80,大井海岸町会,大井第一,35.5876783,139.7346922
４９Ｂ－１９６,南大井５－２３－８,風呂屋,強化液,ウ,2003.07,2003.07,89.11,82,大井水神町会,大井第一,35.5937950,139.7341092
５８Ｂ－０１５,南大井３－２５－１０,二村化学工業,強化液,ウ,2003.07,2003.07,94.09,80,大井海岸町会,大井第一,35.5885106,139.7347261
９０Ｂ－００４,南大井３－２５－１４,喫茶サムズ,強化液,ウ,2000,2007.02,90.1,80,大井海岸町会,大井第一,35.5886337,139.7341572
４７Ｃ－２１７,中延６－１０－１３,サクサ,強化液 撤去2008.5,ウ,2005.08,2005.08,98.08,159,中延６丁目町会,荏原第四,35.6008787,139.7119070
４７Ｂ－３９６,西大井４－１０－１６,荒井方,強化液,ウ,2006.07,2006.07,85.12,107,西大井四丁目町会,大井第三,35.5957925,139.7209603
４７Ｂ－３８０,西大井２－１１－１６,倉本宅,強化液,ア,2005.08,2005.08,89.11,106,西大井二丁目町会,大井第三,35.5986380,139.7227576
４７Ｂ－３８６,西大井３－１５－１３,太田宅,強化液,ウ,91,2000.11,90.06,105,出石町会,大井第三,35.5950532,139.7221830
４７Ｂ－３９５,西大井４－５－２５,羽田野宅,強化液,ウ,2004.07,2004.07,85.02,107,西大井四丁目町会,大井第三,35.5969874,139.7216142
４７Ｂ－３９８,西大井４－７－１０,八木荘,強化液,ア,2005.08,2005.08,87.03,107,西大井四丁目町会,大井第三,35.5970837,139.7202715
４７Ｂ－３９９,西大井４－１１－２７,石井宅,強化液,ウ,92.07,2007.02,88.1,107,西大井四丁目町会,大井第三,35.5952115,139.7196232
４７Ｂ－４０９,西大井６－１０－６,木村宅,強化液,ウ,2005.08,2005.08,89.11,109,西大井六丁目町会,大井第三,35.6009593,139.7199739
４７Ｂ－４１１,西大井６－１１－１１,鈴木宅,強化液,ウ,2005.08,2005.08,96.1,109,西大井六丁目町会,大井第三,35.6000100,139.7189993
４７Ｂ－４１５,西大井６－３－６,オーベル品川西大井,強化液,ウ,2002.05,2002.05,87.11,109,西大井六丁目町会,大井第三,35.6007868,139.7164852
４７Ｂ－４２０,西大井５－１３－１１,北島宅,強化液,ウ,2004.07,2004.07,85.12,108,西大井五丁目伊藤町会,大井第三,35.5990688,139.7201979
４７Ｂ－４２５,西大井５－１７－１,伊藤町住宅,強化液,ウ,2005.08,2005.08,90.11,108,西大井五丁目伊藤町会,大井第三,35.5984341,139.7180778
４７Ｂ－４３０,西大井５－４－５,佐藤宅,強化液,ウ,2005.08,2005.08,89.11,108,西大井五丁目伊藤町会,大井第三,35.5994061,139.7152632
４７Ｂ－４３２,西大井５－２５－１６,一条宅,強化液,ウ,2005.08,2005.08,2005.06,108,西大井五丁目伊藤町会,大井第三,35.5976133,139.7146434
４７Ｃ－０３２,西大井６－１－１５,上原宅,強化液,ア,90.04,2007.02,89.11,166,二葉４丁目町会,荏原第四,35.6009676,139.7146446
４７Ｃ－２０９,西大井６－１－２９,財団法人瑞穂協会　駐車場,強化液,ウ,90.06,2007.02,80.08,159,中延６丁目町会,荏原第四,35.6004143,139.7137885
４８Ｂ－１３０,西大井１－１０－１７,富平宅,強化液,ウ,2005.08,2005.08,88.07,101,西大井一丁目町会,大井第二,35.6002426,139.7227274
４８Ｂ－１４０,西大井２－５－１１,田中宅,強化液,ウ,2005.08,2005.08,89.03,106,西大井二丁目町会,大井第三,35.5991013,139.7227990
４８Ｂ－１４８,西大井３－１５－７,林宅前,強化液,ア,1987,2007.02,93.05,105,出石町会,大井第三,35.5954568,139.7228206
４８Ｂ－１５０,西大井３－１５－３２,小北宅,強化液,ウ,2004.07,2004.07,89.09,105,出石町会,大井第三,35.5955062,139.7216326
４８Ｂ－１５１,西大井２－８－２,沖野宅,強化液,ア,2004.07,2004.07,85.12,107,西大井四丁目町会,大井第三,35.5984755,139.7203676
４８Ｂ－１５４,西大井４－７－１４,中島宅,強化液,ウ,90.04,2003.12,2006.03,107,西大井四丁目町会,大井第三,35.5973250,139.7199057
４８Ｂ－１５６,西大井４－１３－９,国井宅,強化液,ウ,2004.07,2004.07,2003.06,107,西大井四丁目町会,大井第三,35.5961463,139.7188594
４８Ｂ－１６６,西大井６－１３－１０,谷垂公園,強化液,ウ,2003.07,2003.07,92.02,109,西大井六丁目町会,大井第三,35.5999467,139.7180827
４８Ｂ－１６９,西大井６－１４－１６,ヨーコーハイツ,強化液,ウ,2007.03,2007.03,2007.02,109,西大井六丁目町会,大井第三,35.5997117,139.7168006
４８Ｂ－１７０,西大井６－１６－１４,上岡宅,強化液,ア,2005.08,2005.08,87.04,109,西大井六丁目町会,大井第三,35.6000922,139.7160334
４８Ｂ－１７２,西大井５－４－１４,東宅,強化液,ア,2004.07,2004.07,91.02,108,西大井五丁目伊藤町会,大井第三,35.5990273,139.7146058
４８Ｂ－１７３,西大井５－７－２４,西大井福祉ホーム,強化液,ウ,2004.07,2004.07,91.08,108,西大井五丁目伊藤町会,大井第三,35.5991351,139.7165981
４８Ｂ－１７４,西大井５－８－１０,津田宅,強化液,ア,90.04,2007.02,89.07,108,西大井五丁目伊藤町会,大井第三,35.5988654,139.7182216
４８Ｂ－１７９,西大井５－１４－１,吟風プラスチック工芸,強化液,ウ,2006.06,2006.06,2007.02,108,西大井五丁目伊藤町会,大井第三,35.5983913,139.7199151
４８Ｂ－１８１,西大井５－２１－１０,白鳥宅,強化液,ウ,2007.02,2007.02,90.11,108,西大井五丁目伊藤町会,大井第三,35.5969001,139.7183755
４８Ｂ－１８２,西大井５－１９－２,高野運送店,強化液,ウ,2005.08,2005.08,91.1,108,西大井五丁目伊藤町会,大井第三,35.5961525,139.7181209
４８Ｂ－１８３,西大井５－２１－２１,野村宅,強化液,ウ,2004.07,2004.07,82.05,108,西大井五丁目伊藤町会,大井第三,35.5976883,139.7176106
４８Ｂ－１８５,西大井５－５－１４,富士見台中学校,強化液,ウ,2006.06,2006.06,2005.06,108,西大井五丁目伊藤町会,大井第三,35.5987359,139.7157904
５８Ｂ－０３４,西大井４－１６－１４,清水宅,強化液,ウ,2003.07,2003.07,90.11,107,西大井四丁目町会,大井第三,35.5950142,139.7187145
６３Ｂ－０１２,西大井６－５－５,西大井六丁目防災活動広場,強化液,ウ,2006.08,2006.08,89.02,109,西大井六丁目町会,大井第三,35.6010615,139.7186082
９１Ｂ－００８,西大井４－５－２４,城野宅,強化液,ウ,91,2007.02,91.12,107,西大井四丁目町会,大井第三,35.5968424,139.7218127
９１Ｂ－００９,西大井５－１７－９,箕輪宅,強化液,ウ,92,2007.02,91.12,108,西大井五丁目伊藤町会,大井第三,35.5973981,139.7187977
４７Ｂ－４０３,西大井４－１６－１９,中根宅,強化液,ウ,2005.08,2005.08,89.11,107,西大井四丁目町会,大井第三,35.5952083,139.7182251
４７Ｂ－４１６,西大井６－１６－１０,スズキ金型技研,強化液 撤去2009.11,ウ,92.07,2007.02,93.06,109,西大井六丁目町会,大井第三,35.6002115,139.7167570
４７Ｂ－２０７,西大井３－１６－３,新田宅,強化液,ウ,2005.03,2005.03,84.1,105,出石町会,大井第三,35.5950802,139.7235030
４７Ｂ－２４６,大井４－２２－１４,小野宅,強化液,ウ,2003.07,2003.07,89.07,99,大井倉田町会,大井第二,35.6001647,139.7335764
４７Ｂ－２５４,大井４－２９－１７,パラシオン脇,強化液,イ,2003.02,2003.02,87.03,99,大井倉田町会,大井第二,35.5984987,139.7328846
４７Ｂ－２６０,大井４－１８－２,玄田宅,強化液,イ,2005.08,2005.08,2004.07,99,大井倉田町会,大井第二,35.6007067,139.7312722
４７Ｂ－２６１,大井４－２５－４,新里宅,強化液,ウ,2003.07,2003.07,2004.07,99,大井倉田町会,大井第二,35.5999640,139.7312948
４７Ｂ－２６４,大井４－２４－１９,田元宅,強化液,ウ,2003.08,2003.08,88.11,99,大井倉田町会,大井第二,35.6003417,139.7307047
４７Ｂ－２６６,大井４－２９－３６,明石宅,強化液,ウ,2004.07,2004.07,88.1,99,大井倉田町会,大井第二,35.5993416,139.7306945
４７Ｂ－２６７,大井６－６－６,宮川宅,強化液,ウ,2003.07,2003.07,94.08,103,大井鹿島町会,大井第三,35.5969736,139.7327259
４７Ｂ－２６８,大井６－６－１,井　宅,強化液,ウ,2005.08,2005.08,98.1,103,大井鹿島町会,大井第三,35.5972883,139.7330808
４７Ｂ－２６９,大井６－１４－１２,白井宅,強化液,ウ,2003.07,2003.07,88.09,103,大井鹿島町会,大井第三,35.5962245,139.7326822
４７Ｂ－２７１,大井６－９－１８,長谷川宅,強化液,ウ,2005.08,2005.08,2002.06,103,大井鹿島町会,大井第三,35.5970881,139.7321667
４７Ｂ－２７４,大井６－１５－５,須崎宅,強化液,ウ,2005.08,2005.08,89.11,103,大井鹿島町会,大井第三,35.5962229,139.7316620
４７Ｂ－２７５,大井６－１７－１０,森田宅,強化液,ウ,2004.07,2004.07,87.03,103,大井鹿島町会,大井第三,35.5945256,139.7315874
４７Ｂ－２７７,大井６－１８－１７,小野宅,強化液,ウ,2003.07,2003.07,96.06,103,大井鹿島町会,大井第三,35.5949988,139.7307283
４７Ｂ－２８１,大井６－１－３２,大井第一小学校（南）,強化液,ウ,2005.08,2005.08,94.07,103,大井鹿島町会,大井第三,35.5982318,139.7307007
４７Ｂ－２８２,大井６－１１－５,大平宅,強化液,ウ,2003.07,2003.07,86.1,103,大井鹿島町会,大井第三,35.5967683,139.7306099
４７Ｂ－２８３,大井６－１０－２４,三井信託銀行大井住宅,強化液,ウ,2005.08,2005.08,2004.06,103,大井鹿島町会,大井第三,35.5972615,139.7300799
４７Ｂ－２８６,大井７－４－２１,水野宅,強化液,ウ,2005.08,2005.08,2002.06,103,大井庚塚町会,大井第三,35.5959506,139.7295661
４７Ｂ－３２３,大井３－２２－１３,やまなか公園,強化液,ウ,98,2003.02,87.03,98,大井三丁目町会,大井第二,35.6009718,139.7275895
４７Ｂ－３２５,大井５－５－１２,谷宅,強化液,ウ,2003.07,2003.07,93.1,100,大井滝王子町会,大井第二,35.5996174,139.7296299
４７Ｂ－３２７,大井５－１０－８,中出宅,強化液,ウ,2003.07,2003.07,2003.07,100,大井滝王子町会,大井第二,35.5986700,139.7300359
４７Ｂ－３３１,大井５－１９－５,滝王子公園,強化液,ウ,2005.08,2005.08,88.07,100,大井滝王子町会,大井第二,35.5984100,139.7291635
４７Ｂ－３３３,大井５－１１－２１,谷内宅,強化液,イ,2003.07,2003.07,2002.06,100,大井滝王子町会,大井第二,35.5987241,139.7286122
４７Ｂ－３３４,大井５－２２－６,戸田宅（内山）,強化液,ア,2003.07,2003.07,87.03,100,大井滝王子町会,大井第二,35.5976467,139.7288245
４７Ｂ－３３６,大井５－５－３１,弥生ハイツ,強化液,ウ,2003.07,2003.07,89.11,100,大井滝王子町会,大井第二,35.5997756,139.7282297
４７Ｂ－３３９,大井７－４－４９,駐車場,強化液,ウ,2005.08,2005.08,87.03,104,大井庚塚町会,大井第三,35.5972142,139.7274051
４７Ｂ－３４４,大井５－１６－１８,日高宅,強化液,ウ,2005.08,2005.08,2005.09,100,大井滝王子町会,大井第二,35.5985773,139.7264146
４７Ｂ－３５１,大井７－４－３５,杉山宅,強化液,ウ,2005.08,2005.08,85.01,104,大井庚塚町会,大井第三,35.5958294,139.7281263
４７Ｂ－３５６,大井７－１３－１,佐野宅,強化液,ウ,2006.08,2006.08,88.07,104,大井庚塚町会,大井第三,35.5958100,139.7265688
４７Ｂ－３５８,大井７－１４－１２,高橋宅,強化液,ア,92.11,2005.01,96.09,104,大井庚塚町会,大井第三,35.5947138,139.7266311
４７Ｂ－３６１,大井７－９－９,高峰荘　裏,強化液,ウ,2005.08,2005.08,89.11,104,大井庚塚町会,大井第三,35.5965310,139.7257488
４７Ｂ－３６３,大井７－１７－８,清水宅,強化液,ア,2005.08,2005.08,87.03,104,大井庚塚町会,大井第三,35.5950450,139.7252190
４７Ｂ－３６７,西大井１－１２－１,北野宅,強化液,ウ,1993,2000.1,2000.1,101,西大井一丁目町会,大井第二,35.6009370,139.7246302
４７Ｂ－３６８,西大井１－１１－６,五味宅,強化液,ウ,2005.08,2005.08,2003.07,101,西大井一丁目町会,大井第二,35.6009381,139.7241521
４７Ｂ－３７２,西大井２－１９－９,坂本宅,強化液,ウ,2005.08,2005.08,2000.06,106,西大井二丁目町会,大井第三,35.5999180,139.7257262
４７Ｂ－３７６,西大井２－１７－１２,横戸宅,強化液,ウ,2005.08,2005.08,2000.06,106,西大井二丁目町会,大井第三,35.5996388,139.7243272
４７Ｂ－３７７,西大井２－２２－１６,力川宅,強化液,ウ,2005.08,2005.08,98.06,106,西大井二丁目町会,大井第三,35.5983028,139.7240625
４７Ｂ－３７８,西大井２－１６－１１,関宅,強化液,ア,2003.07,2003.07,87.03,106,西大井二丁目町会,大井第三,35.5990428,139.7237686
４７Ｂ－３８８,西大井３－１６－１５,松本宅,強化液,ウ,91,2003.12,2006.09,105,出石町会,大井第三,35.5944042,139.7239927
４７Ｂ－３９１,西大井３－１３－１３,シエソワ山王,強化液,ウ,2005.08,2005.08,89.09,105,出石町会,大井第三,35.5957551,139.7231715
４８Ｂ－０４０,大井４－１８－９,佐竹荘,強化液,ウ,2005.08,2005.08,2004.07,99,大井倉田町会,大井第二,35.6009448,139.7321255
４８Ｂ－０４３,大井４－２２－３１,西光寺,強化液,ウ,2003.07,2003.07,90.11,99,大井倉田町会,大井第二,35.6005696,139.7325808
４８Ｂ－０４５,大井４－２５－１２,野々宮宅,強化液,ウ,90.1,2003.12,90.1,99,大井倉田町会,大井第二,35.5996075,139.7325582
４８Ｂ－０４７,大井４－２６－２,武田宅,強化液,ウ,2004.07,2004.07,85.12,99,大井倉田町会,大井第二,35.5991009,139.7337029
４８Ｂ－０４８,大井４－２１－１０,三石宅,強化液,ウ,2003.07,2003.07,89.11,99,大井倉田町会,大井第二,35.5995803,139.7339717
４８Ｂ－０５２,大井６－９－１４,高橋宅,強化液,ウ,2005.08,2005.08,88.07,103,大井鹿島町会,大井第三,35.5978593,139.7325316
４８Ｂ－０５６,大井６－９－４,海野宅,強化液,ウ,2004.07,2004.07,85.12,103,大井鹿島町会,大井第三,35.5979846,139.7311656
４８Ｂ－０６０,大井６－１１－１２,品川歴史館,強化液,ウ,2005.02,2005.02,2005.02,103,大井鹿島町会,大井第三,35.5966958,139.7297919
４８Ｂ－０６３,大井６－１４－６,中村宅,強化液,ウ,2005.08,2005.08,89.11,103,大井鹿島町会,大井第三,35.5966811,139.7323006
４８Ｂ－０６５,大井６－１６－１０,鈴木宅,強化液,ウ,2005.08,2005.08,89.11,103,大井鹿島町会,大井第三,35.5955460,139.7316582
４８Ｂ－０６７,大井６－１８－３６,鹿島神社,強化液,ウ,2005.08,2005.08,89.11,103,大井鹿島町会,大井第三,35.5952577,139.7300511
４８Ｂ－０７０,大井７－２７－６,佐野宅,強化液,ウ,2004.07,2004.07,89.11,103,大井鹿島町会,大井第三,35.5953154,139.7292611
４８Ｂ－１０３,大井５－１－１６,大井産婦人科,強化液,ウ,2005.08,2005.08,89.11,100,大井滝王子町会,大井第二,35.5991748,139.7272998
４８Ｂ－１０６,大井５－９－５,船田宅,強化液,ウ,2005.08,2006.12,88.11,100,大井滝王子町会,大井第二,35.5992149,139.7305223
４８Ｂ－１０８,大井５－１４－２,鳥井宅,強化液,ウ,2005.08,2005.08,89.11,100,大井滝王子町会,大井第二,35.5989270,139.7258474
４８Ｂ－１１０,大井５－２１－１２,皆川宅,強化液,ウ,2005.08,2005.08,86.08,100,大井滝王子町会,大井第二,35.5975551,139.7300769
４８Ｂ－１１２,大井７－３－３,キョーエイハイツ大井,強化液,ウ,2005.08,2005.08,2002.07,104,大井庚塚町会,大井第三,35.5973876,139.7264724
４８Ｂ－１１５,大井７－４－１６,大森鹿島ｶﾞｰﾃﾞﾝﾊｳｽ,強化液,ウ,2006.12,2006.12,96.01,104,大井庚塚町会,大井第三,35.5964428,139.7296272
４８Ｂ－１１６,大井７－１２－１３,上野宅,強化液,ウ,2004.07,2004.07,85.12,104,大井庚塚町会,大井第三,35.5954569,139.7254714
４８Ｂ－１１７,大井７－１１－４,木村宅,強化液,ウ,2003.07,2003.07,89.11,104,大井庚塚町会,大井第三,35.5959754,139.7253489
４８Ｂ－１１８,大井７－１４－６,広野宅,強化液,ウ,2003.07,2003.07,89.11,104,大井庚塚町会,大井第三,35.5950851,139.7271164
４８Ｂ－１２１,西大井３－１１－３,津野宅左側路上,強化液,ウ,92.06,2007.02,89.09,105,出石町会,大井第三,35.5952999,139.7244329
４８Ｂ－１２４,大井７－２３－１０,久保田宅,強化液,ウ,2004.07,2004.07,2006.08,104,大井庚塚町会,大井第三,35.5947885,139.7279377
４８Ｂ－１２５,西大井１－１６－１５,唐澤宅,強化液,ウ,90,2004.01,89.11,101,西大井一丁目町会,大井第二,35.6005688,139.7267012
４８Ｂ－１２９,西大井１－８－９,小林宅,強化液,ウ,2005.08,2005.08,89.11,101,西大井一丁目町会,大井第二,35.6007353,139.7233028
４８Ｂ－１３３,西大井１－１５－１,山田宅,強化液,ウ,2003.07,2003.07,85.12,101,西大井一丁目町会,大井第二,35.6010437,139.7252124
４８Ｂ－１４４,西大井３－１－５,水神社裏側路上,強化液,ア,2005.08,2005.08,88.07,105,出石町会,大井第三,35.5979012,139.7237326
４８Ｂ－１８７,大井５－１１－１２,杉山宅,強化液,ウ,90.04,2007.02,2006.08,100,大井滝王子町会,大井第二,35.5985945,139.7292832
４９Ｂ－１９４,南大井５－２１－３,トミンハイム南大井５丁目,強化液,ウ,90.04,2007.02,96.04,82,大井水神町会,大井第一,35.5946284,139.7326406
４９Ｂ－１９５,南大井５－２０－７,うなぎ清川,強化液,ウ,2003.07,2003.07,86.06,82,大井水神町会,大井第一,35.5945871,139.7331922
５８Ｂ－０２７,大井４－２２－３１,高品歯科脇細通り右,強化液,ウ,2004.07,2004.07,2002.08,99,大井倉田町会,大井第二,35.6006148,139.7323908
５８Ｂ－０２８,大井５－２２－１４,滝王子町会会館,強化液,ウ,2003.07,2003.07,88.12,100,大井滝王子町会,大井第二,35.5967116,139.7295383
５８Ｂ－０３０,大井６－１５－２１,ケヤキ　ハイツ,強化液,ウ,2003.07,2003.07,93.09,103,大井鹿島町会,大井第三,35.5961573,139.7312073
５８Ｂ－０３１,大井７－４－４１,石川宅,強化液,ウ,2003.07,2003.07,92.02,104,大井庚塚町会,大井第三,35.5963649,139.7276410
５８Ｂ－０３３,西大井２－１３－４,平井宅,強化液,ウ,2003.07,2003.07,90.11,106,西大井二丁目町会,大井第三,35.5989211,139.7231887
８９Ｂ－０４３,大井５－１５－１６,カーザ西村,強化液,ウ,90.03,2001.01,90.03,100,大井滝王子町会,大井第二,35.5985757,139.7254813
８９Ｂ－０５０,大井７－２６－８,秋豊荘,強化液,ウ,90.03,2001.01,90.03,104,大井庚塚町会,大井第三,35.5950893,139.7289612
８９Ｂ－０５１,西大井３－４－１４,西大井３丁目防災活動広場,強化液,ウ,90.03,2001.01,2004.04,105,出石町会,大井第三,35.5968394,139.7239451
