 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"6,253","2,728","31,736","10,977","1,161","2,728","6,362","10,974","5,092",-,"25,374",3
,361.0%,255.9%,226.4%,193.1%,487.8%,255.9%,319.2%,193.2%,340.8%,-,211.0%,50.0%
印パ･ペルシャ･ベンガル,-,-,"23,426",870,-,-,"18,538",861,-,-,"4,888",9
,-,-,32.4%,19.5%,-,-,47.6%,19.5%,-,-,14.7%,30.0%
東南アジア,"124,392","22,628","778,388","128,381","36,290","22,146","219,659","126,567","88,102",482,"558,729","1,814"
,118.2%,106.5%,111.2%,93.8%,131.8%,106.3%,116.7%,94.0%,113.4%,113.7%,109.1%,82.8%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"11,832","4,922","81,383","31,087","3,353","4,835","23,476","30,213","8,479",87,"57,907",874
,93.5%,95.8%,105.4%,93.1%,98.9%,96.9%,108.8%,93.5%,91.6%,58.4%,104.0%,82.5%
中国(香港含む),"70,097","39,257","536,944","329,645","15,964","39,152","104,459","328,314","54,133",105,"432,485","1,331"
,84.1%,89.2%,93.3%,111.4%,90.3%,89.4%,85.7%,111.4%,82.5%,58.3%,95.3%,94.7%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"22,392","22,050","167,136","152,611","11,517","20,275","92,335","139,665","10,875","1,775","74,801","12,946"
,86.1%,101.6%,101.9%,103.9%,79.6%,103.1%,102.2%,103.4%,94.3%,87.4%,101.5%,110.0%
内航定期計,"16,086","4,492","110,294","26,327","8,264","2,891","57,143","16,068","7,822","1,601","53,151","10,259"
,96.1%,112.5%,101.4%,112.1%,100.2%,143.1%,104.4%,120.1%,92.1%,81.1%,98.3%,101.6%
北海道,"5,713",-,"40,716","1,245","3,032",-,"21,380",405,"2,681",-,"19,336",840
,86.2%,-,95.0%,66.1%,89.8%,-,96.2%,81.3%,82.6%,-,93.7%,60.6%
東北,"3,300","1,296","24,142","7,424","1,365","1,216","11,505","6,555","1,935",80,"12,637",869
,102.3%,92.9%,112.6%,94.8%,112.9%,94.6%,119.0%,90.1%,95.9%,72.7%,107.3%,155.2%
関東,-,-,93,90,-,-,93,-,-,-,-,90
,-,-,-,-,-,-,-,-,-,-,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,204","1,157","7,848","5,632",171,"1,155",881,"5,321","1,033",2,"6,967",311
,91.8%,233.7%,79.8%,112.9%,1068.8%,233.8%,77.5%,106.7%,79.8%,200.0%,80.1%,31100.0%
近畿,467,520,"2,663","3,787",28,520,180,"3,787",439,-,"2,483",-
,68.7%,229.1%,83.6%,462.4%,31.8%,379.6%,54.2%,760.4%,74.2%,-,87.0%,-
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,412",-,"14,608",-,"1,232",-,"7,396",-,"1,180",-,"7,212",-
,108.2%,-,97.6%,-,105.2%,-,98.5%,-,111.4%,-,96.6%,-
沖縄,"2,990","1,519","20,224","8,149","2,436",-,"15,708",-,554,"1,519","4,516","8,149"
,111.9%,106.0%,122.4%,102.5%,102.0%,-,113.3%,-,195.8%,106.0%,170.4%,104.2%
内航不定期,"6,306","17,558","56,842","126,284","3,253","17,384","35,192","123,597","3,053",174,"21,650","2,687"
,68.1%,99.2%,103.0%,102.4%,52.3%,98.5%,98.9%,101.6%,100.4%,300.0%,110.3%,160.8%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
