"年度[西暦]","会社名","路線名","駅名","定期[千人]","普通[千人]"
2015,"東京地下鉄（株）","南北線","六本木一丁目",7364,5180
2015,"東京地下鉄（株）","南北線","溜池山王",4343,2861
2015,"都営地下鉄","浅草線","高輪台",1533,1112
2015,"都営地下鉄","浅草線","泉岳寺",20238,16209
2015,"都営地下鉄","浅草線","三田",10663,7934
2015,"都営地下鉄","浅草線","大門",9901,8746
2015,"都営地下鉄","浅草線","新橋",9065,7821
2015,"都営地下鉄","三田線","白金台",942,809
2015,"都営地下鉄","三田線","白金高輪",2492,2128
2015,"都営地下鉄","三田線","三田",10878,7489
2015,"都営地下鉄","三田線","芝公園",3304,2141
2015,"都営地下鉄","三田線","御成門",4770,2931
2015,"都営地下鉄","三田線","内幸町",4527,3092
2015,"都営地下鉄","大江戸線","汐留",5020,4525
2015,"都営地下鉄","大江戸線","大門",12031,10889
2015,"都営地下鉄","大江戸線","赤羽橋",3479,3439
2015,"都営地下鉄","大江戸線","麻布十番",2950,3867
2015,"都営地下鉄","大江戸線","六本木",8078,10564
2015,"都営地下鉄","大江戸線","青山一丁目",6863,6918
2015,"私鉄","京浜急行","泉岳寺",17677,15495
2015,"私鉄","京浜急行","品川",27280,22184
2015,"私鉄","東京モノレール","モノレール浜松町",7231,12364
2015,"私鉄","ゆりかもめ","新橋",3089,9151
2015,"私鉄","ゆりかもめ","汐留",287,1264
2015,"私鉄","ゆりかもめ","竹芝",158,689
2015,"私鉄","ゆりかもめ","日の出",77,336
2015,"私鉄","ゆりかもめ","芝浦ふ頭",403,495
2015,"私鉄","ゆりかもめ","お台場海浜公園",1046,2115
2015,"私鉄","ゆりかもめ","台場",523,3827
2016,"ＪＲ線",,"新橋",61168,37757
2016,"ＪＲ線",,"浜松町",34994,21689
2016,"ＪＲ線",,"田町",39704,16005
2016,"ＪＲ線",,"品川",77566,58137
2016,"ＪＲ線",,"（参考）東京",84048,76389
2016,"ＪＲ線",,"渋谷",70904,64633
2016,"ＪＲ線",,"新宿",149040,131757
2016,"東京地下鉄（株）","銀座線","表参道",3502,7546
2016,"東京地下鉄（株）","銀座線","外苑前",6420,7369
2016,"東京地下鉄（株）","銀座線","青山一丁目",4501,5474
2016,"東京地下鉄（株）","銀座線","赤坂見附",4996,5860
2016,"東京地下鉄（株）","銀座線","溜池山王",6362,5501
2016,"東京地下鉄（株）","銀座線","虎ノ門",12701,9011
2016,"東京地下鉄（株）","銀座線","新橋",23268,22292
2016,"東京地下鉄（株）","丸ノ内線","赤坂見附",5295,6111
2016,"東京地下鉄（株）","日比谷線","神谷町",10684,7094
2016,"東京地下鉄（株）","日比谷線","六本木",9610,14613
2016,"東京地下鉄（株）","日比谷線","広尾",5603,5673
2016,"東京地下鉄（株）","千代田線","赤坂",8865,7706
2016,"東京地下鉄（株）","千代田線","乃木坂",3093,4479
2016,"東京地下鉄（株）","千代田線","表参道",4216,5957
2016,"東京地下鉄（株）","半蔵門線","表参道",3831,6204
2016,"東京地下鉄（株）","半蔵門線","青山一丁目",5842,5163
2016,"東京地下鉄（株）","南北線","白金台",1658,1707
2016,"東京地下鉄（株）","南北線","白金高輪",4227,3618
2016,"東京地下鉄（株）","南北線","麻布十番",3775,4887
2016,"東京地下鉄（株）","南北線","六本木一丁目",8051,5286
2016,"東京地下鉄（株）","南北線","溜池山王",4499,2885
2016,"都営地下鉄","浅草線","高輪台",1554,1101
2016,"都営地下鉄","浅草線","泉岳寺",21020,16981
2016,"都営地下鉄","浅草線","三田",11207,8155
2016,"都営地下鉄","浅草線","大門",10295,8997
2016,"都営地下鉄","浅草線","新橋",9450,7941
2016,"都営地下鉄","三田線","白金台",963,830
2016,"都営地下鉄","三田線","白金高輪",2567,2180
2016,"都営地下鉄","三田線","三田",11360,7619
2016,"都営地下鉄","三田線","芝公園",3379,2178
2016,"都営地下鉄","三田線","御成門",4973,2804
2016,"都営地下鉄","三田線","内幸町",4740,3119
2016,"都営地下鉄","大江戸線","汐留",5102,4555
2016,"都営地下鉄","大江戸線","大門",12370,11068
2016,"都営地下鉄","大江戸線","赤羽橋",3552,3530
2016,"都営地下鉄","大江戸線","麻布十番",2980,3958
2016,"都営地下鉄","大江戸線","六本木",7783,10583
2016,"都営地下鉄","大江戸線","青山一丁目",6975,6979
2016,"私鉄","京浜急行","泉岳寺",18374,16155
2016,"私鉄","京浜急行","品川",27813,22742
2016,"私鉄","東京モノレール","モノレール浜松町",7426,12412
2016,"私鉄","ゆりかもめ","新橋",2981,8972
2016,"私鉄","ゆりかもめ","汐留",289,1277
2016,"私鉄","ゆりかもめ","竹芝",171,682
2016,"私鉄","ゆりかもめ","日の出",76,333
2016,"私鉄","ゆりかもめ","芝浦ふ頭",410,490
2016,"私鉄","ゆりかもめ","お台場海浜公園",1010,2139
2016,"私鉄","ゆりかもめ","台場",520,3860

"平成30年度港区行政資料集　駅別乗車人員","Ver201703",,,,
