年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
9,3,5,6,6,10,5,8,5,11,5,2,4,30,23,13,12,6,6,3,0,0,1,5,2,6,3,20,14,56,61,5,1,6,11,5,5,2,5,4,6,6,5,3,6,4,6,4,6,5,2,7,3,2,6,1,2,6,2,5,4,6,5,5,4,1,0,6,5,12,9,1,1,6,6,17,14,5,8,15,20,14,15,5,4,4,6,1,3,3,5,11,9,19,14,7,9,6,5,5,5,0,0,6,7,15,10,7,4,5,7,0,2,10,15,14,7,1,7,1,1,4,3,5,3,11,13,11,10,14,7,8,6,7,15,13,8,12,11,9,8,38,36,3,3,7,5,8,7,0,0,1,2,8,9,4,1,5,2,1,2,0,2,0,5,6,7,627,594,"1,221"
10,4,0,9,10,4,8,4,11,7,8,4,4,31,18,12,12,7,4,3,5,0,0,4,1,6,4,9,8,65,52,5,7,7,7,8,11,5,5,7,4,3,9,3,2,8,6,8,8,3,3,8,9,7,5,4,2,6,10,5,3,7,7,3,0,0,1,7,6,6,9,3,3,2,3,11,18,7,10,20,15,9,14,4,4,4,9,0,2,6,5,11,13,12,21,4,7,7,14,10,7,0,0,9,11,12,23,1,6,3,4,1,0,7,9,9,7,0,3,3,0,5,6,2,0,13,10,16,13,10,7,9,9,9,4,12,10,16,14,13,5,42,29,0,2,5,11,7,7,0,0,4,3,9,6,0,3,6,1,1,3,3,0,3,2,6,12,625,624,"1,249"
11,3,3,9,9,7,7,5,4,4,2,4,6,35,35,14,18,4,7,3,2,3,1,4,3,6,4,14,9,58,47,5,1,4,2,9,6,3,4,8,9,5,4,5,0,8,1,8,6,11,3,2,7,6,3,3,3,6,3,3,2,6,5,2,3,1,1,5,6,5,5,1,1,6,1,11,15,4,5,22,11,4,9,2,4,3,5,0,2,6,4,12,9,21,10,4,8,4,2,5,8,0,0,6,7,21,9,7,10,4,4,0,2,8,10,13,12,4,9,2,2,4,1,1,3,10,16,14,20,10,7,9,4,11,5,12,10,13,15,9,9,30,32,1,2,3,4,10,9,0,0,5,3,6,5,0,2,6,1,2,2,0,2,1,1,9,11,614,554,"1,168"
12,1,4,6,10,10,2,8,8,10,7,5,2,29,25,11,14,8,9,5,0,0,1,4,5,7,4,7,10,58,54,3,4,12,4,8,8,4,3,2,6,0,5,4,0,8,4,8,9,4,2,6,2,7,7,3,0,12,6,5,3,5,6,4,2,1,1,7,7,11,12,0,1,6,4,12,6,8,7,13,16,11,6,1,7,9,4,3,1,4,8,13,10,18,11,4,2,6,4,6,6,0,0,11,3,8,7,5,7,5,3,1,1,8,9,8,13,8,8,2,2,6,5,3,3,6,4,7,11,9,9,10,8,10,7,9,11,11,9,11,10,34,38,3,2,7,5,7,6,0,0,4,4,7,9,1,1,4,3,0,5,1,3,1,1,5,9,609,555,"1,164"
13,2,2,5,11,7,8,6,7,8,10,2,5,31,31,23,11,11,7,4,2,2,1,3,3,5,5,12,10,67,55,5,1,8,5,9,6,2,5,8,9,9,6,5,1,8,5,7,4,4,9,4,5,4,6,2,5,8,9,7,5,6,4,0,3,0,0,4,5,6,6,1,2,2,4,6,10,8,7,29,24,6,5,4,2,8,8,4,3,9,8,19,9,12,16,5,5,8,5,7,4,0,0,7,10,13,20,5,5,6,5,1,0,12,8,12,14,6,3,4,2,6,3,2,3,8,6,12,12,10,16,9,7,12,10,8,12,13,15,11,13,31,36,7,4,11,8,9,7,0,0,3,3,3,10,1,4,3,2,2,1,1,1,3,2,6,8,659,629,"1,288"
14,6,4,10,12,13,8,6,5,8,5,5,4,17,20,10,12,7,16,2,2,0,0,1,4,1,3,12,8,64,62,1,4,8,9,10,2,3,5,2,2,3,4,4,0,3,7,11,9,3,6,2,2,7,6,3,0,8,9,4,5,8,8,4,3,1,1,8,2,8,9,1,1,5,2,4,9,6,8,25,21,3,7,5,5,7,8,3,2,8,6,9,15,17,11,8,9,4,8,8,4,0,0,4,2,20,16,10,7,4,4,0,3,12,13,13,11,6,5,3,1,6,1,3,0,6,12,14,11,9,9,10,10,7,9,5,7,11,13,6,10,31,26,4,1,11,6,10,9,0,0,3,2,3,8,0,2,3,3,7,2,1,1,3,4,6,5,607,587,"1,194"
15,5,4,10,8,6,10,9,5,8,5,5,4,18,17,18,25,9,9,5,1,0,0,4,2,5,8,13,11,52,54,2,2,4,5,7,4,5,8,4,5,2,6,1,5,7,5,9,7,4,6,9,1,10,4,4,4,10,8,10,6,14,4,2,4,1,1,6,8,12,14,0,1,4,5,14,10,2,6,19,17,13,10,5,5,6,5,2,4,6,8,8,11,21,14,7,5,8,6,7,2,0,0,11,5,12,14,5,8,3,7,3,1,13,19,15,7,6,5,0,2,3,4,3,1,7,8,13,11,11,18,6,8,9,7,9,12,11,16,11,11,28,17,2,2,10,6,4,6,0,0,2,2,7,9,0,3,3,3,5,2,3,4,4,1,9,7,640,605,"1,245"
16,2,3,7,13,5,12,10,2,8,5,8,1,25,13,23,16,10,8,4,2,0,0,8,7,8,3,11,5,55,54,4,3,9,7,5,10,4,3,2,3,3,3,2,5,8,1,4,5,4,2,4,7,6,5,3,0,10,9,7,5,8,8,7,0,0,0,6,10,6,5,1,1,4,3,10,9,10,11,20,22,11,9,6,3,11,9,4,5,10,5,12,12,9,9,7,7,10,11,7,5,0,0,7,5,15,24,3,8,2,4,2,1,10,15,17,10,4,10,3,1,3,5,6,2,7,12,11,10,6,8,15,9,11,12,6,11,6,11,12,7,13,25,3,3,12,13,9,8,0,0,4,1,5,4,3,2,5,2,4,1,2,1,2,3,11,12,637,596,"1,233"
17,7,1,4,9,10,8,6,2,2,7,5,5,24,21,18,13,10,12,2,2,4,0,5,4,4,6,11,7,61,47,7,5,5,3,6,6,8,7,5,3,4,7,2,0,6,11,10,11,2,6,6,1,5,7,4,0,9,8,4,5,11,8,1,2,0,0,4,6,11,8,0,1,2,1,4,7,7,9,27,18,5,3,1,7,10,13,3,5,11,9,10,12,13,12,10,3,10,6,5,13,0,0,10,4,3,11,8,13,4,2,4,1,10,12,13,19,8,5,1,1,6,1,2,4,8,6,4,8,6,7,7,9,7,9,8,6,7,8,7,6,14,18,1,4,11,6,7,8,0,0,4,2,6,2,2,6,8,4,1,5,0,0,6,4,13,7,597,565,"1,162"
18,3,8,11,12,7,5,11,9,5,6,3,5,15,16,18,19,8,6,2,3,1,0,3,2,3,2,12,12,54,44,3,4,8,4,3,6,3,3,7,11,7,3,0,6,10,8,9,4,4,6,10,8,7,8,1,1,10,16,2,5,13,13,0,1,2,0,10,8,14,12,5,16,0,10,3,7,4,14,25,22,11,10,12,5,7,11,1,4,15,13,12,17,8,17,5,5,11,6,10,6,0,0,7,9,22,22,4,8,4,2,2,2,22,12,5,6,10,5,1,2,5,4,1,4,9,9,13,9,8,12,7,9,9,7,12,9,7,4,7,8,9,18,3,6,3,2,10,14,0,0,12,2,4,4,1,0,2,5,2,4,1,1,4,0,8,7,622,645,"1,267"
19,2,7,9,21,7,12,4,9,4,5,5,8,15,12,20,13,12,5,3,5,2,1,5,4,9,5,17,18,70,57,4,3,9,5,7,3,1,5,10,8,7,7,2,5,18,12,11,9,4,4,2,10,6,3,1,3,15,6,5,2,10,5,1,1,1,0,13,7,15,11,4,11,8,7,6,10,9,8,23,29,10,7,13,2,6,11,4,2,14,11,10,15,13,10,9,3,11,6,10,9,0,0,8,14,12,18,7,6,3,2,1,1,20,28,15,11,11,8,2,2,6,7,2,4,8,13,12,9,15,5,7,12,13,7,29,7,8,13,9,12,21,17,4,3,7,10,4,11,0,0,11,2,2,2,3,2,5,5,5,0,2,3,5,2,18,11,751,679,"1,430"
20,2,6,18,22,6,9,15,15,4,6,7,3,14,17,25,17,11,6,2,1,0,2,4,3,4,6,22,18,77,66,6,5,7,5,8,4,7,7,14,6,7,10,2,6,17,16,15,7,5,1,3,9,9,15,1,5,12,15,5,4,7,12,4,3,0,0,9,9,19,14,10,11,18,5,8,8,8,13,17,34,7,8,14,3,11,11,4,5,5,10,16,20,12,5,3,8,4,10,11,12,0,0,7,13,15,16,7,7,3,2,2,0,12,23,22,13,3,11,2,2,4,1,3,4,12,9,9,11,8,18,5,12,13,11,18,3,17,7,8,14,14,15,3,4,12,3,13,17,0,0,11,12,3,3,3,4,3,3,1,3,2,1,1,1,11,14,763,770,"1,533"
21,3,6,21,22,9,9,7,17,9,8,1,4,9,17,17,16,18,14,1,0,3,0,3,5,9,7,21,19,79,56,6,1,6,5,13,4,4,5,22,10,12,10,8,9,23,26,10,4,5,4,4,6,5,13,2,5,11,14,5,5,11,8,1,1,1,1,13,6,14,14,9,11,11,7,9,11,13,16,27,33,3,12,9,4,14,8,1,6,7,27,12,21,11,14,6,6,14,11,19,10,0,0,16,16,15,14,4,7,7,3,2,3,24,18,7,13,3,5,1,1,3,3,4,4,22,15,3,8,21,19,6,8,6,7,14,11,20,13,15,8,10,10,2,3,6,6,14,12,0,0,7,10,4,7,0,3,7,3,2,3,1,2,6,1,10,19,813,803,"1,616"
22,6,7,22,19,7,7,18,6,9,8,8,4,14,18,17,13,10,7,2,0,4,1,9,7,10,5,22,21,73,51,6,3,4,10,6,9,11,10,18,17,9,7,7,9,10,14,22,13,3,3,4,3,17,5,3,2,13,12,3,7,6,9,1,0,0,0,10,16,26,12,12,8,13,15,12,20,15,14,21,22,8,12,8,10,10,12,3,0,12,26,15,18,11,12,5,7,15,3,7,6,0,0,10,7,13,18,7,4,3,2,2,2,16,16,10,10,5,7,1,1,4,4,8,3,15,17,12,10,10,17,6,6,11,14,9,6,15,8,15,15,13,16,5,1,12,11,9,11,0,0,7,9,2,6,2,0,5,3,5,1,0,2,4,1,28,14,841,762,"1,603"
23,8,3,23,22,5,9,11,10,9,6,4,4,11,20,15,13,13,9,0,3,2,2,0,1,3,7,17,31,48,50,6,4,9,6,5,4,8,5,20,15,10,11,5,16,17,16,13,10,9,5,4,2,10,12,4,3,7,5,8,5,10,5,2,0,0,1,14,13,22,15,9,6,12,8,3,15,13,12,27,35,6,14,10,5,7,5,5,1,13,18,15,24,7,12,7,4,5,4,9,3,0,0,13,11,12,13,9,3,4,0,2,3,23,26,15,11,7,15,2,2,2,3,3,7,8,19,7,7,14,7,8,12,12,10,11,7,23,9,15,13,12,7,5,2,7,5,9,14,1,0,8,7,1,5,0,2,1,4,2,0,2,0,1,1,10,16,749,750,"1,499"
24,4,2,18,20,4,9,14,10,9,7,3,4,16,14,18,12,10,10,2,0,1,2,3,4,9,8,29,18,52,44,4,6,6,3,9,6,6,10,26,9,11,19,9,11,16,16,19,8,4,8,5,4,6,14,2,2,12,12,2,9,7,2,0,0,1,0,16,14,18,20,11,12,12,11,5,33,18,13,32,30,6,9,6,2,7,7,2,3,15,24,15,13,16,14,12,9,7,3,6,9,0,0,8,14,19,12,5,7,2,3,1,1,24,21,15,8,7,11,0,4,1,3,3,0,11,14,11,8,7,7,4,7,10,8,8,5,32,15,19,14,6,8,4,0,9,2,7,12,0,0,7,8,6,6,0,3,1,3,0,5,1,1,0,3,18,21,787,763,"1,550"
25,1,2,24,24,11,6,9,14,9,4,6,4,11,14,13,12,8,5,1,3,1,3,9,6,14,12,19,17,56,44,3,2,7,4,12,7,5,8,35,15,8,17,8,11,15,7,10,8,5,5,2,4,12,10,3,4,6,9,8,4,10,9,2,2,0,0,14,15,14,18,6,2,8,10,4,10,15,19,26,20,7,10,6,7,4,5,1,1,11,13,7,12,10,5,10,13,11,8,4,6,0,0,10,12,15,18,5,7,4,1,0,0,21,20,8,11,6,4,2,2,5,4,3,6,8,10,3,6,11,7,7,8,9,5,11,9,20,11,9,10,9,8,3,2,10,5,7,16,0,0,4,2,2,2,1,0,1,0,2,3,3,1,1,2,12,14,713,676,"1,389"
26,3,2,22,18,6,7,6,11,5,4,6,5,12,11,8,8,5,7,3,2,0,2,2,2,10,12,27,14,30,44,5,4,8,9,7,9,6,8,19,14,17,21,9,3,15,11,13,8,8,3,7,6,8,9,5,7,9,12,7,8,6,7,0,2,2,0,23,8,14,16,5,9,6,9,8,10,14,14,20,38,7,6,8,5,3,2,1,0,6,15,15,16,10,10,16,6,2,9,3,3,0,0,18,9,15,10,1,3,2,1,2,0,17,26,7,15,8,10,0,2,4,3,2,2,14,18,8,11,16,8,9,4,14,11,7,2,16,17,11,12,13,14,1,3,8,7,10,17,0,0,6,6,4,4,0,0,3,1,3,1,1,0,0,1,20,15,697,699,"1,396"
27,2,3,17,18,5,8,15,9,10,14,2,1,9,7,6,10,3,8,3,1,2,1,4,3,11,7,17,22,38,33,2,5,5,8,12,5,2,10,21,18,13,12,6,6,9,10,6,13,5,6,2,8,11,4,3,1,9,8,5,8,9,10,0,0,1,1,21,11,21,18,11,4,7,14,6,13,22,13,18,26,13,11,2,7,3,10,2,1,11,18,16,18,13,10,15,7,6,5,6,6,0,0,10,13,12,12,3,6,2,3,1,3,17,22,14,8,7,6,2,1,4,1,8,7,16,19,6,4,14,14,6,4,6,7,6,9,8,15,10,11,11,11,2,3,4,4,13,7,0,0,8,7,3,1,0,1,4,3,1,2,3,3,3,0,21,12,683,689,"1,372"
28,4,5,15,11,8,12,8,13,10,7,3,4,8,11,6,8,10,7,2,3,1,1,5,2,14,10,12,18,40,32,4,1,4,5,12,9,7,13,23,19,16,13,3,4,9,8,7,8,3,7,1,2,10,7,3,4,8,7,10,6,6,7,1,0,0,0,14,15,10,16,7,5,9,6,10,6,15,18,28,13,14,16,7,8,5,10,2,1,3,15,17,18,14,19,21,7,4,6,14,5,0,0,14,13,15,17,4,4,3,4,3,4,20,20,10,10,7,4,1,0,4,1,4,2,10,24,4,9,14,18,6,7,7,5,9,3,24,19,14,7,11,18,2,2,6,6,8,17,0,0,3,3,1,1,1,2,1,5,0,0,4,3,3,1,14,16,694,693,"1,387"
29,7,2,17,11,9,6,18,18,11,5,1,6,8,11,11,10,14,7,2,0,1,0,5,3,8,11,9,23,43,34,2,7,4,3,7,9,12,9,22,16,11,7,8,5,9,11,6,8,5,9,10,9,9,12,5,1,8,7,2,7,13,3,4,3,2,0,16,11,24,16,4,6,8,3,8,7,11,16,25,27,5,22,3,4,13,8,2,2,12,6,16,13,20,14,15,14,11,8,6,7,0,0,8,4,13,9,1,4,2,3,2,1,25,17,10,9,16,7,0,1,6,2,3,4,17,12,9,10,14,18,4,8,12,12,10,2,10,17,12,12,12,19,0,2,6,5,12,14,0,0,5,11,2,1,0,3,2,2,1,0,6,2,1,0,16,14,739,682,"1,421"
30,4,5,23,17,6,8,19,19,5,13,8,6,11,14,12,6,8,8,4,2,2,2,3,1,14,10,12,12,43,51,1,4,1,6,10,2,8,9,19,16,5,8,8,9,13,18,9,7,3,3,7,5,7,11,3,5,11,4,6,9,11,2,3,2,1,0,14,14,30,17,9,6,10,7,10,9,22,14,30,20,16,21,7,3,8,8,0,1,10,13,33,23,12,11,11,19,4,7,5,2,0,0,18,14,14,13,1,2,2,5,5,2,27,21,17,10,13,10,2,0,4,3,7,5,14,25,9,14,8,16,7,6,11,9,9,5,22,27,16,9,15,26,1,1,6,9,10,14,0,0,7,6,6,2,1,0,2,1,0,1,5,4,2,1,18,11,810,761,"1,571"
31,6,7,14,15,13,11,10,16,7,10,7,8,14,11,12,14,10,7,3,1,1,0,4,3,10,5,12,9,52,40,2,8,8,7,16,7,9,8,22,7,18,13,4,5,11,14,4,8,3,6,3,9,8,17,3,4,5,16,6,5,9,14,2,4,1,0,11,17,21,25,9,2,7,5,9,13,18,17,27,33,20,17,8,6,7,6,2,2,10,9,21,23,16,21,9,23,3,5,4,4,0,0,11,13,14,10,3,2,5,4,2,3,24,18,12,18,7,4,3,2,2,5,2,1,22,26,15,11,22,16,10,8,11,10,10,10,17,14,9,13,19,16,2,2,9,8,15,13,0,0,7,6,3,7,1,0,3,4,0,2,2,2,1,1,13,15,787,801,"1,588"
32,1,2,29,22,8,8,16,16,8,6,5,3,13,16,14,10,13,11,0,4,4,2,8,8,12,10,31,20,50,54,6,3,9,7,11,7,15,11,12,16,16,18,7,7,12,19,8,2,5,8,3,7,11,6,3,6,13,8,6,7,16,9,6,5,1,2,24,19,25,25,7,2,5,4,8,7,17,23,31,22,24,36,6,5,9,1,2,2,21,8,24,23,16,25,9,14,6,7,6,7,0,0,7,11,18,10,6,2,8,6,7,4,18,21,15,16,7,5,2,1,4,5,4,2,23,23,12,15,15,18,7,9,9,9,9,11,27,20,13,6,20,16,1,2,10,6,12,10,0,0,8,9,4,3,0,1,2,7,1,1,4,3,2,1,17,16,904,839,"1,743"
33,7,3,14,17,9,13,20,17,14,17,7,4,20,14,14,15,22,9,4,5,2,0,5,6,12,8,14,11,60,43,6,5,8,16,12,10,10,5,20,15,14,8,8,8,19,22,5,7,5,7,4,3,10,6,7,5,10,6,17,6,4,6,2,8,0,0,16,16,22,19,6,3,7,7,11,17,26,12,33,29,38,45,6,3,8,8,1,2,10,22,32,22,22,8,20,11,5,3,5,10,0,0,11,8,19,18,4,6,1,5,2,1,16,18,12,14,6,10,3,3,5,7,9,5,26,32,12,20,17,21,8,13,12,8,11,7,15,27,12,17,18,23,1,2,8,16,11,11,0,0,8,4,6,6,2,0,4,3,5,2,6,6,2,5,13,13,938,893,"1,831"
