年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
20,2,5,22,14,8,4,11,16,9,9,3,2,6,18,18,17,13,5,1,1,1,2,4,5,4,6,20,12,66,65,9,4,6,6,7,4,3,4,22,9,13,7,2,8,20,16,18,6,7,2,7,9,4,11,2,6,5,14,7,5,11,14,1,2,0,0,11,6,15,13,10,19,18,7,13,7,10,14,26,31,3,5,14,4,15,10,1,4,7,8,13,19,14,11,6,5,13,11,16,12,0,0,13,11,16,18,8,9,7,1,2,1,14,15,16,16,2,10,1,2,5,0,6,4,13,12,6,10,16,18,7,11,12,10,15,3,12,12,6,11,10,6,2,3,8,5,12,13,0,0,7,9,3,8,3,5,4,2,0,3,3,1,4,2,10,19,780,744,"1,524"
21,8,12,17,18,6,10,8,8,8,5,6,6,12,16,19,14,11,12,1,0,1,1,4,6,8,8,18,22,72,51,5,1,6,8,13,6,3,12,15,11,9,7,6,4,14,15,15,4,4,5,5,3,15,8,2,3,18,18,4,5,9,10,0,1,1,1,14,7,17,10,10,10,7,11,6,12,9,12,22,25,6,15,12,5,12,13,3,4,12,19,16,15,12,18,4,7,12,8,17,10,0,0,12,6,11,16,4,5,3,5,1,3,26,11,9,9,6,5,0,1,3,7,5,2,19,13,10,9,16,17,8,6,10,12,13,11,16,7,16,13,12,13,3,3,10,11,11,9,0,0,9,13,6,7,2,2,5,4,2,0,0,4,5,2,17,13,804,751,"1,555"
22,5,2,24,22,8,10,13,5,8,8,5,5,19,25,14,17,12,13,1,1,5,0,6,2,8,2,23,21,63,60,3,3,6,6,5,4,14,3,15,17,6,11,10,15,14,16,22,13,5,3,5,4,11,12,1,5,6,10,4,5,12,4,2,1,0,0,10,11,18,13,12,11,13,11,6,16,16,9,24,25,3,11,14,9,11,6,4,1,10,18,17,17,9,10,6,5,11,3,12,3,0,0,10,12,15,18,11,4,3,1,3,5,11,24,8,17,6,13,2,2,4,2,5,5,12,19,6,13,10,19,5,13,12,11,17,10,17,16,17,13,12,15,6,3,8,6,8,16,1,0,11,8,1,3,0,1,6,4,6,1,2,0,2,1,23,16,811,795,"1,606"
23,7,5,22,17,4,11,9,9,9,9,4,4,10,15,19,17,8,11,1,0,1,3,5,3,7,7,22,18,63,47,8,5,5,5,8,4,4,8,20,10,11,12,8,14,14,13,17,11,7,8,4,1,8,10,4,4,11,11,6,9,6,4,1,0,0,1,17,15,22,19,10,13,13,9,6,23,14,15,26,35,8,15,4,6,8,6,4,1,18,23,11,24,13,17,10,8,6,5,7,5,0,0,10,11,13,13,9,6,4,3,0,0,25,25,15,7,9,13,1,5,0,2,2,3,7,23,7,4,11,4,9,7,12,11,12,3,26,13,15,11,12,9,3,0,13,4,17,12,0,0,10,7,5,8,0,4,1,4,1,3,1,0,2,3,11,19,793,782,"1,575"
24,2,1,22,29,9,7,19,13,5,4,4,3,16,13,14,14,9,8,2,2,1,3,6,3,19,9,29,22,63,44,3,3,6,2,7,5,4,10,38,15,9,20,8,9,14,12,16,7,4,9,2,4,7,15,1,4,12,10,6,6,10,7,0,0,1,0,19,15,10,19,9,4,9,12,7,23,11,11,38,33,9,12,7,5,8,7,2,3,7,18,10,15,9,8,10,9,9,6,6,8,0,0,10,10,21,19,5,8,1,1,1,0,16,21,13,13,5,10,2,1,4,6,3,6,11,10,9,6,10,5,4,6,12,7,6,8,35,15,12,11,6,11,4,1,7,6,13,13,0,0,4,10,2,2,1,0,1,1,1,3,3,1,0,1,21,17,791,750,"1,541"
25,2,3,19,19,6,6,9,8,9,3,7,3,13,14,9,9,9,8,1,2,0,1,8,5,8,10,19,14,35,38,5,5,8,9,10,7,5,8,31,18,13,15,3,7,20,12,14,9,8,4,7,6,12,10,5,5,8,10,8,6,9,7,2,1,1,0,18,9,15,18,4,3,7,10,2,13,11,14,16,27,5,8,11,8,4,4,1,1,8,18,13,15,10,5,10,8,7,12,4,2,0,0,17,15,17,14,2,5,5,2,2,1,14,18,11,13,9,3,0,3,7,2,5,5,11,19,3,9,13,9,10,9,7,6,10,6,19,12,11,11,12,8,3,2,8,6,14,17,0,0,4,2,6,4,0,0,2,1,1,2,2,1,1,2,17,13,712,677,"1,389"
26,3,5,19,18,9,10,12,9,7,7,4,4,15,5,6,11,11,12,3,1,0,0,1,4,12,15,19,21,36,40,3,3,5,6,12,7,5,6,20,17,15,16,7,4,11,14,9,10,4,9,5,5,13,7,2,5,10,11,7,6,10,10,0,2,1,1,20,12,17,15,5,10,5,12,8,16,20,11,17,37,13,6,5,6,3,5,1,2,10,17,15,18,18,11,12,5,4,4,4,4,0,0,9,10,17,9,3,3,3,1,2,1,19,26,11,7,10,9,0,1,4,1,4,4,16,16,8,6,16,7,5,5,12,9,5,7,16,18,8,14,15,5,1,3,10,5,14,12,0,0,7,4,3,3,0,1,5,0,4,3,2,3,2,1,17,17,721,703,"1,424"
27,0,1,11,12,3,7,7,9,13,10,6,4,6,7,6,9,6,4,1,2,1,1,6,2,10,3,17,19,40,36,4,2,6,10,15,6,6,9,23,17,13,14,5,8,8,9,9,13,4,6,2,6,10,8,3,2,7,8,9,8,6,12,0,0,1,0,19,11,18,16,13,6,8,6,7,8,20,13,28,21,9,10,3,6,5,12,2,1,7,17,15,17,11,12,16,6,5,8,12,10,0,0,11,17,17,16,4,5,3,7,2,5,20,20,8,11,5,5,2,0,3,3,5,5,11,23,6,4,13,18,9,7,8,7,10,7,15,17,13,8,6,16,1,4,3,6,10,9,0,0,6,6,3,0,0,2,1,5,0,0,2,2,2,0,18,14,679,693,"1,372"
28,6,5,17,16,9,6,15,20,11,6,0,3,10,12,9,5,12,5,3,2,2,0,4,2,12,10,7,24,37,32,2,5,6,2,10,7,4,11,22,16,14,10,6,3,12,13,5,8,5,4,4,13,9,13,4,2,9,8,3,7,12,4,3,2,1,0,9,10,15,20,3,9,6,6,17,7,7,12,29,17,8,14,7,8,8,7,1,1,9,8,19,13,14,15,21,8,11,8,9,7,0,0,14,10,9,13,3,5,2,2,0,2,30,22,12,12,15,6,0,1,4,1,3,5,16,14,6,10,14,15,4,5,10,7,13,3,20,20,8,11,8,11,2,0,4,3,18,18,0,0,4,11,3,2,1,2,1,4,1,0,4,2,2,1,16,12,725,676,"1,401"
29,7,5,22,9,5,8,22,16,5,6,4,4,8,8,14,7,9,7,4,1,3,2,3,2,10,9,12,16,44,49,1,6,2,6,4,7,13,11,18,18,11,13,9,7,9,16,8,7,6,8,9,3,9,9,4,4,11,6,4,12,11,3,4,2,1,0,16,12,33,16,7,4,14,5,6,12,10,18,26,19,10,16,6,2,9,9,2,3,11,10,26,19,12,15,9,11,6,5,6,6,0,0,13,8,19,14,1,3,3,3,5,3,26,27,15,12,14,9,0,1,7,1,7,4,13,14,9,13,10,19,4,9,9,10,11,6,15,23,21,12,8,11,0,4,8,9,10,18,0,0,7,4,1,0,1,2,1,2,0,0,8,1,3,1,24,14,788,726,"1,514"
30,4,3,18,16,8,10,12,17,4,12,5,5,8,17,10,9,9,5,2,1,2,0,5,0,7,10,12,13,48,48,3,7,6,5,14,5,9,6,19,12,15,12,3,8,9,16,10,9,2,4,10,7,4,13,4,4,8,10,7,6,10,12,4,5,1,0,13,18,22,17,11,7,7,5,13,10,19,6,29,30,18,25,3,2,9,3,2,2,12,13,24,20,14,11,14,22,5,6,3,2,0,0,12,11,11,13,2,1,2,6,3,2,29,19,17,17,10,9,2,1,3,4,5,2,19,31,14,14,12,10,9,5,13,9,7,7,15,21,13,16,8,9,1,1,5,9,12,8,0,0,5,8,7,8,1,0,4,4,0,1,3,3,0,0,16,15,770,770,"1,540"
31,4,6,22,18,11,10,12,22,11,8,8,7,17,16,10,12,10,15,2,4,1,1,7,6,10,6,20,14,56,42,4,7,7,8,11,5,9,14,13,10,11,16,6,4,13,18,4,4,5,5,2,8,7,13,4,7,11,10,6,6,9,7,3,0,1,1,19,16,23,27,9,2,9,6,5,9,13,20,27,29,16,31,8,5,6,6,1,3,14,8,26,28,14,27,8,17,4,5,5,5,0,0,6,11,19,15,6,4,6,5,2,5,22,14,10,14,10,7,3,2,1,5,2,0,24,21,13,12,22,18,7,9,12,13,13,7,25,16,11,5,11,10,2,1,9,6,8,12,0,0,9,5,4,2,0,0,1,3,0,3,4,2,3,2,19,9,818,812,"1,630"
32,3,2,25,20,8,9,24,15,14,12,4,2,21,14,17,15,20,7,2,3,3,1,5,6,11,9,19,13,50,53,5,4,6,12,9,7,13,5,21,19,17,9,9,9,12,20,8,5,3,9,4,6,9,7,4,6,11,8,11,8,13,9,5,10,1,1,22,21,26,22,9,2,5,6,14,13,12,15,30,26,34,34,7,5,7,5,1,2,12,15,28,19,24,15,15,15,4,7,4,8,0,0,15,7,21,12,3,3,6,3,7,2,16,19,14,15,7,9,2,1,5,4,7,3,18,31,12,18,15,18,6,11,9,13,9,17,24,22,14,15,9,13,1,3,9,12,15,9,0,0,5,9,6,7,2,1,6,5,4,1,6,3,1,5,13,20,928,876,"1,804"
33,5,5,14,13,10,9,11,17,12,14,7,5,27,20,10,6,12,6,4,3,1,2,6,3,12,6,14,18,50,38,4,2,13,8,12,10,11,4,18,18,15,13,7,8,19,13,6,6,8,2,7,3,15,4,6,7,9,9,14,7,9,10,3,7,0,0,13,12,34,32,3,4,9,10,8,16,16,11,34,30,35,41,6,3,12,9,3,1,13,16,34,20,21,15,20,12,5,7,7,9,0,0,8,11,16,16,1,4,2,4,2,1,16,20,9,21,4,7,3,4,6,10,4,6,31,31,10,24,24,18,13,11,15,8,9,5,22,23,16,13,11,10,0,0,10,14,13,13,0,0,10,5,7,8,2,1,3,10,2,3,7,3,2,1,10,16,932,865,"1,797"
