年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
34,3,9,14,12,12,7,12,16,9,13,10,4,23,23,9,12,13,11,4,5,2,3,6,4,10,14,18,13,64,64,4,7,6,2,9,9,11,7,22,15,16,11,4,9,14,9,9,12,13,4,10,6,10,8,7,10,10,14,18,9,11,12,4,3,0,0,17,11,37,34,0,2,6,6,8,12,10,21,17,26,32,44,6,4,8,11,0,2,18,15,29,29,21,17,23,16,4,6,6,6,0,0,13,6,15,15,6,2,1,5,3,5,13,17,22,23,4,10,1,2,5,6,4,5,29,36,18,26,11,15,6,13,7,6,8,5,26,12,12,8,11,12,2,3,9,11,10,13,0,0,11,4,4,4,0,3,5,5,5,3,5,4,1,2,14,16,910,916,"1,826"
35,4,9,19,18,14,9,14,18,9,10,3,8,12,18,17,13,13,8,5,1,0,0,6,5,9,9,19,9,49,57,7,7,5,4,10,12,8,10,14,10,20,13,9,8,17,9,12,10,5,5,2,5,9,9,4,3,18,14,6,11,12,13,4,10,0,2,21,16,32,27,7,2,7,4,11,11,18,16,36,25,38,37,5,5,8,9,2,3,16,14,18,27,19,21,26,11,8,12,4,7,0,0,12,19,19,24,2,4,8,9,2,1,33,26,13,10,7,6,3,2,1,5,1,6,31,30,20,21,18,21,11,8,10,9,9,13,28,21,5,8,19,19,2,2,8,14,7,12,0,0,10,8,5,5,0,3,4,3,1,2,5,4,1,5,12,16,938,930,"1,868"
36,6,3,19,20,9,6,13,11,12,14,11,2,28,27,11,10,7,6,4,3,1,0,8,2,11,6,21,19,79,57,7,7,13,1,11,10,13,16,20,11,13,11,14,11,16,10,9,11,2,10,8,4,13,8,6,3,13,14,5,9,16,13,3,5,2,3,22,21,45,21,5,3,8,5,17,22,13,14,29,19,51,47,5,6,4,3,4,1,11,21,33,23,18,21,17,18,11,10,4,5,0,0,13,8,25,17,4,3,5,4,6,2,28,25,19,7,7,11,4,5,6,7,3,5,20,14,22,28,27,20,9,16,8,9,10,11,24,27,10,9,17,19,6,3,11,12,7,10,0,0,8,9,4,8,0,2,1,4,5,4,4,7,3,3,10,16,"1,047",928,"1,975"
37,2,0,29,17,8,10,17,8,15,17,4,5,32,35,20,14,11,8,2,4,4,1,4,4,12,8,16,18,68,50,7,7,12,13,13,16,9,12,28,11,8,9,10,11,19,10,7,7,7,6,7,6,4,7,5,4,11,8,8,16,10,10,4,6,1,1,19,16,40,16,4,5,13,4,19,17,9,21,27,22,47,43,6,7,9,11,3,3,19,13,33,31,21,10,22,15,6,6,11,10,0,0,8,15,14,16,6,6,3,5,2,5,23,15,19,9,4,3,3,1,7,6,4,1,28,26,27,20,25,15,18,19,13,9,11,9,11,19,6,10,28,33,5,8,11,6,17,12,0,0,11,5,9,4,0,1,0,4,3,2,4,1,5,3,17,14,"1,064",911,"1,975"
38,10,3,18,21,8,15,17,10,19,16,2,9,34,40,12,17,12,9,4,3,1,1,8,6,14,17,15,19,81,64,8,4,4,4,10,12,9,11,14,18,16,8,3,7,17,9,13,9,8,10,8,8,9,3,12,11,13,9,13,15,10,7,8,3,2,0,16,14,23,22,8,4,5,8,11,23,12,15,22,28,39,32,1,2,8,10,3,3,8,9,35,32,25,27,18,18,15,12,7,9,0,0,14,9,27,14,7,8,4,4,1,3,28,23,22,14,10,6,2,2,7,5,2,3,34,17,27,31,20,23,17,7,8,13,13,28,20,19,19,18,31,40,7,3,9,7,10,15,0,0,9,6,10,5,3,3,1,4,0,2,4,4,0,2,15,12,"1,069","1,016","2,085"
39,6,7,28,16,11,7,14,4,17,11,5,3,31,49,14,13,16,8,1,5,1,3,9,6,10,9,22,19,88,73,9,3,15,11,14,6,11,5,19,16,10,14,6,5,12,15,14,9,10,8,7,8,6,10,7,9,8,17,11,10,10,15,9,14,0,0,16,15,24,29,2,1,7,5,20,16,19,11,32,21,30,39,11,6,6,10,0,3,15,6,22,13,24,24,19,19,10,13,5,6,0,0,19,17,22,25,2,11,5,4,4,1,31,14,18,26,12,7,3,2,11,8,4,4,30,33,29,31,28,19,11,17,18,17,23,12,29,19,17,16,28,42,5,5,15,16,19,11,0,0,5,8,9,12,3,2,4,2,5,7,8,2,6,6,24,23,"1,160","1,064","2,224"
40,6,3,24,17,6,4,19,12,19,9,5,5,37,45,17,15,11,8,3,5,3,2,8,0,12,14,29,18,92,71,12,4,14,13,19,16,7,4,30,13,9,14,9,3,7,14,9,9,8,12,10,9,8,10,11,4,14,12,11,8,15,13,9,6,0,1,16,17,26,18,5,1,11,7,19,13,14,14,23,29,35,33,6,4,12,9,2,1,13,17,25,15,17,26,12,17,10,17,11,7,0,0,13,9,21,24,4,4,11,6,4,2,31,20,14,18,6,9,1,3,6,8,8,3,25,25,38,21,29,20,13,13,16,15,21,13,17,27,25,15,49,54,3,7,11,13,10,9,0,0,11,7,12,8,0,2,4,9,3,4,7,5,3,6,23,10,"1,189","1,027","2,216"
41,4,7,16,22,9,10,16,17,12,11,7,8,38,53,19,21,17,14,5,3,2,1,6,2,15,14,25,27,75,81,4,8,9,11,13,15,9,15,26,19,9,8,5,7,17,16,8,10,2,4,5,6,14,8,5,4,10,12,9,5,14,19,6,9,1,0,18,17,14,15,2,8,11,9,26,18,14,11,28,38,38,40,8,9,7,11,3,3,16,18,20,12,22,25,15,20,12,12,7,13,0,0,20,13,28,22,7,9,8,6,4,3,21,25,15,23,11,16,7,6,7,5,3,4,26,29,20,19,27,16,18,18,14,12,14,17,26,30,11,23,43,49,2,4,11,10,12,10,0,0,8,8,15,14,2,1,3,4,6,6,3,2,8,2,14,11,"1,107","1,163","2,270"
42,9,2,19,24,10,8,15,23,14,14,10,8,50,47,20,26,12,12,5,5,0,1,16,9,10,11,23,23,98,100,9,8,9,6,12,12,12,11,20,14,16,12,9,4,20,8,12,12,6,9,10,7,7,6,17,11,12,7,12,16,17,11,10,5,0,0,13,9,18,17,4,3,10,9,21,27,6,6,30,32,47,36,8,8,11,10,2,4,18,15,29,31,33,28,24,19,13,10,8,7,0,0,24,15,26,36,7,13,6,10,6,3,27,17,24,20,11,12,6,7,7,10,4,3,30,24,29,26,26,24,24,18,18,8,15,17,28,29,15,12,56,63,7,10,10,14,7,12,0,0,9,6,9,5,0,3,6,9,7,7,5,6,3,3,14,23,"1,282","1,208","2,490"
43,7,10,25,18,15,13,16,19,10,15,9,4,49,51,27,23,13,16,5,2,3,1,6,6,9,14,38,30,95,93,9,12,7,14,17,5,10,9,15,11,11,12,12,8,14,16,17,17,8,10,4,7,16,7,14,9,7,10,6,10,14,7,10,8,1,2,15,19,22,23,2,5,8,4,22,12,13,23,33,25,34,32,11,7,5,11,1,5,15,14,34,17,27,25,24,22,14,13,13,7,0,0,14,10,29,34,9,6,7,10,8,4,24,19,32,26,9,11,3,3,10,8,2,5,25,22,28,22,22,13,15,27,12,13,29,14,28,26,11,18,51,56,7,6,15,16,8,14,0,0,11,6,6,11,1,4,7,12,8,5,10,9,6,4,11,20,"1,270","1,207","2,477"
44,4,6,20,22,8,19,20,17,15,9,2,8,34,42,22,30,18,21,4,3,3,0,7,5,20,14,27,18,86,68,10,7,13,10,18,14,6,9,21,15,15,11,6,10,20,14,13,13,5,5,8,7,12,11,10,7,7,12,13,10,20,14,4,4,1,1,10,17,24,30,4,4,9,12,17,18,17,16,37,56,27,23,10,13,8,18,1,8,18,18,35,35,36,32,39,21,18,20,11,10,0,0,19,11,27,27,14,6,12,10,4,4,33,25,19,33,5,10,9,5,11,11,5,5,24,35,23,25,19,29,22,20,20,22,19,18,36,26,12,17,49,55,6,6,17,9,17,16,0,0,3,8,5,10,1,2,2,7,3,4,10,5,3,3,13,22,"1,275","1,293","2,568"
45,3,9,27,16,8,23,22,20,14,13,11,7,59,42,22,26,17,9,7,9,4,2,13,5,15,12,30,21,104,80,7,10,12,12,19,16,15,12,20,12,14,13,7,9,21,14,15,15,15,8,9,9,9,10,20,4,12,10,9,5,15,21,2,7,1,1,23,15,28,16,4,2,6,8,9,14,13,11,52,40,18,32,9,9,7,14,5,7,26,32,24,29,28,38,38,26,19,16,13,8,0,0,24,14,17,23,10,9,9,7,1,5,20,29,28,32,10,7,6,3,9,13,2,13,28,28,21,21,23,26,16,19,11,11,7,19,32,20,22,15,44,40,6,4,12,12,12,9,0,0,11,6,7,8,3,8,9,5,9,7,11,9,5,5,25,21,"1,350","1,247","2,597"
46,2,6,17,22,10,13,15,30,12,7,4,11,43,34,23,30,13,9,6,3,3,2,12,10,5,9,22,18,93,90,9,5,4,8,18,16,7,8,15,14,19,10,8,3,15,10,8,16,6,6,9,10,12,13,8,9,8,19,8,11,10,15,2,4,2,2,16,10,21,24,10,6,10,9,10,16,9,13,52,34,38,37,9,10,20,20,5,9,16,16,32,22,26,27,29,14,19,7,6,10,0,0,13,10,18,22,8,4,12,5,2,3,25,21,24,20,8,19,9,2,10,7,2,3,27,27,17,16,17,24,22,9,14,18,13,16,35,26,16,11,37,30,4,9,12,8,9,13,0,0,6,7,9,9,3,1,9,8,3,10,5,5,6,2,18,24,"1,189","1,146","2,335"
47,7,9,18,31,27,22,26,20,8,7,8,9,36,33,33,32,10,19,5,4,5,4,6,6,9,10,19,24,100,74,10,2,10,13,15,12,7,15,18,9,15,12,4,8,16,14,15,14,4,5,6,18,7,8,16,11,14,20,2,14,17,16,2,6,1,0,10,15,21,14,1,1,16,10,17,14,15,8,41,44,30,18,8,10,13,17,7,3,22,14,24,29,31,24,21,32,7,14,9,8,0,0,18,23,17,25,6,11,9,11,8,4,20,30,22,28,7,8,3,3,5,8,5,6,21,21,22,20,27,22,22,22,9,20,13,13,29,23,14,16,37,28,5,3,6,14,9,12,0,0,11,11,11,9,5,2,6,10,5,2,6,3,4,2,8,13,"1,179","1,199","2,378"
48,5,8,26,32,20,5,28,21,16,13,12,11,52,41,28,27,20,13,7,3,2,2,9,6,6,7,17,17,88,84,9,3,15,13,17,11,7,5,14,13,13,13,7,3,12,14,19,14,1,9,8,3,10,14,16,8,13,19,9,11,18,14,5,2,1,2,17,14,23,19,2,1,8,8,9,8,16,12,44,40,20,22,7,8,12,23,8,9,28,22,26,32,31,33,25,21,12,21,14,6,0,0,15,13,20,17,6,14,5,2,0,7,32,22,25,19,14,13,3,6,8,8,6,6,30,19,13,25,19,22,15,18,18,9,15,10,21,29,18,19,34,34,5,8,11,13,13,11,0,0,17,7,9,8,2,2,4,9,4,7,7,7,7,4,14,17,"1,242","1,165","2,407"
49,3,9,22,23,11,5,29,18,5,10,8,6,30,29,36,31,21,22,4,3,1,0,3,8,12,7,26,26,82,68,10,8,17,12,20,9,7,11,13,11,11,10,8,8,21,16,11,14,12,11,12,8,12,10,8,9,11,13,8,12,13,14,2,5,4,1,12,8,29,17,3,3,5,4,10,13,13,11,45,46,26,11,8,12,10,16,4,11,25,12,34,20,32,26,24,19,13,16,11,7,0,0,16,9,15,12,5,16,4,10,3,5,26,26,15,20,10,15,7,6,12,11,7,6,33,21,21,12,14,19,13,17,12,19,16,10,26,19,19,11,41,13,5,3,13,13,10,12,0,0,7,4,5,6,2,6,7,3,4,3,9,5,3,8,17,22,"1,194","1,061","2,255"
50,3,6,21,15,14,11,11,18,10,13,10,5,27,31,27,29,15,10,6,0,4,2,9,1,9,5,16,25,87,68,6,5,5,2,7,5,12,5,16,14,18,7,3,8,10,12,9,17,2,8,8,5,11,14,13,5,11,14,2,6,9,13,4,5,1,1,14,17,25,15,7,5,9,9,10,8,10,10,39,31,18,21,10,8,10,13,5,7,17,15,25,21,24,23,23,14,11,7,6,12,0,0,22,15,15,16,0,7,9,4,2,1,18,19,18,19,10,11,3,3,12,7,3,2,14,7,16,10,27,18,9,12,11,5,18,8,22,21,13,9,22,26,0,3,7,11,11,17,0,0,5,7,3,3,1,1,8,10,3,7,7,8,1,2,21,21,"1,010",931,"1,941"
51,7,8,23,20,11,6,23,16,12,9,11,6,34,23,29,21,21,19,6,4,3,1,8,6,8,10,26,23,64,60,8,1,12,4,11,8,10,6,9,6,9,13,6,6,15,17,11,15,7,7,12,3,12,12,4,8,14,13,9,9,7,16,2,2,0,0,8,10,19,15,6,2,14,9,18,15,13,17,38,45,12,15,6,10,12,12,7,8,26,17,18,24,25,19,17,15,16,11,7,5,0,0,13,12,17,22,3,5,3,11,2,1,33,29,15,12,6,6,3,3,6,9,6,9,20,17,17,13,20,18,16,18,12,11,11,10,17,21,18,16,27,23,3,4,8,7,15,14,0,0,6,2,4,5,2,4,8,7,7,3,7,6,2,5,12,18,"1,045",968,"2,013"
52,3,3,22,22,7,12,20,19,8,8,6,16,27,23,25,34,9,10,5,6,4,1,1,2,10,9,23,18,85,65,5,5,10,13,4,10,2,5,18,14,8,14,4,2,18,11,10,13,4,6,8,13,18,9,8,5,14,18,10,11,11,13,3,4,0,0,15,15,22,18,6,4,17,13,16,9,14,23,52,39,13,15,14,11,11,24,1,3,21,20,31,28,21,24,24,14,16,13,11,5,0,0,11,9,18,25,6,7,2,4,4,2,29,19,21,17,8,9,5,1,8,6,4,5,22,15,17,15,16,15,11,8,10,17,12,4,21,12,16,12,21,26,4,7,4,13,14,14,0,0,2,8,11,7,2,5,8,5,7,2,3,4,4,7,16,21,"1,052","1,013","2,065"
53,9,10,23,24,9,9,19,15,7,11,12,3,24,17,20,22,18,10,5,3,0,1,6,2,6,6,28,28,87,45,5,7,7,9,5,9,10,14,12,13,10,5,2,2,8,17,15,18,13,5,5,8,10,7,4,11,9,17,11,6,11,7,5,1,0,0,12,15,11,10,3,3,12,16,12,21,10,17,37,30,18,19,6,9,11,7,3,6,22,12,24,19,15,14,13,16,13,14,6,5,0,0,23,15,15,16,6,8,6,3,0,1,18,16,18,13,6,7,2,3,5,5,6,7,21,27,13,8,12,16,15,13,11,13,14,7,16,15,12,13,14,19,0,3,10,11,11,15,0,0,4,7,2,6,1,1,4,2,5,2,4,2,2,8,13,17,932,894,"1,826"
54,6,8,17,17,11,11,13,11,9,8,3,7,29,23,22,17,15,9,5,6,0,1,2,4,15,13,25,20,55,54,5,3,6,7,8,8,5,6,20,11,9,12,2,3,14,18,9,10,11,5,5,11,7,9,5,3,10,17,9,20,15,7,1,3,0,1,14,10,23,9,5,7,11,14,13,15,22,15,33,42,18,20,11,4,8,9,3,4,17,18,19,6,15,23,18,17,13,9,4,10,0,0,11,15,13,30,3,7,6,7,5,2,22,15,13,18,8,7,4,4,4,5,7,1,18,15,14,16,15,6,15,8,15,12,9,11,12,14,16,19,19,18,5,3,5,8,18,15,0,0,10,7,5,7,0,4,3,7,2,2,5,5,3,3,26,22,926,908,"1,834"
55,8,7,28,21,8,7,18,13,10,8,5,5,13,15,24,14,17,18,1,1,1,4,5,2,8,5,18,14,69,48,4,6,6,3,10,3,7,4,15,12,7,8,6,3,12,14,12,9,11,7,4,8,13,8,4,4,19,18,3,9,17,12,2,4,0,0,11,14,18,13,0,3,6,8,12,15,13,16,30,36,18,17,8,6,10,6,4,2,16,14,15,19,18,16,20,24,10,13,7,7,0,0,15,14,20,17,2,5,9,4,4,3,18,20,14,17,11,13,3,2,4,9,3,9,17,19,17,9,12,17,10,11,9,13,9,8,11,19,15,10,15,24,1,2,8,14,14,20,0,0,4,3,2,2,1,4,4,5,2,2,8,2,1,3,20,21,884,864,"1,748"
56,9,6,13,18,8,6,12,11,5,8,7,5,21,13,16,16,8,7,2,3,2,0,2,4,5,7,21,19,45,52,3,8,7,6,8,3,8,6,16,13,10,10,8,7,12,13,9,10,7,7,8,4,7,9,7,11,12,13,14,9,11,12,1,2,0,0,12,8,11,9,3,3,10,13,8,6,16,15,34,21,18,17,3,8,7,6,2,8,18,11,19,19,22,16,16,24,3,8,7,9,0,0,9,7,18,15,1,3,7,9,3,1,22,17,17,12,5,11,3,1,8,4,8,7,16,20,6,11,16,15,7,4,10,8,5,4,14,18,13,8,17,17,2,3,7,14,13,14,0,0,2,3,7,3,0,2,5,5,2,4,9,8,3,6,19,29,807,802,"1,609"
57,9,4,16,11,12,6,11,11,3,4,7,8,13,15,19,12,11,11,6,1,1,1,1,2,8,11,22,17,47,43,2,5,8,8,8,6,8,2,11,7,6,2,2,1,15,8,16,12,8,10,10,7,9,6,5,4,13,24,8,8,15,17,1,1,1,0,11,10,7,11,3,1,9,5,10,21,20,12,33,25,11,20,7,9,4,10,4,5,12,15,18,30,15,17,13,12,5,8,6,10,0,0,15,16,20,28,6,4,6,5,6,2,16,14,15,12,8,11,2,1,5,5,4,2,19,13,13,7,11,18,6,11,13,17,5,13,9,19,13,7,23,16,4,0,6,7,10,16,0,0,4,7,3,5,2,1,2,5,2,2,5,3,1,4,10,16,784,793,"1,577"
58,3,9,12,14,9,10,14,20,9,9,2,6,9,20,16,13,10,13,2,7,1,3,3,4,8,7,17,13,30,34,2,3,5,4,6,6,7,3,10,7,9,4,2,4,7,10,11,15,12,14,8,10,5,8,9,7,18,14,8,15,16,18,1,1,1,2,11,9,13,9,3,2,5,7,11,14,7,15,26,17,16,8,7,10,10,8,3,3,13,14,12,10,13,20,16,16,9,12,6,4,0,0,12,9,28,22,1,1,8,3,1,2,19,20,21,18,12,17,7,3,7,3,5,6,9,24,12,13,13,20,9,12,15,21,9,9,12,18,7,11,22,20,3,4,10,7,13,15,0,0,4,7,1,3,1,2,5,11,3,7,8,6,0,4,18,22,758,845,"1,603"
59,5,7,17,14,9,5,12,18,8,4,5,3,18,16,15,15,4,9,4,3,1,2,4,5,8,2,23,13,47,40,6,3,5,6,9,3,2,5,12,8,3,8,2,5,12,11,12,12,8,15,6,6,8,9,5,8,13,10,6,8,13,17,1,6,1,1,6,8,6,8,0,1,4,6,17,16,15,13,21,20,18,17,5,6,10,16,5,4,19,9,12,15,22,20,17,23,10,10,7,4,0,0,12,14,15,28,6,4,4,8,1,1,15,15,13,30,9,19,4,6,6,6,2,3,15,14,11,6,16,17,9,11,20,25,8,4,15,11,12,3,17,15,1,6,11,12,17,16,0,0,4,6,8,4,2,2,2,4,2,4,4,12,3,3,18,31,780,833,"1,613"
60,1,7,12,17,9,6,9,16,12,11,6,3,14,12,6,7,7,8,2,5,1,0,5,4,7,6,13,7,44,37,3,4,5,9,5,8,4,4,10,6,5,5,5,1,8,10,12,15,16,12,5,4,5,9,12,6,8,21,5,14,7,14,4,5,0,0,8,2,8,14,2,2,9,10,6,9,19,19,18,14,22,17,4,9,9,9,2,3,13,13,19,11,17,24,21,27,11,13,8,8,0,0,8,10,17,40,0,16,4,7,4,6,14,17,14,26,18,19,5,1,6,8,1,9,17,12,12,12,19,12,4,9,16,20,8,9,11,11,9,4,12,18,2,6,9,13,16,11,0,0,6,3,4,3,2,1,8,6,3,6,6,6,5,7,20,17,743,842,"1,585"
61,7,11,11,8,11,6,14,8,8,9,6,8,5,19,11,16,8,9,5,2,2,1,4,2,5,6,11,11,51,37,4,0,5,4,5,7,6,4,5,13,7,6,2,2,11,10,8,13,6,6,9,4,10,13,5,7,12,14,8,19,21,15,2,2,0,0,7,9,13,4,3,1,10,7,17,15,12,27,16,21,16,17,4,3,9,12,5,6,11,13,20,17,18,25,13,18,12,11,5,9,0,0,12,18,25,40,5,9,6,7,2,4,17,14,16,25,11,22,4,6,5,12,4,9,12,13,11,13,22,20,11,19,12,25,9,9,13,21,3,7,12,26,6,8,14,19,18,12,0,0,6,7,5,11,0,3,3,7,7,3,4,7,4,5,26,20,781,928,"1,709"
62,5,3,9,11,8,10,11,11,4,5,6,6,14,11,16,13,7,12,4,4,1,0,6,4,2,5,13,16,40,35,5,6,5,3,6,12,6,6,12,8,6,5,7,2,7,7,16,9,7,10,2,8,8,9,4,7,15,17,11,20,11,20,2,11,1,1,10,7,9,5,3,3,7,3,17,11,15,19,18,21,11,28,6,3,3,11,2,4,15,8,17,24,12,26,25,17,18,11,9,5,0,0,15,16,28,42,3,7,5,11,0,6,16,13,24,23,14,28,5,4,5,11,9,6,13,9,11,16,17,27,14,19,14,19,5,12,12,8,10,5,16,24,3,7,7,21,12,22,0,0,5,4,6,4,5,3,7,11,5,7,4,4,4,4,19,25,787,931,"1,718"
63,4,6,11,9,1,8,14,13,6,8,7,5,29,15,10,16,9,7,4,5,1,1,5,6,6,2,14,13,40,47,4,3,8,6,6,11,9,6,8,13,3,4,0,8,7,8,14,12,8,11,9,8,8,10,12,17,14,13,14,21,18,26,3,10,1,0,9,8,2,5,1,2,3,6,8,12,20,23,24,21,21,21,4,5,12,13,10,3,10,15,19,15,21,26,17,26,14,14,4,8,0,0,14,9,35,49,5,7,5,5,3,3,17,11,14,21,17,20,3,4,7,8,6,7,10,21,13,13,16,26,14,16,21,19,8,15,12,9,5,5,12,21,7,5,11,16,10,16,1,0,8,5,4,5,2,6,6,1,4,6,9,5,5,10,21,22,831,957,"1,788"
64,12,10,15,16,4,10,19,14,12,7,5,2,21,26,13,10,12,12,5,2,5,3,3,6,5,5,18,13,29,41,6,8,6,6,13,10,3,3,10,10,6,6,4,6,11,7,9,11,8,12,6,9,7,10,11,13,14,11,11,21,17,24,4,2,0,1,4,6,10,10,4,1,6,8,10,5,19,25,22,19,18,29,6,8,16,20,0,4,10,11,20,21,26,23,21,24,13,15,16,7,0,0,10,12,23,46,12,13,4,11,4,7,15,20,32,26,22,17,5,8,9,9,6,12,17,17,5,16,14,30,16,23,18,43,6,8,15,8,9,10,12,23,3,4,16,26,23,19,0,0,3,5,10,8,3,3,3,7,7,3,4,6,2,4,20,27,893,"1,054","1,947"
65,4,9,18,15,6,6,12,8,7,10,9,6,15,18,18,13,9,14,2,3,1,1,6,4,4,9,8,7,35,38,5,7,8,6,15,26,5,1,8,11,7,3,1,2,9,10,16,14,6,12,4,12,7,7,13,14,17,22,25,26,20,25,7,8,0,0,10,4,12,6,2,2,5,9,12,21,19,25,19,20,25,18,5,7,12,16,3,4,16,10,19,20,26,19,27,32,7,15,11,10,0,0,17,16,45,37,6,12,7,10,1,4,19,18,31,33,29,32,5,6,11,9,6,11,17,19,13,10,20,33,19,28,26,23,12,14,14,12,7,11,21,24,5,6,20,23,15,15,0,0,3,2,8,7,2,1,6,8,4,8,14,10,2,6,25,28,987,"1,081","2,068"
66,13,13,10,18,12,7,9,14,3,11,5,5,28,19,16,9,8,7,2,7,1,1,6,4,8,4,10,10,43,46,3,6,8,6,15,16,2,4,7,10,10,7,4,7,10,13,13,14,14,11,6,8,8,11,24,17,11,34,18,34,21,15,6,10,0,0,5,7,7,10,1,4,9,6,17,16,16,18,23,27,33,27,6,8,14,19,5,7,9,12,18,30,25,30,32,20,16,30,2,11,0,0,15,20,36,38,7,13,15,15,4,7,24,24,23,28,28,25,5,3,16,11,12,5,22,20,13,12,33,40,31,36,16,18,11,23,11,9,7,5,15,24,4,12,14,27,10,21,0,0,2,6,5,5,3,4,11,18,3,4,10,14,4,15,20,24,"1,022","1,206","2,228"
67,7,8,9,19,6,6,15,28,13,12,4,9,12,19,15,18,20,12,4,3,0,5,5,8,4,4,11,13,39,48,4,5,6,5,12,20,5,2,17,9,5,6,8,7,7,11,17,11,12,17,10,10,9,7,12,15,13,19,26,30,35,31,12,11,0,0,6,6,11,8,1,4,10,11,16,15,38,23,27,29,24,34,6,8,22,23,5,16,17,19,22,29,30,35,29,40,12,22,9,12,0,0,11,18,46,58,13,21,8,14,3,13,24,30,25,33,24,24,6,3,6,11,11,17,19,18,11,8,32,44,28,32,35,30,22,24,7,16,6,7,28,34,8,11,25,26,18,22,0,0,7,4,11,10,4,5,14,14,7,5,15,13,7,8,34,23,"1,174","1,358","2,532"
68,7,9,23,15,6,6,14,21,14,12,3,6,25,26,16,25,9,10,6,3,3,5,7,7,6,6,15,14,44,50,9,5,6,10,13,15,4,5,10,18,11,10,4,3,8,10,14,20,17,22,17,16,10,25,15,19,18,18,29,35,24,34,17,17,2,0,7,8,5,9,3,2,12,9,9,10,28,21,18,30,29,30,9,13,26,34,3,6,19,14,29,24,28,40,33,44,21,35,13,15,0,0,23,22,45,54,8,14,18,15,11,5,16,24,37,46,21,24,11,9,10,14,16,18,10,17,12,13,49,54,37,43,28,41,5,13,11,13,10,5,34,32,9,14,32,44,24,18,0,0,3,3,8,7,8,4,12,12,7,8,9,13,9,8,33,23,"1,284","1,471","2,755"
69,7,8,20,16,8,11,16,16,9,8,8,4,23,23,18,15,13,14,4,6,6,3,8,5,5,3,10,9,44,37,7,3,3,11,24,15,5,7,12,13,5,10,6,4,13,9,18,23,16,16,13,16,15,19,16,20,21,32,49,44,37,34,10,13,0,1,8,5,5,9,3,8,5,6,10,13,30,17,21,29,31,34,6,9,19,31,11,16,12,12,25,26,33,43,38,46,23,42,8,11,0,0,21,20,52,54,17,18,12,14,9,10,18,24,37,47,30,27,3,12,17,23,19,6,11,16,9,17,48,49,35,47,35,41,18,20,9,8,7,6,32,37,15,9,23,47,22,13,0,0,4,7,6,11,5,7,9,20,5,10,9,21,12,16,24,29,"1,330","1,511","2,841"
70,9,5,9,15,3,13,16,15,6,3,1,11,16,17,11,11,10,15,3,1,0,2,6,9,3,4,4,12,39,47,3,3,10,9,10,13,6,5,19,6,5,8,4,2,8,6,10,20,10,12,11,8,13,13,16,23,13,14,21,24,15,23,12,5,1,0,4,4,5,5,1,6,6,5,10,9,14,9,20,20,11,20,3,5,11,26,8,6,9,9,23,18,23,47,32,30,23,29,10,9,0,0,12,16,46,42,11,6,11,15,7,6,21,14,35,34,10,15,9,6,7,12,10,9,11,10,7,5,24,35,24,42,30,24,15,8,4,7,5,6,31,23,13,14,25,29,16,11,0,0,3,6,9,5,5,8,20,11,6,5,9,8,9,16,21,21,"1,002","1,100","2,102"
71,5,1,4,10,10,9,6,17,6,8,5,4,8,16,7,10,6,7,2,4,1,0,5,4,2,2,8,7,21,25,0,5,4,4,9,12,4,2,9,6,7,9,4,4,4,12,8,10,9,5,6,4,6,8,7,11,7,8,26,23,17,26,7,4,0,0,7,3,3,6,0,0,4,2,9,7,20,9,15,20,20,23,5,5,14,21,10,3,5,5,14,13,18,21,22,34,16,34,1,1,0,0,9,15,37,29,12,11,9,13,5,3,16,19,22,18,16,18,1,10,7,18,4,14,3,6,3,4,24,21,14,13,23,17,9,9,2,5,1,3,22,22,7,10,18,26,8,4,0,0,2,4,3,4,3,4,8,12,3,6,6,8,7,14,20,14,737,858,"1,595"
