22/04/01 07:00,0.001,0.008,0.043,1.99,0.05,0.003, N ,3.0,0.000,0.005,0.047,0.002, N ,2.0,0.000,0.004,0.045,0.004, N ,2.5,0.002,0.010,0.041,0.004, N ,1.7,0.000,0.001,0.014,0.038,0.005, N ,3.6,0.003,0.016,0.003,SSE,0.9,0.004,0.012,0.003,NNW,1.8,0.004,0.015,0.004,NE ,1.1,0.007,0.012,0.004, E ,1.5
22/04/01 08:00,0.002,0.017,0.035,2.00,0.07,0.006, E ,5.0,0.000,0.010,0.042,0.004,NE ,2.5,0.000,0.010,0.039,0.005,NNE,0.9,0.002,0.017,0.033,0.004,NE ,2.3,0.001,0.003,0.023,0.030,0.006,ENE,4.2,0.005,0.027,0.006,ESE,1.7,0.008,0.019,0.003,NNW,1.6,0.004,0.021,0.005,SW ,0.5,0.005,0.022,0.005,SSE,0.6
22/04/01 09:00,0.003,0.026,0.025,2.02,0.08,0.002, E ,4.7,0.003,0.025,0.026,0.004,ENE,2.7,0.002,0.024,0.025,0.006,ESE,1.0,0.006,0.018,0.031,0.006,NE ,2.4,0.000,0.003,0.015,0.034,0.004,ENE,3.4,0.009,0.034,0.003,ESE,1.1,0.024,0.035,0.006, W ,1.0,0.004,0.015,0.004,SW ,0.5,0.001,0.011,0.003,SE ,0.7
22/04/01 10:00,0.012,0.034,0.016,2.02,0.12,0.005, E ,3.5,0.005,0.025,0.026,0.005,NNE,3.6,0.005,0.029,0.019,0.005,NNE,0.9,0.013,0.030,0.019,0.006,NE ,2.4,0.001,0.010,0.030,0.022,0.005,NNE,4.3,0.020,0.041,0.006,SE ,0.8,0.023,0.035,0.005,NNW,0.9,0.007,0.028,0.004,SSE,0.4,0.003,0.016,0.005,ESE,0.7
22/04/01 11:00,0.010,0.027,0.025,2.01,0.10,0.006, E ,4.0,0.003,0.013,0.038,0.005,NNE,4.0,0.004,0.022,0.026,0.004,NNE,1.2,0.013,0.029,0.022,0.004,NE ,2.3,0.001,0.013,0.028,0.024,0.005,ENE,3.4,0.012,0.034,0.006,SE ,1.1,0.022,0.032,0.003,NNW,1.5,0.010,0.027,0.006,SE ,0.5,0.006,0.021,0.007,SE ,0.6
22/04/01 12:00,0.007,0.020,0.031,2.01,0.10,0.010,NE ,2.3,0.003,0.011,0.041,0.006,NNE,3.9,0.002,0.011,0.037,0.007, N ,2.0,0.012,0.024,0.027,0.010,NE ,1.9,0.001,0.007,0.018,0.033,0.009,NE ,2.3,0.009,0.029,0.007,SE ,0.9,0.008,0.016,0.008,NNW,2.5,0.010,0.024,0.009,SW ,0.4,0.003,0.012,0.010,SE ,0.6
22/04/01 13:00,0.007,0.016,0.036,2.01,0.10,0.009, E ,4.0,0.002,0.009,0.045,0.006,NNE,2.5,0.002,0.010,0.041,0.010,NNE,1.1,0.006,0.016,0.034,0.010,ENE,2.2,0.001,0.006,0.014,0.037,0.009,ENE,3.2,0.008,0.026,0.010,ESE,1.2,0.004,0.010,0.009,NNW,2.2,0.007,0.019,0.009,SSW,0.5,0.003,0.010,0.011,SE ,0.7
22/04/01 14:00,0.004,0.014,0.040,1.99,0.09,0.007,NE ,3.7,0.001,0.006,0.050,0.006,NNW,4.5,0.002,0.009,0.043,0.007, N ,4.5,0.006,0.015,0.038,0.008,NE ,1.9,0.001,0.006,0.014,0.040,0.009, N ,2.2,0.005,0.021,0.006,SSE,1.3,0.010,0.018,0.006,NNW,2.9,0.006,0.015,0.007,NE ,1.0,0.004,0.012,0.009, E ,1.8
22/04/01 15:00,0.003,0.007,0.048,1.99,0.09,0.006, N ,7.1,0.001,0.003,0.054,0.006, N ,4.4,0.000,0.003,0.051,0.004,NNE,5.1,0.003,0.008,0.047,0.003,NW ,3.2,0.001,0.008,0.019,0.039,0.006,NNW,6.4,0.004,0.017,0.006,WSW,2.1,0.004,0.009,0.007,NNW,3.9,0.004,0.010,0.006,NNW,1.7,0.005,0.014,0.006, N ,3.5
22/04/01 16:00,0.002,0.006,0.049,1.99,0.08,0.007, N ,7.3,0.001,0.004,0.053,0.007, N ,4.7,0.000,0.003,0.051,0.008, N ,5.3,0.002,0.006,0.049,0.006, N ,3.2,0.001,0.009,0.019,0.041,0.006,NNW,5.1,0.003,0.011,0.007,NW ,2.0,0.003,0.008,0.008,NW ,4.3,0.004,0.009,0.008,NE ,2.0,0.003,0.011,0.006,NNE,2.9
22/04/01 17:00,0.001,0.006,0.048,2.00,0.09,0.007, N ,6.8,0.001,0.004,0.053,0.008,NNE,5.1,0.000,0.003,0.051,0.007, N ,5.9,0.002,0.008,0.048,0.007,NNE,4.0,0.001,0.003,0.016,0.043,0.007, N ,5.4,0.003,0.013,0.009, W ,1.2,0.002,0.007,0.008,NNW,4.0,0.002,0.008,0.008,NE ,2.7,0.005,0.010,0.006,NNW,3.6
22/04/01 18:00,0.001,0.006,0.048,1.99,0.07,0.006, N ,5.5,0.000,0.005,0.052,0.007, N ,5.3,0.001,0.004,0.049,0.009, N ,6.7,0.001,0.007,0.047,0.009, N ,2.5,0.001,0.001,0.015,0.043,0.007, N ,6.7,0.002,0.012,0.008, W ,1.5,0.002,0.007,0.006,NNW,3.3,0.002,0.009,0.009,NE ,2.0,0.003,0.013,0.008,NNW,2.8
22/04/01 19:00,0.001,0.008,0.046,2.00,0.08,0.007, N ,4.5,0.000,0.005,0.050,0.007, N ,4.8,0.000,0.004,0.049,0.011, N ,4.1,0.001,0.008,0.046,0.008,NNW,2.2,0.001,0.001,0.014,0.043,0.010, N ,5.5,0.002,0.013,0.009,WNW,1.2,0.002,0.008,0.010,NNW,2.8,0.001,0.009,0.008,NNW,1.2,0.004,0.018,0.010,NE ,2.6
22/04/01 20:00,0.000,0.009,0.045,2.02,0.09,0.010, N ,5.7,0.000,0.005,0.051,0.006, N ,4.1,0.000,0.004,0.048,0.010, N ,5.6,0.001,0.007,0.046,0.009,NNW,2.8,0.001,0.001,0.015,0.042,0.009,NNW,5.3,0.002,0.013,0.009,WNW,1.2,0.001,0.007,0.009,NNW,2.6,0.002,0.008,0.010,NNW,2.1,0.003,0.015,0.009,NNW,3.2
22/04/01 21:00,0.000,0.008,0.047,2.02,0.08,0.010, N ,4.5,0.000,0.005,0.050,0.009, N ,4.1,0.000,0.005,0.048,0.010, N ,4.4,0.001,0.007,0.046,0.010,NNW,1.9,0.001,0.000,0.014,0.042,0.008, N ,3.2,0.001,0.010,0.010,WNW,1.2,0.001,0.007,0.008,NNW,2.9,0.001,0.009,0.009,NE ,1.4,0.004,0.017,0.011, N ,1.8
22/04/01 22:00,0.000,0.007,0.047,2.02,0.07,0.009, N ,4.8,0.000,0.006,0.050,0.010,NNE,2.7,0.000,0.006,0.047,0.009, N ,3.9,0.001,0.007,0.047,0.010, N ,2.5,0.001,0.000,0.015,0.041,0.010, N ,3.4,0.001,0.013,0.009, W ,1.3,0.001,0.007,0.010,NNW,2.6,0.001,0.008,0.010,NE ,1.9,0.004,0.017,0.012,NNE,1.9
22/04/01 23:00,0.000,0.007,0.046,2.03,0.08,0.010, N ,4.8,0.000,0.006,0.048,0.010,NNE,2.7,0.000,0.006,0.046,0.010, N ,2.3,0.000,0.007,0.046,0.010,NNE,2.3,0.001,0.001,0.017,0.040,0.010,NNW,5.4,0.001,0.011,0.009, W ,1.0,0.001,0.008,0.010,NNW,1.9,0.001,0.009,0.010,NE ,1.5,0.004,0.015,0.011,NNE,2.1
22/04/02 00:00,0.000,0.006,0.046,2.03,0.07,0.007,NNE,4.0,0.000,0.006,0.047,0.008,NNE,3.5,0.000,0.006,0.044,0.009, N ,3.0,0.001,0.007,0.046,0.010,NNE,2.0,0.000,0.001,0.015,0.042,0.008,NNW,4.3,0.001,0.011,0.011,WSW,1.1,0.001,0.008,0.008,NNW,2.3,0.001,0.008,0.009,ENE,1.3,0.002,0.013,0.007,NNE,2.1
22/04/02 01:00,0.000,0.006,0.046,2.03,0.08,0.011, N ,5.3,0.000,0.005,0.047,0.008, N ,3.5,0.000,0.005,0.045,0.010, N ,3.8,0.000,0.006,0.045,0.007,NNW,2.0,0.000,0.000,0.013,0.042,0.011,NNW,4.6,0.001,0.010,0.008,NW ,1.2,0.001,0.007,0.008,NNW,2.4,0.001,0.007,0.007,NE ,1.7,0.001,0.012,0.007,NNE,2.2
22/04/02 02:00,0.000,0.005,0.048,2.02,0.06,0.010, N ,6.3,保守中,保守中,0.049,0.007, N ,3.1,0.000,0.004,0.047,0.010, N ,4.6,保守中,保守中,0.047,0.011,NNW,1.9,0.001,0.001,0.011,0.045,0.013,NNW,5.2,0.001,0.006,0.010,WNW,1.5,保守中,保守中,0.008,NNW,2.9,0.001,0.006,0.007,NE ,2.0,保守中,保守中,0.010,NNW,3.1
22/04/02 03:00,0.000,0.005,0.046,2.02,0.06,0.010, N ,5.1,0.000,0.004,0.049,0.009, N ,3.5,0.000,0.003,0.047,0.011, N ,4.4,0.000,0.004,0.047,0.009,NNW,2.5,0.001,0.000,0.010,0.044,0.008,NNW,5.4,0.001,0.006,0.009,NW ,1.3,0.001,0.006,0.009,NNW,2.7,0.001,0.005,0.010,NNE,1.4,0.003,0.008,0.010,NNW,3.0
22/04/02 04:00,0.000,0.005,0.046,2.01,0.06,0.009,NNE,4.0,0.000,0.004,0.048,0.010,NNE,3.2,0.000,0.003,0.046,0.011, N ,4.0,0.000,0.005,0.045,0.010,NNE,1.9,0.000,0.001,0.012,0.041,0.010, N ,4.3,0.001,0.008,0.010,SW ,1.2,0.001,0.006,0.009,NNW,2.7,0.001,0.007,0.008,ENE,1.1,0.002,0.010,0.009,NNE,1.4
22/04/02 05:00,0.000,0.009,0.042,2.02,0.07,0.010,NE ,2.8,0.000,0.006,0.045,0.010,NNE,2.7,0.000,0.005,0.043,0.012,NNE,1.8,0.000,0.009,0.041,0.010,NE ,2.3,0.001,0.001,0.015,0.037,0.010,NNE,2.9,0.001,0.012,0.010,SSW,1.0,0.000,0.007,0.011,NNW,1.7,0.001,0.011,0.008,ENE,1.1,0.001,0.012,0.010,ENE,2.2
22/04/02 06:00,0.001,0.015,0.036,2.03,0.07,0.012,ENE,3.0,0.000,0.009,0.040,0.011,NE ,1.7,0.000,0.008,0.037,0.012,NNE,0.5,0.000,0.015,0.034,0.014,NE ,1.4,0.001,0.001,0.017,0.034,0.008,NNE,2.1,0.003,0.020,0.008, S ,0.6,0.002,0.011,0.012,NNW,0.9,0.001,0.017,0.011,ENE,0.8,0.000,0.011,0.011,ESE,0.8
22/04/02 07:00,0.002,0.014,0.037,2.03,0.07,0.018, E ,3.8,0.001,0.010,0.041,0.012,NE ,2.4,0.001,0.012,0.035,0.011,ENE,0.7,0.002,0.017,0.033,0.013,ENE,1.4,0.001,0.003,0.016,0.035,0.008,ENE,3.5,0.003,0.021,0.010,SE ,1.0,0.012,0.024,0.012,NNW,1.1,0.003,0.019,0.013,NE ,0.8,0.002,0.014,0.010,SE ,0.7
22/04/02 08:00,0.003,0.013,0.039,2.02,0.07,0.012, E ,4.2,0.001,0.008,0.044,0.011,ENE,2.9,0.001,0.011,0.038,0.012,NNE,0.9,0.002,0.012,0.038,0.011,NE ,1.9,0.001,0.005,0.017,0.036,0.009,NNE,3.2,0.004,0.020,0.011,ESE,1.2,0.012,0.020,0.012,NNW,1.2,0.004,0.015,0.010,SW ,0.4,0.003,0.012,0.011,ESE,0.8
22/04/02 09:00,0.003,0.010,0.043,2.02,0.06,0.009,ENE,2.4,0.002,0.008,0.045,0.011,NNE,2.0,0.001,0.010,0.042,0.010,ESE,1.2,0.007,0.015,0.039,0.011,NE ,2.3,0.001,0.005,0.014,0.039,0.008,ENE,2.7,0.004,0.017,0.012, S ,0.7,0.008,0.014,0.011, S ,1.6,0.005,0.013,0.013,SSE,0.6,0.002,0.009,0.011,ENE,2.1
22/04/02 10:00,0.003,0.009,0.045,2.02,0.06,0.010,ESE,3.8,0.002,0.008,0.046,0.009,ESE,1.6,0.001,0.009,0.044,0.009,NNE,0.9,0.024,0.024,0.034,0.009,ENE,1.9,0.001,0.003,0.010,0.044,0.007, E ,2.6,0.003,0.016,0.013,ESE,1.0,0.008,0.014,0.010, N ,1.5,0.006,0.013,0.011,SSW,0.5,0.002,0.008,0.011,ESE,0.6
22/04/02 11:00,0.002,0.006,0.050,2.01,0.07,0.011,SE ,2.8,0.002,0.007,0.049,0.010,SE ,2.3,0.001,0.008,0.047,0.011,SE ,1.8,0.026,0.023,0.037,0.010,ESE,1.5,0.001,0.002,0.007,0.049,0.008,ENE,2.1,0.004,0.018,0.010,ESE,1.0,0.010,0.015,0.012, S ,1.7,0.003,0.009,0.012, N ,0.7,0.001,0.006,0.011,ESE,1.0
22/04/02 12:00,0.002,0.008,0.052,2.00,0.07,0.011,SE ,3.1,0.001,0.006,0.054,0.010,ENE,2.7,0.001,0.007,0.052,0.010,SE ,2.7,0.031,0.028,0.039,0.012,ENE,1.8,0.001,0.002,0.009,0.049,0.010,ENE,2.2,0.003,0.018,0.013,ESE,0.9,0.008,0.015,0.010,NNW,1.5,0.004,0.012,0.010,WSW,0.6,0.002,0.009,0.013, E ,1.2
22/04/02 13:00,0.001,0.007,0.057,2.01,0.08,0.011,ESE,2.4,0.001,0.006,0.056,0.010,SE ,2.2,0.001,0.007,0.054,0.011,SE ,2.3,0.011,0.018,0.047,0.013, E ,1.6,0.002,0.002,0.008,0.051,0.013,ENE,1.8,0.002,0.016,0.013,ESE,1.0,0.006,0.012,0.014,WNW,1.3,0.003,0.011,0.011,NE ,1.2,0.002,0.011,0.017,SSE,0.6
22/04/02 14:00,0.002,0.009,0.057,2.01,0.08,0.011,ESE,4.7,0.001,0.008,0.057,0.011,NE ,1.7,0.001,0.009,0.053,0.014,SSW,3.0,0.013,0.022,0.043,0.014, S ,1.4,0.003,0.002,0.009,0.058,0.012,ENE,1.8,0.002,0.016,0.012,SE ,1.0,0.005,0.015,0.017, S ,1.8,0.003,0.013,0.013,SSW,0.5,0.002,0.011,0.016, S ,0.7
22/04/02 15:00,0.001,0.008,0.059,2.01,0.08,0.011, E ,3.0,0.001,0.009,0.059,0.014,ENE,2.7,0.001,0.009,0.054,0.014,SE ,2.4,0.023,0.031,0.042,0.013, E ,1.6,0.003,0.002,0.011,0.059,0.010, E ,1.8,0.002,0.015,0.013,ESE,1.0,0.005,0.016,0.016,SSW,1.6,0.004,0.014,0.012,WNW,0.7,0.002,0.011,0.014,ESE,0.7
22/04/02 16:00,0.001,0.008,0.056,2.01,0.08,0.012,ESE,4.5,0.001,0.008,0.057,0.011,SE ,3.1,0.001,0.007,0.054,0.011,SE ,2.0,0.023,0.024,0.043,0.013, E ,2.3,0.002,0.002,0.009,0.056,0.009, E ,2.8,0.002,0.016,0.012,ESE,0.8,0.004,0.013,0.010, S ,1.6,0.002,0.010,0.010,SW ,0.4,0.001,0.010,0.012,SSE,0.4
22/04/02 17:00,0.001,0.008,0.052,2.02,0.09,0.009,SE ,5.2,0.001,0.007,0.055,0.010,SE ,2.5,0.001,0.008,0.051,0.010,ESE,3.3,0.012,0.014,0.044,0.014, E ,3.0,0.002,0.001,0.009,0.050,0.012,ESE,2.7,0.002,0.017,0.010,ESE,0.9,0.003,0.013,0.011, S ,2.8,0.002,0.011,0.010,NE ,0.4,0.002,0.009,0.010,SSE,1.5
22/04/02 18:00,0.000,0.010,0.047,2.04,0.11,0.008,SE ,4.6,0.001,0.010,0.048,0.012, E ,2.8,0.000,0.008,0.046,0.013,ESE,4.0,0.001,0.009,0.045,0.011, E ,2.1,0.003,0.001,0.011,0.045,0.007,SE ,3.2,0.002,0.019,0.010,ESE,0.7,0.002,0.011,0.011, S ,2.1,0.002,0.010,0.009, W ,0.5,0.001,0.010,0.008,SSE,1.3
22/04/02 19:00,0.000,0.010,0.044,2.03,0.09,0.009,SE ,5.2,0.000,0.010,0.045,0.009,SE ,3.2,0.000,0.009,0.044,0.011,ESE,4.1,0.000,0.008,0.044,0.008,ESE,2.0,0.002,0.000,0.012,0.043,0.008,SE ,3.4,0.001,0.017,0.011,ESE,0.9,0.003,0.010,0.008, S ,2.3,0.001,0.009,0.010,ENE,0.5,0.001,0.009,0.008,SSE,1.1
22/04/02 20:00,0.000,0.009,0.045,2.02,0.06,0.009,SE ,4.9,0.000,0.009,0.045,0.009,ESE,1.8,0.000,0.007,0.045,0.010,ESE,3.6,0.000,0.009,0.043,0.010, E ,2.6,0.001,0.000,0.011,0.043,0.009,SE ,3.6,0.002,0.017,0.010,ESE,1.0,0.002,0.008,0.010, S ,2.1,0.001,0.010,0.008,NE ,0.5,0.004,0.010,0.008, S ,1.2
22/04/02 21:00,0.000,0.011,0.043,2.03,0.06,0.010,SE ,3.3,0.000,0.011,0.043,0.008,ENE,1.9,0.000,0.010,0.042,0.014,ESE,2.5,0.000,0.007,0.044,0.011, E ,1.6,0.002,0.000,0.012,0.042,0.009,SE ,2.6,0.001,0.019,0.010,ESE,0.9,0.001,0.011,0.010, S ,1.3,0.001,0.011,0.009, W ,0.3,0.001,0.010,0.009,SSE,1.1
22/04/02 22:00,0.000,0.013,0.040,2.04,0.09,0.009,SE ,3.7,0.000,0.013,0.041,0.008, E ,1.3,0.000,0.013,0.039,0.012,ESE,2.5,0.000,0.011,0.040,0.010, E ,1.5,0.006,0.000,0.010,0.042,0.009, E ,2.3,0.001,0.018,0.010,ESE,0.7,0.002,0.016,0.010, S ,0.9,0.001,0.015,0.011, C ,0.2,0.001,0.017,0.009,SSE,0.6
22/04/02 23:00,0.000,0.012,0.040,2.05,0.09,0.011,ENE,2.5,0.000,0.011,0.041,0.009,ENE,1.9,0.000,0.011,0.039,0.010,ESE,1.2,0.000,0.012,0.039,0.009, E ,1.3,0.002,0.000,0.010,0.042,0.006,NE ,2.0,0.001,0.016,0.009,SSE,0.6,0.002,0.016,0.010,SSW,0.8,0.002,0.016,0.010, C ,0.2,0.001,0.015,0.010, S ,0.5
22/04/03 00:00,0.000,0.015,0.035,2.05,0.08,0.009,ENE,2.3,0.000,0.013,0.038,0.008,NE ,1.6,0.000,0.013,0.034,0.010, C ,0.3,0.000,0.012,0.036,0.010,NE ,1.2,0.001,0.001,0.013,0.037,0.009,NE ,1.8,0.001,0.018,0.012,SSE,0.5,0.001,0.015,0.009,NNW,0.9,0.000,0.013,0.011,SSE,0.3,0.000,0.011,0.009,ENE,1.5
22/04/03 01:00,0.000,0.015,0.036,2.04,0.08,0.009, E ,2.6,0.000,0.012,0.038,0.008,NE ,1.3,0.000,0.016,0.031,0.013, C ,0.4,0.000,0.015,0.033,0.012,NE ,1.1,0.001,0.000,0.017,0.033,0.009,ENE,2.4,0.000,0.016,0.010,SSW,0.7,0.001,0.015,0.010,NNW,0.8,保守中,保守中,0.010,ENE,0.4,0.000,0.013,0.010,SE ,0.4
22/04/03 02:00,保守中,保守中,0.033,2.04,0.09,0.008,NNE,1.6,0.000,0.011,0.039,0.009,NNE,1.2,保守中,保守中,0.034,0.010, N ,0.9,0.000,0.015,0.032,0.008,NNE,1.0,0.001,0.001,0.016,0.032,0.007, N ,2.1,保守中,保守中,0.010,SSE,0.5,0.001,0.013,0.010,NNW,1.0,0.001,0.015,0.009,NE ,1.0,0.000,0.013,0.011, E ,1.2
22/04/03 03:00,0.000,0.013,0.033,2.04,0.10,0.008,NNW,3.5,0.000,0.010,0.037,0.010,NNW,2.8,0.000,0.010,0.033,0.009,NNW,2.7,0.000,0.014,0.032,0.009,WNW,2.0,0.001,0.001,0.021,0.028,0.008,NNW,2.6,0.001,0.015,0.008,NW ,0.9,0.000,0.011,0.006,NNW,2.2,0.001,0.015,0.008,NW ,1.0,0.002,0.020,0.009,NNW,1.5
22/04/03 04:00,0.000,0.011,0.030,2.06,0.13,0.010,NNW,4.0,0.000,0.010,0.030,0.010,NNW,1.9,0.000,0.010,0.029,0.009, N ,3.5,0.000,0.011,0.029,0.009,WNW,1.9,0.001,0.001,0.016,0.030,0.008,NNW,3.3,0.002,0.015,0.012,NW ,1.0,0.000,0.011,0.010,NW ,2.5,0.001,0.012,0.009,NNW,1.2,0.002,0.017,0.008,NNW,2.6
22/04/03 05:00,0.000,0.009,0.030,2.04,0.11,0.009, N ,2.2,0.000,0.008,0.033,0.010, N ,2.6,0.000,0.007,0.031,0.010,NNW,3.1,0.000,0.009,0.030,0.011,NNW,1.3,0.001,0.001,0.015,0.029,0.010,NNW,2.4,0.002,0.013,0.010,NW ,1.0,0.001,0.008,0.010,NNW,2.0,0.002,0.010,0.006,NW ,1.0,0.004,0.018,0.010,NNW,2.7
22/04/03 06:00,0.000,0.011,0.030,2.04,0.12,0.011,NNW,2.9,0.000,0.008,0.034,0.010, N ,3.0,0.000,0.007,0.032,0.011,NNW,2.8,0.000,0.010,0.029,0.012,NW ,1.7,0.001,0.001,0.016,0.029,0.013,NNW,3.4,0.002,0.013,0.011,NW ,0.9,0.001,0.009,0.010,NW ,2.2,0.001,0.011,0.009,NNW,0.8,0.002,0.014,0.010,NNW,2.3
22/04/03 07:00,0.000,0.011,0.032,2.03,0.10,0.009, N ,2.7,0.000,0.008,0.037,0.009, N ,2.5,0.000,0.008,0.035,0.012, N ,2.9,0.000,0.009,0.034,0.008,NNW,1.7,0.001,0.001,0.014,0.030,0.011,NNW,3.4,0.002,0.012,0.010, W ,0.9,0.001,0.009,0.009,NW ,2.4,0.001,0.010,0.010,NE ,1.7,0.005,0.017,0.010,NW ,2.4
22/04/03 08:00,0.001,0.011,0.035,2.03,0.08,0.009, N ,3.9,0.001,0.008,0.038,0.008, N ,2.6,0.000,0.007,0.037,0.010, N ,3.8,0.001,0.011,0.034,0.010,NNW,1.6,0.001,0.001,0.015,0.030,0.012, N ,2.8,0.002,0.012,0.009,NW ,1.0,0.002,0.010,0.008,NW ,2.1,0.002,0.011,0.010,NE ,1.3,0.004,0.015,0.010,NW ,2.3
22/04/03 09:00,0.001,0.012,0.032,2.04,0.11,0.011,NNW,3.3,0.001,0.008,0.038,0.010, N ,2.2,0.001,0.008,0.037,0.009, N ,3.0,0.001,0.011,0.034,0.011,NW ,1.5,0.001,0.002,0.016,0.031,0.008,NNW,2.2,0.003,0.017,0.011,NW ,0.6,0.002,0.011,0.008,NW ,1.7,0.002,0.011,0.008,NW ,0.6,0.006,0.018,0.009,NNW,2.1
22/04/03 10:00,0.002,0.012,0.034,2.06,0.12,0.012, N ,3.5,0.002,0.010,0.036,0.010,NNW,2.7,0.001,0.009,0.035,0.010, N ,3.1,0.002,0.012,0.032,0.014,NNW,1.5,0.001,0.003,0.014,0.033,0.012,NNW,3.0,0.002,0.014,0.012,WNW,1.0,0.004,0.012,0.007,NNW,2.0,0.003,0.013,0.009,NE ,1.5,0.005,0.017,0.011,NW ,2.2
22/04/03 11:00,0.002,0.010,0.038,2.05,0.11,0.011,NNE,3.0,0.002,0.010,0.038,0.009,NNW,2.3,0.001,0.010,0.037,0.010, N ,2.3,0.002,0.013,0.035,0.013,NE ,2.2,0.001,0.003,0.013,0.035,0.012, N ,2.7,0.002,0.014,0.009,WNW,0.5,0.004,0.012,0.008,NW ,1.7,0.003,0.013,0.012,NE ,1.5,0.004,0.015,0.011,NNE,1.9
22/04/03 12:00,0.001,0.012,0.038,2.05,0.11,0.010, N ,3.6,0.002,0.011,0.040,0.012, N ,2.1,0.001,0.010,0.037,0.011, N ,3.1,0.002,0.013,0.036,0.017, N ,1.4,0.001,0.003,0.015,0.034,0.012, N ,2.8,0.002,0.014,0.011,NW ,0.9,0.003,0.013,0.010,NNW,2.0,0.002,0.014,0.011,NE ,1.5,0.004,0.018,0.011,NE ,1.5
