No.,データセット_タイトル,データ所管部署,データセット_概要,データセット_分類,データセット_最終更新日,ファイル_タイトル,ファイル_ダウンロードURL,ファイル形式,ファイル_最終更新日
11,地域・年齢別人口（令和3年10月1日現在）,"区民部
戸籍住民課",住民基本台帳による年齢別人口です。,人口減少・少子高齢化,44803.44808,地域・年齢別人口（令和3年10月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_nenreibetu_20211001.csv,csv,44803.44808
12,地域・年齢別人口（令和4年1月1日現在）,"区民部
戸籍住民課",住民基本台帳による年齢別人口です。,人口減少・少子高齢化,44803.44813,地域・年齢別人口（令和4年1月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_nenreibetu_20220101.csv,csv,44803.44813
13,地域・年齢別人口（令和4年4月1日現在）,"区民部
戸籍住民課",住民基本台帳による年齢別人口です。,人口減少・少子高齢化,44803.44816,地域・年齢別人口（令和4年4月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_nenreibetu_20220401.xls,xls,44803.44816
14,地域・年齢別人口（令和4年7月1日現在）,"区民部
戸籍住民課",住民基本台帳による年齢別人口です。,人口減少・少子高齢化,44803.44816,地域・年齢別人口（令和4年7月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_nenreibetu_20220701.xls,xls,44803.44816
15,地域・年齢別人口（令和4年10月1日現在）,"区民部
戸籍住民課",住民基本台帳による年齢別人口です。,人口減少・少子高齢化,44956.64775,地域・年齢別人口（令和4年10月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_nenreibetu_20221001.xls,xls,44956.64775
16,地域・年齢別人口（令和5年1月1日現在）,"区民部
戸籍住民課",住民基本台帳による年齢別人口です。,人口減少・少子高齢化,44956.64775,地域・年齢別人口（令和5年1月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_nenreibetu_20230101.xls,xls,44956.64775
17,AED設置場所一覧（区管理分）,"健康政策部
健康医療政策課",健康医療政策課において管理している、AEDが設置されている施設の一覧です。,医療・福祉,44803.44801,AED設置場所一覧（区管理分）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_aed.xlsx,xls,44803.44801
18,避難所一覧（住所別）,"総務部
防災危機管理課",各自治会・町会毎に指定されている避難所の一覧です。,防災・災害計画,44803.44801,避難所一覧（住所別）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_hinanjyo.xlsx,xisx,44803.44801
19,避難所、一時避難場所、集合場所一覧（地区別）,"総務部
防災危機管理課",各自治会・町会毎に指定されている避難所、一時避難場所、集合場所の一覧です。,防災・災害計画,44803.44802,避難所、一時避難場所、集合場所一覧（地区別）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_hinanjyo_syugoubasyo_chikubetu.xls,xls,44803.44802
20,街頭消火器一覧,"総務部
防災危機管理課",街頭に設置している消火器の設置場所一覧です。,防災・災害計画,44803.44815,街頭消火器一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_syokaki.xlsx,xlsx,44803.44815
21,区立小学校一覧,"教育総務部
教育総務課",大田区立小学校の一覧です。,生活,44803.44802,区立小学校一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_shougakkou.xlsx,xisx,44803.44802
22,区立中学校一覧,"教育総務部
教育総務課",大田区立中学校の一覧です。,生活,44803.44803,区立中学校一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_chuugakkou.xlsx,xisx,44803.44803
23,区立小学校通学区域一覧,"教育総務部
学務課","大田区立小学校の通学区域一覧です。
「〇番の一部」と記載がある場合には、確認が必要となります。",生活,44803.44803,区立小学校通学区域一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_shougakkou_tsuugakukuiki.xlsx,xisx,44803.44803
24,区立中学校通学区域一覧,"教育総務部
学務課","大田区立中学校の通学区域一覧です。
「〇番の一部」と記載がある場合には、確認が必要となります。",生活,44803.44803,区立中学校通学区域一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_chuugakkou_tsuugakukuiki.xlsx,xisx,44803.44803
25,認可保育園等一覧,"こども家庭部
保育サービス課",区内の認可保育園、小規模保育所、事業所内保育所施設一覧です。,生活,44803.44804,認可保育園等一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_hoikuen.xlsx,xlsx,44803.44804
26,児童館等一覧,"こども家庭部
子育て支援課",大田区の児童館及び学童保育施設の一覧です。,生活,44803.44806,児童館等一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_jidoukan.xlsx,xisx,44803.44806
27,公園一覧,"都市基盤整備部
都市基盤管理課",大田区内の公園一覧です。,生活,44803.44806,公園一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_koen.xlsx,xisx,44803.44806
28,区営自転車駐車場一覧（令和4年8月1日現在）,"都市基盤整備部
都市基盤管理課",区営自転車駐車場の一覧です。,交通情報,44803.47568,区営自転車駐車場一覧（令和4年8月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_churinjou-o.csv,csv,44803.47568
29,保管所一覧（令和4年3月1日現在),"都市基盤整備部
都市基盤管理課",放置自転車等保管所の一覧です。,交通情報,44803.44815,保管所一覧（令和4年3月1日現在),https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_hokanjo-o.csv,csv,44803.44815
30,区庁舎等一覧,"総務部
総務課　等",本庁舎、地域庁舎等区庁舎の一覧です。,生活,44803.44807,区庁舎等一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_cyousya.csv,csv,44803.44807
31,図書館一覧,"教育総務部
大田図書館",大田区の図書館一覧です。,生活,44803.44808,図書館一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_tosyokan.csv,csv,44803.44808
32,博物館・記念館等一覧,"観光・国際都市部
文化振興課　等",大田区の博物館・記念館等の一覧です。,生活,44803.44808,博物館・記念館等一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_hakubutsukan.csv,csv,44803.44808
33,資源・ごみ収集曜日、清掃事業所管轄一覧,"環境清掃部
清掃事業課",資源とごみの収集曜日及び清掃事業所管轄一覧です。,生活,44803.44809,資源・ごみ収集曜日、清掃事業所管轄一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_shigengomiyoubi.xlsx,xlsx,44803.44809
34,不燃ごみ収集曜日グループ別収集日一覧（令和3年4月から令和4年3月分）,"環境清掃部
清掃事業課",不燃ごみの収集曜日グループ別別収集日一覧です。,生活,44803.44809,不燃ごみ収集曜日グループ別収集日一覧（令和3年4月から令和4年3月分）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_funensyuusyuubi.xls,xls,44803.44809
35,ごみの収集量,"環境清掃部
清掃事業課",平成12年度以降のごみの収集量です（単位：トン）。,環境,44803.4481,ごみの収集量,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_gomisyuusyuuryou.xls,xls,44803.4481
36,資源の回収量,"環境清掃部
清掃事業課",平成12年度以降の資源の回収量です（単位：トン）。,環境,44803.4481,資源の回収量,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_shigenkaisyuu.xls,xls,44803.4481
37,新型コロナウイルス感染症感染者数（日別）（令和5年1月31日時点）,"健康政策部
感染症対策課",新型コロナウイルス感染症日別感染者数の推移です。,医療・福祉,44986.70227,新型コロナウイルス感染症感染者数（日別）（令和5年1月31日時点）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_hibetsukansen.xlsx,xlsx,44986.70227
38,新型コロナウイルス感染症感染者数（週別）（令和5年1月31日時点）,"健康政策部
感染症対策課",新型コロナウイルス感染症週別感染者数の推移です。,医療・福祉,44986.70227,新型コロナウイルス感染症感染者数（週別）（令和5年1月31日時点）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_syuubetsukansen.xlsx,xlsx,44986.70227
39,大気環境測定データ（R2),"環境清掃部
環境対策課",大田区で行っている大気環境の常時監視の測定結果です。,環境,44873.46219,大気環境測定データ（R2),https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_taikikankyousokutei_R2.csv,csv,44873.46219
40,大気環境測定データ（R3),"環境清掃部
環境対策課",大田区で行っている大気環境の常時監視の測定結果です。,環境,44873.46219,大気環境測定データ（R3),https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_taikikankyousokutei_R3.csv,csv,44873.46219
41,大気環境測定データ（R4.4),"環境清掃部
環境対策課",大田区で行っている大気環境の常時監視の測定結果です。,環境,44873.46219,大気環境測定データ（R4.4),https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_taikikankyousokutei_R4.4.csv,csv,44873.46219
42,大気環境測定データ（R4.5),"環境清掃部
環境対策課",大田区で行っている大気環境の常時監視の測定結果です。,環境,44873.4622,大気環境測定データ（R4.5),https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_taikikankyousokutei_R4.5.csv,csv,44873.4622
43,大気環境測定データ（R4.6),"環境清掃部
環境対策課",大田区で行っている大気環境の常時監視の測定結果です。,環境,44873.4622,大気環境測定データ（R4.6),https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_taikikankyousokutei_R4.6.csv,csv,44873.4622
44,大気環境測定データ（R4.7),"環境清掃部
環境対策課",大田区で行っている大気環境の常時監視の測定結果です。,環境,44873.4622,大気環境測定データ（R4.7),https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_taikikankyousokutei_R4.7.csv,csv,44873.4622
45,大気環境測定データ（R4.8),"環境清掃部
環境対策課",大田区で行っている大気環境の常時監視の測定結果です。,環境,44873.46221,大気環境測定データ（R4.8),https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_taikikankyousokutei_R4.8.csv,csv,44873.46221
46,大気環境測定データ（R4.9),"環境清掃部
環境対策課",大田区で行っている大気環境の常時監視の測定結果です。,環境,44895.40513,大気環境測定データ（R4.9),https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_taikikankyousokutei_R4.9.csv,csv,44895.40513
47,大気環境測定データ（R4.10),"環境清掃部
環境対策課",大田区で行っている大気環境の常時監視の測定結果です。,環境,44956.64774,大気環境測定データ（R4.10),https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_taikikankyousokutei_R4.10.csv,csv,44956.64774
48,大気環境測定データ（R4.11),"環境清掃部
環境対策課",大田区で行っている大気環境の常時監視の測定結果です。,環境,44986.70228,大気環境測定データ（R4.11),https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_taikikankyousokutei_R4.11.csv,csv,44986.70228
49,大田区の面積・人口・世帯数,"区民部
戸籍住民課",区政ファイルデータ,人口減少・少子高齢化,44987.48125,大田区の面積・人口・世帯数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_ootakunomenseki_jinkou_setaisuu.xlsx,xlsx,44987.48125
50,23区の面積と人口,"区民部
戸籍住民課",区政ファイルデータ,人口減少・少子高齢化,44987.48125,23区の面積と人口,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_23kunomensekitojinkou.xlsx,xlsx,44987.48125
51,特別出張所別の人口と世帯数,"区民部
戸籍住民課",区政ファイルデータ,人口減少・少子高齢化,44987.48126,特別出張所別の人口と世帯数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_tokubetsushutchoujobetsunojinkoutosetaisuu.xlsx,xlsx,44987.48126
52,国籍別外国人住民の数,"区民部
戸籍住民課",区政ファイルデータ,人口減少・少子高齢化,44987.48126,国籍別外国人住民の数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kokusekibetsugaikokujinjuuminnokazu.xlsx,xlsx,44987.48126
53,外国人住民数の推移,"区民部
戸籍住民課",区政ファイルデータ,人口減少・少子高齢化,44987.48127,外国人住民数の推移,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_gaikokujinjuuminsuunosuii.xlsx,xlsx,44987.48127
54,町名別の面積、世帯、人口,"区民部
戸籍住民課",区政ファイルデータ,人口減少・少子高齢化,44987.48127,町名別の面積、世帯、人口,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_choumeibetsunomenseki_setai_jinkou.xlsx,xlsx,44987.48127
55,年齢別、性別の人口,"区民部
戸籍住民課",区政ファイルデータ,人口減少・少子高齢化,44987.48128,年齢別、性別の人口,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_nenreibetsu_seibetsunojinkou.xlsx,xlsx,44987.48128
56,人口動態(自然・社会増減),"区民部
戸籍住民課",区政ファイルデータ,人口減少・少子高齢化,44987.48128,人口動態(自然・社会増減),https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_jinkoudoutai(shizenshakaizougen).xlsx,xlsx,44987.48128
57,自治会・町会の数,"地域力推進部
地域力推進課",区政ファイルデータ,人口減少・少子高齢化,44987.48128,自治会・町会の数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_jichikai_choukainokazu.xlsx,xlsx,44987.48128
58,用途地域別面積と割合,"まちづくり推進部
都市計画課",区政ファイルデータ,人口減少・少子高齢化,44987.4813,用途地域別面積と割合,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_youtochiikibetsumensekitowariai.xlsx,xlsx,44987.4813
59,産業大分類別、従業者規模別の事業所数,"地域力推進部
地域力推進課",区政ファイルデータ,産業雇用創出,44987.4813,産業大分類別、従業者規模別の事業所数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_sangyoudaibunruibetsu_juugyoushakibobetsunojigyoushosuu.xlsx,xlsx,44987.4813
60,商業部門別の商店数、従業者数、年間販売額,"地域力推進部
地域力推進課",区政ファイルデータ,産業雇用創出,44987.48131,商業部門別の商店数、従業者数、年間販売額,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_shougyoubumombetsunoshoutensuu_juugyoushasuu_nenkanhambaigaku.xlsx,xlsx,44987.48131
61,産業プラザの利用,"産業経済部
産業振興課",区政ファイルデータ,産業雇用創出,44987.48131,産業プラザの利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_sangyoupurazanoriyou.xlsx,xlsx,44987.48131
62,区内宿泊施設の宿泊者数,"産業経済部
観光課",区政ファイルデータ,産業雇用創出,44987.48131,区内宿泊施設の宿泊者数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kunaishukuhakushisetsunoshukuhakushasuu.xlsx,xlsx,44987.48131
63,工業部門の工場数、従業者数、年間製造品出荷額（非全数調査、従業員数4人以上）,"地域力推進部
地域力推進課",区政ファイルデータ,産業雇用創出,44987.48132,工業部門の工場数、従業者数、年間製造品出荷額（非全数調査、従業員数4人以上）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kougyoubumonnokoujoukazu_juugyoushasuu_nenkanseizouhinshukkagaku(hizensuuchousa_juugyouinsuu4ninijou).xlsx,xlsx,44987.48132
64,区民センターの利用,"地域力推進部
特別出張所　等",区政ファイルデータ,生活,44987.48132,区民センターの利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kuminsentanoriyou.xlsx,xlsx,44987.48132
65,文化センターの利用,"地域力推進部
特別出張所　等",区政ファイルデータ,生活,44987.48132,文化センターの利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_bunkasentanoriyou.xlsx,xlsx,44987.48132
66,児童施設の利用,"こども家庭部
子育て支援課",区政ファイルデータ,生活,44987.48133,児童施設の利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_jidoushisetsunoriyou.xlsx,xlsx,44987.48133
67,学童保育,"こども家庭部
子育て支援課",区政ファイルデータ,生活,44987.48133,学童保育,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_gakudouhoiku.xlsx,xlsx,44987.48133
68,老人施設の利用,"福祉部
高齢福祉課",区政ファイルデータ,生活,44987.48133,老人施設の利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_roujinshisetsunoriyou.xlsx,xlsx,44987.48133
69,区民保養所の利用,"地域力推進部
地域力推進課",区政ファイルデータ,生活,44987.48134,区民保養所の利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kuminhoyoujonoriyou.xlsx,xlsx,44987.48134
70,消費者生活センターの利用,"地域力推進部
地域力推進課",区政ファイルデータ,生活,44987.48134,消費者生活センターの利用,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_shouhishaseikatsusentanoriyou.xlsx,xlsx,44987.48134
71,エセナおおたの利用状況及び相談件数,"総務部
人権・男女平等推進課",区政ファイルデータ,その他,44987.48135,エセナおおたの利用状況及び相談件数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_esenaootanoriyoujoukyouoyobisoudankensuu.xlsx,xlsx,44987.48135
72,相談件数,,区政ファイルデータ,その他,44987.48135,相談件数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_soudankensuu.xlsx,xlsx,44987.48135
73,給与所得の状況,"区民部
課税課",区政ファイルデータ,税金,44987.48135,給与所得の状況,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kyuuyoshotokunojoukyou.xlsx,xlsx,44987.48135
74,ごみの収集量（区政ファイル）,"環境清掃部
清掃事業課",区政ファイルデータ,生活,44987.48137,ごみの収集量（区政ファイル）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_gominoshuushuuryou.xlsx,xlsx,44987.48137
75,資源の回収量（区政ファイル）,"環境清掃部
清掃事業課",区政ファイルデータ,生活,44987.48137,資源の回収量（区政ファイル）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_shigennokaishuuryou.xlsx,xlsx,44987.48137
76,環境確保条例による工場認可申請件数,"環境清掃部
環境対策課",区政ファイルデータ,環境,44987.48137,環境確保条例による工場認可申請件数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kankyoukakuhojoureiniyorukoujouninkashinseikensuu.xlsx,xlsx,44987.48137
77,騒音規制法による届出件数,"環境清掃部
環境対策課",区政ファイルデータ,環境,44987.48138,騒音規制法による届出件数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_souonkiseihouniyorutodokedekensuu.xlsx,xlsx,44987.48138
78,振動規制法による届出件数,"環境清掃部
環境対策課",区政ファイルデータ,環境,44987.48138,振動規制法による届出件数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_shindoukiseihouniyorutodokedekensuu.xlsx,xlsx,44987.48138
79,公害に関する苦情,"環境清掃部
環境対策課",区政ファイルデータ,環境,44987.48139,公害に関する苦情,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kougainikansurukujou.xlsx,xlsx,44987.48139
80,河川水質分析結果,"環境清掃部
環境対策課",区政ファイルデータ,環境,44987.48139,河川水質分析結果,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kasensuishitsubunsekikekka.xlsx,xlsx,44987.48139
81,東京国際空港（羽田空港）の航空機の騒音（Ｌden）,"環境清掃部
環境対策課",区政ファイルデータ,環境,44987.48139,東京国際空港（羽田空港）の航空機の騒音（Ｌden）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_toukyoukokusaikuukou(hanedakuukou)nokoukuukinosouon(Lden).xlsx,xlsx,44987.48139
82,一般環境大気測定局の所在地,"環境清掃部
環境対策課",区政ファイルデータ,環境,44987.4814,一般環境大気測定局の所在地,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_ippankankyoutaikisokuteikyokunoshozaichi.xlsx,xlsx,44987.4814
83,自動車排出ガス測定局の所在地,"環境清掃部
環境対策課",区政ファイルデータ,環境,44987.4814,自動車排出ガス測定局の所在地,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_jidoushahaishutsugasusokuteikyokunoshozaichi.xlsx,xlsx,44987.4814
84,保護樹木指定状況、ハクビシン等被害対策、カラス被害対策,"環境清掃部
環境対策課",区政ファイルデータ,環境,44987.4814,保護樹木指定状況、ハクビシン等被害対策、カラス被害対策,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_hogojumokushiteijoukyou_hakubishinnadohigaitaisaku_karasuhigaitaisaku.xlsx,xlsx,44987.4814
85,健康診査,"健康政策部
健康づくり課",区政ファイルデータ,環境,44987.48141,健康診査,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kenkoushinsa.xlsx,xlsx,44987.48141
86,特定保健指導,"健康政策部
健康づくり課",区政ファイルデータ,環境,44987.48141,特定保健指導,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_tokuteihokenshidou.xlsx,xlsx,44987.48141
87,各種健康診査等,"健康政策部
感染症対策課、健康づくり課",区政ファイルデータ,環境,44987.48142,各種健康診査等,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kakushukenkoushinsatou.xlsx,xlsx,44987.48142
88,主要死因別の死亡者数,"健康政策部
健康医療政策課",区政ファイルデータ,環境,44987.48142,主要死因別の死亡者数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_shuyoushiimbetsunoshiboushasuu.xlsx,xlsx,44987.48142
89,生活保護,"福祉部
蒲田生活福祉課",区政ファイルデータ,医療・福祉,44991.37523,生活保護,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_seikatsuhogo.xlsx,xlsx,44991.37523
90,身体障害者手帳所持者数,"福祉部
障害福祉課",区政ファイルデータ,医療・福祉,44987.50029,身体障害者手帳所持者数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_shintaishougaishatechoushojishasuu.xlsx,xlsx,44987.50029
91,精神障害者福祉手帳所持者数,"福祉部
障害福祉課",区政ファイルデータ,医療・福祉,44987.48144,精神障害者福祉手帳所持者数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_seishinshougaishafukushitechoushojishasuu.xlsx,xlsx,44987.48144
92,愛の手帳所持者数,"福祉部
障害福祉課",区政ファイルデータ,医療・福祉,44987.48144,愛の手帳所持者数,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_ainotechoushojishasuu.xlsx,xlsx,44987.48144
93,保育園,"こども家庭部
保育サービス課",区政ファイルデータ,医療・福祉,44987.48145,保育園,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_hoikuen.xlsx,xlsx,44987.48145
94,母子生活支援施設,"こども家庭部
子育て支援課",区政ファイルデータ,医療・福祉,44987.48145,母子生活支援施設,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_boshiseikatsushienshisetsu.xlsx,xlsx,44987.48145
95,国民健康保険,"区民部
国保年金課",区政ファイルデータ,医療・福祉,44987.48145,国民健康保険,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kokuminkenkouhoken.xlsx,xlsx,44987.48145
96,国民年金,"区民部
国保年金課",区政ファイルデータ,医療・福祉,44987.48146,国民年金,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kokuminnenkin.xlsx,xlsx,44987.48146
97,後期高齢者医療保険,"区民部
国保年金課",区政ファイルデータ,医療・福祉,44987.48146,後期高齢者医療保険,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_koukikoureishairyouhoken.xlsx,xlsx,44987.48146
98,構造別着工建築物件,"まちづくり推進部
建築審査課",区政ファイルデータ,まちづくり,44991.37571,構造別着工建築物件,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kouzoubetsuchakkoukenchikubutsuken.xlsx,xlsx,44991.37571
99,公園の数と面積,"都市基盤管理課
公園課",区政ファイルデータ,まちづくり,44987.5003,公園の数と面積,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kouennokazutomenseki.xlsx,xlsx,44987.5003
100,道路,"都市基盤整備部
都市基盤管理課",区政ファイルデータ,まちづくり,44987.48147,道路,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_douro.xlsx,xlsx,44987.48147
101,特別区道幅員別内訳,"都市基盤整備部
都市基盤管理課",区政ファイルデータ,まちづくり,44987.48148,特別区道幅員別内訳,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_tokubetsukumichifukuimbetsuuchiwake.xlsx,xlsx,44987.48148
102,橋梁と河川,"都市基盤整備部
都市基盤管理課",区政ファイルデータ,まちづくり,44987.48148,橋梁と河川,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kyouryoutokasen.xlsx,xlsx,44987.48148
103,ＪＲ東日本の駅別年間乗車人員,"まちづくり推進部
都市計画課",区政ファイルデータ,交通情報,44987.48148,ＪＲ東日本の駅別年間乗車人員,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_JRhigashinihonnoekibetsunenkanjoushajinin.xlsx,xlsx,44987.48148
