文書番号,受付年月日,設置年月日,建築物の名称,建築敷地　地名地番,用途地域,高さ（ｍ）,延べ面積（㎡）,着工予定,主要用途
67,R4.12.12,R4.12.6,(仮称）芝二丁目計画,港区芝二丁目31-3他,商業地域、近隣商業地域,120,"39,947.43",R5.5.22,事務所、貸会議室
68,R4.12.13,R4.12.8,(仮称）春日ビル建替計画,港区芝五丁目513番1、2、3、4、5、6,商業地域,99.76,"55,498.00",R5.7.1,事務所、集会場、飲食店、物販店舗、保育所
69,R4.12.16,R4.12.14,東京都教職員小笠原(父島第二）住宅(仮称）新築工事,小笠原村父島字清瀬94番2,指定なし,13.97,"1,352.78",R5.7.3,共同住宅
70,R4.12.27,R4.12.23,(仮称）赤坂二・六丁目地区開発計画　東棟新築工事,港区赤坂二丁目1433番地1他,商業地域,220,"169,500.00",R5.11.1,事務所、店舗
71,R4.12.27,R4.12.23,(仮称）赤坂二・六丁目地区開発計画　西棟新築工事,港区赤坂六丁目101番地1他,商業地域,110,"38,500.00",R5.11.1,ホテル、劇場、ホール、店舗
72,R4.12.27,R4.12.23,都立白鴎高等学校付属中学校仮設校舎等の借入れ,台東区元浅草一丁目41番1、41番2,商業地域,10.2,"5,393.70",R5.4.30,学校
73,R4.12.28,R4.12.23,(仮称)塩浜２丁目計画新築工事,江東区塩浜二丁目1番210他,準工業地域,53.66,"30,141.63",R5.3.31,共同住宅(賃貸)、店舗
74,R5.1.6,R5.1.5,（仮称）第７宮廷マンション建替計画,渋谷区千駄ヶ谷三丁目13-2他9筆,商業地域、第二種中高層住居専用地域,89.98,"11,330.57",R6.10下旬,共同住宅、店舗
75,R5.1.18,R5.1.16,自由が丘一丁目２９番地区第一種市街地再開発事業,目黒区自由が丘一丁目61-1他35筆,商業地域,59.8,"45,957.07",R5.8上旬,店舗、事務所、共同住宅
76,R5.1.18,R5.1.18,東京拘置所車庫等棟,葛飾区小菅一丁目19-1、10,第二種住居地域,13.55,"1,473.67",R5.9上旬,自動車車庫
77,R5.1.19,R5.1.16,道玄坂二丁目南地区第一種市街地再開発事業,渋谷区道玄坂二丁目22番7、38番、141番、143番1、3、145番1～3、7、147番3、149番1、153番1、3～5、155番1、3、248番1、3～6、8、11、20、22、250番1、2、4、252番1,近隣商業地域,156.14,"87,100.00",R6.1初旬,事務所、ホテル、飲食店舗、物販店舗
78,R5.2.3,R5.1.27,南部汚泥処理プラント　特高受変電棟,大田区城南島五丁目2－1,工業専用地域,18.78,"1,275.33",R5.7上旬,下水処理場（受変電設備）
79,R5.2.6,R5.2.4,(仮称）江東区南砂三丁目計画,江東区南砂三丁目11番8他,第一種中高層住居専用地域,44.5,"31,000.00",R5.8.1,共同住宅、店舗
80,R5.2.9,R5.2.6,(仮称）鹿島南六郷物流センター,大田区南六郷三丁目12番1、2、3、4、5、10、11,工業地域,28.5,"23,000.00",R5.7.1,物流倉庫
81,R5.2.20,R5.2.15,（仮称）四谷二丁目ビル新築計画,新宿区四谷二丁目8-6他,商業地域、第一種住居地域,49.99,"17,856.40",R5.12.1,事務所、共同住宅
82,R5.2.22,R5.2.17,八重洲二丁目中地区第一種市街地再開発事業施設建築物,中央区八重洲二丁目4番、5番、6番、7番,商業地域,227,"388,650.00",R5.11.1,事務所、店舗、劇場、サービスアパートメント、インターナショナルスクール、バスターミナル
83,R5.3.1,R5.2.22,都立青鳥特別支援学校,世田谷区池尻一丁目34番,第一種住居地域,18.95,"14,055.59",R5.9.1,特別支援学校
84,R5.3.1,R5.2.28,東五反田二丁目第３地区第一種市街地再開発事業　業務棟,品川区東五反田二丁目700,準工業地域,100,"69,069.00",R6.4.1,事務所、店舗
85,R5.3.1,R5.2.28,東五反田二丁目第３地区第一種市街地再開発事業　住宅棟,品川区東五反田二丁目701,準工業地域,150,"43,200.00",R5.11.1,共同住宅、保育所
86,R5.3.10,R5.3.8,目黒（３）実験棟新設設計,目黒区中目黒二丁目17、18、19、28-1、31-2、31-4、283-3の一部,第二種中高層住居専用地域,33.9,"11,520.48",R6.10.1,研究施設（自衛隊施設）
87,R5.3.20,R5.3.17,(仮称）有明南H街区プロジェクト,江東区有明三丁目1番9,準工業地域,51.79,"46,499.07",R5.6.1,集会場、劇場、展示場、事務所、テレビスタジオ、飲食・物販店舗
88,R5.3.24,R5.3.22,内閣府新庁舎（仮称）整備等事業,千代田区永田町一丁目62番1他,商業地域,52.1,"23,646.84",R5.7.1,事務所
89,R5.3.29,R5.3.13,(仮称）板橋区上板橋二丁目計画新築工事,板橋区上板橋二丁目316番1、2、3、4、317番､318番、319番、320番,近隣商業地域、第一種住居地域,26.88,"12,421.22",R5.6.15,共同住宅
