お住まいの地域,投票区,投票所,投票所の場所
向島三丁目42から46,15,小梅小学校,向島二丁目4番10号
向島三丁目4から9,14,墨田中学校,向島四丁目25番22号
向島三丁目16から21,14,墨田中学校,向島四丁目25番22号
向島三丁目25から30,14,墨田中学校,向島四丁目25番22号
向島三丁目35から41,14,墨田中学校,向島四丁目25番22号
向島四丁目,14,墨田中学校,向島四丁目25番22号
向島五丁目1から47,16,言問小学校,向島五丁目40番14号
向島五丁目48から50,30,第一寺島小学校,東向島一丁目16番2号
東向島一丁目,30,第一寺島小学校,東向島一丁目16番2号
東向島二丁目,29,第三寺島小学校,東向島六丁目8番1号
東向島三丁目,30,第一寺島小学校,東向島一丁目16番2号
東向島四から五丁目,31,第二寺島小学校,東向島四丁目30番2号
東向島六丁目1から49,29,第三寺島小学校,東向島六丁目8番1号
東向島六丁目50から64,27,八広小学校,八広五丁目12番15号
堤通一丁目,30,第一寺島小学校,東向島一丁目16番2号
堤通二丁目,35,桜堤中学校,堤通二丁目19番1号
墨田一丁目,33,梅若小学校,墨田二丁目25番1号
墨田二丁目1から6,33,梅若小学校,墨田二丁目25番1号
墨田二丁目12から43,33,梅若小学校,墨田二丁目25番1号
墨田二丁目7から11,34,旧隅田小学校,墨田五丁目49番5号
墨田三丁目1から9,31,第二寺島小学校,東向島四丁目30番2号
墨田三丁目10から43,32,隅田小学校,墨田四丁目6番5号
墨田四丁目,32,隅田小学校,墨田四丁目6番5号
墨田五丁目,34,旧隅田小学校,墨田五丁目49番5号
押上一丁目1から16,12,業平小学校,業平二丁目4番8号
押上一丁目20から30,12,業平小学校,業平二丁目4番8号
押上一丁目36から43,12,業平小学校,業平二丁目4番8号
押上一丁目48,12,業平小学校,業平二丁目4番8号
押上一丁目17から19,22,押上小学校,押上三丁目46番17号
押上一丁目31から35,22,押上小学校,押上三丁目46番17号
押上一丁目44から47,22,押上小学校,押上三丁目46番17号
押上一丁目49から52,22,押上小学校,押上三丁目46番17号
押上二丁目1から26,14,墨田中学校,向島四丁目25番22号
押上二丁目27から43,22,押上小学校,押上三丁目46番17号
押上三丁目,22,押上小学校,押上三丁目46番17号
京島一丁目,28,曳舟幼稚園,京島一丁目28番2号
京島二丁目1から8,22,押上小学校,押上三丁目46番17号
京島二丁目11から13,22,押上小学校,押上三丁目46番17号
京島二丁目16,22,押上小学校,押上三丁目46番17号
京島二丁目9から10,28,曳舟幼稚園,京島一丁目28番2号
京島二丁目17から19,28,曳舟幼稚園,京島一丁目28番2号
京島二丁目14から15,24,第四吾嬬小学校,京島三丁目64番9号
京島二丁目20から27,24,第四吾嬬小学校,京島三丁目64番9号
京島三丁目1から10,28,曳舟幼稚園,京島一丁目28番2号
京島三丁目31から35,28,曳舟幼稚園,京島一丁目28番2号
京島三丁目11から30,24,第四吾嬬小学校,京島三丁目64番9号
京島三丁目36から68,24,第四吾嬬小学校,京島三丁目64番9号
文花一から二丁目,23,文花中学校,文花一丁目22番7号
文花三丁目,24,第四吾嬬小学校,京島三丁目64番9号
八広一丁目1から25,29,第三寺島小学校,東向島六丁目8番1号
八広一丁目26から42,25,第三吾嬬小学校,八広二丁目36番3号
八広一丁目43,26,八広地域プラザ,八広四丁目35番17号
八広二から三丁目,25,第三吾嬬小学校,八広二丁目36番3号
八広四丁目,26,八広地域プラザ,八広四丁目35番17号
八広五丁目1から17,27,八広小学校,八広五丁目12番15号
八広五丁目31から32,27,八広小学校,八広五丁目12番15号
八広五丁目18から30,26,八広地域プラザ,八広四丁目35番17号
八広六丁目1から43,27,八広小学校,八広五丁目12番15号
八広六丁目44から59,26,八広地域プラザ,八広四丁目35番17号
立花一丁目1から23,17,立花吾嬬の森小学校,立花一丁目18番6号
立花一丁目27,17,立花吾嬬の森小学校,立花一丁目18番6号
立花一丁目24から26,18,立花幼稚園,立花一丁目25番9号
立花一丁目28から35,18,立花幼稚園,立花一丁目25番9号
立花二丁目,17,立花吾嬬の森小学校,立花一丁目18番6号
立花三丁目1,19,東吾嬬小学校,立花四丁目22番11号
立花三丁目12から29,19,東吾嬬小学校,立花四丁目22番11号
立花三丁目2から11,18,立花幼稚園,立花一丁目25番9号
立花四丁目,19,東吾嬬小学校,立花四丁目22番11号
立花五から六丁目,20,吾嬬立花中学校,立花五丁目48番2号
東墨田一から三丁目,21,特別養護老人ホーム木下川吾亦紅,東墨田二丁目15番2号
