"名称","種別","総合支所","町丁目","公園面積[平方メートル]","調査区域面積[平方メートル]","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","緑被地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被率[％]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]","裸地率[％]","水面率[％]"
"高輪森の公園","区立公園","高輪地区","高輪三丁目","4917","4934","4589","0","0","4589","0","0","93.01","93.01","0.00","0.00","0.00","0.00"
"高輪公園","区立公園","高輪地区","高輪三丁目","5958","5662","4097","0","0","4097","910","0","72.37","72.37","0.00","0.00","16.08","0.00"
"白金公園","区立公園","高輪地区","白金三丁目","1484","1553","450","139","0","589","47","0","37.93","28.98","8.95","0.00","3.04","0.00"
"新浜公園","区立公園","芝浦港南地区","芝浦一丁目","480","514","281","121","0","402","0","0","78.25","54.75","23.50","0.00","0.00","0.00"
"芝浦公園","区立公園","芝浦港南地区","芝浦一丁目","6800","7159","1701","2250","0","3951","0","0","55.19","23.76","31.42","0.00","0.00","0.00"
"プラタナス公園","区立公園","芝浦港南地区","芝浦四丁目","2500","2382","959","600","20","1579","78","0","66.31","40.27","25.18","0.86","3.28","0.00"
"埠頭公園","区立公園","芝浦港南地区","海岸三丁目","8935","9112","1425","174","0","1599","212","0","17.55","15.64","1.91","0.00","2.32","0.00"
"芝浦中央公園","区立公園","芝浦港南地区","港南一丁目","45782","48936","16374","10453","0","26828","0","0","54.82","33.46","21.36","0.00","0.00","0.00"
"こうなん星の公園","区立公園","芝浦港南地区","港南一丁目","2150","2176","579","0","0","579","0","0","26.62","26.62","0.00","0.00","0.00","0.00"
"東八ツ山公園","区立公園","芝浦港南地区","港南二丁目","1837","1925","566","0","0","566","1348","0","29.39","29.39","0.00","0.00","70.03","0.00"
"汐の公園","区立公園","芝浦港南地区","港南二丁目","1501","1521","847","0","0","847","0","0","55.69","55.69","0.00","0.00","0.00","0.00"
"杜の公園","区立公園","芝浦港南地区","港南二丁目","1875","1873","1364","57","0","1421","0","0","75.84","72.81","3.03","0.00","0.00","0.00"
"港南和楽公園","区立公園","芝浦港南地区","港南四丁目","3801","3781","1103","438","0","1541","1821","0","40.77","29.18","11.59","0.00","48.16","0.00"
"港南公園","区立公園","芝浦港南地区","港南四丁目","6077","6003","2492","428","0","2920","2060","0","48.64","41.52","7.12","0.00","34.31","0.00"
"港南緑水公園","区立公園","芝浦港南地区","港南四丁目","20206","20103","6231","5726","0","11957","926","88","59.48","31.00","28.48","0.00","4.61","0.44"
"お台場レインボー公園","区立公園","芝浦港南地区","台場一丁目","11000","11359","4860","3970","0","8830","0","0","77.73","42.79","34.95","0.00","0.00","0.00"
"金杉橋児童遊園","区立児童遊園","芝地区","芝一丁目","385","383","199","0","0","199","0","0","52.01","52.00","0.00","0.00","0.00","0.00"
"芝園児童遊園","区立児童遊園","芝地区","芝二丁目","104","104","36","0","0","36","0","0","35.04","35.04","0.00","0.00","0.00","0.00"
"芝新堀町児童遊園","区立児童遊園","芝地区","芝二丁目","352","335","129","0","0","129","0","0","38.52","38.52","0.00","0.00","0.00","0.00"
"松本町児童遊園","区立児童遊園","芝地区","芝三丁目","247","238","120","0","0","120","0","0","50.21","50.21","0.00","0.00","0.00","0.00"
"芝五丁目児童遊園","区立児童遊園","芝地区","芝五丁目","1209","1155","475","0","0","475","0","0","41.07","41.07","0.00","0.00","0.00","0.00"
"三田小山町児童遊園","区立児童遊園","芝地区","三田一丁目","188","181","125","0","0","125","0","0","69.09","69.09","0.00","0.00","0.00","0.00"
"三田二丁目児童遊園","区立児童遊園","芝地区","三田二丁目","504","507","277","0","0","277","117","0","54.62","54.62","0.00","0.00","22.96","0.00"
"三田綱町児童遊園","区立児童遊園","芝地区","三田二丁目","458","454","195","0","0","195","216","0","42.89","42.89","0.00","0.00","47.51","0.00"
"浜松町四丁目児童遊園","区立児童遊園","芝地区","浜松町二丁目","429","446","291","0","0","291","71","0","65.26","65.26","0.00","0.00","15.87","0.00"
"芝大門二丁目児童遊園","区立児童遊園","芝地区","芝大門二丁目","362","365","91","0","0","91","0","0","24.99","24.99","0.00","0.00","0.00","0.00"
"虎ノ門三丁目児童遊園","区立児童遊園","芝地区","虎ノ門三丁目","120","121","89","0","0","89","0","0","73.43","73.43","0.00","0.00","0.00","0.00"
"西久保巴町児童遊園","区立児童遊園","芝地区","虎ノ門三丁目","179","188","8","0","0","8","0","0","4.02","4.02","0.00","0.00","0.00","0.00"
"南麻布一丁目児童遊園","区立児童遊園","麻布地区","南麻布一丁目","451","432","121","0","0","121","176","0","27.90","27.90","0.00","0.00","40.76","0.00"
"南麻布新堀児童遊園","区立児童遊園","麻布地区","南麻布二丁目","534","528","158","0","0","158","0","0","29.90","29.90","0.00","0.00","0.00","0.00"
"南麻布二丁目児童遊園","区立児童遊園","麻布地区","南麻布二丁目","466","486","348","0","0","348","0","0","71.51","71.51","0.00","0.00","0.00","0.00"
"絶江児童遊園","区立児童遊園","麻布地区","南麻布二丁目","181","175","88","0","0","88","0","0","50.21","50.21","0.00","0.00","0.00","0.00"
"古川橋児童遊園","区立児童遊園","麻布地区","南麻布二丁目","373","358","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00"
"広尾児童遊園","区立児童遊園","麻布地区","南麻布五丁目","173","178","55","12","0","68","98","0","38.04","31.03","7.01","0.00","55.18","0.00"
"宮村児童遊園","区立児童遊園","麻布地区","元麻布二丁目","1112","1071","509","8","0","517","279","0","48.23","47.52","0.70","0.00","26.08","0.00"
"笄児童遊園","区立児童遊園","麻布地区","西麻布二丁目","849","873","293","0","0","293","347","0","33.56","33.56","0.00","0.00","39.81","0.00"
"西麻布二丁目児童遊園","区立児童遊園","麻布地区","西麻布二丁目","915","903","504","0","0","504","337","0","55.81","55.79","0.02","0.00","37.25","0.00"
"六本木坂下児童遊園","区立児童遊園","麻布地区","六本木一丁目","553","607","304","0","0","304","0","0","50.10","50.10","0.00","0.00","0.00","0.00"
"六本木坂上児童遊園","区立児童遊園","麻布地区","六本木一丁目","661","665","428","117","0","545","0","0","81.99","64.35","17.64","0.00","0.00","0.00"
"六本木三丁目児童遊園","区立児童遊園","麻布地区","六本木三丁目","288","301","111","0","0","111","0","0","36.93","36.93","0.00","0.00","0.00","0.00"
"飯倉雁木坂児童遊園","区立児童遊園","麻布地区","麻布台一丁目","172","166","37","15","0","52","76","0","31.21","22.00","9.21","0.00","45.64","0.00"
"東麻布児童遊園","区立児童遊園","麻布地区","東麻布一丁目","882","894","822","0","0","822","0","0","91.98","91.98","0.00","0.00","0.00","0.00"
"中ノ橋児童遊園","区立児童遊園","麻布地区","東麻布一丁目","376","377","10","0","0","10","0","0","2.71","2.71","0.00","0.00","0.00","0.00"
"一ツ木児童遊園","区立児童遊園","赤坂地区","赤坂五丁目","197","196","73","0","0","73","0","0","37.22","37.22","0.00","0.00","0.00","0.00"
"桑田記念児童遊園","区立児童遊園","赤坂地区","赤坂九丁目","1537","1427","719","0","0","719","0","0","50.40","50.40","0.00","0.00","0.00","0.00"
"南一児童遊園","区立児童遊園","赤坂地区","南青山一丁目","467","450","177","8","0","185","0","0","40.98","39.20","1.78","0.00","0.00","0.00"
"南青山三丁目児童遊園","区立児童遊園","赤坂地区","南青山三丁目","257","249","197","0","0","197","0","0","78.90","78.90","0.00","0.00","0.00","0.00"
"南青山四丁目児童遊園","区立児童遊園","赤坂地区","南青山四丁目","355","313","168","0","0","168","0","0","53.72","53.72","0.00","0.00","0.00","0.00"
"南青山六丁目児童遊園","区立児童遊園","赤坂地区","南青山六丁目","739","756","524","0","0","524","189","0","69.28","69.28","0.00","0.00","25.00","0.00"
"北青山一丁目児童遊園","区立児童遊園","赤坂地区","北青山一丁目","2459","2455","1044","253","0","1297","0","0","52.82","42.52","10.30","0.00","0.00","0.00"
"北青山三丁目児童遊園","区立児童遊園","赤坂地区","北青山三丁目","406","401","314","14","0","328","0","0","81.88","78.29","3.59","0.00","0.00","0.00"
"豊岡町児童遊園","区立児童遊園","高輪地区","三田五丁目","191","182","30","0","0","30","0","0","16.45","16.45","0.00","0.00","0.00","0.00"
"三田松坂児童遊園","区立児童遊園","高輪地区","三田五丁目","773","737","491","0","0","491","177","0","66.68","66.68","0.00","0.00","24.07","0.00"
"松ヶ丘児童遊園","区立児童遊園","高輪地区","高輪一丁目","83","81","42","0","0","42","29","0","52.25","52.25","0.00","0.00","35.82","0.00"
"高松児童遊園","区立児童遊園","高輪地区","高輪一丁目","545","563","223","0","0","223","214","0","39.64","39.64","0.00","0.00","38.04","0.00"
"二本榎児童遊園","区立児童遊園","高輪地区","高輪一丁目","379","378","188","0","0","188","0","0","49.84","49.84","0.00","0.00","0.00","0.00"
"泉岳寺前児童遊園","区立児童遊園","高輪地区","高輪二丁目","1892","1973","999","2","0","1001","764","0","50.72","50.64","0.08","0.00","38.74","0.00"
"高輪南町児童遊園","区立児童遊園","高輪地区","高輪四丁目","618","644","601","14","0","615","0","0","95.50","93.37","2.13","0.00","0.00","0.00"
"白金志田町児童遊園","区立児童遊園","高輪地区","白金一丁目","1259","1265","995","0","0","995","0","0","78.67","78.67","0.00","0.00","0.00","0.00"
"白高児童遊園","区立児童遊園","高輪地区","白金一丁目","1070","1059","485","19","0","504","99","0","47.62","45.81","1.81","0.00","9.38","0.00"
"白金一丁目児童遊園","区立児童遊園","高輪地区","白金一丁目","1138","1084","462","0","0","462","520","0","42.57","42.57","0.00","0.00","47.97","0.00"
"四の橋通児童遊園","区立児童遊園","高輪地区","白金三丁目","497","491","248","0","0","248","90","0","50.45","50.45","0.00","0.00","18.43","0.00"
"三光児童遊園","区立児童遊園","高輪地区","白金五丁目","1641","1698","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00"
"雷神山児童遊園","区立児童遊園","高輪地区","白金六丁目","990","941","917","0","0","917","0","0","97.46","97.46","0.00","0.00","0.00","0.00"
"奥三光児童遊園","区立児童遊園","高輪地区","白金六丁目","213","218","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00"
"白金児童遊園","区立児童遊園","高輪地区","白金台二丁目","1747","1661","1282","0","0","1282","236","0","77.20","77.20","0.00","0.00","14.19","0.00"
"白金台四丁目児童遊園","区立児童遊園","高輪地区","白金台四丁目","432","446","400","0","0","400","0","0","89.60","89.60","0.00","0.00","0.00","0.00"
"白台児童遊園","区立児童遊園","高輪地区","白金台四丁目","592","579","325","48","0","373","0","0","64.40","56.03","8.37","0.00","0.00","0.00"
"白金台どんぐり児童遊園","区立児童遊園","高輪地区","白金台五丁目","6103","6069","2982","744","0","3726","1384","0","61.38","49.13","12.25","0.00","22.80","0.00"
"南浜町児童遊園","区立児童遊園","芝浦港南地区","芝浦一丁目","233","235","89","0","0","89","0","0","37.88","37.88","0.00","0.00","0.00","0.00"
"船路橋児童遊園","区立児童遊園","芝浦港南地区","芝浦二丁目","858","887","399","16","0","414","0","1","46.69","44.93","1.76","0.00","0.00","0.10"
"末広橋児童遊園","区立児童遊園","芝浦港南地区","海岸二丁目","113","115","75","0","0","75","0","0","65.44","65.44","0.00","0.00","0.00","0.00"
"青山北町児童遊園","区立児童遊園","赤坂地区","北青山三丁目","1341","1327","437","0","0","437","0","0","32.93","32.93","0.00","0.00","0.00","0.00"
"久国神社境内遊び場","区立児童遊園","麻布地区","六本木二丁目","341","311","101","0","0","101","0","0","32.52","32.52","0.00","0.00","0.00","0.00"
"金杉濱町緑地","区立緑地","芝地区","芝一丁目","100","100","84","0","0","84","0","0","83.24","83.24","0.00","0.00","0.00","0.00"
"芝二丁目緑地","区立緑地","芝地区","芝二丁目","46","44","26","0","0","26","0","0","59.71","59.71","0.00","0.00","0.00","0.00"
"芝三丁目緑地","区立緑地","芝地区","芝三丁目","96","95","80","0","0","80","0","0","84.52","84.52","0.00","0.00","0.00","0.00"
"御成門緑地","区立緑地","芝地区","西新橋三丁目","233","237","100","0","0","100","0","0","42.10","42.10","0.00","0.00","0.00","0.00"
"手まり坂緑地","区立緑地","芝地区","芝公園三丁目","447","449","164","18","0","181","0","0","40.32","36.40","3.92","0.00","0.00","0.00"
"江戸見坂緑地","区立緑地","芝地区","虎ノ門四丁目","170","168","66","0","0","66","0","0","39.12","39.12","0.00","0.00","0.00","0.00"
"虎ノ門五丁目緑地","区立緑地","芝地区","虎ノ門五丁目","96","96","63","0","0","63","0","0","65.64","65.64","0.00","0.00","0.00","0.00"
"薬園坂緑地","区立緑地","麻布地区","南麻布三丁目","105","105","105","0","0","105","0","0","100.00","100.00","0.00","0.00","0.00","0.00"
"古川沿緑地","区立緑地","麻布地区","南麻布三丁目","1287","1290","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00"
"元麻布三丁目緑地","区立緑地","麻布地区","元麻布三丁目","197","196","189","0","0","189","0","0","96.23","96.23","0.00","0.00","0.00","0.00"
"西麻布一丁目緑地","区立緑地","麻布地区","西麻布一丁目","150","157","77","49","0","127","0","0","80.63","49.22","31.41","0.00","0.00","0.00"
"牛坂緑地","区立緑地","麻布地区","西麻布四丁目","102","104","95","0","0","95","0","0","91.57","91.57","0.00","0.00","0.00","0.00"
"西麻布四丁目緑地","区立緑地","麻布地区","西麻布四丁目","259","259","254","0","0","254","0","0","98.25","98.25","0.00","0.00","0.00","0.00"
"六本木緑地","区立緑地","麻布地区","六本木六丁目","2868","2862","1542","9","0","1551","0","0","54.19","53.86","0.33","0.00","0.00","0.00"
"六本木六丁目緑地","区立緑地","麻布地区","六本木六丁目","214","213","161","0","0","161","0","0","75.60","75.60","0.00","0.00","0.00","0.00"
"赤坂榎坂町緑地","区立緑地","赤坂地区","赤坂一丁目","151","150","112","0","0","112","0","0","74.57","74.57","0.00","0.00","0.00","0.00"
"南青山二丁目緑地","区立緑地","赤坂地区","南青山二丁目","150","153","146","0","0","146","0","0","95.60","95.60","0.00","0.00","0.00","0.00"
"南青山二丁目第二緑地","区立緑地","赤坂地区","南青山二丁目","150","151","131","0","0","131","0","0","86.57","86.29","0.27","0.00","0.00","0.00"
"南青山三丁目緑地","区立緑地","赤坂地区","南青山三丁目","157","154","123","0","0","123","0","0","79.76","79.76","0.00","0.00","0.00","0.00"
"南青山四丁目緑地","区立緑地","麻布地区","南青山四丁目","150","148","60","0","0","60","83","0","40.50","40.50","0.00","0.00","56.02","0.00"
"南青山七丁目緑地","区立緑地","赤坂地区","南青山七丁目","224","226","207","0","0","207","0","0","91.52","91.52","0.00","0.00","0.00","0.00"
"魚籃坂下緑地","区立緑地","高輪地区","白金一丁目","353","485","87","267","0","353","0","0","72.92","17.92","55.00","0.00","0.00","0.00"
"高輪一丁目緑地","区立緑地","高輪地区","高輪一丁目","339","342","290","0","0","290","0","0","84.86","84.86","0.00","0.00","0.00","0.00"
"伊皿子坂緑地","区立緑地","高輪地区","高輪二丁目","152","153","145","0","0","145","0","0","95.00","95.00","0.00","0.00","0.00","0.00"
"白金二丁目緑地","区立緑地","高輪地区","白金二丁目","150","153","87","16","0","104","0","0","68.02","57.23","10.79","0.00","0.00","0.00"
"白金二丁目第二緑地","区立緑地","高輪地区","白金二丁目","230","231","170","0","0","170","0","0","73.75","73.75","0.00","0.00","0.00","0.00"
"明治坂緑地","区立緑地","高輪地区","白金六丁目","156","155","155","0","0","155","0","0","99.99","99.99","0.00","0.00","0.00","0.00"
"白金六丁目緑地","区立緑地","高輪地区","白金六丁目","213","210","134","0","0","134","0","0","63.68","63.68","0.00","0.00","0.00","0.00"
"芝浦四丁目緑地","区立緑地","芝浦港南地区","芝浦四丁目","296","297","232","23","0","255","0","0","85.87","78.09","7.78","0.00","0.00","0.00"
"トリニティ芝浦緑地","区立緑地","芝浦港南地区","芝浦四丁目","1652","1610","734","0","0","734","0","0","45.58","45.58","0.00","0.00","0.00","0.00"
"芝浦運河沿緑地","区立緑地","芝浦港南地区","芝浦四丁目","11281","11190","3018","509","0","3527","0","29","31.52","26.97","4.55","0.00","0.00","0.26"
"新芝北運河沿緑地","区立緑地","芝浦港南地区","芝浦三丁目","1203","1232","368","114","0","482","0","0","39.14","29.87","9.26","0.00","0.00","0.00"
"新芝運河沿緑地","区立緑地","芝浦港南地区","芝浦四丁目","15810","16352","6631","38","0","6670","0","35","40.79","40.55","0.23","0.00","0.00","0.21"
"新芝南運河沿緑地","区立緑地","芝浦港南地区","芝浦四丁目","900","859","315","0","0","315","0","0","36.65","36.65","0.00","0.00","0.00","0.00"
"芝浦西運河沿緑地","区立緑地","芝浦港南地区","芝浦四丁目","8562","7054","2021","326","0","2347","0","6","33.27","28.65","4.62","0.00","0.00","0.09"
"高浜西運河沿緑地","区立緑地","芝浦港南地区","芝浦四丁目","575","564","99","11","0","110","0","0","19.52","17.49","2.03","0.00","0.00","0.00"
"高浜運河沿緑地","区立緑地","芝浦港南地区","港南四丁目","27565","28166","8248","618","0","8866","0","181","31.48","29.28","2.19","0.00","0.00","0.64"
"京浜運河沿緑地","区立緑地","芝浦港南地区","港南四丁目","952","987","18","0","0","18","0","0","1.86","1.85","0.01","0.00","0.00","0.00"
"港南四丁目緑地","区立緑地","芝浦港南地区","港南四丁目","778","781","84","279","0","363","0","0","46.42","10.71","35.71","0.00","0.00","0.00"
"浜松町一丁目緑地","区立緑地","芝地区","浜松町一丁目","300","300","131","0","0","131","0","0","43.76","43.76","0.00","0.00","0.00","0.00"
"永坂上遊び場","区立遊び場","麻布地区","六本木五丁目","98","101","101","0","0","101","0","0","99.98","99.98","0.00","0.00","0.00","0.00"
"氷川神社境内遊び場","区立遊び場","赤坂地区","赤坂六丁目","284","283","251","0","0","251","0","0","88.51","88.51","0.00","0.00","0.00","0.00"
"承教寺前遊び場","区立遊び場","高輪地区","高輪二丁目","40","40","25","0","0","25","0","0","62.11","62.11","0.00","0.00","0.00","0.00"
"高輪台遊び場","区立遊び場","高輪地区","高輪三丁目","527","509","75","0","0","75","0","0","14.66","14.66","0.00","0.00","0.00","0.00"
"白金台緑の遊び場","区立遊び場","高輪地区","白金台三丁目","878","837","794","0","0","794","19","0","94.77","94.77","0.00","0.00","2.22","0.00"
"白金台三丁目遊び場","区立遊び場","高輪地区","白金台三丁目","1416","1482","640","0","0","640","736","0","43.20","43.20","0.00","0.00","49.67","0.00"
"日東坂下遊び場","区立遊び場","高輪地区","白金台五丁目","236","236","87","0","0","87","122","0","36.95","36.95","0.00","0.00","51.84","0.00"
"夕凪橋際遊び場","区立遊び場","芝浦港南地区","芝浦四丁目","1361","1377","147","0","0","147","0","0","10.68","10.68","0.00","0.00","0.00","0.00"
"港南三丁目遊び場","区立遊び場","芝浦港南地区","港南三丁目","3002","2908","1849","0","0","1849","975","0","63.57","63.57","0.00","0.00","33.51","0.00"
"都立旧芝離宮恩賜庭園","都立公園","芝地区","海岸一丁目","43175","42262","19367","7740","0","27107","2158","9419","64.14","45.82","18.32","0.00","5.11","22.29"
"都立芝公園","都立公園","芝地区","芝公園四丁目","122501","116704","84626","6519","0","91145","11462","0","78.10","72.51","5.59","0.00","9.82","0.00"
"都立青山公園","都立公園","麻布地区","南青山一丁目","40018","41261","22106","12746","0","34852","4191","0","84.47","53.58","30.89","0.00","10.16","0.00"
"都立台場公園","都立公園","芝浦港南地区","台場一丁目","29963","29241","13193","15033","0","28225","0","0","96.53","45.12","51.41","0.00","0.00","0.00"
"お台場海浜公園","都立海上公園","芝浦港南地区","台場一丁目","75415","133944","57300","11797","0","69097","1814","0","51.59","42.78","8.81","0.00","1.35","0.00"
"シンボルプロムナード公園","都立海上公園","芝浦港南地区","台場二丁目","14433","9190","1162","0","0","1162","0","0","12.65","12.65","0.00","0.00","0.00","0.00"
"芝浦南ふ頭公園","都立海上公園","芝浦港南地区","海岸三丁目","9926","9494","1321","617","0","1938","3771","0","20.41","13.92","6.50","0.00","39.71","0.00"
"品川北ふ頭公園","都立海上公園","芝浦港南地区","港南五丁目","5950","5855","2204","2122","0","4326","1495","0","73.89","37.65","36.24","0.00","25.53","0.00"
"科学博物館附属自然教育園","国立公園","高輪地区","白金台五丁目","198644","181117","177639","151","0","177790","10","1232","98.16","98.08","0.08","0.00","0.01","0.68"
"明治神宮外苑","国立公園","赤坂地区","北青山一丁目","69902","69307","39369","2325","0","41693","9510","0","60.16","56.80","3.35","0.00","13.72","0.00"

"※面積は小数第1位、率は小数第3位を四捨五入により集計値が合わない場合がある",,,,,,,,,,,,,,,,,
"※高速道路下は実際に緑地があっても緑被判読はできていない",,,,,,,,,,,,,,,,,

"港区みどりの実態調査（第１０次）公園緑地緑被状況一覧","Ver202203",,,,,,,,,,,,,,,,
