"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","時刻27","時刻28","時刻29","時刻30","時刻31","時刻32","時刻33","時刻34","時刻35","時刻36","時刻37","時刻38","備考"
"麻布西ルート","広尾駅","107","六本木五丁目","8:21","8:41","9:01","9:21","9:41","10:01","10:21","10:41","11:01","11:21","11:41","12:01","12:21","12:41","13:01","13:21","13:41","14:01","14:21","14:41","15:01","15:21","15:41","16:01","16:21","16:41","17:01","17:21","17:41","18:01","18:21","18:41","19:01","19:21","19:41","20:01","20:21","20:41","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","108","飯倉片町","8:22","8:42","9:02","9:22","9:42","10:02","10:22","10:42","11:02","11:22","11:42","12:02","12:22","12:42","13:02","13:22","13:42","14:02","14:22","14:42","15:02","15:22","15:42","16:02","16:22","16:42","17:02","17:22","17:42","18:02","18:22","18:42","19:02","19:22","19:42","20:02","20:22","20:42","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","93","麻布十番駅前（一の橋）","8:26","8:46","9:06","9:26","9:46","10:06","10:26","10:46","11:06","11:26","11:46","12:06","12:26","12:46","13:06","13:26","13:46","14:06","14:26","14:46","15:06","15:26","15:46","16:06","16:26","16:46","17:06","17:26","17:46","18:06","18:26","18:46","19:06","19:26","19:46","20:06","20:26","20:46","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","93-2","二ノ橋","8:28","8:48","9:08","9:28","9:48","10:08","10:28","10:48","11:08","11:28","11:48","12:08","12:28","12:48","13:08","13:28","13:48","14:08","14:28","14:48","15:08","15:28","15:48","16:08","16:28","16:48","17:08","17:28","17:48","18:08","18:28","18:48","19:08","19:28","19:48","20:08","20:28","20:48","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","94","仙台坂下","8:29","8:49","9:09","9:29","9:49","10:09","10:29","10:49","11:09","11:29","11:49","12:09","12:29","12:49","13:09","13:29","13:49","14:09","14:29","14:49","15:09","15:29","15:49","16:09","16:29","16:49","17:09","17:29","17:49","18:09","18:29","18:49","19:09","19:29","19:49","20:09","20:29","20:49","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","95","仙台坂上","8:30","8:50","9:10","9:30","9:50","10:10","10:30","10:50","11:10","11:30","11:50","12:10","12:30","12:50","13:10","13:30","13:50","14:10","14:30","14:50","15:10","15:30","15:50","16:10","16:30","16:50","17:10","17:30","17:50","18:10","18:30","18:50","19:10","19:30","19:50","20:10","20:30","20:50","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","96","元麻布二丁目","8:32","8:52","9:12","9:32","9:52","10:12","10:32","10:52","11:12","11:32","11:52","12:12","12:32","12:52","13:12","13:32","13:52","14:12","14:32","14:52","15:12","15:32","15:52","16:12","16:32","16:52","17:12","17:32","17:52","18:12","18:32","18:52","19:12","19:32","19:52","20:12","20:32","20:52","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","97","愛育クリニック","8:34","8:54","9:14","9:34","9:54","10:14","10:34","10:54","11:14","11:34","11:54","12:14","12:34","12:54","13:14","13:34","13:54","14:14","14:34","14:54","15:14","15:34","15:54","16:14","16:34","16:54","17:14","17:34","17:54","18:14","18:34","18:54","19:14","19:34","19:54","20:14","20:34","20:54","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","98","有栖川宮記念公園","8:35","8:55","9:15","9:35","9:55","10:15","10:35","10:55","11:15","11:35","11:55","12:15","12:35","12:55","13:15","13:35","13:55","14:15","14:35","14:55","15:15","15:35","15:55","16:15","16:35","16:55","17:15","17:35","17:55","18:15","18:35","18:55","19:15","19:35","19:55","20:15","20:35","20:55","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","99","広尾駅","8:36","8:56","9:16","9:36","9:56","10:16","10:36","10:56","11:16","11:36","11:56","12:16","12:36","12:56","13:16","13:36","13:56","14:16","14:36","14:56","15:16","15:36","15:56","16:16","16:36","16:56","17:16","17:36","17:56","18:16","18:36","18:56","19:16","19:36","19:56","20:16","20:36","20:56","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"

"ちぃばす時刻表　麻布西ルート（土曜日・日曜日及び祝祭日）","Ver201904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
