中小企業事業資金　資金別、業種別あっせん状況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種別,件数総数（件）,金額総数（円）,運転資金件数（件）,運転資金金額（円）,設備資金件数（件）,設備資金金額（円）,短期特別資金件数（件）,短期特別資金金額（円）,借換資金件数（件）,借換資金金額（円）,創業資金Ａ件数（件）,創業資金Ａ金額（円）,創業資金Ｂ件数（件）,創業資金Ｂ金額（円）,商店会加入者特別資金件数（件）,商店会加入者特別資金金額（円）,経営革新創造資金件数（件）,経営革新創造資金金額（円）,小規模事業者支援資金件数（件）,小規模事業者支援資金金額（円）,環境配慮型事業者支援資金件数（件）,環境配慮型事業者支援資金金額（円）,創業資金S件数（件）,創業資金S金額（円）,小口零細企業保証資金（件）,小口零細企業保証資金（円）,事業承継支援資金（件）,事業承継支援資金（円）,商工業団体事業資金（件）,商工業団体事業資金（円）,新型コロナウイルス感染症対策特別資金（件）,新型コロナウイルス感染症対策特別資金（円）,新型コロナウイルス感染症対策特別資金（４号型）（件）,新型コロナウイルス感染症対策特別資金（４号型）（円）,新型コロナウイルス感染症対策特別資金（５号型）（件）,新型コロナウイルス感染症対策特別資金（５号型）（円）
2016年サービス業,160,"751,560,000",43,"260,400,000",14,"67,250,000",2,"10,000,000",2,"11,000,000",3,"10,000,000",5,"39,200,000",4,"40,000,000",1,"10,000,000",83,"290,910,000", -  , -  ,3,"12,800,000", -  , -  ,-,-,-,-,-,-,-,-,-,-
2016年合計,397,"1,914,620,000",111,"716,660,000",23,"111,140,000",3,"15,000,000",4,"25,500,000",4,"14,000,000",9,"56,700,000",24,"103,780,000",1,"10,000,000",210,"803,280,000", -  , -  ,8,"58,560,000", -  , -  ,-,-,-,-,-,-,-,-,-,-
2017年土木・建設・工事,142,"659,530,000",24,"154,000,000",10,"56,170,000",1,"3,000,000",5,"32,500,000",3,"18,000,000",6,"16,100,000",6,"18,770,000",1,"2,500,000",82,"340,990,000", -  , -  ,4,"17,500,000", -  , -  ,-,-,-,-,-,-,-,-,-,-
2017年製造業,37,"174,100,000",7,"28,000,000",2,"18,000,000",1,"5,000,000",1,"7,000,000",4,"14,000,000",2,"11,500,000",4,"20,700,000",-,-,14,"58,900,000",1,"10,000,000",1,"1,000,000", -  , -  ,-,-,-,-,-,-,-,-,-,-
2017年卸売業,11,"66,900,000",5,"45,900,000",1,"4,500,000",-,-,-,-,-,-,-,-,1,"3,000,000",-,-,4,"13,500,000", -  , -  , -  , -  , -  , -  ,-,-,-,-,-,-,-,-,-,-
2017年小売業,46,"221,500,000",10,"54,000,000",3,"17,800,000",-,-,-,-,1,"1,000,000",-,-,6,"29,000,000",-,-,24,"110,200,000", -  , -  ,1,"8,000,000", -  , -  ,-,-,-,-,-,-,-,-,-,-
2017年飲食業,14,"80,280,000",5,"38,000,000",-,-,-,-,1,"9,880,000",-,-,-,-,-,-,-,-,8,"32,400,000", -  , -  , -  , -  , -  , -  ,-,-,-,-,-,-,-,-,-,-
2017年サービス業,80,"447,800,000",12,"86,000,000",4,"13,500,000",1,"5,000,000",5,"33,900,000",-,-,-,-,1,"3,000,000",-,-,57,"306,400,000", -  , -  , -  , -  , -  , -  ,-,-,-,-,-,-,-,-,-,-
2017年合計,330,"1,650,110,000",63,"405,900,000",20,"109,970,000",3,"13,000,000",12,"83,280,000",8,"33,000,000",8,"27,600,000",18,"74,470,000",1,"2,500,000",189,"862,390,000",1,"10,000,000",6,"26,500,000", -  , -  ,-,-,-,-,-,-,-,-,-,-
2018年サービス業,142,"659,530,000",24,"154,000,000",10,"56,170,000",1,"3,000,000",5,"32,500,000",3,"18,000,000",6,"16,100,000",6,"18,770,000",1,"2,500,000",82,"340,990,000", -  , -  ,4,"17,500,000", -  , -  ,0,0,0,0,-,-,-,-,-,-
2018年飲食業,37,"174,100,000",7,"28,000,000",2,"18,000,000",1,"5,000,000",1,"7,000,000",4,"14,000,000",2,"11,500,000",4,"20,700,000",0,0,14,"58,900,000", -  , -  ,1,"1,000,000", -  , -  ,1,"10,000,000",0,0,-,-,-,-,-,-
2018年卸売業,11,"66,900,000",5,"45,900,000",1,"4,500,000",0,0,0,0,0,0,0,0,1,"3,000,000",0,0,4,"13,500,000", -  , -  ,0,0, -  , -  ,0,0,0,0,-,-,-,-,-,-
2018年小売業,46,"221,500,000",10,"54,000,000",3,"17,800,000",0,0,0,0,1,"1,000,000",0,0,6,"29,000,000",0,0,24,"110,200,000", -  , -  ,1,"8,000,000", -  , -  ,0,0,1,"1,500,000",-,-,-,-,-,-
2018年製造業,14,"80,280,000",5,"38,000,000",0,0,0,0,1,"9,880,000",0,0,0,0,0,0,0,0,8,"32,400,000", -  , -  ,0,0, -  , -  ,0,0,0,0,-,-,-,-,-,-
2018年土木・建設・工事,80,"447,800,000",12,"86,000,000",4,"13,500,000",1,"5,000,000",5,"33,900,000",0,0,0,0,1,"3,000,000",0,0,57,"306,400,000", -  , -  ,0,0, -  , -  ,0,0,0,0,-,-,-,-,-,-
2018年合計,330,"1,650,110,000",63,"405,900,000",20,"109,970,000",3,"13,000,000",12,"83,280,000",8,"33,000,000",8,"27,600,000",18,"74,470,000",1,"2,500,000",189,"862,390,000", -  , -  ,6,"26,500,000", -  , -  ,1,"10,000,000",1,"1,500,000",-,-,-,-,-,-
2019年サービス業,143,"774,820,000",35,"239,100,000",8,"56,000,000",0,0,0,0,4,"38,000,000",7,"45,400,000",3,"18,000,000",0,0,79,"341,320,000", -  , -  ,3,"17,000,000", -  , -  ,0,0,0,0,4,"20,000,000",-,-,-,-
2019年飲食業,48,"211,400,000",10,"51,000,000",5,"32,950,000",0,0,0,0,3,"21,400,000",2,"9,000,000",2,"4,000,000",0,0,19,"46,400,000", -  , -  ,2,"16,650,000", -  , -  ,1,"10,000,000",0,0,4,"20,000,000",-,-,-,-
2019年卸売業,13,"75,060,000",3,"20,900,000",1,"1,660,000",0,0,0,0,0,0,1,"10,000,000",0,0,0,0,8,"42,500,000", -  , -  ,0,0, -  , -  ,0,0,0,0,0,0,-,-,-,-
2019年小売業,44,"198,980,000",10,"49,100,000",1,"15,000,000",0,0,0,0,1,"2,000,000",2,"5,000,000",4,"11,900,000",0,0,24,"105,980,000", -  , -  ,0,0, -  , -  ,0,0,0,0,2,"10,000,000",-,-,-,-
2019年製造業,12,"78,000,000",2,"20,000,000",1,"4,600,000",0,0,0,0,0,0,0,0,0,0,0,0,8,"48,400,000", -  , -  ,0,0, -  , -  ,1,"5,000,000",0,0,0,0,-,-,-,-
2019年土木・建設・工事,59,"334,900,000",13,"94,000,000",2,"6,000,000",0,0,0,0,0,0,1,"500,000",2,"15,000,000",0,0,41,"219,400,000", -  , -  ,0,0, -  , -  ,0,0,0,0,0,0,-,-,-,-
2019年合計,319,"1,673,160,000",73,"474,100,000",18,"116,210,000",0,0,0,0,8,"61,400,000",13,"69,900,000",11,"48,900,000",0,0,179,"804,000,000", -  , -  ,5,"33,650,000", -  , -  ,2,"15,000,000",0,0,10,"50,000,000",-,-,-,-
2020年サービス業,187,"906,550,000",8,"63,000,000",3,"10,570,000",0,0,0,0,3,"37,700,000",3,"6,500,000",0,0,0,0,41,"244,480,000", -  , -  ,5,"30,800,000", -  , -  ,0,0,0,0,124,"513,500,000",-,-,-,-
2020年飲食業,80,"405,300,000",3,"23,000,000",0,0,0,0,0,0,2,"10,500,000",1,"13,000,000",1,"2,000,000",0,0,5,"42,000,000", -  , -  ,0,0, -  , -  ,0,0,0,0,68,"314,800,000",-,-,-,-
2020年卸売業,7,"37,000,000",0,0,0,0,0,0,1,"8,000,000",0,0,1,"6,000,000",0,0,0,0,1,"3,000,000", -  , -  ,0,0, -  , -  ,0,0,0,0,4,"20,000,000",-,-,-,-
2020年小売業,64,"297,000,000",2,"13,000,000",0,0,0,0,0,0,2,"10,000,000",0,0,0,0,0,0,6,"36,500,000", -  , -  ,0,0, -  , -  ,0,0,0,0,54,"237,500,000",-,-,-,-
2020年製造業,15,"60,500,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"9,000,000", -  , -  ,0,0, -  , -  ,0,0,0,0,13,"51,500,000",-,-,-,-
2020年土木・建設・工事,57,"276,000,000",2,"12,000,000",0,0,0,0,0,0,0,0,2,"8,000,000",0,0,0,0,8,"55,000,000", -  , -  ,0,0, -  , -  ,0,0,0,0,45,"201,000,000",-,-,-,-
2020年合計,410,"1,982,350,000",15,"111,000,000",3,"10,570,000",0,0,1,"8,000,000",7,"58,200,000",7,"33,500,000",1,"2,000,000",0,0,63,"389,980,000", -  , -  ,5,"30,800,000", -  , -  ,0,0,0,0,308,"1,338,300,000",-,-,-,-
2021年サービス業,168,"935,400,000",45,"335,000,000",9,"63,200,000",0,0,1,2000000,7,"63,000,000",12,"55,800,000",1,10000000,0,0,73,"271,500,000", -  , -  ,6,"30,000,000", -  , -  ,0,0,0,0,-,-,6,"29,700,000",8,"75,200,000"
2021年飲食業,15,"89,030,000",2,"9,000,000",1,14000000,0,0,0,0,2,"10,000,000",2,"12,500,000",0,0,0,0,3,"5,100,000", -  , -  ,0,0, -  , -  ,0,0,0,0,-,-,4,"35,430,000",1,"3,000,000"
2021年卸売業,6,"54,000,000",3,20000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"16,000,000", -  , -  ,1,6000000, -  , -  ,0,0,0,0,-,-,1,"12,000,000",0,0
2021年小売業,47,"282,200,000",13,"83,000,000",1,5000000,0,0,0,0,3,"13,500,000",1,300000,3,17800000,0,0,15,"83,300,000", -  , -  ,1,13000000, -  , -  ,0,0,0,0,-,-,7,"44,410,000",3,"21,890,000"
2021年製造業,11,"74,000,000",4,37000000,0,0,0,0,0,0,1,7500000,0,0,0,0,0,0,4,"22,500,000", -  , -  ,1,5000000, -  , -  ,0,0,0,0,-,-,0,0,1,"2,000,000"
2021年土木・建設・工事,97,"586,596,000",25,"193,700,000",1,5000000,0,0,0,0,5,23000000,3,"31,000,000",1,2000000,0,0,54,"275,900,000", -  , -  ,0,0, -  , -  ,0,0,0,0,-,-,4,"21,200,000",4,"34,796,000"
2021年合計,344,"2,021,226,000",92,"677,700,000",12,"87,200,000",0,0,1,"2,000,000",18,"117,000,000",18,"99,600,000",5,"29,800,000",0,0,150,"674,300,000", -  , -  ,9,"54,000,000", -  , -  ,0,0,0,0,-,-,22,"142,740,000",17,"136,886,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：産業文化スポーツ部産業観光課,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：貸付件数には、前年度申込で次年度実行になった分を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
