年月,西暦（年）,月,総合,財,財／生鮮食品を除く財,財／農水畜産物,財／農水畜産物／生鮮商品,財／農水畜産物／他の農水畜産物,財／農水畜産物／他の農水畜産物／米類,財／工業製品,財／工業製品／食料工業製品,財／工業製品／繊維製品,財／工業製品／石油製品,財／工業製品／他の工業製品,財／電気・都市ガス・水道,財／出版物,サービス,サービス/持家の帰属家賃を除くサービス,サービス/公共サービス,サービス/一般サービス,サービス/一般サービス／外食,サービス/一般サービス／民営家賃,サービス/一般サービス／民営家賃／民営家賃（木造）,サービス/一般サービス／民営家賃／民営家賃（非木造）,サービス/一般サービス／持家の帰属家賃,サービス/一般サービス／持家の帰属家賃／持家の帰属家賃（木造）,サービス/一般サービス／持家の帰属家賃／持家の帰属家賃（非木造）,サービス/一般サービス／他のサービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金,
前年(度)比(％)／令和元年平均,2019,,0.8,1.1,1.4,-0.7,-0.8,0.1,0.1,1,1.1,0.6,-2.1,1.4,3.7,3.1,0.5,0.6,-0.1,0.7,1.7,0.4,0.4,0.4,0.4,0.4,0.4,0.8,1.7,0.7,1.1,1.2,
前年(度)比(％)／令和2年平均,2020,,0.1,0.7,0.5,1.6,1.8,0,0,1.2,0.6,2.2,-5.3,2.1,-3.5,1,-0.4,-0.6,-2.2,0.1,2.4,0.2,0.4,0.1,0.1,0.3,0,-0.8,1.9,2.3,0.2,-2.5,
前年(度)比(％)／令和3年平均,2021,,-0.2,0.2,0.3,-0.2,0.1,-4.1,-4.1,0.5,-0.1,0.3,11.8,0.6,-1,1.8,-0.6,-1,0.5,-0.9,-0.1,0.2,0.1,0.2,0.1,0,0.2,-2.6,0.6,0.3,0.2,0.2,
前年(度)比(％)／平成29年度平均,2017,,0.5,1.1,1,2.2,2.1,3.6,3.6,0.3,0.6,0.4,9.8,-0.7,4.6,0.7,0.1,0.3,0.7,-0.1,0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.4,0.1,-0.9,0.1,1.6,1.8,
前年(度)比(％)／平成30年度平均,2018,,0.8,1.1,1.4,-0.3,-0.5,2.7,2.7,0.7,0.7,0.8,9.5,0,5.5,1.3,0.6,0.7,0.9,0.5,0.9,0.2,0.2,0.2,0.3,0.4,0.2,0.6,-0.6,0.7,1.4,2.3,
前年(度)比(％)／令和元年度平均,2019,,0.8,1.2,1.3,0.6,0.7,0.3,0.3,1.4,1.3,1.2,-1.2,1.8,0.8,2.8,0.4,0.4,-1,0.7,2.3,0.3,0.5,0.3,0.2,0.2,0.2,0.8,2,1.2,1.1,-0.3,
前年(度)比(％)／令和2年度平均,2020,,-0.1,0.2,0,1.6,1.8,-1,-1,0.8,0.2,1.7,-7.3,1.7,-5,0.8,-0.4,-0.7,-1.5,-0.1,1.5,0.2,0.2,0.2,0.2,0.3,0.1,-1,1.7,1.8,-0.3,-2.4,
月別指数／令和2年12月,2020,12,99.3,98.5,99.1,95.7,95.4,100,100,99.9,99.3,100.8,98.4,100.3,93.4,100.1,99.8,99.6,99.7,99.8,100,100.2,100.1,100.2,100.2,100.1,100.2,99.3,100.4,100.6,97.8,97.9,
月別指数／令和3年1月,2021,1,99.7,98.8,98.7,99.7,99.8,98,98,99.6,99.7,97.9,100.1,99.9,92.5,100.2,100.4,100.6,100.4,100.4,100,100.1,100.1,100.1,100.1,100.1,100.1,101,99.5,98.5,98.7,98.1,
月別指数／令和3年2月,2021,2,99.8,99,99.1,99,99,98.4,98.4,100,99.7,98.8,102.9,100.6,92.7,100.3,100.3,100.4,100.3,100.3,100,100.1,100.1,100.1,100.1,100.1,100.1,100.7,100.4,99.4,98.7,98.2,
月別指数／令和3年3月,2021,3,99.8,99.1,99.5,97.3,97.2,98.1,98.1,100.2,99.8,100.4,106.8,100.4,93.9,100.4,100.3,100.5,100.6,100.2,100.1,100,99.9,100,100,99.9,100,100.7,100.2,100.3,98.7,98.7,
月別指数／令和3年4月,2021,4,99.1,99.3,99.7,96.8,96.8,96.6,96.6,100.3,99.6,101.5,109.1,100.3,95.8,100.7,99,98.5,100.2,98.7,99.8,100,99.9,100,100,99.9,100,96.6,99.6,101,98.9,99,
月別指数／令和3年5月,2021,5,99.5,99.8,100.2,97.7,97.7,98.1,98.1,100.4,99.8,101.4,109.4,100.4,98.7,100.7,99.2,98.8,100.5,98.9,99.9,100.1,99.9,100.1,100,99.9,100.1,96.9,99.6,101,99.6,100.1,
月別指数／令和3年6月,2021,6,99.5,100.1,100.1,99.9,100.1,97.9,97.9,100.2,99.5,101,111,100.2,99.6,100.6,99.1,98.5,100.4,98.7,99.9,100.1,100.1,100.1,100,99.9,100.1,96.5,99.5,100.9,100,100.3,
月別指数／令和3年7月,2021,7,99.8,100.3,100.5,99.4,99.6,96.9,96.9,100.4,99.6,99.4,114.2,101,100.1,103,99.4,99,100.7,99,100,100.1,100.1,100.1,100.1,100,100.1,97.2,101.6,99.8,100.1,100.6,
月別指数／令和3年8月,2021,8,99.8,100.3,100.5,99.4,99.7,95.5,95.5,100.5,99.9,98.6,114.3,101.1,99.6,103,99.4,99,100.9,99.1,99.7,100.2,100.2,100.2,100.2,100.1,100.3,97.2,101.7,99.2,100.3,100.6,
月別指数／令和3年9月,2021,9,100.1,101.6,101.1,104.1,105,93,93,101,100.2,101.1,114.7,101.1,101.3,103.2,99,98.3,100.5,98.6,99.7,100.3,100.2,100.3,100.2,100.1,100.3,96,101.5,100.8,101.7,100.8,
月別指数／令和3年10月,2021,10,99.9,101.4,101.3,101.6,102.3,93.1,93.1,101,100.2,100.9,118,101.1,103,103.2,98.8,98,100.4,98.4,99.9,100.3,100.2,100.4,100.2,100.1,100.4,95.4,101.4,100.6,101.5,101.4,
月別指数／令和3年11月,2021,11,100,101.7,101.7,101.1,101.7,93,93,101.3,100.6,101.7,122,100.9,104.6,103.2,98.8,98,100.3,98.4,100.1,100.3,100.2,100.4,100.2,100,100.4,95.2,101.2,101,101.9,101.8,
月別指数／令和3年12月,2021,12,100,101.6,101.5,101.7,102.4,92.7,92.7,100.8,100.1,100.9,119.4,100.7,106,103.3,98.9,98.2,100.4,98.5,100,100.3,100.2,100.3,100.2,100,100.3,95.6,100.8,100.5,101.9,102.3,
前月比(％)／令和2年12月,2020,12,-0.3,-1,-0.7,-2.4,-2.8,1.5,1.5,-0.6,-0.3,-1.2,1.6,-0.8,-1.7,-0.1,0.2,0.3,0,0.3,-0.1,0,0,0.1,0,0,0.1,0.7,-1.1,-1.1,-1,-0.5,
前月比(％)／令和3年1月,2021,1,0.5,0.3,-0.3,4.1,4.6,-1.9,-1.9,-0.3,0.4,-2.9,1.8,-0.4,-0.9,0.1,0.6,0.9,0.7,0.6,0,-0.1,0,-0.1,0,0.1,-0.1,1.7,-0.9,-2,1,0.2,
前月比(％)／令和3年2月,2021,2,0,0.2,0.4,-0.7,-0.8,0.4,0.4,0.4,0,0.9,2.7,0.7,0.2,0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,-0.3,0.9,0.9,0,0,
前月比(％)／令和3年3月,2021,3,0,0.1,0.3,-1.7,-1.8,-0.3,-0.3,0.3,0.1,1.7,3.9,-0.2,1.3,0.2,0,0.1,0.3,-0.1,0.1,-0.1,-0.2,-0.1,-0.1,-0.2,-0.1,0,-0.2,1,-0.1,0.6,
前月比(％)／令和3年4月,2021,4,-0.6,0.2,0.3,-0.5,-0.4,-1.6,-1.6,0.1,-0.2,1.1,2.1,-0.1,2,0.2,-1.3,-2,-0.4,-1.5,-0.2,0,0,0,0,0,0,-4,-0.6,0.7,0.2,0.3,
前月比(％)／令和3年5月,2021,5,0.3,0.5,0.4,0.9,0.9,1.6,1.6,0.1,0.1,-0.1,0.3,0.1,3,0,0.2,0.3,0.3,0.2,0,0.1,0,0.1,0,0,0.1,0.3,0,0,0.7,1.1,
前月比(％)／令和3年6月,2021,6,0,0.3,-0.1,2.3,2.5,-0.2,-0.2,-0.2,-0.3,-0.4,1.5,-0.2,0.9,-0.1,-0.1,-0.2,-0.1,-0.1,0,0,0.2,0,0,0,0,-0.4,-0.2,-0.1,0.4,0.2,
前月比(％)／令和3年7月,2021,7,0.2,0.2,0.3,-0.6,-0.5,-1.1,-1.1,0.2,0.1,-1.6,2.9,0.8,0.4,2.4,0.3,0.4,0.3,0.3,0.1,0,0,0,0,0,0,0.7,2.1,-1.1,0.1,0.3,
前月比(％)／令和3年8月,2021,8,0,0,0,0,0.2,-1.4,-1.4,0.1,0.3,-0.8,0.1,0.1,-0.4,0.1,0.1,0,0.2,0,-0.3,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,-0.6,0.2,0,
前月比(％)／令和3年9月,2021,9,0.3,1.2,0.6,4.7,5.3,-2.5,-2.5,0.5,0.3,2.6,0.4,0,1.7,0.1,-0.4,-0.7,-0.4,-0.4,0,0,0,0,0,0,0,-1.3,-0.2,1.6,1.4,0.2,
前月比(％)／令和3年10月,2021,10,-0.2,-0.2,0.2,-2.4,-2.6,0,0,0,0,-0.2,2.8,0,1.7,0.1,-0.2,-0.3,-0.1,-0.2,0.1,0.1,0,0.1,0,0,0.1,-0.6,-0.1,-0.2,-0.2,0.6,
前月比(％)／令和3年11月,2021,11,0.1,0.3,0.4,-0.5,-0.5,-0.1,-0.1,0.2,0.4,0.7,3.4,-0.2,1.5,0,-0.1,-0.1,-0.1,0,0.2,0,0,0,0,0,0,-0.2,-0.2,0.3,0.3,0.4,
前月比(％)／令和3年12月,2021,12,0,-0.1,-0.2,0.6,0.7,-0.3,-0.3,-0.5,-0.5,-0.8,-2.2,-0.3,1.3,0.1,0.1,0.2,0.1,0.1,-0.1,-0.1,0,-0.1,0,0,-0.1,0.4,-0.4,-0.4,0,0.5,
前月比寄与度,,,0,-0.04,-0.07,0.04,0.04,0,0,-0.15,-0.07,-0.03,-0.02,-0.03,0.07,0,0.06,0.07,0.01,0.05,0,0,0,0,-0.01,0,-0.01,0.06,-0.02,-0.03,0.01,0.08,
前年同月比(％)／令和2年12月,2020,12,-1.2,-1.7,-1.2,-3.6,-3.8,-1.1,-1.1,-0.1,-0.6,0.4,-8.4,0.8,-8.9,0.3,-0.7,-1.3,-0.2,-0.9,0.1,0.5,0.3,0.6,0.5,0.2,0.6,-3,0.8,0.5,-2.6,-2.7,
前年同月比(％)／令和3年1月,2021,1,-0.5,-1.3,-1.3,-0.9,-0.7,-3.2,-3.2,-0.1,-0.5,0.8,-9,0.4,-9.6,0.4,0.2,0.1,0,0.2,0.1,0.3,0.2,0.3,0.3,0.2,0.3,0.1,0.6,0,-1.9,-2.7,
前年同月比(％)／令和3年2月,2021,2,-0.3,-0.9,-1,0.5,0.8,-2.8,-2.8,0.1,-0.4,0.3,-5,0.9,-9.1,0.4,0.1,0,0,0.1,0,0.3,0.2,0.3,0.3,0.3,0.3,-0.2,0.8,0.5,-1.4,-2.6,
前年同月比(％)／令和3年3月,2021,3,-0.4,-0.8,-0.7,-0.5,-0.2,-3.3,-3.3,0.3,-0.3,0.7,1.6,0.8,-8.1,0.5,-0.1,-0.1,0.1,-0.1,0,0.1,-0.1,0.1,0.1,0,0.1,-0.4,0.8,0.7,-1.3,-2.2,
前年同月比(％)／令和3年4月,2021,4,-1.2,-1.1,-0.4,-4.4,-4.5,-2.9,-2.9,0.4,-0.5,0.4,11.3,1,-6.3,0.7,-1.2,-1.9,0.4,-1.6,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,-4.5,0.8,0.6,-1.7,-1.5,
前年同月比(％)／令和3年5月,2021,5,-0.9,-0.6,-0.2,-3,-3.2,-0.6,-0.6,0.3,-0.6,0.3,16.6,0.6,-3.6,0.7,-1.1,-1.6,0.5,-1.4,-0.1,0.1,-0.2,0.1,0,-0.2,0.1,-3.9,0,0.5,-1,-0.6,
前年同月比(％)／令和3年6月,2021,6,-0.5,-0.1,-0.2,0.4,0.5,-1.6,-1.6,0.1,-1,0.5,15.1,0.5,-2.6,0.6,-0.8,-1.3,0.5,-1.2,0,0.1,0,0.1,-0.1,-0.2,0.1,-3.2,-0.1,0.9,-0.3,-0.3,
前年同月比(％)／令和3年7月,2021,7,-0.4,0,0.3,-1.6,-1.4,-3.9,-3.9,0.5,-0.6,0.6,17.8,0.8,-1.5,3.1,-0.8,-1.2,0.7,-1.1,0.1,0.1,0,0.1,0,-0.2,0.2,-3.2,0.9,0.8,-0.3,0.2,
前年同月比(％)／令和3年8月,2021,8,-0.4,-0.2,0.6,-4.8,-4.8,-5,-5,0.8,0,0.6,16,1,-1.1,3,-0.5,-0.9,0.7,-0.8,-0.2,0.3,0.2,0.3,0.2,0.1,0.3,-2.3,1.3,0.5,-0.7,0.3,
前年同月比(％)／令和3年9月,2021,9,0.3,1.4,1.2,2.7,3.5,-6.8,-6.8,0.9,0.4,0.2,15.6,1.1,2.3,3,-0.6,-1,0.8,-1,-0.2,0.2,0.2,0.2,0.2,0.1,0.3,-2.8,1.5,0,1.7,1.4,
前年同月比(％)／令和3年10月,2021,10,0.1,1.2,1.3,0.5,1,-5.8,-5.8,0.6,0.2,-0.6,20.1,0.4,6.3,3,-0.8,-1.3,0.8,-1.2,-0.2,0.2,0.2,0.3,0.2,0.1,0.3,-3.5,0.3,-0.6,1.8,2.5,
前年同月比(％)／令和3年11月,2021,11,0.5,2.2,2,3,3.7,-5.6,-5.6,0.8,1,-0.3,26,-0.2,10.1,3,-0.9,-1.4,0.6,-1.2,-0.1,0.2,0.1,0.2,0.1,0,0.2,-3.5,-0.3,-0.6,3.2,3.5,
前年同月比(％)／令和3年12月,2021,12,0.8,3.1,2.5,6.2,7.3,-7.3,-7.3,0.9,0.8,0.1,21.3,0.3,13.5,3.2,-0.9,-1.5,0.7,-1.3,-0.1,0.1,0.1,0.1,0,0,0.1,-3.8,0.4,0,4.2,4.5,
前年同月比寄与度,,,0.8,1.33,0.98,0.4,0.43,-0.04,-0.04,0.28,0.11,0,0.13,0.04,0.62,0.04,-0.54,-0.55,0.08,-0.62,0,0,0,0,0.01,0,0.01,-0.62,0.02,0,1.31,0.71,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和３年１２月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
５．東京都区部消費者物価財・サービス分類指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,,
 ２０２０年＝１００／(令和２年＝１００),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
