種別,緯度,経度
行政防災無線固定系,35.6121054,139.7544166
行政防災無線固定系,35.6112622,139.7590791
行政防災無線固定系,35.6162218,139.7000110
行政防災無線固定系,35.6152841,139.7100840
行政防災無線固定系,35.6171412,139.7046455
行政防災無線固定系,35.6177487,139.7077680
行政防災無線固定系,35.6190551,139.7065158
行政防災無線固定系,35.6178465,139.7207786
行政防災無線固定系,35.6159411,139.7228911
行政防災無線固定系,35.6155742,139.7177342
行政防災無線固定系,35.6189566,139.7191098
行政防災無線固定系,35.6168074,139.7131452
行政防災無線固定系,35.6185132,139.7148075
行政防災無線固定系,35.6197961,139.7326335
行政防災無線固定系,35.6180968,139.7287059
行政防災無線固定系,35.6190279,139.7249612
行政防災無線固定系,35.6155149,139.7269400
行政防災無線固定系,35.6160813,139.7374849
行政防災無線固定系,35.6167100,139.7404714
行政防災無線固定系,35.6184607,139.7376334
行政防災無線固定系,35.6187292,139.7440875
行政防災無線固定系,35.6154692,139.7457857
行政防災無線固定系,35.6173914,139.7552163
行政防災無線固定系,35.6179265,139.7463247
行政防災無線固定系,35.6208789,139.7493033
行政防災無線固定系,35.6245585,139.6980792
行政防災無線固定系,35.6215726,139.7090314
行政防災無線固定系,35.6245663,139.7115557
行政防災無線固定系,35.6221764,139.7064174
行政防災無線固定系,35.6224916,139.7032009
行政防災無線固定系,35.6277481,139.7167991
行政防災無線固定系,35.6242452,139.7221251
行政防災無線固定系,35.6237096,139.7205719
行政防災無線固定系,35.6259172,139.7192653
行政防災無線固定系,35.6244361,139.7160380
行政防災無線固定系,35.6234005,139.7173402
行政防災無線固定系,35.6219407,139.7126708
行政防災無線固定系,35.6260367,139.7300247
行政防災無線固定系,35.6216370,139.7306437
行政防災無線固定系,35.6269832,139.7234878
行政防災無線固定系,35.6246451,139.7249250
行政防災無線固定系,35.6244757,139.7283059
行政防災無線固定系,35.6229602,139.7242877
行政防災無線固定系,35.6215443,139.7398201
行政防災無線固定系,35.6245956,139.7433175
行政防災無線固定系,35.6214585,139.7438274
行政防災無線固定系,35.6224092,139.7352647
行政防災無線固定系,35.6229523,139.7547312
行政防災無線固定系,35.6346322,139.7220609
行政防災無線固定系,35.6332826,139.7162726
行政防災無線固定系,35.6315495,139.7182049
行政防災無線固定系,35.6282683,139.7217886
行政防災無線固定系,35.6286219,139.7287056
行政防災無線固定系,35.6292385,139.7259749
行政防災無線固定系,35.6326392,139.7241427
行政防災無線固定系,35.6380482,139.7162321
