"管理番号","名称","所在地","開設年月日","営業時間","ラック数","緯度","経度"
"C1-55","アーバンネット内幸町ビル・THE BLOSSOM HIBIYA","東京都港区新橋一丁目1番13号","2019/8/28","24時間","9","35.669267","139.756018"
"C1-56","鈴与竹芝ビル","東京都港区海岸一丁目13番","2019/8/21","24時間","6","35.654873","139.762103"
"C1-57","虎ノ門ツインビルディング","東京都港区虎ノ門二丁目10番1号","2019/11/13","24時間","12","35.667259","139.745643"
"C1-58","ウォーターズ竹芝","東京都港区海岸一丁目10番","2020/5/13","24時間","10","35.655937","139.763251"
"C1-59","セレスティン芝三井ビルディング","東京都港区芝三丁目23番1号","2020/4/8","24時間","13","35.650845","139.748346"
"C1-60","専売ビル","東京都港区芝五丁目26番30号","2020/4/15","24時間","5","35.647659","139.745055"
"C1-61","環三浜松町駅南","東京都港区海岸一丁目5番","2020/4/1","24時間","39","35.653096","139.75739"
"C1-64","東京虎ノ門グローバルスクエア","東京都港区虎ノ門一丁目3番1号","2020/7/1","7:30～20:00","5","35.669941","139.749261"
"C1-65","東京ポートシティ竹芝","東京都港区海岸一丁目7番1号","2020/9/14","24時間","15","35.654757","139.761516"
"C1-67","京阪神 虎ノ門ビル","東京都港区西新橋一丁目7番14号","2020/12/2","24時間","23","35.669228","139.751668"
"C1-68","桜田公園","東京都港区新橋三丁目16番15号","2021/2/10","24時間","20","35.665214","139.757008"
"C1-69","塩釜公園","東京都港区新橋五丁目19番7号","2021/2/10","24時間","5","35.662908","139.755014"
"C1-71","芝商業高校前交差点","東京都港区海岸一丁目4番","2021/4/21","24時間","6","35.655830","139.759896"
"C1-72","新田町ビル","東京都港区芝浦五丁目34番6号","2021/4/21","24時間","11","35.646307","139.746428"
"C1-73","日比谷フォートタワー","東京都港区西新橋一丁目1番19号","2021/7/7","24時間","14","35.669871","139.753147"
"C1-74","札の辻スクエア","東京都港区芝五丁目36番4号","2022/4/6","8:00～22:00(月～土)、8:30～17:30(日)","8","35.645115","139.744567"
"C1-75","虎ノ門PFビル","東京都港区虎ノ門三丁目10番11号","2022/6/1","24時間","8","35.665466","139.748014"
"C1-76","浜松町駅北口交通広場(ハマサイト前)","東京都港区海岸一丁目2番","2022/5/20","24時間","18","35.656647","139.758301"
"C1-77","芝公園","東京都港区芝公園四丁目8番4号","2022/12/14","24時間","10","35.655130","139.749645"
"C1-78","CIRCLES新橋","東京都港区西新橋二丁目11番13号","2023/2/22","24時間","9","35.666460","139.752138"
"C1-79","髙松コンストラクショングループ 東京本社ビル","東京都港区芝四丁目8番2号","2023/6/12","24時間","6","35.648765","139.753363"
"C1-80","浜松町262ビル","東京都港区浜松町二丁目6番2号","2023/7/12","24時間","7","35.654289","139.755570"
"C1-81","田町タワー","東京都港区芝五丁目33番11号","2023/9/27","24時間","20","35.646534","139.748913"
"C1-82","トヨタモビリティ東京 港三田店","東京都港区三田二丁目20番12号","2023/10/25","24時間","5","35.647831","139.739048"
"C1-83","友愛会館","東京都港区芝二丁目20番12号","2024/3/6","24時間","8","35.651803","139.749834"
"C1-84","新虎安田ビル","東京都港区新橋四丁目3番1号","2024/3/1","24時間","15","35.665221","139.754265"
"C1-85","富士ソフト汐留ビル","東京都港区東新橋二丁目16番2号","2024/4/24","24時間","10","35.661140 ","139.756906 "
"C2-01","アークヒルズ（アーク森ビル）","東京都港区赤坂一丁目12番32号（六本木一丁目1番寄り）","2014/10/1","24時間","12","35.667107","139.739565"
"C2-02","六本木ヒルズ","東京都港区六本木六丁目10番1号","2014/10/1","24時間","14","35.661158","139.728533"
"C2-03","アークヒルズサウスタワー","東京都港区六本木一丁目4番5号","2014/10/30","24時間","13","35.666357","139.739233"
"C2-04","飯倉いきいきプラザ","東京都港区東麻布二丁目16番11号","2015/12/18","24時間","4","35.656991","139.740739"
"C2-05","ありすいきいきプラザ","東京都港区南麻布四丁目6番7号","2015/12/18","24時間","13","35.651046","139.727745"
"C2-08","ファミリーマート西麻布霞町店","東京都港区西麻布二丁目9番16号","2016/6/10","24時間","6","35.661673","139.721118"
"C2-09","麻布地区総合支所","東京都港区六本木五丁目16番45号","2016/10/26","24時間","2","35.660614","139.734771"
"C2-10","元麻布三丁目","東京都港区元麻布三丁目9番","2016/10/26","24時間","7","35.655799","139.730415"
"C2-11","一の橋","東京都港区麻布十番四丁目3番1号","2016/12/21","24時間","52","35.654726","139.737491"
"C2-12","六本木ファーストビル","東京都港区六本木一丁目9番9号","2017/1/27","24時間","15","35.662411","139.741476"
"C2-13","麻布運動場","東京都港区南麻布五丁目6番33号","2017/8/23","24時間","8","35.651718","139.728165"
"C2-14","元麻布ヒルズ","東京都港区元麻布一丁目30番1号","2017/9/13","24時間","10","35.653608","139.73138"
"C2-15","住友不動産六本木グランドタワー","東京都港区六本木三丁目2番1号","2017/9/20","24時間","11","35.664367","139.737185"
"C2-16","ザ・ベルグレイヴィア麻布","東京都港区東麻布一丁目8番4号","2017/11/1","24時間","4","35.657264","139.743821"
"C2-18","ブランシェ東麻布","東京都港区東麻布一丁目15番11号","2019/3/13","24時間","3","35.656769","139.743224"
"C2-19","広尾駅","東京都港区南麻布四丁目57番25号","2019/5/8","24時間","4","35.650732","139.72256"
"C2-20","三井ガーデンホテル六本木プレミア","東京都港区六本木三丁目15番18号","2019/12/24","24時間","5","35.66206","139.735501"
"C2-22","飯倉公園","東京都港区東麻布一丁目21番8号","2021/4/7","24時間","11","35.655649","139.744270"
"C2-24","Dash Living HigashiAzabu","東京都港区東麻布一丁目27番7号","2022/1/26","24時間","6","35.655135","139.744449"
"C2-25","アパホテル＆リゾート＜六本木駅東＞","東京都港区六本木三丁目18番6号","2022/10/19","24時間","24","35.661783","139.737242"
"C2-26","一の橋公園","東京都港区東麻布三丁目9番1号","2023/6/21","24時間","7","35.655367","139.738075"
"C2-27","有栖川宮記念公園第一","東京都港区南麻布五丁目7番29号","2023/11/22","24時間","17","35.658204","139.738935"
"C2-28","有栖川宮記念公園第二","東京都港区南麻布五丁目7番29号","2023/11/22","24時間","8","35.651129","139.726003"
"C2-29","狸穴公園","東京都港区麻布狸穴町63番地","2023/11/22","24時間","5","35.658204","139.738935"
"C2-30","セジョリ南麻布","東京都港区南麻布二丁目3番4号","2024/4/10","24時間","4","35.649455 ","139.735325 "
"C3-02","赤坂地区総合支所","東京都港区赤坂四丁目18番13号","2015/11/28","24時間","4","35.674788","139.731423"
"C3-03","青山いきいきプラザ","東京都港区南青山二丁目16番5号","2015/11/28","24時間","3","35.669020","139.721383"
"C3-04","青南いきいきプラザ","東京都港区南青山四丁目10番1号","2015/11/28","24時間","2","35.666459","139.717476"
"C3-06","ホテルアジア会館","東京都港区赤坂八丁目10番32号","2016/3/31","24時間","10","35.67064","139.728166"
"C3-07","新青山ビル","東京都港区南青山一丁目1番1号","2016/3/31","24時間","7","35.672659","139.725644"
"C3-08","赤坂パークビルヂング","東京都港区赤坂五丁目2番20号","2016/3/31","24時間","6","35.671792","139.733668"
"C3-10","ファミリーマート特許庁前店","東京都港区赤坂一丁目3番9号","2016/6/10","24時間","6","35.670364","139.744684"
"C3-11","赤坂見附南","東京都港区赤坂三丁目8番1号","2016/10/13","24時間","3","35.676566","139.737083"
"C3-12","赤坂センタービルディング前（青山通り）","東京都港区元赤坂一丁目3番13号","2016/10/21","24時間","9","35.676732","139.733905"
"C3-16","赤坂ガーデンシティ","東京都港区赤坂四丁目15番1号","2017/7/5","24時間","9","35.6738","139.731525"
"C3-17","セブン-イレブン 港区溜池山王店","東京都港区赤坂一丁目4番41号","2017/9/27","24時間","19","35.670308","139.743242"
"C3-18","明治記念館","東京都港区元赤坂二丁目2番23号","2018/2/21","7:00～21:00","5","35.678183","139.721317"
"C3-19","明治記念館西","東京都港区元赤坂二丁目2番23号","2018/2/21","24時間","5","35.678179","139.720809"
"C3-22","OMO3東京赤坂 by 星野リゾート","東京都港区赤坂四丁目3番2号","2018/6/6","24時間","6","35.674929","139.736053"
"C3-23","LIFORK 南青山 北エントランス","東京都港区南青山一丁目12番32号","2018/10/6","24時間","30","35.669916","139.725701"
"C3-24","SHARE GREEN 南青山 西エントランス","東京都港区南青山一丁目12番32号","2018/10/6","24時間","5","35.668419","139.724676"
"C3-26","ホテルリブマックス赤坂","東京都港区赤坂七丁目9番4号","2019/2/6","24時間","6","35.67011","139.733375"
"C3-28","ヒューリックＪＰ赤坂ビル","東京都港区赤坂二丁目5番8号","2020/11/18","24時間","11","35.672477","139.739743"
"C3-29","高橋是清翁記念公園","東京都港区赤坂七丁目3番39号","2021/8/4","24時間","7","35.674094","139.728895"
"C3-30","東京赤坂NKビル (ヴィアインプライム赤坂)","東京都港区赤坂二丁目6番17号","2022/10/1","24時間","10","35.672652","139.738908"
"C3-31","赤坂一丁目","東京都港区赤坂一丁目4番7号","2022/10/5","24時間","17","35.670239","139.744285"
"C3-32","乃木公園","東京都港区赤坂八丁目11番32号","2022/10/5","24時間","5","35.667936","139.72745"
"C3-33","PASONA SQUARE","東京都港区南青山三丁目1番30号","2022/12/7","24時間","14","35.667462","139.716058"
"C3-34","3rd MINAMI AOYAMA","東京都港区南青山三丁目1番34号","2023/2/22","24時間","4","35.668622","139.715957"
"C3-35","ワールド北青山ビル","東京都港区北青山三丁目5番10号","2023/4/2","24時間","9","35.667069","139.713423"
"C3-36","第35興和ビル","東京都港区赤坂一丁目14番14号","2024/2/1","6:00-22:00","4","35.666349","139.741781"
"C4-01","高輪地区総合支所(5F)","東京都港区高輪一丁目16番25号","2016/11/1","24時間","10","35.641833","139.734519"
"C4-02","白金台いきいきプラザ","東京都港区白金台四丁目8番5号","2016/11/1","24時間","0","35.63756","139.724981"
"C4-04","ショパン高輪","東京都港区高輪三丁目9番","2017/11/8","24時間","5","35.632128","139.732097"
"C4-05","白金台駅自転車駐車場","東京都港区白金台四丁目6番2号","2018/4/25","4:30～25:30","15","35.638927","139.727083"
"C4-06","白金プラチナレジデンス","東京都港区白金六丁目3番15号","2019/7/10","24時間","8","35.644134","139.723432"
"C4-07","品川プリンスホテル","東京都港区高輪四丁目10番30号","2019/7/17","24時間","11","35.628266","139.734171"
"C4-09","ケーヨーデイツー三田店","東京都港区三田四丁目2番20号","2020/5/20","24時間","6","35.646375","139.740061"
"C4-10","亀塚公園","東京都港区三田四丁目16番20号","2020/9/16","24時間","10","35.642764","139.741174"
"C4-11","ザ・パークハウス 三田ガーデン","東京都港区三田五丁目2番29号","2021/12/10","24時間","7","35.64816","139.737991"
"C4-13","コシダコネクトビル","東京都港区高輪二丁目16番34号","2022/4/13","24時間","14","35.637765","139.739128"
"C4-14","神応ほっとプラザ","東京都港区白金六丁目9番5号","2023/4/2","24時間","7","35.643711","139.724753"
"C4-15","クロスレジデンス白金高輪","東京都港区白金二丁目3番23号","2023/6/7","24時間","7","35.642771","139.733046"
"C5-01","こうなん星の公園","東京都港区港南一丁目9番24号","2014/10/1","24時間","48","35.629697","139.742167"
"C5-02","港南緑水公園","東京都港区港南四丁目7番47号","2014/10/1","24時間","47","35.628955","139.750731"
"C5-03","港南公園C","東京都港区港南四丁目5番3号","2014/11/26","24時間","26","35.62496568","139.746657"
"C5-04","みなとパーク芝浦","東京都港区芝浦一丁目16番1号","2014/12/22","24時間営業","12","35.646801","139.751208"
"C5-06","品川シーズンテラス","東京都港区港南一丁目2番70号","2016/2/5","24時間営業","21","35.632303","139.742393"
"C5-07","港区立港南図書館","東京都港区港南三丁目3番17号","2016/3/30","24時間営業","12","35.632842","139.7495"
"C5-08","AQUACITY芝浦","東京都港区芝浦四丁目16番23号","2016/3/31","24時間営業","12","35.637366","139.74844"
"C5-09","グランパーク","東京都港区芝浦三丁目4番1号","2016/3/31","24時間営業","21","35.643202","139.746244"
"C5-10","シーバンス","東京都港区芝浦一丁目2番3号","2016/6/10","24時間営業","15","35.649959","139.756068"
"C5-11","フェイバリッチタワー品川","東京都港区港南三丁目7番16号","2016/9/16","24時間営業","17","35.631729","139.749767"
"C5-12","第2東運ビル","東京都港区港南三丁目4番27号","2016/10/3","24時間営業","8","35.633742","139.748281"
"C5-13","区立芝浦西運河沿緑地","東京都港区芝浦四丁目19番","2016/10/26","24時間","43","35.638245","139.749754"
"C5-14","セブン-イレブン 港区汐彩橋店","東京都港区海岸三丁目3番20号","2016/12/27","24時間","5","35.640481","139.753659"
"C5-15","セブン-イレブン 港区芝浦ふ頭店","東京都港区海岸三丁目12番7号","2016/12/27","24時間","9","35.640215","139.755971"
"C5-16","品川インターシティ","東京都港区港南二丁目15番1号","2017/2/24","24時間","23","35.626704","139.742174"
"C5-17","鈴与浜松町ビル","東京都港区海岸二丁目1番16号","2017/4/12","24時間","10","35.651013","139.759013"
"C5-18","パークタワー品川ベイワード","東京都港区港南三丁目5番10号","2017/5/17","24時間","20","35.634529","139.748378"
"C5-19","グランドメゾン田町","東京都港区芝浦二丁目1番39号","2017/5/24","24時間","8","35.645537","139.754899"
"C5-20","ローソン芝浦二丁目店","東京都港区芝浦二丁目4番1号","2017/6/21","24時間","4","35.645279","139.754702"
"C5-21","セブン-イレブン 芝浦3丁目店","東京都港区芝浦三丁目14番15号","2017/9/6","24時間","6","35.642399","139.746992"
"C5-24","GLOBAL FRONT TOWER","東京都港区芝浦一丁目6番41号","2018/1/17","24時間","17","35.647733","139.755428"
"C5-25","NEX-TEC芝浦","東京都港区海岸三丁目11番15号","2018/5/16","24時間","38","35.639571","139.755551"
"C5-26","ピアシティ芝浦ビル","東京都港区海岸三丁目18番1号","2018/6/14","24時間","14","35.644155","139.756216"
"C5-27","プレミア海岸ビル","東京都港区海岸二丁目2番6号","2018/8/1","24時間","21","35.648948","139.757895"
"C5-28","芝浦ルネサイトタワー","東京都港区芝浦三丁目9番1号","2019/4/10","24時間","8","35.643683","139.750600"
"C5-29","Hi-NODE(ハイノード)","東京都港区海岸二丁目7番103号","2019/7/31","24時間","8","35.651672","139.760549"
"C5-30","フェイム芝浦インターウェーブ","東京都港区芝浦一丁目10番1号","2019/10/2","24時間","12","35.647872","139.75391"
"C5-31","ヒルトン東京お台場","東京都港区台場一丁目9番1号","2019/11/6","24時間","10","35.626267","139.771438"
"C5-32","トレードピアお台場","東京都港区台場二丁目3番1号","2019/12/11","24時間","7","35.627891","139.776896"
"C5-33","msb Tamachi","東京都港区芝浦三丁目1番21号","2019/12/24","24時間","6","35.645682","139.748768"
"C5-34","五色橋ビル","東京都港区海岸三丁目5番13号","2020/3/11","24時間","4","35.636644","139.751798"
"C5-35","品川駅港南口","東京都港区港南二丁目16番1号","2020/7/22","24時間","4","35.628220","139.741135"
"C5-36","お台場海浜公園駅","東京都港区台場一丁目5番","2012/11/21","24時間","9","35.62974","139.778178"
"C5-37","台場駅","東京都港区台場二丁目6番","2013/3/6","24時間","22","35.626388","139.772453"
"C5-38","お台場海浜公園乗船場","東京都港区台場一丁目4番1号","2015/11/16","24時間","9","35.628743","139.773915"
"C5-39","お台場海浜公園東","東京都港区台場一丁目5番5号","2015/11/16","24時間","15","35.631021","139.778109"
"C5-40","芝浦ふ頭駅前暫定自転車駐車場","東京都港区海岸三丁目22番","2021/8/25","24時間","5","35.640960","139.757540"
"C5-41","トヨタモビリティ東京 芝浦店","東京都港区芝浦四丁目8番3号","2021/10/13","24時間","7","35.639644","139.745532"
"C5-42","DHC芝浦2丁目ビル","東京都港区芝浦二丁目7番1号","2021/10/6","24時間","10","35.644241","139.753834"
"C5-43","オアーゼ芝浦MJビル","東京都港区芝浦二丁目15番6号","2021/12/22","24時間","5","35.644798","139.752697"
"C5-44","ブランズタワー芝浦","東京都港区芝浦二丁目9番1号","2022/1/11","24時間","4","35.643105","139.753039"
"C5-45","パークアクシス芝浦キャナル","東京都港区海岸三丁目2番3号","2022/1/31","24時間","10","35.644794","139.755688"
"C5-46","ウエリスアーバン品川タワー","東京都港区港南四丁目1番6号","2022/4/20","24時間","12","35.630961","139.746875"
"C5-47","oak港南品川","東京都港区港南二丁目10番9号","2022/8/31","24時間","25","35.624130","139.744831"
"C5-48","セブンイレブン港区海岸三丁目店","東京都港区海岸三丁目7番20号","2023/3/8","24時間","5","35.636808","139.752517"
"C5-49","プラウドタワー芝浦","東京都港区芝浦四丁目4番45号","2023/3/17","24時間","9","35.638912","139.747422"
"C5-50","お台場レインボー公園","東京都港区台場一丁目3番1号","2023/4/5","24時間","8","35.633133 ","139.777315 "
"C5-51","トミンタワー台場一番街","東京都港区台場一丁目1番2号","2023/6/1","24時間","5","35.634627 ","139.776630 "
"C5-52","港南四丁目第3アパート駐車場","東京都港区港南四丁目2番4号","2023/7/5","24時間","6","35.630109 ","139.747094 "
"C5-53","suito芝浦","東京都港区芝浦四丁目11番22号","2024/4/1","24時間","13","35.641631 ","139.746710 "
"C5-54","ヤマタネ芝浦オフィス","東京都港区海岸三丁目18番12号","2024/4/3","24時間","12","35.643909 ","139.756509 "

"港区自転車シェアリング ポート(2024年4月19日現在)","Ver202404",,,,,,
