分類,項目,単位,1961年度,1962年度,1963年度,1964年度,1965年度,1966年度,1967年度,1968年度,1969年度,1970年度,1971年度,1972年度,1973年度,1974年度,1975年度,1976年度,1977年度,1978年度,1979年度,1980年度,1981年度,1982年度,1983年度,1984年度,1985年度,1986年度,1987年度,1988年度,1989年度,1990年度,1991年度,1992年度,1993年度,1994年度,1995年度,1996年度,1997年度,1998年度,1999年度,2000年度,2001年度,2002年度,2003年度,2004年度,2005年度,2006年度,2007年度,2008年度,2009年度,2010年度,2011年度,2012年度,2013年度,2014年度,2015年度,2016年度,2017年度,2018年度,2019年度,,
電力量・作業費,水処理用電力量,kWh/年,25153569 ,33131684 ,37969870 ,45762975 ,53693454 ,64987472 ,77975477 ,80177701 ,90272580 ,107788888 ,123800345 ,132670446 ,137803799 ,152767561 ,173797810 ,182193430 ,195732320 ,208459650 ,207895870 ,213487500 ,218524330 ,214560550 ,235717840 ,245096290 ,238656610 ,245478060 ,253757101 ,248221001 ,251391208 ,252972216 ,246435404 ,254578300 ,254947706 ,255044134 ,253373111 ,252265015 ,247465675 ,251371234 ,249110745 ,249655871 ,268060860 ,265183480 ,268317690 ,280220830 ,282472570 ,282434450 ,285225110 ,286775300 ,285503680 ,278211300 ,262800370 ,259184140 ,262555910 ,253113360 ,257451910 ,256942110 ,261988370 ,265058490 ,259012120 ,,
電力量・作業費,汚泥処理用電力量,kWh/年,1092631 ,4091879 ,5604049 ,7029872 ,8812747 ,9802687 ,11405705 ,11488219 ,12283395 ,17964748 ,22556763 ,29731074 ,38314210 ,47217660 ,50224680 ,58244330 ,66034910 ,79911210 ,85789670 ,82945600 ,86484860 ,92079990 ,95742650 ,98211060 ,95820790 ,121295366 ,110533170 ,117210380 ,123258730 ,133810830 ,140790250 ,143205800 ,145549840 ,144944230 ,143644850 ,141652960 ,141192020 ,143141730 ,203600888 ,205948477 ,224205890 ,207372542 ,213438391 ,207901111 ,211541745 ,214077047 ,207109894 ,210357461 ,209776246 ,203231610 ,201897798 ,201990920 ,204251340 ,205683583 ,205492374 ,203070528 ,205027067 ,206716984 ,203822886 ,,
降水量,年間降雨量・合計（三河島水再生センター）,mm/年,1034 ,1148 ,1494 ,794 ,1685 ,1481 ,1000 ,1499 ,1075 ,1046 ,1405 ,1359 ,1166 ,1437 ,1458 ,1594 ,1411 ,1054 ,1417 ,1401 ,1438 ,1638 ,1379 ,1079 ,1471 ,1413 ,1283 ,1577 ,1883 ,1493 ,1991 ,1560 ,1792 ,1240 ,1191 ,1283 ,1352 ,1465 ,1627 ,1473 ,1364 ,1345 ,1572 ,1767 ,1563 ,1586 ,1289 ,1740 ,1561 ,1606 ,1411 ,1380 ,1667 ,1602 ,1689 ,1547 ,1441 ,1190 ,1824 ,,
工事費,施設拡張工事（処理場）,円,4308636659 ,1712951888 ,1748911127 ,1307200047 ,736872996 ,1704876588 ,2133567304 ,3311361168 ,2921750868 ,4927099711 ,9311214718 ,15020580319 ,17788385333 ,19289836185 ,18992207551 ,18020263544 ,28041973069 ,32653251421 ,31205961370 ,28951198477 ,29051547312 ,34193381458 ,33305056533 ,24230359472 ,30938249904 ,23910325170 ,30681132982 ,32183137716 ,35775214984 ,44956653165 ,39028638588 ,42225566049 ,48256561532 ,49742742145 ,53326797295 ,39374901795 ,21558123990 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
工事費,施設拡張工事(繰越)（処理場）,円,-,9305651 ,29862000 ,24186821 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
工事費,整備拡充工事（処理場）,円,-,233488515 ,525669730 ,437359990 ,540429416 ,870096852 ,439859873 ,722177898 ,422700476 ,531976698 ,1539292716 ,1868233239 ,1191210532 ,8722431384 ,13152522015 ,14597360551 ,14567497607 ,14956395490 ,14745565337 ,14196973093 ,8583889901 ,11802058277 ,11895179692 ,20515054314 ,21974282762 ,31898165974 ,27583537437 ,23515143065 ,27127721961 ,17144433205 ,18947736138 ,29830040728 ,31110851531 ,25965954444 ,30246271639 ,21576591587 ,26837277863 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
工事費,建設工事（処理場）,円,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,,-,-,-,-,-,47762249983 ,44216801681 ,58783428393 ,34903172954 ,34988241658 ,58105415205 ,32545349815 ,27157030667 ,29790145383 ,39167785222 ,34371722049 ,48848687286 ,33263129163 ,44725169116 ,55015230090 ,56456820890 ,51713597156 ,46056529836 ,39026007307 ,44735901579 ,43956099987 ,59259760133 ,,
工事費,改良工事（処理場）,円,195777973 ,193074225 ,203878928 ,235353219 ,283517114 ,326902432 ,329421002 ,433582865 ,525340291 ,543488104 ,378877897 ,395022410 ,481204045 ,982853174 ,1679029510 ,2057696836 ,2402550634 ,1720586601 ,1470287111 ,1084157617 ,1546154115 ,1622846404 ,1507211735 ,2645239832 ,4001466927 ,4481903729 ,5760749333 ,6719406347 ,7982036820 ,6199901124 ,6471462966 ,9824633333 ,7185136347 ,7124969512 ,7415720531 ,7619347242 ,8258437071 ,7094368070 ,6527160465 ,6241157580 ,8949632790 ,7906876110 ,7313983638 ,8462005387 ,8007912387 ,8909320192 ,8878209215 ,8081508465 ,8535406097 ,12455646282 ,10342474224 ,10221067842 ,10731689678 ,11069107848 ,12086009632 ,12501758463 ,12491247903 ,14509602588 ,12538903487 ,,
工事費,補修工事（設備補修工事）（処理場）,円,40317884 ,42283621 ,35839541 ,46010635 ,72035108 ,80889238 ,107263101 ,110026736 ,105287581 ,113674318 ,129279340 ,159423865 ,367660883 ,166295000 ,265696790 ,412799940 ,685265324 ,768494174 ,848276536 ,939140268 ,1266377689 ,1479222195 ,1427650969 ,1589377848 ,2281461578 ,2409955692 ,2664760355 ,4060922954 ,4602429936 ,5370542105 ,5832047265 ,6365627892 ,6623694788 ,6629587805 ,7847721342 ,7771725106 ,7375818736 ,7049540440 ,6028072995 ,6383916551 ,6937584850 ,6877690375 ,7136817483 ,7090596030 ,6433769889 ,6753459448 ,6476862355 ,6908209240 ,7242361237 ,6903118185 ,6293073071 ,6244428935 ,6680324675 ,6976943838 ,7576477632 ,7708086211 ,9220790412 ,9685241818 ,10704082363 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
