"施設名称","施設郵便番号","施設所在地","施設方書","許可日","許可番号","施設種別","客室数総計[室]","客室定員総計[人]"
"ＴＯＫＹＯ　ＬＩＴＴＬＥ　ＨＯＵＳＥ","107-0052","東京都港区赤坂三丁目6番12号","深澤ビル1、2階","2021/7/30","3港み生環き第88号","旅館・ホテル営業","1","5"
"ＣＯＣＯＳＨＵＫＵ赤坂　Ｐｒｅｍｉｕｍ","107-0052","東京都港区赤坂三丁目6番20号","赤坂ポールスタービル","2022/3/22","3港み生環き第257号","旅館・ホテル営業","12","44"
"ベストウェスタンホテルフィーノ東京赤坂","107-0052","東京都港区赤坂三丁目7番12号",,"2020/7/27","31港み生環き第70号","旅館・ホテル営業","87","174"
"マツリホテル第２クワムラビル４Ｆ","107-0052","東京都港区赤坂三丁目9番15号","第2クワムラビル4階","2019/12/26","31港み生環き第172号","旅館・ホテル営業","1","8"
"カプセル　旅籠　赤坂","107-0052","東京都港区赤坂三丁目10番4号","赤坂月世界ビル3階","2022/12/21","4港み生環き第80号","簡易宿所営業","1","46"
"赤坂グランベルホテル","107-0052","東京都港区赤坂三丁目10番9号",,"2006/12/13","16港み生環き第116号","旅館・ホテル営業","61","87"
"センチュリオンホテル・ヴィンテージ赤坂","107-0052","東京都港区赤坂三丁目10番13号",,"2017/3/30","28港み生環き第168号","旅館・ホテル営業","31","103"
"ザ　センチュリオンクラシック赤坂","107-0052","東京都港区赤坂三丁目11番8号","1階、4階、5階、7階","2017/9/14","29港み生環き第43号","旅館・ホテル営業","23","129"
"センチュリオンホテルレジデンシャル赤坂","107-0052","東京都港区赤坂三丁目12番3号",,"2008/5/16","20港み生環き第14号","旅館・ホテル営業","49","55"
"ＨＯＴＥＬ　ＨＩＬＬＡＲＹＳ　ＡＫＡＳＡＫＡ","107-0052","東京都港区赤坂三丁目12番5号",,"2021/8/25","3港み生環き第96号","旅館・ホテル営業","167","388"
"センチュリオンホテル赤坂タワー","107-0052","東京都港区赤坂三丁目12番16号","2階～10階","2020/4/27","2港み生環き第7号","旅館・ホテル営業","29","103"
"ファーストキャビン赤坂","107-0052","東京都港区赤坂三丁目13番7号",,"2016/3/18","27港み生環き第168号","簡易宿所営業","5","123"
"ＨＯＹＯ　ＴＯＫＹＯ　４０４","107-0052","東京都港区赤坂三丁目15番6号","404","2021/12/3","3港み生環き第154号","旅館・ホテル営業","1","2"
"ＨＯＹＯ　ＴＯＫＹＯ　５０３","107-0052","東京都港区赤坂三丁目15番6号","503","2021/11/22","3港み生環き第155号","旅館・ホテル営業","1","4"
"ＨＯＹＯ　ＴＯＫＹＯ　１００２","107-0052","東京都港区赤坂三丁目15番6号","1002","2021/11/22","3港み生環き第159号","旅館・ホテル営業","1","4"
"ＨＯＹＯ　ＴＯＫＹＯ　８０２","107-0052","東京都港区赤坂三丁目15番6号","802","2021/11/22","3港み生環き第157号","旅館・ホテル営業","1","4"
"ＨＯＹＯ　ＴＯＫＹＯ　９０４","107-0052","東京都港区赤坂三丁目15番6号","904","2021/11/22","3港み生環き第158号","旅館・ホテル営業","1","3"
"スーパーホテルＰｒｅｍｉｅｒ赤坂","107-0052","東京都港区赤坂三丁目16番7号",,"2015/3/19","25港み生環き第88号","旅館・ホテル営業","157","315"
"ホテルリズベリオ赤坂　（ＨＯＴＥＬ　ＲＩＳＶＥＧＬＩＯ　ＡＫＡＳＡＫＡ）","107-0052","東京都港区赤坂三丁目18番1号",,"2015/11/19","27港み生環き第23号","旅館・ホテル営業","71","148"
"センチュリオン　ホテル　グランド　赤坂","107-0052","東京都港区赤坂三丁目19番3号",,"2013/8/22","25港み生環き第44号","旅館・ホテル営業","82","209"
"アパホテル＜赤坂見附＞","107-0052","東京都港区赤坂三丁目19番10号",,"2005/3/25","15港み生環き第56号","旅館・ホテル営業","223","446"
"ｔｈｅ　ｂ　赤坂見附","107-0052","東京都港区赤坂三丁目21番7号",,"2005/11/25","17港み生環き第103号","旅館・ホテル営業","122","248"
"ＯＭＯ３東京赤坂ｂｙ星野リゾート","107-0052","東京都港区赤坂四丁目3番2号",,"2021/11/30","3港み生環き第168号","旅館・ホテル営業","138","276"
"ＰＲＥＭＩＵＭ（プレミアム）","107-0052","東京都港区赤坂四丁目3番13号","(株)三泉社ビル1階","2018/3/7","29港み生環き第195号","簡易宿所営業","2","5"
"赤坂の里","107-0052","東京都港区赤坂四丁目3番13号","株式会社三泉社ビル2階","2016/5/25","28港み生環き第5号","簡易宿所営業","1","14"
"３Ｆ　ＰＲＥＭＩＵＭ","107-0052","東京都港区赤坂四丁目3番13号","(株)三泉社ビル3階","2019/8/8","31港み生環き第32号","旅館・ホテル営業","3","11"
"ナインアワーズ赤坂","107-0052","東京都港区赤坂四丁目3番14号",,"2018/5/7","29港み生環き第153号","簡易宿所営業","4","168"
"Ｌ＆Ｐ　ＨＯＴＥＬ","107-0052","東京都港区赤坂四丁目7番1号","201号室","2021/11/10","3港み生環き第106号","旅館・ホテル営業","1","4"
"Ｌ＆Ｐ　ＨＯＴＥＬ","107-0052","東京都港区赤坂四丁目7番1号","202号室","2021/11/10","3港み生環き第107号","旅館・ホテル営業","1","8"
"Ｌ＆Ｐ　ＨＯＴＥＬ","107-0052","東京都港区赤坂四丁目7番1号","301号室","2021/11/10","3港み生環き第108号","旅館・ホテル営業","1","4"
"Ｌ＆Ｐ　ＨＯＴＥＬ","107-0052","東京都港区赤坂四丁目7番1号","302号室","2021/11/10","3港み生環き第109号","旅館・ホテル営業","1","8"
"ホテルモントレ赤坂","107-0052","東京都港区赤坂四丁目9番24号",,"2007/3/26","17港み生環き第54号","旅館・ホテル営業","196","417"
"Ｂｏｎｈｅｕｒ　Ａｋａｓａｋａ　２０１","107-0052","東京都港区赤坂五丁目1番33号","Bonheur Akasaka 201号室","2024/3/6","5港み生環き第225号","旅館・ホテル営業","1","4"
"Ｂｏｎｈｅｕｒ　Ａｋａｓａｋａ　３０１","107-0052","東京都港区赤坂五丁目1番33号","Bonheur Akasaka 301号室","2024/3/6","5港み生環き第226号","旅館・ホテル営業","1","4"
"Ｂｏｎｈｅｕｒ　Ａｋａｓａｋａ　４０１","107-0052","東京都港区赤坂五丁目1番33号","Bonheur Akasaka 401号室","2024/3/6","5港み生環き第227号","旅館・ホテル営業","1","4"
"京王プレッソイン赤坂","107-0052","東京都港区赤坂六丁目2番13号",,"2015/6/24","25港み生環き第147号","旅館・ホテル営業","157","315"
"相鉄フレッサイン東京赤坂","107-0052","東京都港区赤坂六丁目3番17号",,"2011/12/19","23港み生環き第98号","旅館・ホテル営業","113","226"
"相鉄フレッサイン東京赤坂別館","107-0052","東京都港区赤坂六丁目3番18号",,"2011/12/19","23港み生環き第99号","旅館・ホテル営業","26","57"
"ＨＯＴＥＬ　ＬｉＶＥＭＡＸ　赤坂ＧＲＡＮＤＥ","107-0052","東京都港区赤坂六丁目4番7号",,"2020/10/21","2港み生環き第86号","旅館・ホテル営業","88","182"
"ＳＡＵＮＡＴＩＧＥＲ","107-0052","東京都港区赤坂六丁目9番13号",,"2022/7/21","3港み生環き第276号","旅館・ホテル営業","5","16"
"赤坂陽光ホテル","107-0052","東京都港区赤坂六丁目14番12号",,"1977/9/9","51港赤保衛環き第4号","旅館・ホテル営業","235","405"
"マロウドイン赤坂別館","107-0052","東京都港区赤坂六丁目15番15号",,"1981/8/11","55港赤保衛環き第40号","旅館・ホテル営業","63","63"
"マロウドイン赤坂","107-0052","東京都港区赤坂六丁目15番17号",,"1978/6/14","51港赤保衛環き第40号","旅館・ホテル営業","201","259"
"ｔｈｅ　ｂ　赤坂","107-0052","東京都港区赤坂七丁目6番13号",,"2005/11/16","17港み生環き第86号","旅館・ホテル営業","162","358"
"ＨＯＴＥＬ　ＬｉＶＥＭＡＸ　赤坂（ホテル　リブマックス　赤坂）","107-0052","東京都港区赤坂七丁目9番4号",,"2018/12/19","30港み生環き第106号","旅館・ホテル営業","54","108"
"ＭＩＭＡＲＵ東京赤坂（ミマル）","107-0052","東京都港区赤坂七丁目9番6号",,"2018/3/9","29港み生環き第166号","旅館・ホテル営業","40","160"
"アジア会館","107-0052","東京都港区赤坂八丁目10番32号",,"2003/7/10","13港み生環き第42号","旅館・ホテル営業","174","404"
"ザ・リッツ・カールトン東京","107-0052","東京都港区赤坂九丁目7番1号","東京ミッドタウン","2007/3/14","18港み生環き第120号","旅館・ホテル営業","247","668"
"ＴＨＥ　ＬＩＶＥＬＹ　ＴＯＫＹＯ　ＡＺＡＢＵＪＵＢＡＮ","106-0045","東京都港区麻布十番一丁目5番23号",,"2019/10/30","31港み生環き第92号","旅館・ホテル営業","62","142"
"802","106-0045","東京都港区麻布十番二丁目5番11号","麻布メゾン802","2018/8/27","30港み生環き第62号","旅館・ホテル営業","1","4"
"Ｃｏｎｃｅｐｔ　Ｈｏｔｅｌ　Ａｚａｂｕ３０１","106-0045","東京都港区麻布十番二丁目13番2号","アザブクマイビル301","2023/7/7","5港み生環き第15号","旅館・ホテル営業","1","4"
"Ｃｏｎｃｅｐｔ　Ｈｏｔｅｌ　Ａｚａｂｕ３０２","106-0045","東京都港区麻布十番二丁目13番2号","アザブクマイビル302","2023/7/7","5港み生環き第16号","旅館・ホテル営業","1","6"
"Ｃｏｎｃｅｐｔ　Ｈｏｔｅｌ　Ａｚａｂｕ５０２","106-0045","東京都港区麻布十番二丁目13番2号","アザブクマイビル502","2023/7/7","5港み生環き第17号","旅館・ホテル営業","1","3"
"Ｃｏｎｃｅｐｔ　Ｈｏｔｅｌ　Ａｚａｂｕ６０１","106-0045","東京都港区麻布十番二丁目13番2号","アザブクマイビル601","2023/7/7","5港み生環き第19号","旅館・ホテル営業","1","3"
"Ｃｏｎｃｅｐｔ　Ｈｏｔｅｌ　Ａｚａｂｕ６０２","106-0045","東京都港区麻布十番二丁目13番2号","アザブクマイビル602","2023/7/7","5港み生環き第20号","旅館・ホテル営業","1","3"
"Ｃｏｎｃｅｐｔ　Ｈｏｔｅｌ　Ａｚａｂｕ６０３","106-0045","東京都港区麻布十番二丁目13番2号","アザブクマイビル603","2023/7/7","5港み生環き第21号","旅館・ホテル営業","1","3"
"Ｃｏｎｃｅｐｔ　Ｈｏｔｅｌ　Ａｚａｂｕ７０１","106-0045","東京都港区麻布十番二丁目13番2号","アザブクマイビル701","2023/8/29","5港み生環き第22号","旅館・ホテル営業","1","10"
"Ｃｏｎｃｅｐｔ　Ｈｏｔｅｌ　Ａｚａｂｕ５０３","106-0045","東京都港区麻布十番二丁目13番2号","アザブクマイビル503","2023/7/7","5港み生環き第18号","旅館・ホテル営業","1","3"
"ホテル　ザ　グランツ","106-0045","東京都港区麻布十番二丁目21番3号",,"2011/5/9","23港み生環き第8号","旅館・ホテル営業","21","42"
"ナビ　麻布十番１","106-0045","東京都港区麻布十番三丁目9番6号","スバルMビル201号室","2019/10/29","31港み生環き第106号","旅館・ホテル営業","1","4"
"ナビ　麻布十番２","106-0045","東京都港区麻布十番三丁目9番6号","スバルMビル202号室","2019/10/29","31港み生環き第107号","旅館・ホテル営業","1","8"
"ジャヌ東京","106-0041","東京都港区麻布台一丁目2番2号","麻布台ヒルズ レジデンスA 地下1階、1階、3階～13階","2024/2/26","5港み生環き第34号","旅館・ホテル営業","124","372"
"東京アメリカンクラブ","106-0041","東京都港区麻布台二丁目1番2号",,"2011/2/28","22港み生環き第98号","旅館・ホテル営業","7","28"
"ＴＯＫＹＯ　ＲＯＰＰＯＮＧＩＳＴＡＹ","106-0041","東京都港区麻布台三丁目3番22号","ヴェルデ麻布台4階","2023/8/29","5港み生環き第65号","旅館・ホテル営業","1","4"
"ＴＯＫＹＯ　ＲＯＰＰＯＮＧＩＳＴＡＹ２０１","106-0041","東京都港区麻布台三丁目3番22号","ヴェルデ麻布台2階","2023/11/2","5港み生環き第152号","旅館・ホテル営業","1","4"
"島嶼会館","105-0022","東京都港区海岸一丁目4番15号",,"2013/10/9","24港み生環き第96号","旅館・ホテル営業","87","189"
"メズム東京、オートグラフコレクション（ｍｅｓｍＴｏｋｙｏ，ＡｕｔｏｇｒａｐｈＣｏｌｌｅｃｔｉｏｎ）","105-0022","東京都港区海岸一丁目10番30号","WATERS takeshiba高層棟16階～26階","2020/3/19","31港み生環き第239号","旅館・ホテル営業","265","530"
"ベイサイドホテル　アジュール竹芝","105-0022","東京都港区海岸一丁目11番2号",,"1991/11/21","63港芝総衛環き第42号","旅館・ホテル営業","122","286"
"ホテルタビノス浜松町","105-0022","東京都港区海岸一丁目13番3号",,"2019/7/17","31港み生環き第39号","旅館・ホテル営業","188","376"
"ホテルインターコンチネンタル東京ベイ","105-0022","東京都港区海岸一丁目16番2号",,"1995/8/14","7港芝総衛環き第15号","旅館・ホテル営業","300","600"
"ＶＩＣＴＯＲＩＡ　ＨＯＴＥＬ","105-0022","東京都港区海岸二丁目2番8号",,"2022/1/18","3港み生環き第174号","旅館・ホテル営業","7","16"
"東京港湾福利厚生センター","108-0022","東京都港区海岸三丁目9番5号",,"2011/3/28","21港み生環き第109号","旅館・ホテル営業","100","100"
"港湾労働者第一宿泊所","108-0022","東京都港区海岸三丁目9番40号",,"1993/4/30","2港芝総衛環き第17号","旅館・ホテル営業","223","223"
"日本通運株式会社ＮＸ－ＴＥＣ芝浦","108-0022","東京都港区海岸三丁目11番15号",,"2010/10/26","20港み生環き第170号","旅館・ホテル営業","112","112"
"ＲＥＧＡＬＯ芝浦２０２","108-0022","東京都港区海岸三丁目17番9号","REGALO芝浦202号室","2020/2/25","31港み生環き第226号","旅館・ホテル営業","1","3"
"ＲＥＧＡＬＯ芝浦３０１","108-0022","東京都港区海岸三丁目17番9号","REGALO芝浦301号室","2020/2/20","31港み生環き第227号","旅館・ホテル営業","1","2"
"ＲＥＧＡＬＯ芝浦３０２","108-0022","東京都港区海岸三丁目17番9号","REGALO芝浦302号室","2020/2/25","31港み生環き第228号","旅館・ホテル営業","1","3"
"ＲＥＧＡＬＯ芝浦５０１","108-0022","東京都港区海岸三丁目17番9号","REGALO芝浦501号室","2020/2/25","31港み生環き第231号","旅館・ホテル営業","1","6"
"ＲＥＧＡＬＯ芝浦６０１","108-0022","東京都港区海岸三丁目17番9号","REGALO芝浦601号室","2020/2/20","31港み生環き第232号","旅館・ホテル営業","1","6"
"ＲＥＧＡＬＯ芝浦２０１","108-0022","東京都港区海岸三丁目17番9号","REGALO芝浦201号室","2022/1/6","3港み生環き第177号","旅館・ホテル営業","1","2"
"ＲＥＧＡＬＯ芝浦２０２","108-0022","東京都港区海岸三丁目17番9号","REGALO芝浦202号室","2022/1/6","3港み生環き第178号","旅館・ホテル営業","1","3"
"ＲＥＧＡＬＯ芝浦４０１","108-0022","東京都港区海岸三丁目17番9号","REGALO芝浦401号室","2022/1/6","3港み生環き第179号","旅館・ホテル営業","1","2"
"ＲＥＧＡＬＯ芝浦４０２","108-0022","東京都港区海岸三丁目17番9号","REGALO芝浦402号室","2022/1/6","3港み生環き第180号","旅館・ホテル営業","1","3"
"ＲＥＧＡＬＯ　ｓｈｉｂａｕｒａ　５０１","108-0022","東京都港区海岸三丁目17番9号","REGALO shibaura 501","2022/12/23","4港み生環き第160号","旅館・ホテル営業","1","6"
"ＲＥＧＡＬＯ　ｓｈｉｂａｕｒａ　８０１","108-0022","東京都港区海岸三丁目17番9号","REGALO shibaura 801","2023/3/1","4港み生環き第193号","旅館・ホテル営業","1","6"
"港湾労働者第三宿泊所","108-0022","東京都港区海岸三丁目21番1号",,"2010/3/31","21港み生環き第131号","旅館・ホテル営業","100","100"
"ホテル　アラマンダ青山","107-0061","東京都港区北青山二丁目7番13号","プラセオ青山ビル2、6～8階","2022/10/4","4港み生環き第83号","旅館・ホテル営業","42","124"
"ＴＨＥ　ＡＯＹＡＭＡ　ＧＲＡＮＤ　ＨＯＴＥＬ","107-0061","東京都港区北青山二丁目14番4号","the ARGYLE aoyama内","2020/7/28","2港み生環き第56号","旅館・ホテル営業","42","115"
"農林中央金庫品川研修センター","108-0075","東京都港区港南二丁目10番13号",,"2014/3/13","25港み生環き第162号","旅館・ホテル営業","120","130"
"ストリングスホテル東京インターコンチネンタル","108-0075","東京都港区港南二丁目16番1号",,"2013/12/26","25港み生環き第153号","旅館・ホテル営業","203","617"
"港湾労働者品川宿泊所","108-0075","東京都港区港南五丁目2番13号",,"2011/9/1","22港み生環き第83号","旅館・ホテル営業","88","88"
"ヴィラフォンテーヌ東京浜松町","105-0014","東京都港区芝一丁目6番5号",,"2007/3/14","18港み生環き第146号","旅館・ホテル営業","118","356"
"くれたけインプレミアム浜松町","105-0014","東京都港区芝一丁目8番18号",,"2013/10/24","25港み生環き第119号","旅館・ホテル営業","40","80"
"宿坊　正伝寺","105-0014","東京都港区芝一丁目12番12号",,"2019/7/8","30港み生環き第226号","旅館・ホテル営業","2","12"
"ＭＯＮｄａｙ　Ａｐａｒｔ　Ｐｒｅｍｉｕｍ　浜松町","105-0014","東京都港区芝一丁目13番19号",,"2020/7/3","31港み生環き第289号","旅館・ホテル営業","9","48"
"曹洞宗檀信徒会館（東京グランドホテル）","105-0014","東京都港区芝二丁目5番2号",,"1999/11/29","11港み生環き第90号","旅館・ホテル営業","151","237"
"クレア芝公園","105-0014","東京都港区芝二丁目18番8号","1階","2018/10/11","30港み生環き第82号","簡易宿所営業","1","2"
"クレア芝公園","105-0014","東京都港区芝二丁目18番8号","2階202","2019/3/26","30港み生環き第139号","簡易宿所営業","1","5"
"クレア芝公園","105-0014","東京都港区芝二丁目18番8号","4階","2018/10/11","30港み生環き第60号","簡易宿所営業","2","5"
"クレア芝公園","105-0014","東京都港区芝二丁目18番8号","201号","2021/4/20","2港み生環き第228号","簡易宿所営業","1","5"
"クレア芝公園","105-0014","東京都港区芝二丁目18番8号","クレア芝公園302","2022/2/14","3港み生環き第111号","簡易宿所営業","1","5"
"クレア芝公園","105-0014","東京都港区芝二丁目18番8号","301","2023/11/10","5港み生環き第144号","簡易宿所営業","1","5"
"ぷふか芝公園は","105-0014","東京都港区芝二丁目18番9号","1階","2023/1/12","4港み生環き第143号","旅館・ホテル営業","1","5"
"ぷふか芝公園ま","105-0014","東京都港区芝二丁目18番9号","2階","2023/1/12","4港み生環き第144号","旅館・ホテル営業","1","5"
"ローズステイ東京芝公園","105-0014","東京都港区芝二丁目20番12号",,"2012/3/1","21港み生環き第139号","旅館・ホテル営業","108","131"
"スーパーホテル東京・芝","105-0014","東京都港区芝二丁目31番17号",,"2018/8/16","28港み生環き第188号","旅館・ホテル営業","151","304"
"東京タワーホテル","105-0014","東京都港区芝三丁目6番13号","101","2020/5/8","31港み生環き第259号","旅館・ホテル営業","1","2"
"サンシャインタワー２０１","105-0014","東京都港区芝三丁目12番9号","201","2018/12/27","30港み生環き第100号","旅館・ホテル営業","1","4"
"サンシャインタワー２０２","105-0014","東京都港区芝三丁目12番9号","202","2018/12/27","30港み生環き第101号","旅館・ホテル営業","1","3"
"サンシャインタワー２０３","105-0014","東京都港区芝三丁目12番9号","203","2018/12/27","30港み生環き第102号","旅館・ホテル営業","1","3"
"サンシャインタワー４０１","105-0014","東京都港区芝三丁目12番9号","401","2020/10/30","2港み生環き第128号","旅館・ホテル営業","1","4"
"サンシャインタワー４０２","105-0014","東京都港区芝三丁目12番9号","402","2020/10/30","2港み生環き第129号","旅館・ホテル営業","1","2"
"サンシャインタワー４０３","105-0014","東京都港区芝三丁目12番9号","403","2020/10/30","2港み生環き第130号","旅館・ホテル営業","1","2"
"Ｔｏｋｙｏ　Ｄｉａｇｏｎａｌ　Ｔｏｗｅｒ","105-0014","東京都港区芝三丁目14番6号",,"2020/12/21","2港み生環き第60号","旅館・ホテル営業","3","12"
"ホテル　ザ　セレスティン　東京芝","105-0014","東京都港区芝三丁目23番1号","セレスティン芝三井ビルディング","2002/4/26","12港み生環き第156号","旅館・ホテル営業","243","488"
"セレンテ芝３","105-0014","東京都港区芝三丁目32番9号","セレンテ芝3-001","2023/3/22","4港み生環き第239号","旅館・ホテル営業","1","5"
"グラスビル５階０１　ＴＯＫＹＯ","105-0014","東京都港区芝三丁目32番13号","501","2019/11/19","31港み生環き第137号","旅館・ホテル営業","1","8"
"ＧＲＡＳＳ　ＢＬＤＧ４０１","105-0014","東京都港区芝三丁目32番13号","4階","2023/8/30","5港み生環き第100号","旅館・ホテル営業","1","4"
"駐健保会館","105-0014","東京都港区芝三丁目41番8号",,"2013/3/26","24港み生環き第184号","簡易宿所営業","14","30"
"春日旅館","105-0014","東京都港区芝三丁目43番18号",,"1982/7/6","57港芝保衛環き第11号","旅館・ホテル営業","24","80"
"アパホテル＜三田駅前＞","108-0014","東京都港区芝四丁目4番8号",,"2012/10/23","23港み生環き第17号","旅館・ホテル営業","155","253"
"ＳＳＫ健保会館　芝","108-0014","東京都港区芝五丁目11番1号",,"2002/8/12","13港み生環き第71号","旅館・ホテル営業","9","17"
"エムコート１０１","108-0014","東京都港区芝五丁目11番5号","エムコート101","2023/7/7","4港み生環き第238号","旅館・ホテル営業","1","4"
"芝５丁目","108-0014","東京都港区芝五丁目23番14号",,"2019/10/7","31港み生環き第85号","旅館・ホテル営業","1","6"
"チサンホテル浜松町","105-0023","東京都港区芝浦一丁目3番10号",,"2016/6/24","28港み生環き第33号","旅館・ホテル営業","304","400"
"ホテルグランマーチ東京芝浦","108-0023","東京都港区芝浦二丁目17番11号",,"2019/11/25","31港み生環き第110号","旅館・ホテル営業","14","28"
"プルマン東京田町","108-0023","東京都港区芝浦三丁目1番21号","msb Tamachi プルマン東京田町","2018/9/11","29港み生環き第239号","旅館・ホテル営業","143","228"
"静鉄ホテルプレジオ東京田町","108-0023","東京都港区芝浦三丁目6番18号","3階～8階","2020/5/11","31港み生環き第188号","旅館・ホテル営業","189","387"
"ホテルグレイスリー田町","108-0023","東京都港区芝浦三丁目8番1号",,"2008/10/14","18港み生環き第131号","旅館・ホテル営業","216","431"
"相鉄フレッサイン東京田町ＡＮＮＥＸ","108-0023","東京都港区芝浦三丁目14番19号",,"2020/7/27","30港み生環き第202号","旅館・ホテル営業","152","304"
"相鉄フレッサイン東京田町","108-0023","東京都港区芝浦三丁目14番21号",,"2012/10/25","24港み生環き第105号","旅館・ホテル営業","139","280"
"シーサイド田町","108-0023","東京都港区芝浦三丁目20番9号","シーサイド田町202","2024/3/6","5港み生環き第178号","旅館・ホテル営業","1","2"
"シーサイド田町","108-0023","東京都港区芝浦三丁目20番9号","シーサイド田町302","2024/3/6","5港み生環き第179号","旅館・ホテル営業","1","2"
"シーサイド田町","108-0023","東京都港区芝浦三丁目20番9号","シーサイド田町402","2024/3/6","5港み生環き第180号","旅館・ホテル営業","1","3"
"シーサイド田町","108-0023","東京都港区芝浦三丁目20番9号","シーサイド田町502","2024/3/6","5港み生環き第181号","旅館・ホテル営業","1","2"
"シーサイド田町","108-0023","東京都港区芝浦三丁目20番9号","シーサイド田町602","2024/3/6","5港み生環き第182号","旅館・ホテル営業","1","3"
"シーサイド田町","108-0023","東京都港区芝浦三丁目20番9号","シーサイド田町702","2024/3/6","5港み生環き第183号","旅館・ホテル営業","1","2"
"ヴィラフォンテーヌグランド東京田町","108-0023","東京都港区芝浦四丁目2番8号",,"2007/3/15","18港み生環き第148号","旅館・ホテル営業","172","592"
"芝パークホテル別館","105-0011","東京都港区芝公園一丁目5番10号",,"1979/12/18","53港芝保衛環き第15号","旅館・ホテル営業","221","406"
"ｉｎｕｍｏ芝公園","105-0011","東京都港区芝公園一丁目6番6号",,"2022/2/15","3港み生環き第233号","旅館・ホテル営業","70","280"
"リッチモンドホテル東京芝","105-0011","東京都港区芝公園二丁目3番4号",,"2017/3/2","28港み生環き第176号","旅館・ホテル営業","105","210"
"東京プリンスホテル","105-0011","東京都港区芝公園三丁目3番1号",,"1971/8/5","46芝保旅指第8号","旅館・ホテル営業","462","975"
"ザ・プリンスパークタワー東京","105-0011","東京都港区芝公園四丁目8番1号",,"2005/3/30","13港み生環き第48号","旅館・ホテル営業","603","1422"
"京王プレッソイン浜松町","105-0012","東京都港区芝大門一丁目1番26号",,"2017/12/13","27港み生環き第155号","旅館・ホテル営業","339","679"
"相鉄フレッサイン浜松町大門","105-0012","東京都港区芝大門一丁目2番7号",,"2011/11/14","21港み生環き第171号","旅館・ホテル営業","190","385"
