 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
10号西岸壁,62 ,"684,982 ",117 ,"1,284,579 ",-,-,-,-,62 ,"684,982 ",117 ,"1,284,579 "
10号東岸壁,31 ,"13,727 ",57 ,"25,418 ",-,-,-,-,31 ,"13,727 ",57 ,"25,418 "
東京港フェリーふ頭,28 ,"353,808 ",52 ,"657,072 ",-,-,-,-,28 ,"353,808 ",52 ,"657,072 "
多目的ふ頭,-,-,1 ,"2,556 ",-,-,-,-,-,-,1 ,"2,556 "
辰巳ふ頭,71 ,"27,387 ",131 ,"47,896 ",-,-,-,-,71 ,"27,387 ",131 ,"47,896 "
青海コンテナふ頭（公共）,109 ,"1,191,715 ",226 ,"2,606,799 ",64 ,"1,157,031 ",142 ,"2,531,038 ",45 ,"34,684 ",84 ,"75,761 "
有明ふ頭,7 ,"7,390 ",12 ,"11,917 ",-,-,-,-,7 ,"7,390 ",12 ,"11,917 "
大井食品ふ頭（OL）,12 ,"92,920 ",21 ,"117,365 ",4 ,"90,957 ",5 ,"113,820 ",8 ,"1,963 ",16 ,"3,545 "
大井食品ふ頭（OM）,4 ,"35,892 ",8 ,"71,784 ",4 ,"35,892 ",8 ,"71,784 ",-,-,-,-
若洲内貿ふ頭,13 ,"130,442 ",23 ,"230,782 ",-,-,-,-,13 ,"130,442 ",23 ,"230,782 "
15号地木材ふ頭,1 ,"2,838 ",1 ,"2,838 ",1 ,"2,838 ",1 ,"2,838 ",-,-,-,-
若洲建材ふ頭,34 ,"19,742 ",63 ,"36,702 ",-,-,-,-,34 ,"19,742 ",63 ,"36,702 "
大井建材ふ頭,63 ,"36,193 ",123 ,"71,353 ",-,-,-,-,63 ,"36,193 ",123 ,"71,353 "
城南島建設発生土ふ頭,95 ,"60,308 ",170 ,"112,030 ",-,-,-,-,95 ,"60,308 ",170 ,"112,030 "
中央防波堤内側ばら物ふ頭,6 ,"29,963 ",9 ,"31,457 ",1 ,"27,470 ",1 ,"27,470 ",5 ,"2,493 ",8 ,"3,987 "
中央防波堤内側建設発生土ふ頭,8 ,"10,205 ",13 ,"13,830 ",-,-,-,-,8 ,"10,205 ",13 ,"13,830 "
中央防波堤内側内貿ふ頭,19 ,"201,249 ",35 ,"370,491 ",-,-,-,-,19 ,"201,249 ",35 ,"370,491 "
官公庁（晴海）,1 ,"2,630 ",3 ,"10,703 ",-,-,-,-,1 ,"2,630 ",3 ,"10,703 "
官公庁（月島）,3 ,595 ,7 ,"1,387 ",-,-,-,-,3 ,595 ,7 ,"1,387 "
官公庁（有明）,1 ,"2,497 ",2 ,"4,994 ",-,-,-,-,1 ,"2,497 ",2 ,"4,994 "
東京港埠頭㈱計,319 ,"7,371,149 ",682 ,"15,389,429 ",193 ,"7,180,426 ",427 ,"14,971,043 ",126 ,"190,723 ",255 ,"418,386 "
青海コンテナふ頭(埠頭㈱),63 ,"1,536,312 ",133 ,"3,406,510 ",50 ,"1,525,480 ",111 ,"3,383,057 ",13 ,"10,832 ",22 ,"23,453 "
お台場ライナーふ頭,24 ,"120,252 ",68 ,"459,481 ",6 ,"50,779 ",20 ,"278,430 ",18 ,"69,473 ",48 ,"181,051 "
大井コンテナふ頭,232 ,"5,714,585 ",481 ,"11,523,438 ",137 ,"5,604,167 ",296 ,"11,309,556 ",95 ,"110,418 ",185 ,"213,882 "
民間計,528 ,"794,318 ","1,030 ","1,644,836 ",18 ,"204,922 ",40 ,"456,644 ",510 ,"589,396 ",990 ,"1,188,192 "
,,,,,,,,,,,,
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
