"年月［西暦］","回収方法","種類","回収量[kg]","対前年同月比[%]"
201410,"集積所回収","びん・缶",351986,-2
201410,"集積所回収","ペットボトル",81700,-1
201410,"拠点回収","紙パック",180,-14
201410,"拠点回収","使用済み乾電池",0,"―"
201410,"拠点回収","ペットボトル",8310,-1
201410,"拠点回収","使用済み小型家電製品",89,2
201410,"拠点回収","古着",1360,"―"
201410,"拠点回収","蛍光灯",16,"―"
201410,"拠点回収","ペットボトルキャップ",47,"―"
201410,"拠点回収","廃食用油",52,"―"
201410,"ピックアップ回収","金属製品等(不燃ごみからの回収)",26010,29
201410,"ピックアップ回収","コード類(不燃ごみからの回収)",1600,51
201410,"ピックアップ回収","蛍光灯",0,"―"
201410,"ピックアップ回収","金属製品等(粗大ごみからの回収)",17290,-22
201410,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"―"
201410,"店頭回収(東京ルール3回収)","ペットボトル",13450,-1
201411,"集積所回収","資源プラスチック",202580,-5
201411,"集積所回収","古紙",578440,-8
201411,"集積所回収","びん・缶",327787,-5
201411,"集積所回収","ペットボトル",67870,-3
201411,"拠点回収","紙パック",200,-33
201411,"拠点回収","使用済み乾電池",0,"―"
201411,"拠点回収","ペットボトル",6000,-11
201411,"拠点回収","使用済み小型家電製品",97,-3
201411,"拠点回収","古着",1430,"―"
201411,"拠点回収","蛍光灯",5,"―"
201411,"拠点回収","ペットボトルキャップ",17,"―"
201411,"拠点回収","廃食用油",0,"―"
201411,"ピックアップ回収","金属製品等(不燃ごみからの回収)",25170,14
201411,"ピックアップ回収","コード類(不燃ごみからの回収)",1640,16
201411,"ピックアップ回収","蛍光灯",927,"―"
201411,"ピックアップ回収","金属製品等(粗大ごみからの回収)",18490,-11
201411,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"―"
201411,"店頭回収(東京ルール3回収)","ペットボトル",11760,-6
201412,"集積所回収","資源プラスチック",231890,3
201412,"集積所回収","古紙",742110,6
201412,"集積所回収","びん・缶",382809,4
201412,"集積所回収","ペットボトル",70790,5
201412,"拠点回収","紙パック",160,-30
201412,"拠点回収","使用済み乾電池",0,"―"
201412,"拠点回収","ペットボトル",5850,-3
201412,"拠点回収","使用済み小型家電製品",96,26
201412,"拠点回収","古着",1430,"―"
201412,"拠点回収","蛍光灯",41,"―"
201412,"拠点回収","ペットボトルキャップ",15,"―"
201412,"拠点回収","廃食用油",0,"―"
201412,"ピックアップ回収","金属製品等(不燃ごみからの回収)",27170,33
201412,"ピックアップ回収","コード類(不燃ごみからの回収)",1840,30
201412,"ピックアップ回収","蛍光灯",1056,"―"
201412,"ピックアップ回収","金属製品等(粗大ごみからの回収)",21490,12
201412,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"―"
201412,"店頭回収(東京ルール3回収)","ペットボトル",12050,15
201501,"集積所回収","資源プラスチック",232810,-2
201501,"集積所回収","古紙",664130,-2
201501,"集積所回収","びん・缶",408997,1
201501,"集積所回収","ペットボトル",70340,3
201501,"拠点回収","紙パック",180,-25
201501,"拠点回収","使用済み乾電池",1890,"―"
201501,"拠点回収","ペットボトル",7290,1
201501,"拠点回収","使用済み小型家電製品",138,84
201501,"拠点回収","古着",1560,"―"
201501,"拠点回収","蛍光灯",11,"―"
201501,"拠点回収","ペットボトルキャップ",36,"―"
201501,"拠点回収","廃食用油",0,"―"
201501,"ピックアップ回収","金属製品等(不燃ごみからの回収)",27050,78
201501,"ピックアップ回収","コード類(不燃ごみからの回収)",2100,"―"
201501,"ピックアップ回収","蛍光灯",1125,"―"
201501,"ピックアップ回収","金属製品等(粗大ごみからの回収)",17680,-12
201501,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"―"
201501,"店頭回収(東京ルール3回収)","ペットボトル",9550,-5
201502,"集積所回収","資源プラスチック",199640,-4
201502,"集積所回収","古紙",562320,-1
201502,"集積所回収","びん・缶",327374,-2
201502,"集積所回収","ペットボトル",62720,1
201502,"拠点回収","紙パック",160,-16
201502,"拠点回収","使用済み乾電池",0,"―"
201502,"拠点回収","ペットボトル",5660,-4
201502,"拠点回収","使用済み小型家電製品",89,46
201502,"拠点回収","古着",1109,-27
201502,"拠点回収","蛍光灯",13,"―"
201502,"拠点回収","ペットボトルキャップ",26,"―"
201502,"拠点回収","廃食用油",0,"―"
201502,"ピックアップ回収","金属製品等(不燃ごみからの回収)",23770,70
201502,"ピックアップ回収","コード類(不燃ごみからの回収)",1640,24
201502,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1872,189
201502,"ピックアップ回収","金属製品等(粗大ごみからの回収)",20030,4
201502,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"―"
201502,"ピックアップ回収","ふとん(粗大ごみからの回収)",67,"―"
201502,"店頭回収(東京ルールⅢ回収)","ペットボトル",8330,-21
201503,"集積所回収","資源プラスチック",219920,-4
201503,"集積所回収","古紙",665030,-5
201503,"集積所回収","びん・缶",346128,-3
201503,"集積所回収","ペットボトル",68780,"―"
201503,"拠点回収","紙パック",170,"―"
201503,"拠点回収","使用済み乾電池",0,"―"
201503,"拠点回収","ペットボトル",5590,-10
201503,"拠点回収","使用済み小型家電製品",127,67
201503,"拠点回収","古着",0,"―"
201503,"拠点回収","蛍光灯",10,"66%-"
201503,"拠点回収","ペットボトルキャップ",32,"―"
201503,"拠点回収","廃食用油",0,"―"
201503,"ピックアップ回収","金属製品等(不燃ごみからの回収)",25510,42
201503,"ピックアップ回収","コード類(不燃ごみからの回収)",2370,15
201503,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1223,84
201503,"ピックアップ回収","金属製品等(粗大ごみからの回収)",22310,-1
201503,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",171,"―"
201503,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"―"
201503,"店頭回収(東京ルールⅢ回収)","ペットボトル",6170,-51

"平成26年度　資源回収量【速報値】","Ver201503",,,
