全国地方公共団体コード,ID,地方公共団体名,地区名,ゴミの品目,ゴミの品目_英字,分別区分,備考
133035,133035GMLT000017,瑞穂町,全域,空きびんのふた プラスチック,Empty Bottle Lids Plastic,容器包装プラスチック,透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT000018,瑞穂町,全域,アクセサリー 金属,Accessories Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT000019,瑞穂町,全域,アクセサリー プラスチック・複合素材,Accessories Plastics and composite materials,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000021,瑞穂町,全域,アクリル板 50cm以上のもの,Acrylic sheet 50 cm or longer,粗大ごみ,リサイクルプラザに申込む ※業者による取替えや、工事によって発生したものは処理できません
133035,133035GMLT000020,瑞穂町,全域,アクリル板 50cm未満のもの,Acrylic sheet less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000022,瑞穂町,全域,アコーディオンカーテン,Accordion curtain,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000550,瑞穂町,全域,脚立（きゃたつ） 木,Stepladder Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001258,瑞穂町,全域,足拭きマット 50cm以上のもの,Foot mats 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001257,瑞穂町,全域,足拭きマット 50cm未満のもの,Foot mats less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001259,瑞穂町,全域,足ぶみミシン,Staple sewing machine,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001261,瑞穂町,全域,アタッシェケース 50cm以上のもの,Attache case 50cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001260,瑞穂町,全域,アタッシェケース 50cm未満のもの,Attache case less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001262,瑞穂町,全域,アダプター（電気充電器）,Adapter (electric charger),燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001264,瑞穂町,全域,圧力鍋 50cm以上のもの,Pressure cooker 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001263,瑞穂町,全域,圧力鍋 50cm未満のもの,Pressure cooker less than 50 cm,金属,バケツ・カゴなどに入れる
133035,133035GMLT001268,瑞穂町,全域,油こし容器,Oil strainer,金属,バケツ・カゴなどに入れる
133035,133035GMLT001266,瑞穂町,全域,油 食用,Oil Edible,燃やせるごみ,町指定収集袋（クリーム色） ※紙やボロ布にしみ込ませるか、凝固剤で固める
133035,133035GMLT001265,瑞穂町,全域,油 自動車のオイル,Oil Automotive oil,処理できません,販売店又は専門業者へ相談してください
133035,133035GMLT001269,瑞穂町,全域,油とり紙,Oil-absorbent paper used cosmetically to absorb oil from (facial) skin,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001271,瑞穂町,全域,油の容器 ガラス,Oil container Glass,ビン,中身をカラにし、きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT001272,瑞穂町,全域,油の容器 金属,Oil Container Metal,カン,中身をカラにし、きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT001270,瑞穂町,全域,油の容器 プラスチック,Oil containers Plastic,容器包装プラスチック,中身をカラにし、きれいに洗って、透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT001274,瑞穂町,全域,油びんのふた 金属,Oil Bottle Lid Metal,金属,きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT001273,瑞穂町,全域,油びんのふた プラスチック,Oil bottle lid Plastic,容器包装プラスチック,透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT001275,瑞穂町,全域,雨戸 50cm以上のもの,Storm shutters 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001278,瑞穂町,全域,編み機 50cm以上のもの,Knitting machine 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001277,瑞穂町,全域,編み機 50cm未満のもの,Knitting machine Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001280,瑞穂町,全域,網戸 50cm以上のもの,Screen door 50 cm or more,粗大ごみ,リサイクルプラザに申込む ※業者による取替えや、工事によって発生したものは処理できません
133035,133035GMLT001279,瑞穂町,全域,網戸 50cm未満のもの,Screen door Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001283,瑞穂町,全域,網戸の網 50cm以上のもの,Netting for screen door 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001282,瑞穂町,全域,網戸の網 金属,Screen mesh Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT001281,瑞穂町,全域,網戸の網 ナイロン,Screen mesh Nylon,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001276,瑞穂町,全域,網・ネット（みかん等の網）,"Nets (nets for mandarin oranges, etc.)",容器包装プラスチック,透明又は半透明の袋に入れる
133035,133035GMLT001284,瑞穂町,全域,あめの包み・袋 紙,Candy wrappers and bags Paper,雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる
133035,133035GMLT001285,瑞穂町,全域,あめの包み・袋 プラスチック,Candy wrappers and bags Plastic,容器包装プラスチック,透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT001286,瑞穂町,全域,アルカリ乾電池,Alkaline battery,有害ごみ,透明又は半透明の袋に入れる
133035,133035GMLT001288,瑞穂町,全域,アルバム 金属の部分,Album Metal part,金属,バケツ・カゴなどに入れる
133035,133035GMLT001290,瑞穂町,全域,アルバム 硬質プラスチック・金属との複合素材,Album Composite materials with hard plastics and metals,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001287,瑞穂町,全域,アルバム 紙の部分（接着用のもの以外）,Album Paper parts (other than those for adhesion),雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる
133035,133035GMLT001289,瑞穂町,全域,アルバム 紙・軟質プラスチック・金属との複合素材,"Album Composite material with paper, soft plastic, and metal",燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001291,瑞穂町,全域,アルミコーティング紙,Aluminum coated paper,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001293,瑞穂町,全域,アルミサッシ 50cm以上のもの,Aluminum sash 50 cm or more,粗大ごみ,リサイクルプラザに申込む ※業者による取替えや、工事によって発生したものは処理できません
133035,133035GMLT001292,瑞穂町,全域,アルミサッシ 50cm未満のもの,Aluminum sash Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001294,瑞穂町,全域,アルミ箔の容器（うどん等）,"Aluminum foil containers (e.g., udon noodles)",燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001295,瑞穂町,全域,アルミホイル,Aluminum foil,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001296,瑞穂町,全域,アルミホイルの箱のカッター部分 金属,Cutter part of aluminum foil box Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT001297,瑞穂町,全域,アルミホイルの箱のカッター部分 紙,Cutter part of aluminum foil box Paper,雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる
133035,133035GMLT001298,瑞穂町,全域,アルミホイルの容器,Aluminum foil container,雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる
133035,133035GMLT001301,瑞穂町,全域,泡風呂浴装置,Bubble bath apparatus,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001300,瑞穂町,全域,泡立器 金属,Whisk Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT001299,瑞穂町,全域,泡立器 電動,Whisk Electric,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001302,瑞穂町,全域,アンカ,Anchor,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001303,瑞穂町,全域,安全靴,Safety shoes,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001304,瑞穂町,全域,安全ピン,Safety pin,金属,バケツ・カゴなどに入れる ※スチール缶の中に入れ、テープでふたをする
133035,133035GMLT001306,瑞穂町,全域,アンテナ（テレビ・BS・CS・無線・車載） 50cm以上のもの,"Antenna (TV, BS, CS, wireless, vehicle-mounted) 50 cm or more",粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001305,瑞穂町,全域,アンテナ（テレビ・BS・CS・無線・車載） 50cm未満のもの,"Antenna (TV, BS, CS, wireless, vehicle-mounted) Less than 50 cm",燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001308,瑞穂町,全域,アンプ（ステレオ用） 50cm以上のもの,Amplifier (for stereo) 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001307,瑞穂町,全域,アンプ（ステレオ用） 50cm未満のもの,Amplifier (for stereo) Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001311,瑞穂町,全域,石,Stone,処理できません,専門業者へ相談してください
133035,133035GMLT001312,瑞穂町,全域,石臼（いしうす）,Stone mortar,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001317,瑞穂町,全域,衣装箱（ケース） 50cm以上のもの,Wardrobe box (case) 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001315,瑞穂町,全域,衣装箱（ケース） 木,Costume box (case) Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001314,瑞穂町,全域,衣装箱（ケース） 金属,Costume box (case) Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT001316,瑞穂町,全域,衣装箱（ケース） ダンボール,Costume box (case) Cardboard,ダンボール,ひもで束ねる
133035,133035GMLT001313,瑞穂町,全域,衣装箱（ケース） プラスチック,Costume box (case) Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001321,瑞穂町,全域,椅子 50cm以上のもの,Chair 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001318,瑞穂町,全域,椅子 木,Chair Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001320,瑞穂町,全域,椅子 金属,Chair Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT001319,瑞穂町,全域,椅子 プラスチック,Chair Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001323,瑞穂町,全域,板ガラス 50cm以上のもの,Flat glass 50 cm or more,粗大ごみ,リサイクルプラザに申込む ※業者による取替えや、工事によって発生したものは処理できません
133035,133035GMLT001322,瑞穂町,全域,板ガラス 50cm未満のもの,Flat glass Less than 50 cm,ガラス,バケツ・カゴなどに入れる
133035,133035GMLT001325,瑞穂町,全域,板きれ 50cm以上のもの,Planks 50 cm or more,粗大ごみ,リサイクルプラザに申込む ※業者による取替えや、工事によって発生したものは処理できません
133035,133035GMLT001324,瑞穂町,全域,板きれ 50cm未満のもの,Planks less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001328,瑞穂町,全域,一升びん,1 sho bottle (1.8 litres),ビン,中身をカラにし、きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT001329,瑞穂町,全域,一升びんのふた 金属,Bottle lid Metal,金属,きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT001330,瑞穂町,全域,一升びんのふた プラスチック,Bottle lid Plastic,容器包装プラスチック,透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT001327,瑞穂町,全域,一輪車（作業用・スポーツ用） 50cm以上のもの,Unicycles (for work and sports) 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001326,瑞穂町,全域,一輪車（作業用・スポーツ用） 50cm未満のもの,Unicycles (for work and sports) less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001331,瑞穂町,全域,一斗缶 金属,1 Doubt Cans Metal,カン,中身をカラにし、きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT001332,瑞穂町,全域,糸,Thread,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001333,瑞穂町,全域,犬小屋,Kennel,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001334,瑞穂町,全域,犬・猫トイレの砂 燃やせる素材のものに限る,Dog/cat toilet sand Must be made of burnable materials,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001335,瑞穂町,全域,犬・猫用のケージ 50cm以上のもの,Cages for dogs and cats 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001336,瑞穂町,全域,医薬品 処方されたもの,Pharmaceuticals Prescribed,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001337,瑞穂町,全域,イヤホン,Earphone,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001338,瑞穂町,全域,医療廃棄物,Hospital waste,処理できません,専門業者へ相談してください
133035,133035GMLT001339,瑞穂町,全域,衣類（古着）,Clothing (used clothing),布,透明又は半透明の袋に入れる ※汚れているものは燃やせるごみへ
133035,133035GMLT001340,瑞穂町,全域,衣類乾燥機,Clothes dryer,処理できません,家電リサイクル法により、町では処理できません ※ごみ・資源物収集カレンダーに出し方の記載があります
133035,133035GMLT001342,瑞穂町,全域,衣類乾燥機用ラック 50cm以上のもの,Racks for clothes dryers 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001341,瑞穂町,全域,衣類乾燥機用ラック 50cm未満のもの,Racks for clothes dryers less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001343,瑞穂町,全域,入れ歯,Denture,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001344,瑞穂町,全域,色鉛筆,Color pencil,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001345,瑞穂町,全域,印鑑 象牙・木,Seals Ivory and wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001346,瑞穂町,全域,印鑑 プラスチック・複合素材,Seals Plastic and composite materials,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001348,瑞穂町,全域,インクカートリッジ,Ink cartridge,燃やせるごみ,町指定収集袋（クリーム色） ※できるだけ販売店へ返却
133035,133035GMLT001349,瑞穂町,全域,インクジェットの容器,Inkjet container,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001350,瑞穂町,全域,インクの容器 ガラス,Ink container Glass,ビン,中身をカラにし、きれいに洗って、バケツ・カゴなどに入れる ※汚れのとれないものは燃やせないごみへ
133035,133035GMLT001352,瑞穂町,全域,インクの容器のふた 金属,Ink container lid Metal,金属,きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT001353,瑞穂町,全域,インクの容器のふた プラスチック,Ink container lid Plastic,容器包装プラスチック,きれいに洗って、透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT001351,瑞穂町,全域,インクの容器 プラスチック,Ink container Plastic,容器包装プラスチック,中身をカラにし、きれいに洗って、透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT001347,瑞穂町,全域,インク 油性・水性,"Ink Oil-based, water-based",燃やせるごみ,町指定収集袋（クリーム色） ※紙やボロ布などにしみ込ませる
133035,133035GMLT001354,瑞穂町,全域,インクリボン カセットタイプ,Ink ribbon Cassette type,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001355,瑞穂町,全域,インスタント食品の袋・包装,Instant food bags and packaging,容器包装プラスチック,透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT001357,瑞穂町,全域,インスタント麺の包装 スープ袋,Instant noodle packaging Soup bag,容器包装プラスチック,透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT001356,瑞穂町,全域,インスタント麺の包装 袋の部分,Instant noodle packaging Bag part,容器包装プラスチック,透明又は半透明の袋に入れる
133035,133035GMLT001358,瑞穂町,全域,インターホン,Intercom,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001310,瑞穂町,全域,ETC機器,ETC equipment,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001309,瑞穂町,全域,イーゼル（画架） 50cm以上のもの,Easel (picture stand) 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001362,瑞穂町,全域,ウィッグ（かつら）,Wigs,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001363,瑞穂町,全域,ウィンドサーフィンのセール・ボード・マスト,Windsurfing sail board mast,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001366,瑞穂町,全域,ウィンドブレーカー,Windbreaker,布,透明又は半透明の袋に入れる
133035,133035GMLT001359,瑞穂町,全域,ウイスキーのびん,Whiskey bottle,ビン,中身をカラにし、きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT001360,瑞穂町,全域,ウイスキーのびんのふた 金属,Whiskey bottle lid Metal,金属,きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT001361,瑞穂町,全域,ウイスキーのびんのふた プラスチック,Whiskey Bottle Lids Plastic,容器包装プラスチック,きれいに洗って、透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT001365,瑞穂町,全域,ウインドファン（窓用換気扇） 50cm以上のもの,Window fan (window ventilation fan) 50 cm or larger,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001364,瑞穂町,全域,ウインドファン（窓用換気扇） 50cm未満のもの,Window fan (window ventilation fan) Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001367,瑞穂町,全域,植木苗用ポット 軟質プラスチック,Pot for planted seedlings Soft plastic,容器包装プラスチック,透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT001369,瑞穂町,全域,植木の支柱（園芸用支柱） 50cm以上のもの,Planting poles (gardening poles) 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001368,瑞穂町,全域,植木の支柱（園芸用支柱） 50cm未満のもの,Planting poles (gardening poles) Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001373,瑞穂町,全域,植木鉢・植木鉢受皿 50cm以上のもの,Plant pots and flowerpot receptacles 50 cm or larger,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001372,瑞穂町,全域,植木鉢・植木鉢受皿 木,"Plant pots, flowerpot saucers, wood",燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001371,瑞穂町,全域,植木鉢・植木鉢受皿 金属,"Plant pots, flowerpot saucers, metal",金属,きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT001370,瑞穂町,全域,植木鉢・植木鉢受皿 陶器・プラスチック,"Plant pots, flowerpot saucers Ceramic, plastic",燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001374,瑞穂町,全域,ウエストバッグ,Waist bag,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001375,瑞穂町,全域,ウエットスーツ,Wet suit,燃やせるごみ,町指定収集袋（クリーム色） ※50㎝未満に切ってから
133035,133035GMLT001376,瑞穂町,全域,ウエットスーツ 50cm以上のもの,Wetsuit 50cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001377,瑞穂町,全域,ウエットティッシュ,Wet wipes,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001378,瑞穂町,全域,ウエットティッシュの外装 ビニール,Exterior of wet wipes Vinyl,容器包装プラスチック,透明又は半透明の袋に入れる
133035,133035GMLT001380,瑞穂町,全域,ウォシュレット（便座タイプのもののみ）,Washlet (toilet seat type only),粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001379,瑞穂町,全域,ウォーキングマシーン（健康器具）,Walking machines (health equipment),粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001381,瑞穂町,全域,浮き輪,Float,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001382,瑞穂町,全域,臼（うす）,Mortar,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001383,瑞穂町,全域,うちわ,Paper fan,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001384,瑞穂町,全域,ウッドカーペット,Wood carpet,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001385,瑞穂町,全域,腕時計,Wristwatch,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001387,瑞穂町,全域,乳母車 50cm以上のもの,Pushchair 50cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001386,瑞穂町,全域,乳母車 50cm未満のもの,Baby carriages less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001388,瑞穂町,全域,羽毛ふとん,Down(-filled) quilt (futon),粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001389,瑞穂町,全域,上履き,Hallway slippers,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001390,瑞穂町,全域,運動靴,Sports shoes,燃やせるごみ,町指定収集袋（クリーム色） ※電池入りの靴は、電池を必ず取り除き、電池は有害ごみへ
133035,133035GMLT001393,瑞穂町,全域,エアコン,Air conditioner,処理できません,家電リサイクル法により、町では処理できません ※ごみ・資源物収集カレンダーに出し方の記載があります
133035,133035GMLT001394,瑞穂町,全域,エアロバイク（健康器具）,Aerobike (health equipment),粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001391,瑞穂町,全域,エアーキャップ・エアークッション・プチプチ（気泡緩衝材）,"Air caps, air cushions, bubble wrap",容器包装プラスチック,透明又は半透明の袋に入れる
133035,133035GMLT001392,瑞穂町,全域,エアーポンプ,Air pump,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001396,瑞穂町,全域,映写機（家庭用） 50cm以上のもの,Projector (for home use) 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001395,瑞穂町,全域,映写機（家庭用） 50cm未満のもの,Projector (for home use) Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001399,瑞穂町,全域,液晶テレビ,Liquid crystal television,処理できません,家電リサイクル法により、町では処理できません ※ごみ・資源物収集カレンダーに出し方の記載があります
133035,133035GMLT001400,瑞穂町,全域,液晶テレビ 電池式・携帯用・車載用・浴室備え付け,"LCD TV Battery-powered, portable, car-mounted, bathroom-mounted",燃やせないごみ,町指定収集袋（水色）※電池は必ず取り除き有害ごみへ
133035,133035GMLT001401,瑞穂町,全域,エキスパンダー,Expander,金属,バケツ・カゴなどに入れる
133035,133035GMLT001402,瑞穂町,全域,S字フック 金属,S Hook Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT001403,瑞穂町,全域,S字フック プラスチック,S hook Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001404,瑞穂町,全域,SDカード,SD card,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001406,瑞穂町,全域,枝切りばさみ 50cm以上のもの,Branch scissors 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001405,瑞穂町,全域,枝切りばさみ 50cm未満のもの,Branch clippers Less than 50 cm,金属,バケツ・カゴなどに入れる ※紙や布などに包み、表示（「キケン」など）をする
133035,133035GMLT001408,瑞穂町,全域,枝類（剪定枝） 長さ50cm以上または太さ10cm以上のもの,Branches (pruned branches) 50 cm or more in length or 10 cm or more in thickness,粗大ごみ,リサイクルプラザに申込む ※1m50㎝以下に切ってから
