区市町村名,学校名,募集人員／男,募集人員／女,募集人員／計,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率／男,１日目の応募倍率／女,１日目の応募倍率／計
小平,小平,83,76,159,138,156,294,1.66,2.05,1.85
小平,小平西,116,107,223,205,206,411,1.77,1.93,1.84
小平,小平南,116,107,223,213,192,405,1.84,1.79,1.82
日野,日野,132,122,254,183,186,369,1.39,1.52,1.45
日野,日野台,127,116,243,170,181,351,1.34,1.56,1.44
日野,南平,132,122,254,220,211,431,1.67,1.73,1.70
東村山,東村山,41,37,78,60,62,122,1.46,1.68,1.56
東村山,東村山西,116,107,223,165,123,288,1.42,1.15,1.29
国立,国立,132,121,253,190,191,381,1.44,1.58,1.51
福生,福生,116,107,223,171,160,331,1.47,1.50,1.48
狛江,狛江,149,137,286,254,222,476,1.70,1.62,1.66
東大和,東大和,116,107,223,198,135,333,1.71,1.26,1.49
東大和,東大和南,132,121,253,223,185,408,1.69,1.53,1.61
清瀬,清瀬,132,121,253,169,147,316,1.28,1.21,1.25
東久留米,久留米西,116,106,222,159,114,273,1.37,1.08,1.23
武蔵村山,武蔵村山,116,107,223,139,113,252,1.20,1.06,1.13
多摩,永山,115,112,227,173,208,381,1.50,1.86,1.68
羽村,羽村,116,106,222,124,127,251,1.07,1.20,1.13
あきる野,秋留台,50,45,95,129,82,211,2.58,1.82,2.22
西東京,田無,132,121,253,173,133,306,1.31,1.10,1.21
西東京,保谷,132,122,254,214,171,385,1.62,1.40,1.52
多摩部計,,4879,4486,9365,7140,6596,13736,1.46,1.47,1.47
ｺｰｽ、単位制以外計,,11422,10502,21924,17738,16563,34301,1.55,1.58,1.56
