区市町村名,学校名,募集人員(A)／男,募集人員(A)／女,募集人員(A)／計,最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A)／男,最終応募倍率(B/A)／女,最終応募倍率(B/A)／計
中野,富士,31,31,62,71,53,124,2.29,1.71,2.00
中野,武蔵丘,132,122,254,220,212,432,1.67,1.74,1.70
杉並,杉並,132,122,254,203,188,391,1.54,1.54,1.54
杉並,豊多摩,132,121,253,298,269,567,2.26,2.22,2.24
杉並,西,132,121,253,259,208,467,1.96,1.72,1.85
豊島,豊島,116,106,222,179,173,352,1.54,1.63,1.59
豊島,文京,149,136,285,307,276,583,2.06,2.03,2.05
荒川,竹台,74,67,141,100,78,178,1.35,1.16,1.26
板橋,板橋,116,107,223,165,176,341,1.42,1.64,1.53
板橋,大山,87,80,167,120,118,238,1.38,1.48,1.43
板橋,北園,132,122,254,281,263,544,2.13,2.16,2.14
板橋,高島,132,121,253,227,216,443,1.72,1.79,1.75
練馬,井草,116,107,223,179,161,340,1.54,1.50,1.52
練馬,大泉,31,31,62,48,38,86,1.55,1.23,1.39
練馬,石神井,132,121,253,219,217,436,1.66,1.79,1.72
練馬,田柄,35,33,68,48,42,90,1.37,1.27,1.32
練馬,練馬,116,107,223,130,132,262,1.12,1.23,1.17
練馬,光丘,114,104,218,154,125,279,1.35,1.20,1.28
足立,青井,75,69,144,91,109,200,1.21,1.58,1.39
足立,足立,132,121,253,193,115,308,1.46,0.95,1.22
足立,足立新田,100,93,193,128,116,244,1.28,1.25,1.26
足立,足立西,82,76,158,107,99,206,1.30,1.30,1.30
足立,足立東,41,38,79,84,67,151,2.05,1.76,1.91
足立,江北,132,121,253,199,161,360,1.51,1.33,1.42
足立,淵江,84,77,161,104,110,214,1.24,1.43,1.33
葛飾,葛飾野,132,122,254,188,138,326,1.42,1.13,1.28
葛飾,南葛飾,68,61,129,122,140,262,1.79,2.30,2.03
江戸川,江戸川,132,122,254,232,206,438,1.76,1.69,1.72
江戸川,葛西南,116,107,223,154,133,287,1.33,1.24,1.29
江戸川,小岩,149,136,285,269,244,513,1.81,1.79,1.80
江戸川,小松川,132,122,254,186,143,329,1.41,1.17,1.30
江戸川,篠崎,106,97,203,169,152,321,1.59,1.57,1.58
江戸川,紅葉川,100,91,191,170,159,329,1.70,1.75,1.72
区部計,,6543,6016,12559,10731,9939,20670,1.64,1.65,1.65
八王子,片倉,100,91,191,148,117,265,1.48,1.29,1.39
八王子,八王子北,83,76,159,117,107,224,1.41,1.41,1.41
八王子,八王子東,132,121,253,177,168,345,1.34,1.39,1.36
八王子,富士森,147,135,282,184,197,381,1.25,1.46,1.35
八王子,松が谷,99,91,190,159,136,295,1.61,1.49,1.55
立川,立川,132,121,253,220,182,402,1.67,1.50,1.59
武蔵野,武蔵,31,31,62,52,58,110,1.68,1.87,1.77
武蔵野,武蔵野北,100,91,191,144,166,310,1.44,1.82,1.62
青梅,多摩,100,91,191,124,123,247,1.24,1.35,1.29
府中,府中,116,106,222,217,167,384,1.87,1.58,1.73
府中,府中西,125,115,240,174,162,336,1.39,1.41,1.40
府中,府中東,116,107,223,149,153,302,1.28,1.43,1.35
昭島,昭和,132,121,253,172,164,336,1.30,1.36,1.33
昭島,拝島,116,107,223,134,144,278,1.16,1.35,1.25
調布,神代,116,106,222,168,177,345,1.45,1.67,1.55
調布,調布北,99,91,190,132,141,273,1.33,1.55,1.44
調布,調布南,100,91,191,181,172,353,1.81,1.89,1.85
町田,小川,132,121,253,172,159,331,1.30,1.31,1.31
町田,成瀬,116,107,223,163,164,327,1.41,1.53,1.47
町田,野津田,50,46,96,75,87,162,1.50,1.89,1.69
町田,町田,132,122,254,194,182,376,1.47,1.49,1.48
町田,山崎,88,80,168,117,84,201,1.33,1.05,1.20
小金井,小金井北,100,91,191,170,167,337,1.70,1.84,1.76
小平,小平,83,76,159,135,149,284,1.63,1.96,1.79
小平,小平西,116,107,223,187,172,359,1.61,1.61,1.61
小平,小平南,116,107,223,210,183,393,1.81,1.71,1.76
日野,日野,132,122,254,187,183,370,1.42,1.50,1.46
日野,日野台,127,116,243,170,178,348,1.34,1.53,1.43
日野,南平,132,122,254,211,204,415,1.60,1.67,1.63
東村山,東村山,41,37,78,60,64,124,1.46,1.73,1.59
東村山,東村山西,116,107,223,167,132,299,1.44,1.23,1.34
国立,国立,132,121,253,207,186,393,1.57,1.54,1.55
福生,福生,116,107,223,169,157,326,1.46,1.47,1.46
狛江,狛江,149,137,286,249,221,470,1.67,1.61,1.64
東大和,東大和,116,107,223,180,145,325,1.55,1.36,1.46
東大和,東大和南,132,121,253,210,182,392,1.59,1.50,1.55
清瀬,清瀬,132,121,253,183,152,335,1.39,1.26,1.32
東久留米,久留米西,116,106,222,159,128,287,1.37,1.21,1.29
武蔵村山,武蔵村山,116,107,223,148,127,275,1.28,1.19,1.23
多摩,永山,115,112,227,173,198,371,1.50,1.77,1.63
羽村,羽村,116,106,222,129,131,260,1.11,1.24,1.17
あきる野,秋留台,50,45,95,129,84,213,2.58,1.87,2.24
西東京,田無,132,121,253,188,138,326,1.42,1.14,1.29
西東京,保谷,132,122,254,207,181,388,1.57,1.48,1.53
多摩部計,,4879,4486,9365,7201,6672,13873,1.48,1.49,1.48
ｺｰｽ、単位制以外計,,11422,10502,21924,17932,16611,34543,1.57,1.58,1.58
