自治体名,人口,自治体面積（k㎡）,A　施設各自治体の図書館（設置）条例に記載された図書館数,A　施設サービスポイント数,A　施設自動車図書館台数（台）,A　施設自動車図書館巡回箇所,A　施設年間開館日数,B　蔵書数図書総数(冊),B　蔵書数図書総数内訳うち児童資料,B　蔵書数図書総数内訳うち外国語資料,B　蔵書数図書総数内訳うち地域資料（郷土及び行政資料）,B　蔵書数図書総数内訳うち閉架資料 ,B　蔵書数雑誌（種） ,B　蔵書数新聞（種）,B　蔵書数レコード（枚） ,B　蔵書数カセット（巻） ,B　蔵書数 ＣＤ（枚） ,B　蔵書数ＬＤ（枚）,B　蔵書数ビデオ（巻）,B　蔵書数DVD（枚）,B　蔵書数フィルム（巻）,B　蔵書数その他（点） ,C　サービス・貸出・予約来館者数（人）       ,C　サービス・貸出・予約個人貸出登録者登録者総数(人)   ,C　サービス・貸出・予約個人貸出登録者登録者総数(人)内訳うち児童      ,C　サービス・貸出・予約個人貸出登録者有効登録者数(人)       ,C　サービス・貸出・予約個人貸出登録者有効登録者数(人) 内訳うち自治体内有効登録者数,C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊),C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊)内訳うち自治体内貸出数,C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊)内訳うち児童資料      ,C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊)内訳うち視聴覚資料   ,C　サービス・貸出・予約団体貸出団体数      ,C　サービス・貸出・予約団体貸出貸出冊数（冊）      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)内訳23区へ      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)内訳多摩地区へ      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)内訳他県その他へ      ,C　サービス・貸出・予約予約受付予約受付総数(冊),C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳所蔵資料を提供 ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳購入して提供      ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳都立から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳23区から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳多摩地区から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳他県から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳国会     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳大学等     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳不明     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳未提供等,C　サービス・貸出・予約文献複写枚数（枚）,C　サービス・貸出・予約参考業務専用カウンター設置数（館）,C　サービス・貸出・予約参考業務受付件数（件）,D　電子資料等の利用利用者向けCD-ROMの利用可能館数,D　電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用可能館数,D　電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用可能館数,D　電子資料等の利用利用者向け電子書籍サービスの利用館外貸出可能館数,D　電子資料等の利用利用者向け電子書籍サービスの利用機器提供館数,E　職員数館長専任事務,E　職員数館長専任司書資格あり,E　職員数館長兼任事務,E　職員数館長兼任司書資格あり,E　職員数館長その他非常勤資格なし,E　職員数館長その他非常勤資格あり,E　職員数館長その他PFI・指定管理資格なし,E　職員数館長その他PFI・指定管理資格あり,E　職員数常勤職員（人）総数,E　職員数常勤職員（人）総数うち司書,E　職員数非常勤職員（人）総数,E　職員数非常勤職員（人）総数うち司書,E　職員数臨時職員（人）総数,E　職員数臨時職員（人）総数うち司書,F　運営形態・ボランティアの受入運営形態直営(委託なし）（館）,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳窓口業務導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳窓口業務一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳装備導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳装備一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳資料搬送（車）導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳資料搬送（車）一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳その他委託,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）内訳業務全部,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）内訳一部除外業務あり,F　運営形態・ボランティアの受入ボランティアの受入児童サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入配架・製本・補修（館）,F　運営形態・ボランティアの受入ボランティアの受入障害者サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入その他（館）,G　図書館の予算（千円）図書館費(a+b+c+d+e+f)（一般職員給料は除く） ,G　図書館の予算（千円）経常費資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ),G　図書館の予算（千円）経常費 a ア図書費（千円）,G　図書館の予算（千円）経常費 a ア図書費（千円）うち児童関係図書費（千円）,G　図書館の予算（千円）経常費 a イ雑誌・新聞費（千円）,G　図書館の予算（千円）経常費 a ウ視聴覚資料費（千円）,G　図書館の予算（千円）経常費 a エその他図書館資料費（千円）,G　図書館の予算（千円）経常費 a オ資料費区分せず(千円),G　図書館の予算（千円）経常費 ｂ 賃金・報酬（千円）,G　図書館の予算（千円）経常費 ｃ 講師・謝礼（千円）,G　図書館の予算（千円）経常費 ｄ 委託費（千円）,G　図書館の予算（千円）経常費 ｄ 委託費（千円）うち図書館関連委託費（千円）,G　図書館の予算（千円）経常費 ｅ その他の図書館費（千円）,G　図書館の予算（千円）臨時的経費 ｆ 臨時的経費（千円）,G　図書館の予算（千円）臨時的経費 ｆ 臨時的経費（千円）うち臨時資料費（千円）,H　備考備考
目黒区,"281,093",14.67,8,0,0,0,"2,165","1,188,196","241,310","22,255","17,645","278,124","1,028",268,0,0,"37,734",0,197,0,0,514,"1,279,035","110,137","8,844","55,550","36,930","3,146,014","2,157,542","949,434","121,222",931,"43,006","14,693","12,673","1,929",91,"1,153,966","1,140,322","7,946","5,613",531,"4,816",235,27,4,0,0,85,"194,449",8,552,0,3,1,0,0,6,2,0,0,0,0,0,0,38,14,3.3,1.6,0,0,0,8,7,1,1,0,1,0,8,0,0,0,7,0,8,0,"632,804","80,151","64,660","4,000","14,445",0,"1,046",0,0,"1,282","481,744","439,615","63,467","6,160","5,390","緊急事態宣言による臨時休館のため前年度より大幅に減っている項目があります。
臨時休館期間：令和2年4月8日から令和2年5月27日まで"
大田区,"733,793",60.83,16,0,0,0,"4,336","1,794,517","429,865","14,545","50,222","578,217","1,924",147,0,"5,570","93,819",0,509,"3,023",0,0,"1,545,059","151,039","25,297","91,467","85,887","4,202,566","3,973,477","1,529,517","256,052","1,457","107,020","12,456","11,710",599,147,"1,542,750","1,535,288",458,"6,993",958,"5,434",384,51,166,0,0,11,"121,556",0,"116,897",0,16,16,0,0,1,0,0,0,0,0,4,11,13,3,0,0,0,0,0,1,1,0,1,0,1,0,1,15,0,15,16,0,0,0,"1,843,585","228,912","196,122","41,699","18,583","10,996","3,211",0,0,"3,335","1,224,520","1,147,041","386,818",0,0,令和２年４月８日から令和２年５月26日まで、新型コロナウイルス感染症拡大防止対策のため臨時休館。
世田谷区,"920,471",58.05,16,7,0,0,"4,444","1,902,327","497,247","12,703","51,426","213,897","3,788",187,0,175,"55,791",0,0,"1,154",0,166,未取得,"268,934","39,460",不明,不明,"5,294,765",不明,"1,936,658","169,324",565,"65,292","6,678","6,140",493,45,"2,006,607","1,975,727","19,502","10,736",834,"9,255",430,78,124,15,0,642,"247,553",6,"50,656",1,16,2,1,0,11,4,0,0,0,0,0,1,158,56,157.4,64,0,0,0,15,2,0,1,15,16,0,0,1,0,1,13,0,1,0,"742,231","173,093","116,041",不明,"41,302","3,426","12,324",0,0,970,"339,769","276,661","140,526","87,873",不明,令和２年４月１１日から５月31日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
渋谷区,"230,291",15.11,10,0,0,0,"2,532","923,217","191,371","11,097","19,165","177,059","1,217",137,0,"3,806","20,650",0,0,"4,224",0,0,"911,675","72,249","7,314","72,249","43,574","1,704,040",不明,"584,381","41,744",409,"35,642","5,394","5,246",129,19,"778,539","772,342",0,"5,768",264,"5,250",182,61,7,0,4,429,"57,818",1,"25,082",0,1,1,1,1,0,1,0,0,0,0,0,0,14,3,3.5,2.9,0,0,0,10,10,0,10,0,10,0,0,0,0,0,1,0,3,0,"698,566","70,148","47,969","10,762","19,741",341,"2,097",0,"6,988","1,086","432,027","414,062","186,133","2,184",0,中央は令和２年４月８日から同年５月２４日まで、こもれび大和田は令和２年３月２８日から同年５月３１日まで、他は令和２年４月８日から同年５月３１日まで、新型コロナウイルス感染症防止対策のため臨時休館
中野区,"334,581",15.59,8,0,0,0,"2,294","986,731","197,403","14,374","36,560","312,511","1,099",287,"2,387",923,"22,161",0,"4,027",249,"1,629",0,"485,281","61,179","8,403",不明,不明,"1,876,089",不明,不明,"46,475",462,"17,965","8,817","8,011",744,62,"747,756","627,340","10,669","15,166",459,"14,171",487,不明,34,不明,15,"94,581","99,547",1,"53,728",1,8,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,3,0,"1,027,410","77,008","58,958","10,740","12,800","3,500","1,750",0,0,550,"670,082","669,832","2,904","276,866","172,724",令和２年４月８日から５月２５日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
杉並区,"573,375",34.06,13,4,0,0,"3,552","1,971,460","604,353","10,513","48,908","665,342","1,889",236,"1,245",451,"28,052",0,0,0,"1,592",8,"1,875,460","193,397","20,451",不明,不明,"3,642,608",不明,"773,313","58,609","1,133","169,576","10,717","10,059",641,17,"187,034","178,839",不明,"7,175",459,"6,351",331,22,12,0,0,"1,020","163,737",4,"27,282",0,13,13,0,0,2,1,1,0,0,0,0,9,49,25,44,21,2,0,0,4,1,0,0,0,4,0,0,9,0,9,13,0,13,0,"1,261,834","142,308","107,115","31,280","31,077",0,"4,116",0,0,"4,803","928,404","651,488","149,281","37,038",0,〇令和２年４月９日から５月２６日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
豊島区,"286,596",13.01,7,0,0,0,"1,840","772,896","195,398","3,529","16,008","132,329",918,93,0,0,"17,475",0,86,"4,369",0,0,"1,088,378","104,980","9,700",不明,不明,"1,692,112","1,267,913","577,382","66,706",976,"20,323","7,122","6,801",272,49,"556,555","552,253",不明,"4,302",254,"3,805",193,9,38,1,2,不明,"89,160",1,"33,944",0,1,1,1,0,2,1,0,0,0,0,1,3,16,5,54.6,51.6,15,5.1,0,3,0,1,7,0,7,0,0,4,4,0,1,0,1,0,"931,622","99,334","80,168",不明,"12,069","2,635","4,462",0,"244,275","5,562","427,710","373,993","154,741",0,0,新型コロナウイルス感染拡大防止のため、令和2年4月9日～5月27日まで完全休館
北区,"352,638",20.61,14,1,0,0,"3,495","1,378,105","293,091","15,288","54,968",不明,"1,953",214,0,265,"76,507",0,41,"5,128",106,178,"1,975,212","142,502","11,651",不明,不明,"3,158,455",不明,"798,782","205,529","15,618","91,287","9,670",不明,不明,18,"1,081,053",不明,不明,"3,893",不明,不明,不明,9,4,不明,"3,880",不明,"141,071",3,"165,047",0,6,1,0,0,1,0,0,0,2,0,0,0,37,15,27.1,8.8,0,0,0,14,14,0,14,0,14,0,1,0,0,0,14,0,4,0,"1,031,324","180,388","117,316","19,167","25,536","7,793","4,534","25,209","16,548","2,891","736,396",不明,"95,101",0,0,令和2年4月8日から6月1日まで、全館新型コロナウイルス感染症拡大防止対策のため臨時休館。
荒川区,"216,335",10.16,5,2,0,0,"1,183","944,894","187,919","14,399","39,039","195,553","1,154",92,0,"1,577","42,929",0,"1,174","3,709",935,0,"921,278","74,232","13,463","74,232","58,687","1,620,978","1,328,725","485,277","127,261",941,"26,311","4,851",不明,不明,不明,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,"27,010",1,"1,914",0,5,5,0,0,2,3,0,0,0,0,0,0,27,2,139,110,27.4,0,0,5,0,0,5,0,5,0,0,0,0,0,5,2,1,0,"1,028,850","95,863","69,374","17,545","17,546","8,055",888,0,"526,833","4,607","213,203","30,277","188,344",0,0,令和2年4月8日～5月29日まで全館で新型コロナウイルス感染拡大防止対策のため、臨時休館。
板橋区,"570,024",32.22,12,0,0,0,"3,156","1,590,212","360,221","36,012","37,327","356,666","1,802",230,0,692,"87,713",889,0,"1,417",0,0,"1,755,875","178,953","14,581",不明,不明,"2,463,188",不明,"299,931","157,845",425,"59,287","8,132","7,710",404,18,"874,354",不明,不明,"9,368",347,"8,428",554,13,22,3,1,不明,"109,125",6,"37,316",1,11,11,0,0,1,0,0,0,0,0,3,7,28,4,0,0,3,0,0,2,2,0,2,0,2,0,2,10,10,0,12,1,4,0,"1,269,334","107,127","94,903",不明,"3,837",900,"7,487",0,0,"3,112","1,000,675","1,000,675","158,420",0,0,令和2年4月8日～5月27日、全館で新型コロナウィルス感染拡大防止対策のため臨時休館
