区市町村名,学校名,学科名,募集人員／第１学年／区分１,募集人員／第１学年／区分２,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年
世田谷,千歳丘,普通科,,2,1,12,1,39,"8/2,3",8/4,8/4,○,○,
世田谷,深沢,普通科,,2,,6,,39,"8/8,9",8/10,8/10,○,○,
世田谷,松原,普通科,2,2,2,,2,,"8/2,3",8/4,8/4,○,○,
渋谷,青山,普通科,1,2,,2,,,"8/2,3",8/4,8/4,○,,
渋谷,広尾,普通科,1,2,,,1,5,"8/8,9",8/10,8/10,○,,
中野,鷺宮,普通科,2,2,2,7,2,11,"8/8,9",8/10,8/10,,,
中野,富士,普通科,,4,,14,,7,"8/2,3",8/4,8/4,○,,
中野,武蔵丘,普通科,1,2,,2,,7,"8/2,3",8/4,8/4,,,
杉並,杉並,普通科,1,2,1,4,1,10,"8/8,9",8/10,8/10,○,,
杉並,豊多摩,普通科,2,2,1,2,2,7,"8/2,3",8/4,8/4,○,,
杉並,西,普通科,2,2,,2,,,"8/8,9",8/10,8/10,,○,
豊島,豊島,普通科,2,2,,1,1,2,"8/2,3",8/4,8/4,○,○,
豊島,文京,普通科,2,2,2,3,,2,"8/8,9",8/10,8/10,,○,
荒川,竹台,普通科,1,2,1,15,1,42,"8/2,3",8/4,8/4,○,○,
板橋,板橋,普通科,1,2,,3,,15,"8/2,3",8/4,8/4,○,○,
板橋,大山,普通科,1,2,1,40,,35,"8/8,9",8/10,8/10,○,○,
板橋,北園,普通科,1,2,1,1,1,2,"8/8,9",8/10,8/10,○,○,
板橋,高島,普通科,2,2,2,7,2,2,"8/2,3",8/4,8/4,○,,
練馬,井草,普通科,1,2,,7,1,6,"8/2,3",8/4,8/4,○,,
練馬,大泉,普通科,,3,,3,,10,"8/8,9",8/10,8/10,,,
練馬,石神井,普通科,2,2,2,2,2,7,"8/8,9",8/10,8/10,○,,
練馬,田柄,普通科,,1,,10,,21,"8/8,9",8/10,8/10,○,○,
練馬,練馬,普通科,1,2,,8,1,24,"8/2,3",8/4,8/4,○,,
練馬,光丘,普通科,1,2,1,12,1,13,"8/8,9",8/10,8/10,○,○,
足立,青井,普通科,1,2,1,13,1,40,"8/2,3",8/4,8/4,○,,
足立,足立,普通科,2,2,2,5,2,12,"8/8,9",8/10,8/10,,,
足立,足立新田,普通科,,2,,,,8,"8/8,9",8/10,8/10,○,,
足立,足立西,普通科,2,2,1,11,2,5,"8/2,3",8/4,8/4,○,,
足立,足立東※,普通科,,2,,18,,34,"8/2,3",8/4,8/4,○,,
足立,江北,普通科,2,2,2,,1,1,"8/2,3",8/4,8/4,,,
足立,淵江,普通科,1,2,1,4,1,13,"8/8,9",8/10,8/10,○,,
葛飾,葛飾野,普通科,1,2,,4,1,11,"8/2,3",8/4,8/4,○,,
葛飾,南葛飾,普通科,1,2,1,11,,13,"8/8,9",8/10,8/10,○,,
江戸川,江戸川,普通科,1,2,1,2,1,9,"8/8,9",8/10,8/10,,,
江戸川,葛西南,普通科,,2,,11,,21,"8/8,9",8/10,8/10,,○,
江戸川,小岩,普通科,2,2,2,4,1,4,"8/2,3",8/4,8/4,,,
江戸川,小松川,普通科,1,2,1,6,1,6,"8/2,3",8/4,8/4,,,
江戸川,篠崎,普通科,,2,,7,,13,"8/2,3",8/4,8/4,○,,
江戸川,紅葉川,普通科,1,2,,1,1,6,"8/8,9",8/10,8/10,○,,
八王子,片倉,普通科,1,2,1,3,1,,"8/2,3",8/4,8/4,,,
八王子,八王子北,普通科,,2,,3,,2,"8/2,3",8/4,8/4,,○,
八王子,八王子東,普通科,2,2,2,1,1,2,"8/8,9",8/10,8/10,○,,
八王子,富士森,普通科,1,2,1,2,1,4,"8/8,9",8/10,8/10,○,,
八王子,松が谷,普通科,2,2,2,2,1,2,"8/2,3",8/4,8/4,○,○,
立川,立川,普通科,2,2,2,2,1,3,"8/2,3",8/4,8/4,,,
武蔵野,武蔵,普通科,,2,,3,,4,"8/2,3",8/4,8/4,○,,
武蔵野,武蔵野北,普通科,1,2,1,2,1,1,"8/8,9",8/10,8/10,○,,
青梅,多摩,普通科,,2,1,17,1,18,"8/8,9",8/10,8/10,○,,○
府中,府中,普通科,2,2,1,2,1,,"8/8,9",8/10,8/10,○,,
府中,府中西,普通科,1,2,1,,1,10,"8/2,3",8/4,8/4,○,,
府中,府中東,普通科,1,2,1,10,1,17,"8/2,3",8/4,8/4,○,,
昭島,昭和,普通科,1,2,2,2,2,4,"8/8,9",8/10,8/10,○,,
昭島,拝島,普通科,,2,1,4,1,6,"8/2,3",8/4,8/4,○,,
調布,神代,普通科,2,2,2,1,2,4,"8/2,3",8/4,8/4,○,,
調布,調布北,普通科,2,2,2,,2,1,"8/8,9",8/10,8/10,○,○,
調布,調布南,普通科,1,2,1,2,1,2,"8/2,3",8/4,8/4,,,
町田,小川,普通科,2,2,2,1,2,11,"8/8,9",8/10,8/10,○,,
町田,成瀬,普通科,1,2,1,2,1,2,"8/2,3",8/4,8/4,,,
町田,野津田,普通科,,1,,11,,11,"8/8,9",8/10,8/10,○,,
町田,町田,普通科,1,2,1,,,,"8/8,9",8/10,8/10,○,,
町田,山崎,普通科,1,2,1,7,1,15,"8/2,3",8/4,8/4,○,,
小金井,小金井北,普通科,1,2,,,1,4,"8/2,3",8/4,8/4,,○,
小平,小平,普通科,1,2,1,4,1,2,"8/8,9",8/10,8/10,,○,
小平,小平西,普通科,,2,,7,,20,"8/2,3",8/4,8/4,○,,
小平,小平南,普通科,1,2,1,2,1,7,"8/2,3",8/4,8/4,,,
日野,日野,普通科,1,2,1,4,,10,"8/8,9",8/10,8/10,○,,○
日野,日野台,普通科,1,2,1,1,1,2,"8/2,3",8/4,8/4,○,,
日野,南平,普通科,,2,1,2,,2,"8/8,9",8/10,8/10,,○,
東村山,東村山,普通科,2,2,1,3,2,8,"8/2,3",8/4,8/4,○,,
東村山,東村山西,普通科,1,2,1,3,1,7,"8/8,9",8/10,8/10,○,,
国立,国立,普通科,2,2,1,2,2,2,"8/8,9",8/10,8/10,○,○,
福生,福生,普通科,1,2,1,5,1,5,"8/8,9",8/10,8/10,,,
狛江,狛江,普通科,1,2,1,2,1,3,"8/8,9",8/10,8/10,,,
東大和,東大和,普通科,1,2,1,1,,8,"8/8,9",8/10,8/10,○,,
東大和,東大和南,普通科,2,2,2,2,2,2,"8/2,3",8/4,8/4,○,,
清瀬,清瀬,普通科,2,2,2,3,2,8,"8/8,9",8/10,8/10,,,
東久留米,久留米西,普通科,2,2,2,4,2,6,"8/2,3",8/4,8/4,○,,
武蔵村山,武蔵村山,普通科,1,2,1,3,1,1,"8/8,9",8/10,8/10,,,○
多摩,永山,普通科,,2,,9,,14,"8/2,3",8/4,8/4,○,○,○
羽村,羽村,普通科,1,2,1,25,1,54,"8/8,9",8/10,8/10,,,
あきる野,秋留台※,普通科,,2,,,,13,"8/8,9",8/10,8/10,○,,
西東京,田無,普通科,2,3,2,1,,8,"8/8,9",8/10,8/10,○,,
西東京,保谷,普通科,1,2,,1,1,6,"8/2,3",8/4,8/4,○,,
大島,大島,普通科,,45,,37,,51,"8/8,9",8/10,8/10,○,,
新島,新島,普通科,,23,,34,,22,"8/8,9",8/10,8/10,,,
神津,神津,普通科,,24,,31,,32,"8/2,3",8/4,8/4,,,
三宅,三宅,普通科,,36,,31,,31,"8/8,9",8/10,8/10,,,
八丈,八丈,普通科,,87,,86,,80,"8/2,3",8/4,8/4,,,
小笠原,小笠原,普通科,,13,,15,,17,"8/25,28",8/29,8/29,,,
普通科計,,,116,444,95,802,98,1297,,,,,,
注）募集区分／区分１：保護者の転勤等による都外からの一家転住者／区分２：一般,,,,,,,,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,,
注）普通科の選抜は、国語・数学・英語の学力検査及び面接により行う。／ただし、※印を付した都立高校の以下に示す学年の選抜は、次により行う。,,,,,,,,,,,,,,
都立足立東高校／第1・２・３学年／作文・面接,,,,,,,,,,,,,,
都立秋留台高校／第1・３学年／小論文・面接,,,,,,,,,,,,,,
