"市区町村コード","番号","都道府県名","市区町村名","住宅の所在地","住宅の方書","制限区域","管理業者名","届出年月日","URL","備考","最終確認日","経度","緯度","分類"
"131148","79","東京都","中野区","東京都中野区中央2-26-5","201","内","有限会社ケージェント管理サービス","2018/08/10 0:00:00","","","2021/02/02 0:00:00","139.681194515147","35.6997219630002","住宅宿泊事業届出住宅一覧"
"131148","80","東京都","中野区","東京都中野区中央2-26-5","203","内","有限会社ケージェント管理サービス","2018/08/10 0:00:00","","","2021/02/02 0:00:00","139.681194515147","35.6997219630002","住宅宿泊事業届出住宅一覧"
"131148","81","東京都","中野区","東京都中野区中央3-31-5","朝日マンション本館203","外","株式会社ZenHOMES","2020/01/28 0:00:00","","","2021/02/02 0:00:00","139.672970571443","35.6980589433449","住宅宿泊事業届出住宅一覧"
"131148","82","東京都","中野区","東京都中野区中央3-31-5","朝日マンション本館204","外","株式会社ZenHOMES","2019/08/30 0:00:00","","","2021/02/02 0:00:00","139.672970571443","35.6980589433449","住宅宿泊事業届出住宅一覧"
"131148","83","東京都","中野区","東京都中野区中央3-31-5","朝日マンション本館303","外","株式会社ZenHOMES","2019/08/30 0:00:00","","","2021/02/02 0:00:00","139.672970571443","35.6980589433449","住宅宿泊事業届出住宅一覧"
"131148","84","東京都","中野区","東京都中野区中央3-31-5","朝日マンション本館304","外","株式会社ZenHOMES","2019/09/12 0:00:00","","","2021/02/02 0:00:00","139.672970571443","35.6980589433449","住宅宿泊事業届出住宅一覧"
"131148","85","東京都","中野区","東京都中野区中央3-31-5","朝日マンション本館503","外","株式会社ZenHOMES","2019/08/30 0:00:00","","","2021/02/02 0:00:00","139.672970571443","35.6980589433449","住宅宿泊事業届出住宅一覧"
"131148","86","東京都","中野区","東京都中野区中央3-31-5","朝日マンション本館505","外","株式会社ZenHOMES","2019/11/07 0:00:00","","","2021/02/02 0:00:00","139.672970571443","35.6980589433449","住宅宿泊事業届出住宅一覧"
"131148","87","東京都","中野区","東京都中野区中央4-6-1","ネクスト・ステージ新中野201","外","縦横実業株式会社","2020/01/07 0:00:00","","","2021/02/02 0:00:00","139.668056598892","35.6979099341618","住宅宿泊事業届出住宅一覧"
"131148","88","東京都","中野区","東京都中野区中央4-6-1","ネクスト・ステージ新中野202","外","縦横実業株式会社","2020/01/07 0:00:00","","","2021/02/02 0:00:00","139.668056598892","35.6979099341618","住宅宿泊事業届出住宅一覧"
"131148","89","東京都","中野区","東京都中野区中央4-17-4","","内","","2019/05/28 0:00:00","","","2021/02/02 0:00:00","139.668316589623","35.698855937462","住宅宿泊事業届出住宅一覧"
"131148","90","東京都","中野区","東京都中野区中央4-20-11","101","内","株式会社マイハウジング","2018/10/23 0:00:00","","","2021/02/02 0:00:00","139.669735569974","35.7002829442656","住宅宿泊事業届出住宅一覧"
"131148","91","東京都","中野区","東京都中野区中央4-20-11","102","内","株式会社マイハウジング","2018/10/23 0:00:00","","","2021/02/02 0:00:00","139.669735569974","35.7002829442656","住宅宿泊事業届出住宅一覧"
"131148","92","東京都","中野区","東京都中野区中央4-37-21","和田ビル2F","外","","2018/09/28 0:00:00","","","2021/02/02 0:00:00","139.671261560153","35.7004699475395","住宅宿泊事業届出住宅一覧"
"131148","93","東京都","中野区","東京都中野区東中野1-2-4","","外","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.686214472321","35.7016449771558","住宅宿泊事業届出住宅一覧"
"131148","94","東京都","中野区","東京都中野区東中野1-35-17","","外","ラクナ株式会社","2018/09/04 0:00:00","","","2021/02/02 0:00:00","139.685299447613","35.7049099844675","住宅宿泊事業届出住宅一覧"
"131148","95","東京都","中野区","東京都中野区東中野1-52-5","100室五彩居マンション","内","","2018/06/15 0:00:00","","","2021/02/02 0:00:00","139.685024446274","35.7052149848481","住宅宿泊事業届出住宅一覧"
"131148","96","東京都","中野区","東京都中野区東中野4-15-2","1F,2F","外","ゆめゆめトラベル","2019/01/07 0:00:00","","","2021/02/02 0:00:00","139.684460412732","35.709197994868","住宅宿泊事業届出住宅一覧"
"131148","97","東京都","中野区","東京都中野区東中野4-15-2","3F","外","ゆめゆめトラベル","2019/01/07 0:00:00","","","2021/02/02 0:00:00","139.684460412732","35.709197994868","住宅宿泊事業届出住宅一覧"
"131148","98","東京都","中野区","東京都中野区東中野4-15-2","4F","外","ゆめゆめトラベル","2019/01/07 0:00:00","","","2021/02/02 0:00:00","139.684460412732","35.709197994868","住宅宿泊事業届出住宅一覧"
"131148","99","東京都","中野区","東京都中野区東中野4-21-13","","内","","2019/02/27 0:00:00","","","2021/02/02 0:00:00","139.686123398588","35.7097819989954","住宅宿泊事業届出住宅一覧"
"131148","100","東京都","中野区","東京都中野区東中野5-11-8","メゾン小滝台102","内","株式会社SQUEEZE","2018/07/11 0:00:00","","","2021/02/02 0:00:00","139.688488397833","35.7086559993987","住宅宿泊事業届出住宅一覧"
"131148","101","東京都","中野区","東京都中野区中野1-5-1","中野会館3F","外","","2019/10/23 0:00:00","","","2021/02/02 0:00:00","139.678615513015","35.7014389633817","住宅宿泊事業届出住宅一覧"
"131148","102","東京都","中野区","東京都中野区中野1-5-1","中野会館4F","外","","2019/12/02 0:00:00","","","2021/02/02 0:00:00","139.678615513015","35.7014389633817","住宅宿泊事業届出住宅一覧"
"131148","103","東京都","中野区","東京都中野区中野1-19-8","RAPIOnakano101","外","株式会社ホーヨー東京","2020/01/07 0:00:00","","","2021/02/02 0:00:00","139.676449494358","35.7047419693955","住宅宿泊事業届出住宅一覧"
