 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
30,非鉄金属,"20,486","190,584","7,102","66,930","7,102","66,923","10,959","98,624","10,947","98,538",175,830,"2,250","24,200"
31,金属製品,"109,425","1,007,499","19,201","172,328","19,201","172,312","85,996","797,426","85,770","783,521","3,102","26,435","1,126","11,310"
32,鉄道車両,515,"2,705",37,409,37,409,478,"2,296",478,"2,292",-,-,-,-
33,完成自動車,"1,013,566","8,297,757","5,181","48,994","5,181","48,792","2,043","14,875","1,930","14,054","535,389","4,638,326","470,953","3,595,562"
34,その他輸送用車両,"8,697","74,069",264,"1,788",264,"1,788","8,285","63,077","7,564","58,333",85,"8,044",63,"1,160"
35,二輪自動車,"6,145","53,664","1,866","15,941","1,866","15,941","4,236","37,378","4,236","37,378",22,264,21,81
36,自動車部品,"126,284","1,151,931","75,866","726,108","75,866","726,108","46,791","398,031","46,786","397,946","1,490","11,125","2,137","16,667"
37,その他輸送機械,"54,037","433,667","4,098","41,232","4,098","41,232","24,919","219,334","24,919","219,334","6,130","48,650","18,890","124,451"
38,産業機械,"231,113","2,051,871","117,826","1,022,145","115,235","1,012,472","98,783","917,880","98,686","917,459","11,806","93,388","2,698","18,458"
39,電気機械,"326,325","2,756,525","46,224","408,542","46,218","408,505","276,171","2,307,829","275,999","2,306,779","3,591","33,958",339,"6,196"
40,測量・光学・医療用機械,"48,027","395,539","18,170","150,105","17,936","149,636","28,112","226,655","28,112","225,974","1,508","13,270",237,"5,509"
41,事務用機器,"16,185","135,036","2,072","16,009","2,072","16,009","11,705","92,531","11,705","92,531","2,348","25,866",60,630
42,その他機械,"4,365","34,309",707,"5,023",707,"5,023","1,947","14,981","1,947","14,981",881,"8,111",830,"6,194"
化学工業品,,"939,026","7,781,272","193,295","1,480,981","193,293","1,480,962","241,179","2,306,165","241,166","2,280,324","34,364","280,978","470,188","3,713,148"
43,陶磁器,"9,166","88,429",457,"4,645",457,"4,645","8,709","83,784","8,709","83,784",-,-,-,-
44,セメント,"212,907","1,520,191",290,"1,158",290,"1,158","1,185","11,204","1,185","11,204","2,758","20,339","208,674","1,487,490"
45,ガラス類,"18,334","155,444","4,386","42,456","4,386","42,456","12,908","104,769","12,908","104,769","1,000","7,809",40,410
46,窯業品,"25,691","234,973","7,185","63,059","7,183","63,043","12,483","126,740","12,483","126,740","4,323","30,419","1,700","14,755"
47,重油,"29,535","263,832",-,-,-,-,-,-,-,-,"14,253","126,608","15,282","137,224"
48,揮発油,40,940,-,4,-,4,-,343,-,343,40,593,-,-
49,その他の石油,"230,839","1,956,938","1,720","15,428","1,720","15,428","1,383","12,308","1,383","12,308",770,"6,180","226,966","1,923,022"
50,LNG/液化天然ガス,-,91,-,-,-,-,-,86,-,86,-,5,-,-
51,LPG/液化石油ガス,389,"4,536",-,-,-,-,-,165,-,165,384,"4,356",5,15
52,その他石油製品,"12,252","106,951",549,"2,926",549,"2,926","1,235","28,276","1,235","10,986","1,608","11,963","8,860","63,786"
53,コークス,750,"25,320",-,-,-,-,750,"16,551",750,"8,055",-,"1,610",-,"7,159"
54,石炭製品,30,"3,085",15,"2,726",15,"2,726",15,359,15,359,-,-,-,-
55,化学薬品,"66,754","609,969","21,085","173,016","21,085","173,016","39,830","382,356","39,830","382,356","2,903","23,118","2,936","31,479"
56,化学肥料,"3,201","41,056",125,"2,348",125,"2,348","2,596","33,578","2,596","33,578",280,"2,680",200,"2,450"
57,その他化学工業品,"329,138","2,769,517","157,483","1,173,215","157,483","1,173,212","160,085","1,505,646","160,072","1,505,591","6,045","45,298","5,525","45,358"
軽工業品,,"558,052","4,711,581","55,462","417,155","55,448","416,984","350,187","3,078,914","350,183","3,078,819","49,298","401,258","103,105","814,254"
58,紙・パルプ,"142,815","1,193,336","15,696","141,560","15,696","141,560","54,855","480,405","54,855","480,404","5,517","42,436","66,747","528,935"
59,糸及び紡績半製品,"4,175","38,057",339,"3,449",339,"3,449","3,836","34,593","3,836","34,593",-,15,-,-
60,その他繊維工業品,"32,637","244,464","5,484","36,298","5,470","36,127","27,037","206,285","27,037","206,285",116,"1,733",-,148
61,砂糖,"10,137","89,438",79,384,79,384,"3,399","32,075","3,399","32,075","1,984","12,478","4,675","44,501"
62,製造食品,"242,885","2,036,084","27,441","190,571","27,441","190,571","190,157","1,654,791","190,153","1,654,776","15,932","123,447","9,355","67,275"
63,飲料,"75,671","654,996","5,813","40,709","5,813","40,709","37,713","368,711","37,713","368,632","23,037","178,683","9,108","66,893"
64,水,"17,612","172,675",498,"2,947",498,"2,947","13,987","139,257","13,987","139,257","1,442","18,216","1,685","12,255"
65,たばこ,"8,434","64,395",75,274,75,274,"7,579","55,911","7,579","55,911",460,"5,735",320,"2,475"
66,その他食料工業品,"23,686","218,136",37,963,37,963,"11,624","106,886","11,624","106,886",810,"18,515","11,215","91,772"
雑工業品,,"1,016,033","7,571,914","89,883","726,422","89,875","726,358","889,794","6,531,128","889,736","6,530,677","28,880","251,642","7,476","62,722"
67,がん具,"41,308","347,351","3,131","19,092","3,131","19,092","38,162","328,184","38,162","328,184",15,75,-,-
68,衣服・身廻品・はきもの,"436,141","3,007,557","12,244","102,133","12,244","102,133","423,330","2,892,245","423,330","2,892,241",527,"12,875",40,304
69,文房具・運動娯楽用品・楽器,"70,951","563,295","10,764","83,126","10,764","83,126","59,385","469,043","59,346","468,858",42,"1,821",760,"9,305"
70,家具装備品,"193,399","1,420,296","6,866","53,735","6,866","53,735","185,248","1,349,167","185,248","1,349,164",900,"14,439",385,"2,955"
71,その他日用品,"65,706","555,455","8,274","55,068","8,274","55,068","34,097","314,279","34,097","314,278","20,267","163,360","3,068","22,748"
72,ゴム製品,"68,460","504,510","33,431","248,740","33,431","248,740","33,875","244,791","33,875","244,791",571,"5,139",583,"5,840"
73,木製品,"86,522","739,945",629,"6,723",629,"6,723","84,345","718,079","84,345","717,875","1,528","14,068",20,"1,075"
74,その他製造工業品,"53,546","433,505","14,544","157,805","14,536","157,741","31,352","215,340","31,333","215,286","5,030","39,865","2,620","20,495"
特殊品,,"930,309","8,110,300","211,279","2,022,236","195,200","1,646,976","153,953","1,463,128","149,245","1,438,508","376,978","3,207,645","188,099","1,417,291"
75,金属くず,"30,422","500,122","23,716","433,438","8,052","61,074","4,274","40,583","4,274","38,727","1,390","13,639","1,042","12,462"
76,再利用資材,"186,646","1,633,824","161,832","1,369,125","161,832","1,369,125","1,956","33,998","1,956","33,998","19,527","201,708","3,331","28,993"
77,動植物性製造飼肥料,"75,644","782,054","2,184","17,486","2,184","17,486","70,040","724,641","70,040","724,641","2,965","36,107",455,"3,820"
78,廃棄物,"1,567","12,393",-,-,-,-,-,-,-,-,305,"2,610","1,262","9,783"
79,廃土砂,"122,159","1,175,877",-,-,-,-,-,-,-,-,"122,145","1,175,580",14,297
80,輸送用容器,"116,743","966,360","15,377","121,871","14,962","118,975","72,778","615,395","68,070","592,631","5,972","50,522","22,616","178,572"
81,取合せ品,"397,128","3,039,670","8,170","80,316","8,170","80,316","4,905","48,511","4,905","48,511","224,674","1,727,479","159,379","1,183,364"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
