 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,016",100,"11,868","4,349",283,100,"1,838","4,349",733,-,"10,030",-
,95.0%,9.9%,94.1%,90.0%,165.5%,10.3%,101.6%,92.6%,81.5%,-,92.8%,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"109,878","23,681","895,991","196,684","31,933","23,544","254,743","195,305","77,945",137,"641,248","1,379"
,96.4%,98.0%,95.5%,101.7%,105.4%,98.1%,99.8%,101.8%,93.2%,85.6%,93.9%,92.6%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"7,654","4,159","71,640","39,403","1,973","4,116","17,730","38,743","5,681",43,"53,910",660
,79.1%,105.3%,83.2%,101.6%,72.4%,106.5%,72.0%,101.3%,81.7%,51.2%,87.7%,120.0%
中国(香港含む),"69,476","50,609","543,327","377,495","10,103","50,571","88,877","376,955","59,373",38,"454,450",540
,90.0%,100.2%,93.7%,97.3%,85.3%,100.3%,90.7%,97.5%,90.8%,35.5%,94.3%,54.6%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"20,402","12,890","173,734","111,793","10,061","11,128","91,986","97,562","10,341","1,762","81,748","14,231"
,93.3%,100.6%,94.7%,80.6%,93.7%,97.2%,106.7%,79.1%,92.9%,129.8%,84.0%,92.7%
内航定期計,"17,963","3,008","143,647","21,528","8,597","1,491","69,464","9,211","9,366","1,517","74,183","12,317"
,101.9%,97.9%,95.9%,61.0%,106.8%,83.3%,100.4%,45.7%,97.8%,118.3%,92.1%,81.4%
北海道,"6,694",304,"53,454","1,919","3,139",304,"25,434","1,781","3,555",-,"28,020",138
,99.0%,73.1%,103.4%,79.0%,94.6%,85.9%,96.5%,78.9%,103.2%,-,110.6%,79.3%
東北,"4,476","1,091","31,224","6,480","1,919",778,"14,581","5,541","2,557",313,"16,643",939
,156.0%,115.3%,120.4%,94.9%,127.7%,83.7%,117.9%,87.3%,187.2%,1956.3%,122.8%,195.6%
関東,69,106,275,156,69,106,275,156,-,-,-,-
,-,-,625.0%,111.4%,-,-,-,111.4%,-,-,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,655,154,"10,005","1,159",8,154,"1,420",918,647,-,"8,585",241
,31.8%,26.6%,53.4%,14.0%,4.4%,30.5%,45.7%,11.3%,34.5%,-,55.0%,158.6%
近畿,"1,258",158,"5,275",458,429,138,"1,622",432,829,20,"3,653",26
,139.5%,658.3%,61.6%,13.7%,510.7%,-,247.6%,13.6%,101.3%,83.3%,46.2%,17.2%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,205",71,"20,283",942,"1,061",11,"8,582",351,"1,144",60,"11,701",591
,91.9%,169.0%,95.9%,220.6%,116.2%,1100.0%,101.9%,444.3%,77.0%,146.3%,91.9%,169.8%
沖縄,"2,606","1,124","23,131","10,414","1,972",-,"17,550",32,634,"1,124","5,581","10,382"
,99.1%,105.5%,99.3%,75.1%,96.4%,-,97.2%,82.1%,108.4%,105.5%,106.4%,75.1%
内航不定期,"2,439","9,882","30,087","90,265","1,464","9,637","22,522","88,351",975,245,"7,565","1,914"
,57.4%,101.5%,89.0%,87.2%,54.4%,99.8%,132.1%,85.6%,62.5%,326.7%,45.1%,839.5%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
