番号,区分1,区分2,魚種,検体数,検出検体数,検出値最大（ppm）,検出値最小（ppm）,検出値平均（ppm）,出荷地
2,3群,内湾で漁獲される魚介類,アオダイ,1,0,ＮＤ,ＮＤ,-,鹿児島
3,3群,内湾で漁獲される魚介類,アオハタ,2,0,ＮＤ,ＮＤ,-,長崎
4,3群,内湾で漁獲される魚介類,アオリイカ,1,0,ＮＤ,ＮＤ,-,熊本
5,3群,内湾で漁獲される魚介類,アカガイ,1,0,ＮＤ,ＮＤ,-,中国
6,3群,内湾で漁獲される魚介類,アカカマス,3,0,ＮＤ,ＮＤ,-,千葉、愛媛
7,3群,内湾で漁獲される魚介類,アカガレイ,1,0,ＮＤ,ＮＤ,-,北海道
8,3群,内湾で漁獲される魚介類,アカシタビラメ,1,0,ＮＤ,ＮＤ,-,大阪
9,3群,内湾で漁獲される魚介類,アカムツ,1,0,ＮＤ,ＮＤ,-,鹿児島
10,3群,内湾で漁獲される魚介類,アサリ,3,0,ＮＤ,ＮＤ,-,静岡、熊本
11,3群,内湾で漁獲される魚介類,イサキ,3,0,ＮＤ,ＮＤ,-,宮崎、長崎
12,3群,内湾で漁獲される魚介類,イシガキダイ,1,0,ＮＤ,ＮＤ,-,宮崎
13,3群,内湾で漁獲される魚介類,イシガレイ,1,0,ＮＤ,ＮＤ,-,宮城
14,3群,内湾で漁獲される魚介類,イトヨリダイ,1,0,ＮＤ,ＮＤ,-,長崎
15,3群,内湾で漁獲される魚介類,イボダイ,1,0,ＮＤ,ＮＤ,-,兵庫
16,3群,内湾で漁獲される魚介類,イワガキ,1,0,ＮＤ,ＮＤ,-,京都
17,3群,内湾で漁獲される魚介類,ウチムラサキ,1,0,ＮＤ,ＮＤ,-,愛知
18,3群,内湾で漁獲される魚介類,ウチワエビ,1,0,ＮＤ,ＮＤ,-,長崎
19,3群,内湾で漁獲される魚介類,ウバガイ,2,0,ＮＤ,ＮＤ,-,北海道
20,3群,内湾で漁獲される魚介類,エゾボラ,1,0,ＮＤ,ＮＤ,-,北海道
21,3群,内湾で漁獲される魚介類,カサゴ,1,0,ＮＤ,ＮＤ,-,宮崎
22,3群,内湾で漁獲される魚介類,キジハタ,1,0,ＮＤ,ＮＤ,-,長崎
23,3群,内湾で漁獲される魚介類,キス,2,0,ＮＤ,ＮＤ,-,千葉、愛知
24,3群,内湾で漁獲される魚介類,クロソイ,1,0,ＮＤ,ＮＤ,-,北海道
25,3群,内湾で漁獲される魚介類,クロダイ,2,0,ＮＤ,ＮＤ,-,千葉、鹿児島
26,3群,内湾で漁獲される魚介類,クロムツ,1,0,ＮＤ,ＮＤ,-,鹿児島
27,3群,内湾で漁獲される魚介類,クロメバル,1,0,ＮＤ,ＮＤ,-,石川
28,3群,内湾で漁獲される魚介類,ケンサキイカ,1,0,ＮＤ,ＮＤ,-,長崎
29,3群,内湾で漁獲される魚介類,コチ,1,0,ＮＤ,ＮＤ,-,石川
30,3群,内湾で漁獲される魚介類,コノシロ,2,0,ＮＤ,ＮＤ,-,千葉、佐賀
