地域,鉄管番号,観測井名,鉄管の深さ（ｍ）,地表面から鉄管底までの間の地層の変動量平成２６年（Ａ）（ｃｍ／年）,地表面から鉄管底までの間の地層の変動量平成２７年（Ｂ）（ｃｍ／年）,地表面から鉄管底までの間の地層の変動量平成２８年（Ｃ）（ｃｍ／年）,鉄管底から下の地層の変動量（鉄管の変動量）平成２６年（Ｄ）（ｃｍ／年）,鉄管底から下の地層の変動量（鉄管の変動量）平成２７年（Ｅ）（ｃｍ／年）,鉄管底から下の地層の変動量（鉄管の変動量）平成２８年（Ｆ）（ｃｍ／年）,全変動量（ほぼ地表面の変動量）平成２６年Ａ＋Ｄ（ｃｍ／年）,全変動量（ほぼ地表面の変動量）平成２７年Ｂ＋Ｅ（ｃｍ／年）,全変動量（ほぼ地表面の変動量）平成２８年Ｃ＋Ｆ（ｃｍ／年）
足立区,研　104,小台　第２,170,0.00*,0.02*,-0.01*,0.02,0.17,0.04,0.02,0.19,0.03
足立区,研　105,小台　第３,300,0.07,0.11,0.06,-0.06,0.15,-0.04,0.01,0.26,0.02
足立区,研　62,舎人　第１,27,-0.06,-0.06,-0.05,0.19,-0.01,-0.67,0.13,-0.07,-0.72
足立区,研　63,舎人　第２,200,0.06*,-0.08*,-0.06*,0.06,-0.01,-0.67,0.12,-0.09,-0.73
足立区,研　64,舎人　第３,340,0.06*,-0.07*,-0.06*,0.06,-0.02,-0.67,0.12,-0.09,-0.73
葛飾区,研　41,高砂　,124,0.00,-0.02,0.02,0.26,-0.04,-0.34,0.26,-0.06,-0.32
板橋区,研　24,戸田橋　第１,290,-0.21,-0.5,-0.06,-0.29,0.04,-0.35,-0.50,-0.46,-0.41
板橋区,研　25,戸田橋　第２,113,-0.10*,-0.10*,-0.14*,-0.23,0.15,-0.25,-0.33,0.05,-0.39
板橋区,研　26,戸田橋　第３,60,-0.12*,-0.19*,-0.10*,-0.21,0.24,-0.29,-0.33,0.05,-0.39
板橋区,研　36,板橋　,270,0.01,0.00,0.00,-0.06,-0.33,0.29,-0.05,-0.33,0.29
板橋区,研　56,上赤塚　第１,150,0.00*,0.00*,-0.01*,-0.05,0.01,0.18,-0.05,0.01,0.17
板橋区,研　57,上赤塚　第２,250,0.09*,0.04*,0.01*,-0.14,-0.03,0.16,-0.05,0.01,0.17
板橋区,研　58,上赤塚　第３,400,0.22,0.02,0.04,-0.19,-0.06,0.15,0.03,-0.04,0.19
練馬区,研　34,練馬　第１,100,0.02*,-0.01*,-0.01*,-0.02,0.17,0.26,0.00,0.16,0.25
練馬区,研　35,練馬　第２,200,0.00,-0.01,-0.01,0.01,0.15,0.28,0.01,0.14,0.27
新宿区,研　33,新宿　,130,0.01,0.01,0.00,0.30,-0.02,0.21,0.31,-0.01,0.21
杉並区,研　110,杉並　,180,-0.07,-0.04,-0.07,0.03,0.06,0.26,-0.04,0.02,0.19
世田谷区,研　111,世田谷　,130,-0.06,-0.04,-0.56,0.02,0.10,0.00,-0.04,0.06,-0.56
目黒区,研　112,目黒　,156,0.04,0.02,0.02,0.92,0.11,0.26,0.96,0.13,0.28
千代田区,研　113,千代田　第１,33,-0.25*,-0.06*,0.00*,-0.21,-0.10,0.21,-0.46,-0.16,0.21
千代田区,研　114,千代田　第２,113,-0.07,-0.03,0.00,-0.21,-0.10,0.21,-0.28,-0.13,0.21
