路線（路線番号）,路線（路線名称）,観測地点（地点名称）,観測地点（地点番号）,時間７～８,時間８～９,時間９～１０,時間１０～１１,時間１１～１２,時間１２～１３,時間１３～１４,時間１４～１５,時間１５～１６,時間１６～１７,時間１７～１８,時間１８～１９,昼間１２時間計,時間１９～２０,時間２０～２１,時間２１～２２,時間２２～２３,時間２３～０,時間０～１,時間１～２,時間２～３,時間３～４,時間４～５,時間５～６,時間６～７,夜間１２時間計,２４時間合計,調査機関,路線（路線番号）,路線（路線名称）,地点番号,
468,一般国道４６８号（圏央道）（大型車）,あきる野ＩＣ～日の出ＩＣ,10420,174,213,141,122,104,84,99,139,161,151,202,204,1794,148,155,143,216,246,174,133,126,128,154,150,153,1926,3720,東日本高速,468,一般国道４６８号（圏央道）（大型車）,10420,
468,一般国道４６８号（圏央道）（小型車）,あきる野ＩＣ～日の出ＩＣ,10420,1487,1521,1696,1753,1620,1535,1618,1966,2129,2287,2138,1869,21619,1773,1694,1580,1401,706,390,249,190,181,315,687,1299,10465,32084,東日本高速,468,一般国道４６８号（圏央道）（小型車）,10420,
468,一般国道４６８号（圏央道）（計）,あきる野ＩＣ～日の出ＩＣ,10420,1661,1734,1837,1875,1724,1619,1717,2105,2290,2438,2340,2073,23413,1921,1849,1723,1617,952,564,382,316,309,469,837,1452,12391,35804,東日本高速,468,一般国道４６８号（圏央道）（計）,10420,
468,一般国道４６８号（圏央道）（大型車）,日の出ＩＣ～青梅ＩＣ,10430,187,206,150,128,114,88,106,129,180,155,211,200,1854,154,147,153,215,235,185,129,128,129,146,140,164,1925,3779,東日本高速,468,一般国道４６８号（圏央道）（大型車）,10430,
468,一般国道４６８号（圏央道）（小型車）,日の出ＩＣ～青梅ＩＣ,10430,1546,1591,1788,1873,1688,1619,1786,2088,2265,2434,2341,2027,23046,1835,1801,1685,1414,717,406,251,191,185,316,678,1284,10763,33809,東日本高速,468,一般国道４６８号（圏央道）（小型車）,10430,
468,一般国道４６８号（圏央道）（計）,日の出ＩＣ～青梅ＩＣ,10430,1733,1797,1938,2001,1802,1707,1892,2217,2445,2589,2552,2227,24900,1989,1948,1838,1629,952,591,380,319,314,462,818,1448,12688,37588,東日本高速,468,一般国道４６８号（圏央道）（計）,10430,
468,一般国道４６８号（圏央道）（大型車）,青梅ＩＣ～入間ＩＣ,10440,212,218,159,128,122,102,126,147,195,187,217,202,2015,173,159,173,204,229,197,123,128,128,151,152,154,1971,3986,東日本高速,468,一般国道４６８号（圏央道）（大型車）,10440,
468,一般国道４６８号（圏央道）（小型車）,青梅ＩＣ～入間ＩＣ,10440,1713,1759,1919,2040,1788,1736,1928,2263,2451,2586,2589,2206,24978,1990,1905,1783,1542,783,425,264,196,201,336,742,1371,11538,36516,東日本高速,468,一般国道４６８号（圏央道）（小型車）,10440,
468,一般国道４６８号（圏央道）（計）,青梅ＩＣ～入間ＩＣ,10440,1925,1977,2078,2168,1910,1838,2054,2410,2646,2773,2806,2408,26993,2163,2064,1956,1746,1012,622,387,324,329,487,894,1525,13509,40502,東日本高速,468,一般国道４６８号（圏央道）（計）,10440,
28,主要地方道青梅飯能線（大型車）,青梅市根ヶ布１－１８８,41320,14,15,9,12,12,10,9,10,10,13,7,10,131,10,6,3,1,0,1,2,0,1,2,2,5,33,164,建設局,28,主要地方道青梅飯能線（大型車）,41320,
28,主要地方道青梅飯能線（小型車）,青梅市根ヶ布１－１８８,41320,194,285,343,298,329,310,317,345,381,406,394,260,3862,214,172,136,138,63,81,53,50,23,30,50,130,1140,5002,建設局,28,主要地方道青梅飯能線（小型車）,41320,
28,主要地方道青梅飯能線（計）,青梅市根ヶ布１－１８８,41320,208,300,352,310,341,320,326,355,391,419,401,270,3993,224,178,139,139,63,82,55,50,24,32,52,135,1173,5166,建設局,28,主要地方道青梅飯能線（計）,41320,
