"水系,河川名,告示年月日,告示番号,区間,区域,備考"
"荒川,隅田川,2006-10-18,第1441号,足立区新田三丁目19番2地内、同所同番33地内、同所25番1地内、同所同番18地内,廃止,H18.10.18関東地方整備局告示第418号で高規格堤防特別区域指定のため"
"荒川,隅田川,2007-12-12,第1597号,足立区宮城二丁目24番2地内、24番180地内、24番20地内、24番27地内、24番30地内,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2007-12-12,第1598号,北区堀船四丁目2番1地内、2番5地内、2番8地内、2番9地内,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2009-10-05,第1363号,中央区佃三丁目205番地内、206番2地内、206番3地内、207番地内,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2013-07-04,第984号,足立区千住関屋町20番4地内,,S45.7.2都告示第700号の追加指定"
"利根川,綾瀬川,2013-08-26,第1219号,葛飾区小菅一丁目19番15地内,,S17.8.27都告示第935号の追加指定"
"荒川,隅田川,2013-10-16,第1468号,荒川区南千住三丁目189番1地内、同所同番6、南千住八丁目1246番13地内,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2014-02-28,第220号,足立区千住桜木二丁目48番4,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2014-02-28,第221号,中央区勝どき三丁目103番1、同所104番1,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2014-02-28,第222号,足立区新田一丁目5番2,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2015-03-06,第360号,足立区新田三丁目25番11地内、25番22、26番1地内、26番6地内、26番14地内、26番15地内、26番17、26番18地内、26番18地先,廃止,H27.3.6関東地方整備局告示第93号で高規格堤防特別区域指定のため"
"荒川,隅田川,2015-03-06,第361号,中央区月島一丁目1505番1地内から同区月島三丁目101番地先まで,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2015-11-27,第1701号,足立区宮城二丁目1番4地内、42番2地内、42番3地内、43番地内、北区豊島五丁目1951番2地内,廃止,H27.11.27建設省告示第389号で高規格堤防特別区域指定のため"
"荒川,隅田川,2015-12-03,第1736号,荒川区西尾久三丁目1298番1、1298番2地内、1298番3地内、1300番地内、1300番2地内、1301番1、1301番2地内、1302番地内、1302番1地内、1302番2地内、1302番3地内、1302番4地内、1302番5地内、1304番地内、1306番2地内、1306番4地内、1306番6地内、1306番7地内、1311番3地内、1314番2地内、1315番2地内、1319番2地内,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2016-04-11,第819号,足立区千住橋戸町1番20地内,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2017-05-11,第858号,足立区千住桜木一丁目33番1地内、35番8地内、35番52地内、35番53地内,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2018-04-16,第641号,台東区今戸二丁目24番8地内、24番34地内、台東区橋場一丁目302番1、302番2地内、302番3地内、302番17地内、302番22地内,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2019-03-19,第411号,中央区湊二丁目102番地内、108番地内、109番3地内,,S45.7.2都告示第700号の追加指定"
"荒川,隅田川,2019-03-19,第412号,足立区小台二丁目792番2地内、792番７地内、792番9地内,,S45.7.2都告示第700号の追加指定"
