地域階層,地域コード,地域,従業者規模階層,従業者規模コード,従業者規模,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),送出者（人）,常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
0,13000,東京都,1,10,1000人以上,18,38128,31267,1506,39634,32641,-,26221226,146415354,265426550,243402095,1515321,-,-,20509134,111071198,112692943,29676898,5568808,554388,4895128
1,13100,区部,0,00,総数,7425,134800,92109,1248,135786,92956,262,60300715,155778070,292111298,241098611,30688005,1865551,87589,18371542,123493929,127558157,69414940,9565227,958966,4742409
1,13100,区部,1,01,4～9人,3890,23466,15320,53,23261,15164,258,8261014,13908174,30014853,22244811,6367237,120224,6932,1275649,14916055,14916055,…,…,…,…
1,13100,区部,1,02,10～19人,1949,26090,17736,121,26207,17833,4,10385969,28823670,52175234,42527349,7308100,217180,7496,2115109,21675555,21675555,…,…,…,…
1,13100,区部,1,03,20～29人,768,18587,12774,64,18651,12829,-,8048877,20487040,38280724,31904537,4283571,288870,35160,1768586,16534642,16534642,…,…,…,…
1,13100,区部,1,04,30～49人,403,15529,11055,50,15579,11102,-,7235651,18987613,35090167,29378653,3106455,113686,2398,2488975,14432231,15098028,13528147,1510170,285241,729037
1,13100,区部,1,05,50～99人,284,19105,13665,89,19194,13743,-,9020660,27411935,48687093,39741209,4123206,254605,19588,4548485,18993318,19922447,21822341,1884358,391367,1258262
1,13100,区部,1,06,100～199人,94,12590,8796,279,12869,9027,-,6202698,19569781,34898730,28216426,3079045,799150,12528,2791581,13591458,14360624,x,x,x,x
1,13100,区部,1,07,200～299人,15,3603,2455,20,3623,2474,-,x,x,x,x,x,x,-,x,x,x,x,x,x,x
1,13100,区部,1,08,300～499人,12,4562,3155,64,4626,3215,-,2373371,9697771,16890974,15444714,x,x,x,610207,6186309,6789647,10974300,606285,114630,570111
1,13100,区部,1,09,500～999人,5,3589,2144,136,3725,2253,-,2121812,4970506,8362429,7345337,x,-,x,1013605,3081827,3490062,1257983,4070847,21857,530493
1,13100,区部,1,10,1000人以上,5,7679,5009,372,8051,5316,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13101,千代田区,0,00,総数,84,2040,1457,1,2041,1458,-,989832,2222029,4280350,3529805,717640,3797,282,28826,1858168,1909605,761305,38777,6444,54651
2,13101,千代田区,1,01,4～9人,41,252,166,-,252,166,-,107358,163299,346744,287587,54966,-,-,4191,169854,169854,…,…,…,…
2,13101,千代田区,1,02,10～19人,15,196,146,-,196,146,-,96201,312809,502708,444407,35450,-,-,22851,175952,175952,…,…,…,…
2,13101,千代田区,1,03,20～29人,9,216,152,-,216,152,-,94384,111843,313076,276002,31808,3797,201,1268,187346,187346,…,…,…,…
2,13101,千代田区,1,04,30～49人,10,392,288,-,392,288,-,193139,211232,596035,414707,181050,-,81,197,338387,357164,271290,9883,1668,20335
2,13101,千代田区,1,05,50～99人,4,282,201,1,283,202,-,128152,295010,513754,513435,-,-,-,319,193033,203467,233646,12467,2131,11620
2,13101,千代田区,1,06,100～199人,5,702,504,-,702,504,-,370598,1127836,2008033,1593667,414366,-,-,-,793596,815822,256369,16427,2645,22696
2,13102,中央区,0,00,総数,108,1839,1288,40,1878,1324,1,852355,1588310,3195709,2849538,298950,468,-,46753,1421125,1493698,765889,54995,49904,77990
2,13102,中央区,1,01,4～9人,53,287,178,-,286,177,1,99115,169072,365555,279806,68775,468,-,16506,182513,182513,…,…,…,…
2,13102,中央区,1,02,10～19人,32,403,274,-,403,274,-,169359,287926,597638,508369,65362,-,-,23907,286963,286963,…,…,…,…
2,13102,中央区,1,03,20～29人,10,251,170,-,251,170,-,124661,258609,476780,426069,48250,-,-,2461,202646,202646,…,…,…,…
2,13102,中央区,1,04,30～49人,6,227,132,1,228,133,-,94855,127573,297851,228388,69418,-,-,45,162644,157689,109939,374,872,2358
2,13102,中央区,1,05,50～99人,5,343,256,-,343,256,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13102,中央区,1,06,100～199人,2,328,278,39,367,314,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13103,港区,0,00,総数,72,1162,826,16,1178,841,-,597079,1656966,3037532,2876211,75931,1446,10,83934,1265441,1280949,323009,26433,491,14639
2,13103,港区,1,01,4～9人,38,229,147,8,237,154,-,99079,130667,338698,284909,36045,-,10,17734,192982,192982,…,…,…,…
2,13103,港区,1,02,10～19人,15,207,150,4,211,154,-,101224,500871,775824,739774,30287,-,-,5763,254735,254735,…,…,…,…
2,13103,港区,1,03,20～29人,11,269,202,4,273,206,-,165148,736753,1252511,1183340,9599,1446,-,58126,477552,477552,…,…,…,…
2,13103,港区,1,04,30～49人,4,159,130,-,159,130,-,80724,112572,276438,274315,-,-,-,2123,144866,152808,125164,12341,91,7037
2,13103,港区,1,05,50～99人,4,298,197,-,298,197,-,150904,176103,394061,393873,-,-,-,188,195306,202872,197845,14092,400,7602
2,13104,新宿区,0,00,総数,233,5428,4048,86,5511,4121,3,2593193,5478867,10489978,9000186,1324671,6918,1259,156944,4533281,4651116,1597873,96782,65891,112792
2,13104,新宿区,1,01,4～9人,118,727,506,-,724,504,3,246617,349588,790258,492886,274305,580,211,22276,408028,408028,…,…,…,…
2,13104,新宿区,1,02,10～19人,54,759,573,78,837,641,-,310041,2395602,3342980,3074587,267655,-,147,591,877201,877201,…,…,…,…
2,13104,新宿区,1,03,20～29人,24,592,436,3,595,438,-,296162,473261,1008129,750105,204073,6338,364,47249,495876,495876,…,…,…,…
2,13104,新宿区,1,04,30～49人,18,673,507,1,674,508,-,336051,624750,1299261,1210214,81045,-,445,7557,595764,627765,334633,44220,876,27658
2,13104,新宿区,1,05,50～99人,15,1033,718,4,1037,722,-,434080,951930,1900963,1670520,151172,-,-,79271,828899,881769,1171243,36285,62292,54606
2,13104,新宿区,1,06,100～199人,3,428,308,-,428,308,-,x,x,x,x,x,-,x,-,x,x,x,x,x,x
2,13104,新宿区,1,10,1000人以上,1,1216,1000,-,1216,1000,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
2,13105,文京区,0,00,総数,203,4827,3391,379,5202,3698,4,2310777,4484703,8744431,7348282,730168,5078,72,660831,3834331,3962290,1565207,148496,12133,108941
2,13105,文京区,1,01,4～9人,116,711,484,-,707,480,4,249899,400076,876105,544528,279941,1946,15,49675,443798,443798,…,…,…,…
2,13105,文京区,1,02,10～19人,40,537,388,-,537,388,-,201628,382609,854994,667539,154752,278,57,32368,437565,437565,…,…,…,…
2,13105,文京区,1,03,20～29人,19,470,367,2,472,367,-,204105,319339,760215,627079,102910,497,-,29729,411706,411706,…,…,…,…
2,13105,文京区,1,04,30～49人,12,455,325,-,455,325,-,227385,388477,867502,604813,112344,2357,-,147988,419617,444684,365848,28270,5266,24493
2,13105,文京区,1,05,50～99人,11,726,486,5,731,490,-,328945,754245,1642874,1292999,80221,-,-,269654,800759,823328,696168,9609,327,23845
2,13105,文京区,1,06,100～199人,2,234,152,-,234,152,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13105,文京区,1,07,200～299人,2,524,336,-,524,336,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13105,文京区,1,10,1000人以上,1,1170,853,372,1542,1160,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13106,台東区,0,00,総数,334,3498,2219,8,3495,2213,11,1302517,3300997,5946115,4929118,667856,27665,116,321360,2406902,2451428,434708,24960,39,19261
2,13106,台東区,1,01,4～9人,223,1304,847,1,1294,837,11,443414,972482,1848647,1447213,354839,2808,39,43748,811287,811287,…,…,…,…
2,13106,台東区,1,02,10～19人,77,1016,650,-,1016,650,-,404042,1176652,1957327,1746031,162885,1927,77,46407,723974,723974,…,…,…,…
2,13106,台東区,1,03,20～29人,18,420,281,1,421,282,-,171624,556444,949528,770110,144132,259,-,35027,364101,364101,…,…,…,…
2,13106,台東区,1,04,30～49人,10,386,196,5,391,199,-,154655,305350,585953,436170,6000,22671,-,121112,228894,259590,124345,845,9,5958
2,13106,台東区,1,05,50～99人,6,372,245,1,373,245,-,128782,290069,604660,529594,-,-,-,75066,278646,292476,310363,24115,30,13303
2,13107,墨田区,0,00,総数,666,12108,7943,39,12108,7948,39,5873066,13481211,29504853,26567920,1646836,27088,26193,1236816,14680259,14945641,3479673,600497,149154,326127
2,13107,墨田区,1,01,4～9人,390,2367,1567,6,2334,1545,39,799660,1460369,3024150,2392147,546136,8717,326,76824,1448902,1448902,…,…,…,…
2,13107,墨田区,1,02,10～19人,172,2299,1561,3,2302,1563,-,853405,1941291,3704108,2930225,648467,6073,2324,117019,1636309,1636309,…,…,…,…
2,13107,墨田区,1,03,20～29人,54,1276,802,12,1288,812,-,536691,1591620,2652195,2312572,219474,5586,23302,91261,983027,983027,…,…,…,…
2,13107,墨田区,1,04,30～49人,23,901,546,4,905,550,-,358541,606707,1449284,1308183,82194,6712,-,52195,727975,791213,925177,145842,23390,70716
2,13107,墨田区,1,05,50～99人,16,1052,718,1,1053,719,-,508046,1035797,1972343,1722321,140030,-,241,109751,842995,874357,699590,111877,112881,47231
2,13107,墨田区,1,06,100～199人,9,1171,825,13,1184,835,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13107,墨田区,1,08,300～499人,1,300,235,-,300,235,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13107,墨田区,1,10,1000人以上,1,2742,1689,-,2742,1689,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13108,江東区,0,00,総数,438,8806,6035,43,8841,6068,8,3862795,13832056,27248687,22770108,2885550,313504,1336,1278189,12035226,12473787,8190708,507495,144449,461363
2,13108,江東区,1,01,4～9人,223,1357,904,1,1350,898,8,501200,845795,1771284,1238716,467078,5461,262,59767,857211,857211,…,…,…,…
2,13108,江東区,1,02,10～19人,120,1638,1165,13,1651,1176,-,719175,4072688,6438121,5667313,482493,13812,544,273959,2190317,2190317,…,…,…,…
2,13108,江東区,1,03,20～29人,38,918,672,1,919,673,-,415052,2288724,3883175,3451871,289638,23368,-,118298,1477174,1477174,…,…,…,…
2,13108,江東区,1,04,30～49人,25,970,719,1,971,720,-,463210,2005809,3544048,3100187,119552,3753,86,320470,1417926,1437841,1212339,176548,14089,59600
2,13108,江東区,1,05,50～99人,19,1280,912,4,1284,916,-,516574,2762539,4178378,3648943,290653,-,-,238782,1268587,1321089,815558,57782,1282,63797
2,13108,江東区,1,06,100～199人,8,1015,684,4,1019,688,-,447636,714432,2271223,1474161,410331,267110,444,119177,1369899,1445654,1085822,62202,20547,78438
2,13108,江東区,1,07,200～299人,2,476,295,3,479,298,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13108,江東区,1,08,300～499人,3,1152,684,16,1168,699,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13109,品川区,0,00,総数,308,5178,3738,81,5253,3787,6,2430616,4684512,9903392,8254808,1099245,101958,832,446549,4847214,4866414,1481481,133864,11514,96758
2,13109,品川区,1,01,4～9人,153,945,621,4,944,620,5,362942,545391,1334751,1019703,221338,14578,-,79132,733071,733071,…,…,…,…
2,13109,品川区,1,02,10～19人,94,1244,888,1,1244,889,1,531221,931737,2063008,1627935,315647,12937,738,105751,1049473,1049473,…,…,…,…
2,13109,品川区,1,03,20～29人,26,620,439,1,621,440,-,279169,461221,1010289,821306,89338,5188,-,94457,513855,513855,…,…,…,…
2,13109,品川区,1,04,30～49人,17,642,510,-,642,510,-,349269,740775,1347728,1246514,55355,8465,-,37394,534266,567376,378962,24262,8814,31551
2,13109,品川区,1,05,50～99人,12,819,614,-,819,614,-,412206,779797,1629718,1150266,417567,28571,94,33220,758915,793143,646019,56206,1016,32867
2,13109,品川区,1,06,100～199人,6,908,666,75,983,714,-,495809,1225591,2517898,2389084,-,32219,-,96595,1257634,1209496,456500,53396,1684,32340
2,13110,目黒区,0,00,総数,117,2533,1719,20,2549,1736,4,1161813,2683643,4842348,4009572,226444,85902,-,520430,1979946,2015510,878834,29269,4946,46141
2,13110,目黒区,1,01,4～9人,51,283,182,-,279,179,4,106728,143090,325866,254711,46497,4222,-,20436,169237,169237,…,…,…,…
2,13110,目黒区,1,02,10～19人,33,469,314,-,469,314,-,194623,401870,716403,556345,77688,15641,-,66729,291460,291460,…,…,…,…
2,13110,目黒区,1,03,20～29人,11,268,179,1,269,180,-,120023,335356,641802,567898,43060,-,-,30844,283873,283873,…,…,…,…
2,13110,目黒区,1,04,30～49人,10,374,287,15,389,302,-,224799,564139,936961,820200,1325,30699,-,84737,341463,350446,220838,10470,71,17376
2,13110,目黒区,1,05,50～99人,8,579,409,4,583,413,-,246951,375911,757709,435743,57874,35340,-,228752,337264,354769,380489,8640,4650,13835
2,13110,目黒区,1,06,100～199人,3,348,226,-,348,226,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13110,目黒区,1,07,200～299人,1,212,122,-,212,122,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13111,大田区,0,00,総数,1151,18982,14016,156,19123,14149,15,8762894,23153286,42125693,34179416,4888234,667043,20275,2370725,17435131,17754471,7955708,1019742,129753,478087
2,13111,大田区,1,01,4～9人,568,3457,2413,-,3442,2399,15,1369332,2205943,4992898,3593188,1188158,7537,1604,202411,2581767,2581767,…,…,…,…
2,13111,大田区,1,02,10～19人,319,4263,3116,5,4268,3121,-,1804754,5954583,10126454,8346097,1457039,48967,689,273662,3879508,3879508,…,…,…,…
2,13111,大田区,1,03,20～29人,130,3155,2354,11,3166,2364,-,1470061,3501212,6448016,5713224,445136,70560,7209,211887,2740397,2740397,…,…,…,…
2,13111,大田区,1,04,30～49人,69,2613,2027,11,2624,2038,-,1267774,3388101,6134587,4883297,784772,336,-,466182,2433874,2571015,2429403,284105,8979,108263
2,13111,大田区,1,05,50～99人,48,3048,2342,21,3069,2360,-,1583690,4579340,7995682,7440336,440296,x,7992,x,3131248,3208215,3811748,542640,94491,202649
2,13111,大田区,1,06,100～199人,15,1974,1460,104,2078,1559,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13111,大田区,1,07,200～299人,2,472,304,4,476,308,-,x,x,x,x,-,x,-,x,x,x,x,x,x,x
2,13112,世田谷区,0,00,総数,129,1866,1167,5,1871,1171,-,758861,2053681,3839134,3198242,167619,447,5,472821,1652521,1661731,226540,28463,275,23963
2,13112,世田谷区,1,01,4～9人,61,369,222,-,369,222,-,125159,189427,421731,349681,34621,81,5,37343,215336,215336,…,…,…,…
2,13112,世田谷区,1,02,10～19人,38,524,324,2,526,325,-,190558,559540,1011185,779693,64932,366,-,166194,418479,418479,…,…,…,…
2,13112,世田谷区,1,03,20～29人,19,444,324,3,447,327,-,212410,871879,1442298,1205417,11267,-,-,225614,531877,531877,…,…,…,…
2,13112,世田谷区,1,04,30～49人,5,183,125,-,183,125,-,88910,161816,388757,314388,30918,-,-,43451,201213,210653,143529,5017,27,9622
2,13112,世田谷区,1,05,50～99人,6,346,172,-,346,172,-,141824,271019,575163,549063,25881,-,-,219,285616,285386,83011,23446,248,14341
2,13113,渋谷区,0,00,総数,42,886,597,2,888,598,-,385787,716809,1525131,1128876,182860,6714,-,206681,726698,752455,406718,7864,343,27040
2,13113,渋谷区,1,01,4～9人,18,109,57,-,109,57,-,35445,51840,108774,91509,7847,1003,-,8415,53240,53240,…,…,…,…
2,13113,渋谷区,1,02,10～19人,15,202,121,-,202,121,-,86153,166805,353486,352526,-,355,-,605,173196,173196,…,…,…,…
2,13113,渋谷区,1,03,20～29人,3,69,35,-,69,35,-,22405,16931,44395,40805,-,-,-,3590,25430,25430,…,…,…,…
2,13113,渋谷区,1,04,30～49人,1,31,31,-,31,31,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13113,渋谷区,1,05,50～99人,3,212,152,-,212,152,-,108699,168095,343229,143918,-,5356,-,193955,159530,164829,134551,2120,83,6843
2,13113,渋谷区,1,06,100～199人,2,263,201,2,265,202,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13114,中野区,0,00,総数,59,799,510,12,811,522,-,347502,693094,1320295,1004921,127924,1449,47,185954,591505,587940,117252,7312,103,9834
2,13114,中野区,1,01,4～9人,34,201,121,12,213,133,-,75614,179306,321899,293809,24197,1449,-,2444,132552,132552,…,…,…,…
2,13114,中野区,1,02,10～19人,13,167,102,-,167,102,-,58353,105403,202504,153777,20098,-,47,28582,89914,89914,…,…,…,…
2,13114,中野区,1,03,20～29人,7,170,116,-,170,116,-,73545,121594,280796,109960,61529,-,-,109307,149746,149746,…,…,…,…
2,13114,中野区,1,04,30～49人,3,138,78,-,138,78,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13114,中野区,1,05,50～99人,2,123,93,-,123,93,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13115,杉並区,0,00,総数,90,1265,838,2,1266,838,1,562571,1244965,2289649,1824866,177855,17496,-,269432,969582,971928,140359,2835,133,3193
2,13115,杉並区,1,01,4～9人,48,287,182,1,287,181,1,113068,240255,495593,397639,51562,8808,-,37584,237213,237213,…,…,…,…
2,13115,杉並区,1,02,10～19人,31,424,256,-,424,256,-,158296,364168,672030,370399,112081,6847,-,182703,285627,285627,…,…,…,…
2,13115,杉並区,1,03,20～29人,7,165,121,1,166,122,-,73092,143139,322434,309286,1795,1841,-,9512,168694,168694,…,…,…,…
2,13115,杉並区,1,04,30～49人,2,61,29,-,61,29,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13115,杉並区,1,05,50～99人,1,96,80,-,96,80,-,x,x,x,x,-,-,-,x,x,x,x,x,-,x
2,13115,杉並区,1,07,200～299人,1,232,170,-,232,170,-,x,x,x,x,x,-,-,-,x,x,-,-,x,-
2,13116,豊島区,0,00,総数,117,2160,1444,7,2166,1448,1,943955,1954882,4174961,3617869,326911,2744,174,227263,2054552,2078694,1016404,54754,915,27625
2,13116,豊島区,1,01,4～9人,53,319,193,-,318,193,1,103218,141630,325064,229683,77666,1593,69,16053,170844,170844,…,…,…,…
2,13116,豊島区,1,02,10～19人,35,461,328,-,461,328,-,206980,390807,899340,701877,104737,1151,-,91575,486007,486007,…,…,…,…
2,13116,豊島区,1,03,20～29人,16,391,271,-,391,271,-,145892,288925,599628,453388,120914,-,-,25326,288479,288479,…,…,…,…
2,13116,豊島区,1,04,30～49人,5,176,131,-,176,131,-,92373,342086,736488,699184,22025,-,105,15174,355204,366215,541104,4302,522,7325
2,13116,豊島区,1,05,50～99人,4,237,158,-,237,158,-,107758,157058,381048,377327,1569,-,-,2152,209852,211854,127122,41925,-,7399
2,13116,豊島区,1,06,100～199人,3,335,194,7,342,198,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13116,豊島区,1,07,200～299人,1,241,169,-,241,169,-,x,x,x,x,-,-,-,x,x,x,x,x,-,x
2,13117,北区,0,00,総数,224,8539,5742,26,8557,5759,8,4340798,8495968,17523812,13546104,3201384,54371,1898,720055,7615599,8504335,12401082,4278331,30578,988165
2,13117,北区,1,01,4～9人,107,636,394,8,636,394,8,217686,360321,757865,545560,155847,1916,37,54505,368704,368704,…,…,…,…
2,13117,北区,1,02,10～19人,49,658,438,2,660,439,-,257634,581556,1052854,818669,193768,-,165,40252,436659,436659,…,…,…,…
2,13117,北区,1,03,20～29人,27,664,455,6,670,461,-,346342,750553,1335984,929782,274332,5248,100,126522,543153,543153,…,…,…,…
2,13117,北区,1,04,30～49人,12,480,386,3,483,389,-,207099,684894,1124722,902537,171973,-,-,50212,407992,413354,245287,54445,9444,20483
2,13117,北区,1,05,50～99人,22,1620,1222,5,1625,1227,-,789354,2647480,5406351,4443199,500026,47207,1596,414323,2398760,2573407,2826990,120183,4518,154894
2,13117,北区,1,06,100～199人,1,192,144,-,192,144,-,x,x,x,-,x,-,-,x,x,x,x,x,x,x
2,13117,北区,1,07,200～299人,1,225,152,-,225,152,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13117,北区,1,08,300～499人,2,842,663,2,844,665,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13117,北区,1,09,500～999人,1,671,421,-,671,421,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13117,北区,1,10,1000人以上,2,2551,1467,-,2551,1467,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,13118,荒川区,0,00,総数,384,5129,3497,15,5130,3500,14,2043882,4686041,8396107,6386440,1093536,84438,1991,829702,3381462,3462104,1334755,122081,40795,71590
2,13118,荒川区,1,01,4～9人,225,1311,888,-,1297,878,14,452142,704991,1492400,1002512,369679,5203,1278,113728,731998,731998,…,…,…,…
2,13118,荒川区,1,02,10～19人,104,1420,993,-,1420,993,-,567463,1148848,2219283,1608415,513383,30794,350,66341,993990,993990,…,…,…,…
2,13118,荒川区,1,03,20～29人,27,665,472,-,665,472,-,283533,423472,976895,837942,125383,12142,363,1065,512865,512865,…,…,…,…
2,13118,荒川区,1,04,30～49人,17,688,510,-,688,510,-,327830,684862,1256560,1161651,75385,-,-,19524,490393,534885,606835,51096,1427,31708
2,13118,荒川区,1,05,50～99人,9,584,402,9,593,410,-,x,x,x,x,x,x,-,x,x,x,x,x,x,x
2,13118,荒川区,1,06,100～199人,1,130,107,2,132,108,-,x,x,x,x,-,x,-,-,x,x,x,x,x,x
2,13118,荒川区,1,08,300～499人,1,331,125,4,335,129,-,x,x,x,x,-,-,-,-,x,x,x,x,-,x
2,13119,板橋区,0,00,総数,559,14581,10800,194,14762,10943,13,7140735,19928407,35261953,29690237,4580801,169086,23346,798483,14089677,14642031,9188169,773420,229691,733438
2,13119,板橋区,1,01,4～9人,234,1431,937,5,1424,930,12,491576,779820,1738006,1174517,492173,4762,1631,64923,889249,889249,…,…,…,…
2,13119,板橋区,1,02,10～19人,140,1901,1313,10,1910,1317,1,783439,1514395,3094902,2164724,779987,30018,365,119808,1467268,1467268,…,…,…,…
2,13119,板橋区,1,03,20～29人,82,2018,1411,14,2032,1422,-,846905,1577472,3518321,2755087,624368,26088,1224,111554,1804287,1804287,…,…,…,…
2,13119,板橋区,1,04,30～49人,47,1916,1329,5,1921,1334,-,844117,2680977,4347524,3468815,668209,848,1654,207998,1523882,1592001,1934011,148384,177670,115975
2,13119,板橋区,1,05,50～99人,35,2499,1952,8,2507,1958,-,1231177,3491852,6293226,4513303,1474309,107370,7927,190317,2532046,2632515,2934140,220712,39076,229163
2,13119,板橋区,1,06,100～199人,14,1887,1398,3,1890,1401,-,801454,1889488,3719118,3082157,531507,-,7058,98396,1606800,1700022,1475175,75833,1162,110869
2,13119,板橋区,1,07,200～299人,3,716,572,-,716,572,-,358612,956206,1649008,1643685,-,-,-,5323,555966,642964,541607,17307,893,73541
2,13119,板橋区,1,08,300～499人,2,778,676,23,801,696,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x
2,13119,板橋区,1,09,500～999人,2,1435,1212,126,1561,1313,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x
2,13120,練馬区,0,00,総数,159,2914,1843,23,2926,1853,11,1242763,3615977,6487811,5563229,431375,19500,259,473448,2649998,2712650,1162895,139429,12223,72033
2,13120,練馬区,1,01,4～9人,66,408,249,-,398,242,10,141088,227852,539568,399419,100003,4645,108,35393,288925,288925,…,…,…,…
2,13120,練馬区,1,02,10～19人,50,683,406,1,683,406,1,246481,640829,1210070,999227,99135,4542,151,107015,528812,528812,…,…,…,…
2,13120,練馬区,1,03,20～29人,22,543,337,-,543,337,-,210790,706441,1191122,881086,232237,-,-,77799,448779,448779,…,…,…,…
2,13120,練馬区,1,04,30～49人,12,452,283,-,452,283,-,225056,486720,918400,781341,-,10313,-,126746,389217,405429,296408,37091,3427,21282
2,13120,練馬区,1,05,50～99人,7,496,330,1,497,331,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
2,13120,練馬区,1,06,100～199人,2,332,238,21,353,254,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,13121,足立区,0,00,総数,699,12434,7433,21,12396,7405,59,4603356,14346347,24535333,19990133,1964835,119203,3303,2457859,9129354,9528134,8260276,531362,19867,505569
2,13121,足立区,1,01,4～9人,364,2172,1348,5,2118,1307,59,689980,1267908,2626839,2082972,400276,15663,796,127132,1259448,1259448,…,…,…,…
2,13121,足立区,1,02,10～19人,186,2395,1555,1,2396,1556,-,885358,1834409,3793933,3067761,622431,7846,110,95785,1814690,1814690,…,…,…,…
2,13121,足立区,1,03,20～29人,77,1852,1175,2,1854,1177,-,716735,1872344,3523963,2871689,473984,69458,2397,106435,1542051,1542051,…,…,…,…
2,13121,足立区,1,04,30～49人,38,1458,948,3,1461,950,-,613996,1419106,3082276,2725775,256563,26236,-,73702,1506182,1547447,1281598,119420,12447,53276
