産業分類階層,産業コード,産業中分類,従業者規模階層,従業者規模コード,従業者規模,事業所数,生産額(万円),在庫額／製造品／年初(万円),在庫額／製造品／年末(万円),在庫額／半製品及び仕掛品／年初(万円),在庫額／半製品及び仕掛品／年末(万円),在庫額／原材料及び燃料／年初(万円),在庫額／原材料及び燃料／年末(万円),有形固定資産額／年初現在高／土地(万円),有形固定資産額／年初現在高／土地以外(万円),有形固定資産額／取得額／土地(万円),有形固定資産額／取得額／土地以外／計(万円),有形固定資産額／取得額／土地以外／建物等(万円),有形固定資産額／取得額／土地以外／機械等(万円),有形固定資産額／取得額／土地以外／備品等(万円),有形固定資産額／除却額／土地(万円),有形固定資産額／除却額／土地以外(万円),有形固定資産額／減価償却額(万円),有形固定資産額／建設仮勘定／増(万円),有形固定資産額／建設仮勘定／減(万円),有形固定資産額／建設仮勘定／差引増減(万円),有形固定資産額／投資総額(万円)
1,09,食料品製造業,1,07,1000人以上,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,10,飲料・たばこ・飼料製造業,0,00,総数,8,9891083,116984,119003,46235,49881,336685,365986,1701993,2434470,10003,173546,49155,115577,8814,-,22600,240521,194673,195751,-1078,182471
1,10,飲料・たばこ・飼料製造業,1,01,30～49人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
1,10,飲料・たばこ・飼料製造業,1,02,50～99人,3,869595,18911,23072,20972,20141,36380,37040,175371,186145,10003,59974,1824,57702,448,-,9506,23464,x,x,-,69977
1,10,飲料・たばこ・飼料製造業,1,03,100～199人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,10,飲料・たばこ・飼料製造業,1,04,200～299人,1,x,x,x,-,-,x,x,x,x,-,-,-,-,-,-,-,-,x,-,x,x
1,11,繊維工業,0,00,総数,21,1141763,73877,72331,40193,41452,51315,50200,302008,272064,3446,55325,43196,9934,2195,-,1869,22414,8498,8464,34,58805
1,11,繊維工業,1,01,30～49人,14,628944,37324,39017,11185,12552,34961,33538,151263,170333,3446,52737,41307,9287,2143,-,1869,14805,8498,8464,34,56217
1,11,繊維工業,1,02,50～99人,5,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,-,-,-,x
1,11,繊維工業,1,03,100～199人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,-,-,-,x
1,12,木材・木製品製造業（家具を除く）,0,00,総数,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
1,12,木材・木製品製造業（家具を除く）,1,01,30～49人,1,x,-,-,-,-,x,x,x,x,-,x,x,x,-,-,-,x,-,-,-,x
1,12,木材・木製品製造業（家具を除く）,1,02,50～99人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
1,13,家具・装備品製造業,0,00,総数,16,8296990,173331,348917,2485004,2808873,1188231,1368049,788532,635883,20072,119544,17254,29287,73003,2773,36014,78489,1994,2617,-623,138993
1,13,家具・装備品製造業,1,01,30～49人,9,765617,46819,45284,25298,25076,80478,83395,220771,79355,20072,9971,350,6530,3091,-,4104,10660,-,-,-,30043
1,13,家具・装備品製造業,1,02,50～99人,5,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
1,13,家具・装備品製造業,1,03,100～199人,1,x,x,x,x,x,x,x,x,x,-,x,x,-,x,-,x,x,x,x,x,x
1,13,家具・装備品製造業,1,06,500～999人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,14,パルプ・紙・紙加工品製造業,0,00,総数,34,6345610,273972,280470,70023,58263,154500,165882,726170,1661214,9840,201615,54626,136775,10214,-,11834,222105,x,x,x,x
1,14,パルプ・紙・紙加工品製造業,1,01,30～49人,21,1865592,35268,38095,7414,8569,53259,59038,264579,243087,9840,71526,33351,33431,4744,-,6277,41321,7385,8028,-643,80723
1,14,パルプ・紙・紙加工品製造業,1,02,50～99人,9,2350360,122161,126477,37340,25730,65777,68108,224276,881103,-,89663,17710,67249,4704,-,3450,102768,24209,33351,-9142,80521
1,14,パルプ・紙・紙加工品製造業,1,03,100～199人,4,2129658,116543,115898,25269,23964,35464,38736,237315,537024,-,40426,3565,36095,766,-,2107,78016,x,x,x,x
1,15,印刷・同関連業,0,00,総数,283,49538883,481100,475358,1189873,1255270,388129,402878,15213398,11890830,98557,1213668,347598,719061,147009,352419,195833,1600805,489990,265856,224134,1536359
1,15,印刷・同関連業,1,01,30～49人,123,8387121,139716,139125,133900,117955,82613,84633,2006832,2130128,32193,279274,52688,197820,28766,146138,36405,241338,11339,10062,1277,312744
1,15,印刷・同関連業,1,02,50～99人,105,14573517,67425,81022,262486,366332,129195,150935,5050206,3564282,56643,423232,139990,243545,39697,152508,111296,410692,37916,52230,-14314,465561
1,15,印刷・同関連業,1,03,100～199人,39,11026651,33626,29334,134040,109113,81566,86927,1228453,2117582,9721,207871,22633,156041,29197,53667,37304,353993,155551,10691,144860,362452
1,15,印刷・同関連業,1,04,200～299人,6,2195896,-,6095,41604,47365,5633,5180,221638,403650,-,20612,1346,13468,5798,-,423,65425,721,721,-,20612
1,15,印刷・同関連業,1,05,300～499人,4,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,15,印刷・同関連業,1,06,500～999人,2,x,-,-,x,x,x,x,-,x,-,-,-,-,-,-,x,x,-,-,-,-
1,15,印刷・同関連業,1,07,1000人以上,4,7431627,226318,199758,379202,423741,38245,38116,3433573,2439560,-,193871,106238,47781,39852,106,9305,352585,197629,120101,77528,271399
1,16,化学工業,0,00,総数,61,32094957,1144894,1346455,1329500,1489928,1500051,1658587,4424026,9270652,101884,4958831,1877668,2620509,460654,13118,170297,1389542,2314937,4361391,-2046454,3014261
1,16,化学工業,1,01,30～49人,20,2584877,151198,153308,216254,283913,305038,295415,339255,867525,-,140108,37770,91192,11146,8467,14573,111918,54185,51369,2816,142924
1,16,化学工業,1,02,50～99人,24,5569688,161391,163873,138691,145607,357862,379462,427752,826784,2833,217574,84003,88322,45249,4651,11956,110002,11644,7361,4283,224690
1,16,化学工業,1,03,100～199人,9,4384416,226322,350996,99523,85874,281364,299075,2880386,1993621,-,134206,34373,67908,31925,-,3813,273120,316709,48426,268283,402489
1,16,化学工業,1,04,200～299人,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
1,16,化学工業,1,05,300～499人,3,5725524,452780,471463,106474,97976,142570,151676,553468,3453127,11328,224228,72219,105520,46489,-,109312,214053,109777,105298,4479,240035
1,16,化学工業,1,06,500～999人,1,x,x,x,x,x,x,x,-,x,x,x,x,x,x,-,x,x,x,x,x,x
1,16,化学工業,1,07,1000人以上,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
1,17,石油製品・石炭製品製造業,0,00,総数,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,-,x,x
1,17,石油製品・石炭製品製造業,1,01,30～49人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,-,-,-,x
1,17,石油製品・石炭製品製造業,1,02,50～99人,1,x,x,x,x,x,x,x,x,x,-,x,-,x,x,-,-,x,x,-,x,x
1,18,プラスチック製品製造業（別掲を除く）,0,00,総数,41,3643593,130401,138413,84891,95570,78206,87798,616969,730893,13587,110940,45885,35565,29490,x,23819,125091,50950,50882,68,124595
1,18,プラスチック製品製造業（別掲を除く）,1,01,30～49人,22,1558746,47389,43706,26669,21819,33195,36350,283742,214555,13587,59923,32686,11197,16040,x,1952,44477,21180,27307,-6127,67383
1,18,プラスチック製品製造業（別掲を除く）,1,02,50～99人,16,1610090,71602,82765,24836,24096,34242,41830,271740,422849,-,28719,5878,17277,5564,3190,21783,54883,13557,9898,3659,32378
1,18,プラスチック製品製造業（別掲を除く）,1,03,100～199人,3,474757,11410,11942,33386,49655,10769,9618,61487,93489,-,22298,7321,7091,7886,-,84,25731,16213,13677,2536,24834
1,19,ゴム製品製造業,0,00,総数,10,1195405,155384,108499,37537,42894,30430,34757,441841,632245,-,89068,12733,55312,21023,-,3539,133195,x,x,x,x
1,19,ゴム製品製造業,1,01,30～49人,6,430367,22065,32925,8885,10041,8490,12482,139792,156949,-,8856,1232,3072,4552,-,1472,9898,-,-,-,8856
1,19,ゴム製品製造業,1,02,50～99人,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
1,19,ゴム製品製造業,1,04,200～299人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,20,なめし革・同製品・毛皮製造業,0,00,総数,19,2269591,263266,268878,124075,131149,172091,153830,215053,296146,14502,83539,47524,25994,10021,1618,421,32792,15605,30607,-15002,83039
1,20,なめし革・同製品・毛皮製造業,1,01,30～49人,12,683610,75507,54684,25857,30899,21995,19338,59426,73966,-,4204,389,2337,1478,1618,220,7796,-,-,-,4204
1,20,なめし革・同製品・毛皮製造業,1,02,50～99人,4,853039,75831,87495,17093,22172,42405,45393,74660,77795,14502,47526,38971,3960,4595,-,80,11783,-,17171,-17171,44857
1,20,なめし革・同製品・毛皮製造業,1,03,100～199人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,20,なめし革・同製品・毛皮製造業,1,06,500～999人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,21,窯業・土石製品製造業,0,00,総数,19,5501637,352297,343778,125830,128872,100231,97839,1541201,1961914,25198,268758,48830,184614,35314,100,49099,213683,63247,87604,-24357,269599
1,21,窯業・土石製品製造業,1,01,30～49人,9,1242113,31297,27353,2438,2032,9430,6173,441986,226882,23121,90804,8429,76178,6197,-,1375,36389,-,683,-683,113242
1,21,窯業・土石製品製造業,1,02,50～99人,5,1632317,66753,82956,2939,3100,29451,27645,849553,340542,2077,76073,25072,26836,24165,-,2278,61012,15965,16682,-717,77433
1,21,窯業・土石製品製造業,1,03,100～199人,4,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
1,21,窯業・土石製品製造業,1,04,200～299人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
1,22,鉄鋼業,0,00,総数,17,13375101,422414,464961,710016,670573,281348,313570,1646044,2241083,178326,451129,23605,357777,69747,x,14213,341435,510898,275334,235564,865019
1,22,鉄鋼業,1,01,30～49人,6,604473,22322,21679,35163,34024,29429,36784,133502,195264,-,3393,527,837,2029,-,324,13280,-,-,-,3393
1,22,鉄鋼業,1,02,50～99人,5,2519569,86675,86547,123934,106547,164780,139002,49154,267036,-,40493,1834,31098,7561,438,1286,40718,44289,34060,10229,50722
1,22,鉄鋼業,1,03,100～199人,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
1,22,鉄鋼業,1,04,200～299人,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x
1,22,鉄鋼業,1,05,300～499人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,23,非鉄金属製造業,0,00,総数,18,7035463,274710,405651,379096,263874,199588,149473,1067302,571145,179402,121139,45915,57375,17849,-,2877,82311,182344,12509,169835,470376
1,23,非鉄金属製造業,1,01,30～49人,8,2378707,86261,76414,105353,148108,105333,65515,656992,255904,138758,55593,38951,12222,4420,-,1760,21877,173310,334,172976,367327
1,23,非鉄金属製造業,1,02,50～99人,7,1128443,44785,41670,74110,69879,81559,76881,206367,206713,24290,57718,5758,41449,10511,-,968,45646,9034,12175,-3141,78867
1,23,非鉄金属製造業,1,03,100～199人,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,-,-,-,x
1,23,非鉄金属製造業,1,05,300～499人,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,-,-,-,x
1,24,金属製品製造業,0,00,総数,91,9526683,370989,363656,318407,321825,383221,345853,2098386,2061305,93594,433444,221117,161962,50365,29054,37041,316363,59321,96787,-37466,489572
1,24,金属製品製造業,1,01,30～49人,53,3128863,107196,102199,60863,73163,116908,122060,873412,657741,5287,113006,28204,63708,21094,x,6712,95334,380,-,380,118673
1,24,金属製品製造業,1,02,50～99人,30,3863897,116362,124972,129627,144878,120260,117056,713502,889834,88307,242539,167950,60166,14423,25697,26932,123570,20427,61384,-40957,289889
1,24,金属製品製造業,1,03,100～199人,7,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,24,金属製品製造業,1,05,300～499人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
1,25,はん用機械器具製造業,0,00,総数,50,12562398,229888,301191,1360133,1521823,1251940,1342413,1443637,2209386,44486,410427,90615,244450,75362,30970,23918,293169,136619,106699,29920,484833
1,25,はん用機械器具製造業,1,01,30～49人,24,1980091,43233,56517,120886,102354,94526,111754,314824,469209,40966,120049,5450,97364,17235,30033,12249,60358,7688,7744,-56,160959
1,25,はん用機械器具製造業,1,02,50～99人,15,2014378,76236,93382,127208,132537,121502,134898,213985,216558,-,100568,46465,38384,15719,-,9491,31320,28839,16552,12287,112855
1,25,はん用機械器具製造業,1,03,100～199人,8,2739408,77636,79899,199973,356384,718246,728881,81542,282452,3520,46964,9109,22199,15656,937,768,32416,-,-,-,50484
1,25,はん用機械器具製造業,1,05,300～499人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,25,はん用機械器具製造業,1,06,500～999人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,26,生産用機械器具製造業,0,00,総数,104,23825803,767660,730942,2785945,3368951,1231158,1572357,4069546,5415856,294681,904906,278215,348416,278275,26130,77592,697881,211142,199104,12038,1211625
1,26,生産用機械器具製造業,1,01,30～49人,56,4991713,271964,243127,244986,301685,275619,375131,850546,712404,37017,281105,162403,93299,25403,2536,9239,90551,1127,261,866,318988
1,26,生産用機械器具製造業,1,02,50～99人,33,5822622,235977,258550,688406,716111,185779,167705,1335943,1421782,97824,115106,43312,45795,25999,9454,29332,122733,46818,28617,18201,231131
1,26,生産用機械器具製造業,1,03,100～199人,10,3703326,104083,123222,305018,234311,368367,407558,736672,905041,2735,104525,17390,63637,23498,14140,10631,124307,13231,29578,-16347,90913
1,26,生産用機械器具製造業,1,04,200～299人,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
1,26,生産用機械器具製造業,1,05,300～499人,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
1,26,生産用機械器具製造業,1,07,1000人以上,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,27,業務用機械器具製造業,0,00,総数,89,21325249,1541853,1572328,1605191,1792777,1588577,1619612,3146057,2648481,71524,373563,77716,130177,165670,8037,99223,371603,37480,32399,5081,450168
1,27,業務用機械器具製造業,1,01,30～49人,43,3054747,99116,94185,146210,127447,251877,268602,529414,436009,9688,104439,33320,47055,24064,6813,12617,63428,1613,1382,231,114358
1,27,業務用機械器具製造業,1,02,50～99人,30,4050681,124086,143707,374306,473596,281380,292245,1266870,814198,61836,64457,15131,24183,25143,1224,44900,71369,4514,11,4503,130796
1,27,業務用機械器具製造業,1,03,100～199人,6,1942664,151401,155212,140402,232735,102810,115191,403546,326799,-,46402,8148,6805,31449,-,381,38679,-,-,-,46402
1,27,業務用機械器具製造業,1,04,200～299人,5,2563723,202203,174086,416179,383231,98525,98204,152254,149694,-,11304,851,41,10412,-,9472,23348,30,30,-,11304
1,27,業務用機械器具製造業,1,05,300～499人,2,x,x,x,-,-,x,x,x,x,-,x,x,-,x,-,x,x,-,-,-,x
1,27,業務用機械器具製造業,1,06,500～999人,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,28,電子部品・デバイス・電子回路製造業,0,00,総数,53,33032709,761944,964897,1194586,1102903,894359,873953,1534640,7864116,43524,2352111,257840,1470171,624100,20,127579,2430939,2169876,2116010,53866,2449501
1,28,電子部品・デバイス・電子回路製造業,1,01,30～49人,30,2337654,129822,155418,94219,108499,171575,210198,417933,324435,34740,70186,24432,29153,16601,20,5039,40314,39967,416,39551,144477
1,28,電子部品・デバイス・電子回路製造業,1,02,50～99人,7,1078309,22706,36786,27962,36340,41983,34877,299997,250479,3395,65810,16246,39418,10146,-,2719,36970,6943,-,6943,76148
1,28,電子部品・デバイス・電子回路製造業,1,03,100～199人,11,2636752,80580,90584,95528,136767,204731,190747,492403,763953,5389,170911,15669,132256,22986,-,16132,198366,74571,94731,-20160,156140
1,28,電子部品・デバイス・電子回路製造業,1,04,200～299人,1,x,-,-,x,x,x,x,-,x,-,x,-,x,x,-,x,x,x,x,x,x
1,28,電子部品・デバイス・電子回路製造業,1,05,300～499人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,28,電子部品・デバイス・電子回路製造業,1,06,500～999人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,28,電子部品・デバイス・電子回路製造業,1,07,1000人以上,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,29,電気機械器具製造業,0,00,総数,120,60869038,3009416,3065904,11085594,12699961,3627274,3915138,3248743,8838113,55137,1153775,288195,229616,635964,20202,446306,1129024,679372,662194,17178,1226090
1,29,電気機械器具製造業,1,01,30～49人,54,4472638,147355,145824,276430,290972,222694,229197,692146,528795,25751,42872,10586,15103,17183,11883,13173,67876,15408,8732,6676,75299
1,29,電気機械器具製造業,1,02,50～99人,38,6797763,107158,129247,522588,661900,414734,440680,871587,661242,-,114130,20331,54896,38903,-,43475,94972,15134,15236,-102,114028
1,29,電気機械器具製造業,1,03,100～199人,12,4372034,54489,35652,1175869,1380193,152052,193161,572277,389204,-,96887,21107,24311,51469,-,9515,65478,8946,1689,7257,104144
1,29,電気機械器具製造業,1,04,200～299人,7,4602243,143320,155151,431029,410675,236935,273333,513815,471970,29386,56309,10900,21159,24250,8319,499,55517,114332,130933,-16601,69094
1,29,電気機械器具製造業,1,05,300～499人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,29,電気機械器具製造業,1,06,500～999人,4,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,29,電気機械器具製造業,1,07,1000人以上,4,30412939,1988527,2013588,6719974,7949910,735619,894744,431630,4790917,-,659443,192394,46651,420398,-,352622,577998,411785,404746,7039,666482
1,30,情報通信機械器具製造業,0,00,総数,31,46513704,588350,768089,3745863,6474671,890042,940683,585320,4446844,13780,866260,83066,399588,383606,2151,10437,799461,743121,765087,-21966,858074
1,30,情報通信機械器具製造業,1,01,30～49人,10,616319,18241,19282,32342,15912,76409,82036,163103,93705,-,4625,3416,379,830,x,62,10198,-,-,-,4625
1,30,情報通信機械器具製造業,1,02,50～99人,9,1018744,66047,80334,28741,26366,80536,80637,179116,340343,7711,22080,7768,8825,5487,-,277,16428,-,-,-,29791
1,30,情報通信機械器具製造業,1,03,100～199人,9,3057706,80489,88559,226242,204782,272195,291437,148906,369290,6069,51238,9181,13884,28173,-,1123,63959,8335,5019,3316,60623
1,30,情報通信機械器具製造業,1,06,500～999人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,30,情報通信機械器具製造業,1,07,1000人以上,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
1,31,輸送用機械器具製造業,0,00,総数,63,141853429,4108784,4864755,18295853,16463852,4381713,3920475,2806338,11636172,455164,2854266,865608,1203634,785024,25220,106696,2062595,2204206,2132756,71450,3380880
1,31,輸送用機械器具製造業,1,01,30～49人,19,1309364,17042,17902,34498,38903,20947,24080,406605,429985,20852,75592,8066,60925,6601,-,1038,72210,9779,13821,-4042,92402
1,31,輸送用機械器具製造業,1,02,50～99人,23,3661610,76988,91346,247196,226501,116451,108842,488473,920400,29290,121038,20660,62573,37805,-,14533,183076,72382,30567,41815,192143
1,31,輸送用機械器具製造業,1,03,100～199人,14,5597932,48426,50264,359960,392905,209715,185410,323777,863360,-,169688,35316,78762,55610,-,9271,184476,18076,41468,-23392,146296
1,31,輸送用機械器具製造業,1,04,200～299人,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,31,輸送用機械器具製造業,1,05,300～499人,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,31,輸送用機械器具製造業,1,07,1000人以上,3,127267394,3947235,4686553,17531047,15652202,3934238,3490626,400545,6752311,38412,2198604,581032,957607,659965,x,65332,1368664,1992940,1889115,103825,2340841
1,32,その他の製造業,0,00,総数,54,10942670,640255,625953,509173,510426,508074,525789,1426425,1896036,96808,310526,83780,96925,129821,-,25670,258294,83292,51791,31501,438835
1,32,その他の製造業,1,01,30～49人,25,2013007,106665,98549,57117,74368,53375,58542,258662,194568,55002,35190,16277,7043,11870,-,2792,24520,-,-,-,90192
1,32,その他の製造業,1,02,50～99人,17,2081118,64092,56227,48511,69801,109603,105042,529357,385512,41806,52029,22778,21090,8161,-,6534,35129,-,-,-,93835
1,32,その他の製造業,1,03,100～199人,9,2129354,63771,69050,85387,95373,125262,149589,606418,679395,-,78060,26656,23140,28264,-,5707,95768,18845,7438,11407,89467
1,32,その他の製造業,1,04,200～299人,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,32,その他の製造業,1,06,500～999人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019東京の工業　2019年工業統計調査報告（平成30年実績）,,,,,,,,,,,,,,,,,,,,,,,,,,,
第3-2表　産業中分類，従業者規模別統計表（従業者30人以上の事業所）,,,,,,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,,,,,,,,,,,,,,,
従業者規模階層（0：総数　1：従業者規模）,,,,,,,,,,,,,,,,,,,,,,,,,,,
