区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,津波全壊棟数,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者津波（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
大田区,693373,657209,59.5,0.0,0.0,2.6,94.2,3.3,99142,45038,13503,13253,179,71,11776,1476,11.9,3.3,70,88,23,2748,2496,887,809,6,68,0,3,0,25,12184,11782,8,272,108,14,496,1881,1758,4,76,42,1,110,280907,-,-,350,405,6795,419,大
世田谷区,877138,736040,58.1,0.0,0.0,65.3,34.7,0.0,129338,56307,4435,4385,5,45,3861,523,3.0,0.9,57,0,10,1082,1057,322,266,4,29,0,23,1,13,7218,6309,5,81,784,38,270,899,564,3,23,306,4,60,179583,-,-,199,134,2129,165,世
渋谷区,204492,542803,15.1,0.0,0.0,78.6,21.4,0.0,19674,19101,1172,1158,2,12,940,219,4.8,1.1,12,0,3,56,54,69,65,1,1,0,3,0,3,2079,1972,1,2,96,8,66,210,171,0,1,37,1,15,45624,-,-,275,29,700,58,渋
中野区,314750,285636,15.6,0.0,0.0,100.0,0.0,0.0,51464,20821,600,588,1,10,528,60,1.0,0.3,14,0,1,161,159,42,36,1,4,0,1,0,5,1516,1477,1,6,31,1,99,90,75,1,2,12,0,22,48304,-,-,67,17,272,32,中
杉並区,549569,439379,34.0,0.0,0.0,99.8,0.2,0.0,92388,30825,1230,1227,2,1,1121,106,1.2,0.3,2,0,3,1021,1011,109,77,0,27,0,5,0,8,2932,2684,0,67,176,5,173,233,145,0,19,69,0,38,93806,-,-,96,47,571,60,杉
豊島区,284678,378475,13.0,0.0,0.0,100.0,0.0,0.0,37098,19923,693,689,2,3,616,74,1.7,0.4,12,0,2,166,164,48,42,0,3,0,2,0,4,1850,1756,0,5,86,3,81,125,90,0,1,34,0,18,47539,-,-,151,24,337,38,豊
北区,335544,307317,20.6,0.0,0.0,98.7,1.2,0.0,50151,22372,1324,1200,19,105,1103,97,2.2,0.4,58,0,2,94,92,88,75,9,2,0,1,0,5,2706,2654,12,5,34,2,104,186,166,6,1,13,0,23,66120,-,-,80,49,599,64,北
荒川区,203296,184021,10.2,0.0,0.0,68.1,31.9,0.0,26888,11633,2340,2320,16,4,2182,138,8.1,1.2,5,0,4,153,143,154,149,0,4,0,1,0,3,3106,3062,0,8,33,4,58,295,279,0,2,13,0,13,65595,-,-,77,84,1216,69,荒
板橋区,535824,456425,32.2,0.0,0.5,99.5,0.0,0.0,65083,29528,742,691,6,44,604,88,0.9,0.3,54,0,2,199,197,54,42,4,5,0,3,0,8,2503,2367,5,8,120,3,170,158,106,3,2,47,0,38,74697,-,-,108,26,413,49,板
練馬区,716124,530628,48.2,0.0,0.1,99.9,0.0,0.0,114320,32078,556,549,4,3,487,62,0.4,0.2,12,0,3,681,678,64,33,0,19,0,11,0,11,2243,1833,0,27,378,4,225,227,71,0,8,148,0,50,80958,-,-,90,27,281,39,練
足立区,683426,539309,53.2,0.0,0.0,99.4,0.6,0.0,104482,38845,3039,2966,73,0,2741,225,2.6,0.6,0,0,6,667,653,207,187,0,18,0,2,0,10,5954,5853,0,28,69,4,204,428,393,0,8,27,0,45,167735,-,-,103,110,1469,143,足
葛飾区,442586,343039,34.8,0.0,0.3,95.7,4.0,0.0,78991,27793,2445,2348,97,0,2175,173,2.8,0.6,0,0,5,484,473,163,148,0,13,0,2,0,7,3897,3820,0,20,55,3,139,303,276,0,5,21,0,31,122319,-,-,68,77,1046,124,葛
江戸川区,678967,534942,49.9,0.0,0.0,55.2,44.8,0.0,87962,33956,3861,3769,92,0,3452,317,3.9,0.9,0,19,12,739,716,259,236,0,20,0,3,0,10,6603,6461,0,42,93,6,206,611,562,0,12,36,1,46,202818,-,-,154,119,2235,159,江
区部計,8945695,11284699,616.7,0.0,0.1,67.2,32.4,0.3,1221273,605864,56191,54992,625,573,48803,6189,4.0,1.0,592,230,129,10508,10034,3726,3348,42,262,0,72,2,157,86181,82801,53,694,2490,143,3370,9085,7878,27,194,971,15,746,2134760,-,-,4997,1742,29753,2223,区
八王子市,580053,549417,186.3,0.0,47.4,25.4,27.2,0.0,118849,35966,3798,3591,7,199,3242,349,2.7,1.0,509,0,10,773,755,258,221,17,19,0,1,0,9,4344,4242,21,40,38,2,177,436,399,10,11,15,0,39,93135,-,-,153,105,1451,126,八
立川市,179668,193465,24.4,0.0,0.0,98.4,1.6,0.0,35188,11697,533,523,0,10,458,66,1.3,0.6,16,0,2,93,92,35,31,1,2,0,1,0,3,1091,1063,1,4,22,1,57,81,70,0,1,9,0,13,17416,-,-,60,16,219,24,立
武蔵野市,138734,154448,10.7,0.0,0.0,100.0,0.0,0.0,21101,8163,249,249,0,0,221,28,1.0,0.3,0,0,1,101,100,18,15,0,2,0,1,0,2,785,759,0,3,23,0,44,50,40,0,1,9,0,10,27806,-,-,52,8,130,13,武
三鷹市,186083,148458,16.5,0.0,0.0,100.0,0.0,0.0,32764,8103,550,532,1,17,497,36,1.5,0.4,9,0,1,144,142,40,34,2,4,0,1,0,3,1197,1164,2,5,25,1,58,78,66,1,1,10,0,13,33233,-,-,36,17,254,23,三
青梅市,139339,127176,103.3,61.2,17.7,21.1,0.0,0.0,37782,7607,92,38,0,54,32,6,0.1,0.1,511,0,1,54,54,8,2,4,1,0,0,0,1,122,112,6,2,2,0,14,8,3,3,1,1,0,3,3539,-,-,6,3,13,7,青
府中市,255506,236133,29.3,0.0,0.0,100.0,0.0,0.0,47162,14711,461,445,5,11,405,40,0.9,0.3,8,0,2,144,143,33,28,1,4,0,0,0,4,1109,1085,1,6,16,0,79,65,56,1,2,6,0,18,35322,-,-,58,14,192,25,府
昭島市,112297,100508,17.3,0.0,0.0,76.2,23.8,0.0,20558,5530,448,443,1,5,401,41,2.0,0.7,9,0,1,100,98,31,27,0,3,0,0,0,2,770,756,1,4,9,0,36,59,54,0,1,4,0,8,16286,-,-,7,13,213,17,昭
調布市,223593,186275,21.5,0.0,0.0,96.6,3.4,0.0,29412,8668,615,601,3,11,540,61,1.8,0.7,17,0,1,93,91,41,37,1,2,0,1,0,3,1360,1333,1,4,22,1,70,101,91,1,1,8,0,16,47939,-,-,45,18,386,26,調
町田市,426987,364091,71.6,0.0,1.1,6.9,91.3,0.7,87953,22322,8500,8358,7,135,7659,699,8.7,3.1,198,0,16,1088,1005,564,522,12,29,0,2,0,15,6919,6757,15,86,56,5,291,981,927,7,24,22,1,64,137634,-,-,122,248,3543,191,町
小金井市,118852,95195,11.3,0.0,0.0,100.0,0.0,0.0,22335,5024,205,203,0,2,190,13,0.8,0.3,4,0,1,77,76,15,13,0,2,0,0,0,2,483,469,0,3,11,0,36,28,23,0,1,4,0,8,16299,-,-,5,6,91,10,小
小平市,187035,160499,20.5,0.0,0.0,100.0,0.0,0.0,42481,9322,466,466,0,0,438,29,1.0,0.3,0,0,2,143,142,34,30,0,4,0,1,0,3,993,962,0,6,24,1,59,64,53,0,2,9,0,13,19470,-,-,10,15,182,19,小
日野市,180052,154114,27.5,0.0,0.0,47.4,52.6,0.0,33122,9441,1349,1242,4,103,1095,147,3.3,1.6,72,0,4,119,116,88,75,9,3,0,1,0,5,1554,1495,11,7,38,2,104,168,145,6,2,15,0,23,34834,-,-,38,37,566,48,日
東村山市,153557,115046,17.2,0.0,0.7,99.3,0.0,0.0,31779,6245,116,109,1,5,98,11,0.3,0.2,8,0,1,72,72,10,7,0,2,0,1,0,2,378,340,1,3,33,0,49,27,13,0,1,13,0,11,13649,-,-,7,5,48,8,東
国分寺市,120650,95649,11.5,0.0,0.0,100.0,0.0,0.0,20001,4889,368,340,0,28,320,20,1.6,0.4,15,0,1,73,72,29,22,2,2,0,3,0,2,763,663,3,3,92,2,38,75,37,2,1,36,0,8,16491,-,-,22,11,177,15,国
国立市,75510,71295,8.2,0.0,0.0,99.8,0.2,0.0,8768,2557,160,155,0,4,143,12,1.6,0.5,2,0,0,55,54,12,10,0,1,0,0,0,1,372,364,0,2,6,0,24,25,21,0,1,2,0,5,10034,-,-,3,5,110,7,国
福生市,59796,52442,10.2,0.0,0.0,100.0,0.0,0.0,11631,3475,151,143,0,7,131,12,1.1,0.4,9,0,1,66,65,11,9,1,2,0,0,0,1,315,307,1,3,5,0,19,19,16,0,1,2,0,4,5500,-,-,4,5,64,7,福
狛江市,78751,57386,6.4,0.0,0.0,100.0,0.0,0.0,10391,2668,199,199,0,0,186,13,1.8,0.5,0,0,0,82,80,15,13,0,2,0,0,0,1,491,477,0,3,11,0,24,32,27,0,1,4,0,5,17145,-,-,3,7,129,8,狛
東大和市,83068,64274,13.5,0.0,0.0,100.0,0.0,0.0,17689,3856,254,245,0,8,230,16,1.3,0.4,8,0,1,124,122,20,16,1,3,0,0,0,1,501,483,1,4,12,0,27,34,27,0,1,5,0,6,10058,-,-,4,9,107,10,東
清瀬市,74104,60733,10.2,0.0,15.3,84.7,0.0,0.0,13007,3111,33,31,1,2,26,4,0.2,0.1,5,0,0,13,13,2,2,0,0,0,0,0,1,124,121,0,1,2,0,24,5,4,0,0,1,0,5,7276,-,-,3,1,15,3,清
東久留米市,116546,90315,12.9,0.0,0.1,99.9,0.0,0.0,21922,3959,84,71,0,13,63,9,0.3,0.2,11,0,1,52,52,7,4,1,1,0,0,0,2,261,248,1,2,10,0,37,14,9,1,1,4,0,8,11285,-,-,4,3,35,6,東
武蔵村山市,70053,59591,15.4,0.0,0.0,99.7,0.3,0.0,16788,3785,153,151,0,1,138,13,0.8,0.3,11,0,1,90,89,12,9,0,2,0,0,0,1,277,272,0,3,2,0,22,16,14,0,1,1,0,5,7092,-,-,4,6,57,7,武
多摩市,147648,137622,21.1,0.0,0.0,37.6,62.4,0.0,12107,5304,580,511,2,67,438,72,3.6,1.4,43,0,2,17,17,37,30,6,1,0,0,0,2,1349,1333,7,2,6,0,47,120,114,4,1,2,0,10,35113,-,-,8,15,484,25,多
稲城市,84835,58913,18.0,0.0,0.0,90.3,9.7,0.0,11702,3370,338,308,2,28,287,22,2.5,0.6,46,0,1,13,13,23,20,3,0,0,0,0,1,688,681,3,1,2,0,26,50,47,2,0,1,0,6,19943,-,-,4,10,186,13,稲
羽村市,57032,55966,9.9,0.0,1.3,98.7,0.0,0.0,8513,3578,21,17,0,5,11,6,0.1,0.2,12,0,1,145,145,5,1,0,4,0,0,0,1,61,54,0,5,2,0,18,4,2,0,1,1,0,4,4263,-,-,4,2,8,3,羽
あきる野市,80868,67814,73.3,26.3,34.9,37.7,1.2,0.0,26124,4269,215,167,0,48,156,11,0.6,0.3,271,0,1,287,286,22,11,4,7,0,0,0,1,267,248,5,9,5,0,26,20,13,2,3,2,0,6,5404,-,-,4,9,50,11,あ
西東京市,196511,148056,15.9,0.0,0.0,100.0,0.0,0.0,31416,6457,211,210,0,1,194,16,0.6,0.2,1,0,1,106,105,17,13,0,3,0,1,0,3,643,616,0,5,21,0,62,36,27,0,1,8,0,14,27049,-,-,7,7,117,11,西
瑞穂町,33497,36088,16.8,0.0,1.9,98.1,0.0,0.0,8480,2652,23,23,0,0,19,4,0.2,0.1,1,0,1,45,45,2,1,0,1,0,0,0,1,61,58,0,2,1,0,11,3,2,0,0,0,0,2,2099,-,-,3,1,8,2,瑞
日の出町,16650,13965,28.1,31.0,23.3,45.5,0.2,0.0,5321,1194,78,34,0,44,31,3,0.6,0.2,183,0,0,58,58,7,2,3,1,0,0,0,0,51,45,4,2,1,0,5,5,2,2,0,0,0,1,1339,-,-,1,3,10,4,日
檜原村,2558,2566,105.4,19.7,80.3,0.0,0.0,0.0,1865,307,22,0,0,22,0,0,0.0,0.0,235,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,89,-,-,0,1,0,1,檜
奥多摩町,6045,6205,225.6,98.3,1.7,0.0,0.0,0.0,3975,868,3,0,0,3,0,0,0.0,0.0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-,-,0,0,0,0,奥
多摩計,4185878,3663705,1159.9,28.7,19.9,38.3,13.1,0.0,790186,209098,20275,19407,36,832,17650,1757,2.2,0.8,2592,0,53,4228,4104,1399,1205,71,109,0,14,0,75,27330,26506,88,220,498,17,1487,2605,2303,44,62,194,2,329,676782,-,-,679,599,8845,672,多
都計,13131573,14948404,1776.6,18.8,13.0,48.3,19.8,0.1,2011459,814962,76465,74399,661,1405,66453,7946,3.3,1.0,3184,230,182,14736,14138,5125,4552,113,371,0,87,2,232,113511,109307,141,914,2988,160,4857,11690,10181,71,256,1165,17,1075,2811542,-,-,5676,2341,38598,2895,都
