ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の５０ｃｍ津波高の到達時間（分）,各地点の５０ｃｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
２水門開放,東京湾埋立地,１．５５～１．８５,１．４７～１．７７,1.71,1.63,１０６．４～１１４．４,108.6,１１２．５～１９５．０,191.4
２水門開放,中央区,１．８９～２．２８,１．８１～２．２０,2.11,2.03,１１３．２～１３４．０,115.0,１３９．４～２１９．９,203.8
２水門開放,港区,１．９３～２．２６,１．８５～２．１８,2.14,2.06,１１２．９～１１５．０,113.7,１９８．５～２０６．３,202.1
２水門開放,江東区,１．５９～２．２６,１．５１～２．１８,1.86,1.79,１０７．３～１２９．２,114.1,１１６．１～２１６．２,201.5
２水門開放,品川区,１．４５～２．３４,１．３７～２．２５,1.97,1.88,１１２．２～１３７．４,112.3,１２１．４～２１４．５,203.3
２水門開放,大田区,１．３８～２．３０,１．３０～２．２２,1.81,1.73,９０．１～２０４．１,112.7,１０１．５～２２５．９,202.7
２水門開放,江戸川区,１．３５～１．７７,１．２７～１．６９,1.55,1.47,１０７．９～１８７．１,109.5,１１８．８～５５１．０,121.8
５水門閉鎖,東京湾埋立地,１．３６～１．７４,１．３１～１．６９,1.49,1.44,１１６．４～３２１．２,116.4,１２０．７～２２９．５,120.7
５水門閉鎖,中央区,１．７０～１．９３,１．６５～１．８８,1.83,1.78,１２９．０～２８３．３,129.1,２３１．５～２５１．６,234.3
５水門閉鎖,港区,１．７１～１．８７,１．６６～１．８１,1.80,1.75,１２６．１～２２２．５,126.1,２２９．４～２３４．４,233.3
５水門閉鎖,江東区,１．４２～２．００,１．３７～１．９５,1.66,1.62,１２８．８～３１６．９,128.8,２１７．３～２４１．５,238.4
５水門閉鎖,品川区,１．３１～１．８６,１．２６～１．８１,1.68,1.63,１２７．０～２３９．４,127.0,１４９．２～２４６．４,236.8
５水門閉鎖,大田区,１．２２～１．８５,１．１８～１．８０,1.57,1.52,１９３．９～３３２．８,139.4,１２５．２～２５０．２,234.0
５水門閉鎖,江戸川区,１．３７～１．７５,１．３２～１．７０,1.53,1.48,１３９．３～３１９．８,139.4,１５０．９～２５４．１,247.5
５水門開放,東京湾埋立地,１．３６～１．７４,１．３２～１．７０,1.49,1.44,１１６．４～３２２．３,116.4,１２１．５～２２９．６,121.5
５水門開放,中央区,１．６８～１．９２,１．６３～１．８７,1.77,1.72,１２６．７～２４０．８,220.8,２２４．１～２５２．０,224.1
５水門開放,港区,１．６８～１．８３,１．６３～１．７８,1.77,1.72,２２０．８～２２３．５,220.9,２２９．７～２３４．８,233.6
５水門開放,江東区,１．４２～１．８３,１．３７～１．７８,1.62,1.57,１３１．０～３１５．０,131.0,２１７．３～２４７．２,233.2
５水門開放,品川区,１．３０～１．８３,１．２５～１．７８,1.67,1.62,１２６．９～２４０．２,126.9,１５１．６～２４８．２,236.6
５水門開放,大田区,１．２３～１．８３,１．１９～１．７８,1.57,1.52,１９３．７～３３２．４,220.1,１９７．３～５８３．７,234.1
５水門開放,江戸川区,１．２５～１．６５,１．２０～１．６１,1.44,1.40,２１５．８～３１１．６,218.4,２１６．０～７２０．０,259.9
６水門閉鎖,東京湾埋立地,１．５０～１．８５,１．４０～１．７５,1.71,1.61,９２．６～１３６．８,92.8,９１．５～１８４．３,106.5
６水門閉鎖,中央区,１．９２～２．２７,１．８２～２．１７,2.14,2.04,１０１．７～１２０．３,103.7,１３０．１～２０６．４,192.3
６水門閉鎖,港区,１．８７～２．２１,１．７７～２．１１,2.16,2.06,１００．７～１０４．３,101.7,１８５．７～１９４．３,189.4
６水門閉鎖,江東区,１．６１～２．３７,１．５１～２．２７,1.95,1.85,９４．８～１１２．９,108.0,１０２．３～２０２．５,199.1
６水門閉鎖,品川区,１．４５～２．２６,１．３４～２．１６,1.99,1.88,９９．４～１９９．４,102.0,１２７．４～２００．７,195.4
６水門閉鎖,大田区,１．３７～２．１７,１．２８～２．０７,1.77,1.67,７６．１～２１２．０,102.7,８６．２～２１５．３,190.8
６水門閉鎖,江戸川区,１．４８～２．０２,１．３８～１．９３,1.71,1.62,９５．７～１７６．６,118.8,１００．２～２５７．２,129.4
６水門開放,東京湾埋立地,１．４８～１．８０,１．３８～１．７０,1.67,1.58,９２．９～１３７．３,93.1,９２．０～１８４．１,110.7
６水門開放,中央区,１．８３～２．１１,１．７３～２．０１,1.99,1.89,１０３．２～１２５．３,105.1,１３１．９～２０９．７,194.7
６水門開放,港区,１．８１～２．１０,１．７１～２．００,2.04,1.94,１０３．１～１０６．４,103.5,１８５．９～１９４．７,192.2
６水門開放,江東区,１．４２～２．０８,１．３２～１．９８,1.83,1.73,９５．９～１６０．９,104.0,１０２．６～２５３．５,194.7
６水門開放,品川区,１．４３～２．１５,１．３３～２．０５,1.91,1.80,１０２．４～２００．８,102.5,１２７．４～２０１．０,195.1
６水門開放,大田区,１．３７～２．１０,１．２８～２．００,1.74,1.65,７６．１～２１２．１,79.6,８７．１～２２９．１,190.9
６水門開放,江戸川区,１．３０～１．８０,１．２０～１．７１,1.53,1.44,９６．０～２３９．２,96.8,９９．７～６７３．８,100.7
８水門閉鎖,東京湾埋立地,１．４８～１．８３,１．３９～１．７４,1.67,1.58,９３．５～１１３．１,93.7,１０３．９～１１５．１,111.9
８水門閉鎖,中央区,１．８８～２．２１,１．７９～２．１１,2.09,1.99,１０３．０～１２１．７,104.9,１３１．７～２１１．０,197.6
８水門閉鎖,港区,１．８１～２．１８,１．７２～２．０８,2.05,1.95,１０２．５～１０６．２,103.3,１９２．０～１９６．４,195.8
８水門閉鎖,江東区,１．５４～２．２５,１．４５～２．１６,1.86,1.77,９７．４～１６６．４,109.3,１０２．１～２０８．７,203.6
８水門閉鎖,品川区,１．４４～２．２８,１．３４～２．１８,1.90,1.80,１０２．７～１２７．４,103.1,１１５．４～２００．０,196.7
８水門閉鎖,大田区,１．３３～２．１０,１．２４～２．００,1.70,1.61,７７．５～２０９．８,104.1,８６．０～２２１．５,195.1
８水門閉鎖,江戸川区,１．４４～１．９３,１．３５～１．８４,1.66,1.57,９６．９～１８１．７,119.9,１００．５～２６６．５,129.5
８水門開放,東京湾埋立地,１．４６～１．７９,１．３７～１．６９,1.64,1.55,９４．０～１１３．６,94.3,１０３．９～１８１．９,111.5
８水門開放,中央区,１．７６～２．０６,１．６６～１．９６,1.94,1.84,１０４．７～１２８．２,106.6,１３１．５～２１３．２,198.1
８水門開放,港区,１．７３～２．０６,１．６４～１．９６,1.94,1.84,１０４．８～１０８．８,104.8,１９２．１～１９７．１,196
８水門開放,江東区,１．４４～２．０４,１．３５～１．９５,1.75,1.66,９８．３～１６４．８,105.4,１０２．９～２５５．６,196.3
８水門開放,品川区,１．４２～２．１７,１．３２～２．０７,1.83,1.73,１０３．６～１２７．１,103.7,１１５．５～１９７．３,196.8
８水門開放,大田区,１．３３～２．０３,１．２４～１．９３,1.68,1.58,７７．５～２９０．２,104.8,８５．６～２２９．９,194.6
８水門開放,江戸川区,１．３２～１．７５,１．２３～１．６６,1.49,1.40,９７．２～２７５．０,98.0,１００．２～６７６．１,101.5
