ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
2,（１３）差木地漁港周辺,２．４３～４．４２,２．３５～４．３４,2.93,2.85,２６．５～４２．４,26.8,５２．１～１４３．４,116.1
2,（１４）差木地漁港,２．４３～３．４２,２．３５～３．３４,2.88,2.80,２６．５～４２．４,26.5,５６．２～１４２．９,56.5
2,（１５）砂の浜周辺,２．５４～５．２８,２．４５～５．２０,3.57,3.49,２５．６～２８．３,26.3,５６．５～１１９．８,59.8
2,（１６）野増漁港周辺,２．６３～３．７８,２．５５～３．７０,3.08,3.01,２６．１～２８．４,27.3,４８．７～１２８．４,127.5
2,（１７）野増漁港,２．８０～３．６５,２．７３～３．５７,3.17,3.09,２６．２～２８．４,27.2,４８．７～１２８．４,127.7
2,島全体,１．４２～５．２８,１．３７～５．２０,2.65,2.58,２５．６～１４４．８,26.3,３９．８～１６１．７,59.8
5,（１）元町港周辺,２．００～３．７７,１．９６～３．７３,2.67,2.63,４２．８～１５５．５,42.9,１３６．４～１６４．５,136.7
5,（２）元町港・元町漁港,２．００～３．３６,１．９６～３．３３,2.56,2.53,４９．５～１５５．５,49.5,１３６．７～１６４．５,163.7
5,（３）和泉浜周辺,１．７４～３．５４,１．７０～３．５０,2.39,2.36,２８．８～１５５．９,127.4,１４６．７～１６３．６,162.4
5,（４）万立浜周辺,１．７２～２．５２,１．６８～２．４８,1.96,1.92,１２７．４～１５５．３,133.3,１４４．３～１６９．９,169.7
5,（５）野田浜周辺,１．６６～２．９７,１．６２～２．９３,2.12,2.09,１２８．９～１５６．０,129.8,１４１．６～１６５．２,141.6
5,（６）岡田港周辺,１．４３～３．３０,１．４０～３．２７,2.25,2.22,６９．９～１６４．７,69.9,１４０．８～１６４．８,140.8
5,（７）岡田港・岡田漁港,１．６８～３．３０,１．６５～３．２７,2.51,2.48,６９．９～１５２．４,69.9,１４０．８～１５８．８,140.8
5,（８）泉津漁港周辺,１．２３～１．９６,１．２０～１．９３,1.39,1.36,１４７．７～１６２．５,147.7,１４７．４～１６５．０,162.5
5,（９）泉津漁港,１．２６～１．９６,１．２３～１．９３,1.44,1.41,１４７．７～１６２．５,147.7,１４７．４～１６４．５,162.5
5,（１０）筆島周辺,２．１５～３．６１,２．１１～３．５７,2.69,2.65,７０．８～１２４．５,74.5,１１５．４～１７１．６,158.5
5,（１１）波浮港周辺,１．６６～３．６１,１．６２～３．５８,2.12,2.08,５９．０～１６５．６,110.9,７２．３～１６６．０,158.4
5,（１２）波浮港,１．６６～３．６８,１．６２～３．６４,2.15,2.11,７２．１～１６５．６,74.6,７２．３～１６６．０,158.4
5,（１３）差木地漁港周辺,１．７１～４．２８,１．６７～４．２４,2.44,2.40,２９．０～１４９．５,29.0,１３０．５～１６２．１,138.6
5,（１４）差木地漁港,１．７１～２．６５,１．６７～２．６１,2.13,2.09,５９．２～１４２．２,59.6,１４２．０～１６２．１,150.5
5,（１５）砂の浜周辺,１．９３～４．１８,１．８９～４．１４,2.96,2.92,２７．９～１５０．５,48.3,１２１．５～１７４．１,163.9
5,（１６）野増漁港周辺,１．７９～３．０９,１．７５～３．０５,2.31,2.27,２９．９～１５５．５,50.1,１５４．５～１６４．２,163.5
5,（１７）野増漁港,１．７９～３．０９,１．７５～３．０５,2.27,2.23,２９．９～１５５．５,50.1,１５４．５～１６４．２,163.5
5,島全体,１．２２～４．２８,１．１９～４．２４,2.26,2.22,２７．９～１６５．６,29.0,７２．３～１７４．１,138.6
6,（１）元町港周辺,５．７６～１３．２２,５．７４～１３．２０,8.54,8.52,２０．２～２１．５,21.5,２１．５～４５．９,28.2
6,（２）元町港・元町漁港,５．７６～１０．４３,５．７４～１０．４１,7.76,7.74,２０．２～２１．２,21.1,２１．４～４５．９,28.2
6,（３）和泉浜周辺,５．７５～８．９４,５．７３～８．９２,7.19,7.17,２０．２～２０．８,20.8,２１．０～２１．７,21.5
6,（４）万立浜周辺,５．０３～７．０１,５．０１～６．９９,6.14,6.12,２０．２～２０．７,20.5,２１．１～２６．４,21.3
6,（５）野田浜周辺,３．９６～８．１６,３．９４～８．１４,6.27,6.25,２０．７～２２．４,21.5,２１．８～４３．５,22.3
6,（６）岡田港周辺,２．５９～８．２３,２．５５～８．２１,4.94,4.91,２２．９～２４．２,24.1,２３．８～４９．５,29.1
6,（７）岡田港・岡田漁港,３．３７～８．２３,３．３４～８．２１,5.86,5.84,２２．９～２４．２,24.1,２３．８～３９．７,29.1
6,（８）泉津漁港周辺,２．０２～３．６８,１．９７～３．６３,2.53,2.47,２３．０～２５．３,23.3,２８．５～５０．１,33.3
6,（９）泉津漁港,２．２７～３．６８,２．２２～３．６３,2.68,2.63,２３．２～２３．３,23.3,３２．９～５０．１,33.3
6,（１０）筆島周辺,４．２０～８．３５,４．１２～８．２８,6.23,6.16,２２．９～２４．２,24.0,２３．４～６１．４,37.8
6,（１１）波浮港周辺,２．８１～９．２３,２．７５～９．１９,5.33,5.27,２１．０～２３．７,21.2,２１．８～３６．６,22.3
6,（１２）波浮港,２．８１～６．６２,２．７５～６．５５,4.74,4.68,２１．７～２３．７,22.9,２２．２～３６．６,23.4
6,（１３）差木地漁港周辺,５．９５～１０．１６,５．９１～１０．１２,7.51,7.48,２０．２～２１．５,21.4,２１．１～２６．８,22.2
6,（１４）差木地漁港,５．９６～８．３９,５．９２～８．３５,7.02,6.98,２０．６～２１．２,20.8,２１．５～２２．０,21.5
6,（１５）砂の浜周辺,６．５８～１１．９８,６．５６～１１．９６,9.17,9.15,１９．７～２０．８,20.7,２０．９～４１．７,21.4
6,（１６）野増漁港周辺,７．８７～１３．９４,７．８５～１３．９２,10.47,10.45,２０．３～２１．５,21.1,２１．０～２８．８,27.8
6,（１７）野増漁港,７．８７～１３．９４,７．８５～１３．９２,10.05,10.03,２０．５～２１．５,21.1,２１．４～２８．８,27.8
6,島全体,２．０２～１４．５７,１．９７～１４．５５,6.38,6.33,１９．７～２５．４,20.7,２０．９～６７．０,21.4
8,（１）元町港周辺,６．１０～１２．８７,６．０４～１２．８１,8.85,8.79,２１．３～２２．６,22.5,２２．５～４６．７,23.2
8,（２）元町港・元町漁港,６．１０～９．７１,６．０４～９．６４,8.27,8.20,２１．３～２２．３,22.1,２２．４～４６．７,29.2
8,（３）和泉浜周辺,６．１９～９．４２,６．１３～９．３６,7.70,7.63,２１．２～２１．９,21.8,２２．１～２２．７,22.5
8,（４）万立浜周辺,５．３８～７．６７,５．３１～７．６１,6.68,6.61,２１．３～２１．８,21.6,２２．１～２７．４,22.4
8,（５）野田浜周辺,４．４７～８．９７,４．４１～８．９１,6.95,6.89,２１．８～２３．５,22.6,２２．９～４５．２,23.3
8,（６）岡田港周辺,２．５５～８．５９,２．５０～８．５３,5.14,5.09,２３．９～２５．２,25.1,２４．８～５０．３,30.0
8,（７）岡田港・岡田漁港,３．６７～８．５９,３．６２～８．５３,6.12,6.07,２３．９～２５．２,25.1,２４．９～４０．６,30.0
8,（８）泉津漁港周辺,２．１９～３．７２,２．１４～３．６７,2.64,2.58,２４．１～２４．７,24.4,３２．２～５１．２,34.4
8,（９）泉津漁港,２．３０～３．７２,２．２５～３．６７,2.73,2.68,２４．２～２４．４,24.4,３３．９～５０．６,34.4
8,（１０）筆島周辺,４．１７～８．５６,４．１０～８．４９,6.29,6.22,２３．９～２５．２,24.5,２４．４～６２．１,25.0
8,（１１）波浮港周辺,２．９３～９．９０,２．８７～９．８４,5.70,5.64,２２．１～２４．６,22.3,２２．８～５１．７,23.3
8,（１２）波浮港,２．９３～７．２１,２．８７～７．１４,5.04,4.98,２２．７～２４．６,24.0,２３．２～５１．７,24.4
8,（１３）差木地漁港周辺,６．３２～１０．９４,６．２５～１０．８８,8.08,8.01,２１．２～２２．５,22.5,２２．１～２７．８,23.3
8,（１４）差木地漁港,６．３７～９．０３,６．３０～８．９７,7.49,7.42,２１．６～２２．２,21.8,２２．５～２３．０,22.5
8,（１５）砂の浜周辺,６．９４～１２．７４,６．８８～１２．６７,9.70,9.64,２０．８～２１．９,21.7,２１．９～２７．８,22.5
8,（１６）野増漁港周辺,７．８７～１３．４２,７．８０～１３．３６,10.94,10.88,２１．４～２２．６,22.2,２２．１～２９．８,28.8
8,（１７）野増漁港,７．８７～１３．４２,７．８０～１３．３６,10.33,10.26,２１．６～２２．６,22.2,２２．４～２９．８,28.8
8,島全体,２．１９～１５．７６,２．１４～１５．６９,6.73,6.66,２０．８～２５．９,21.7,２１．９～６２．８,22.4
