区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,津波全壊棟数,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者津波（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
大田区,693373,657209,59.5,0.0,0.0,2.6,94.2,3.3,99142,45038,13503,13253,179,71,11776,1476,11.9,3.3,70,88,39,8412,7639,601,423,5,170,0,3,0,15,8509,7630,6,751,108,14,354,1345,1088,3,210,42,1,77,301656,556136,166426,368,334,4213,432,大
世田谷区,877138,736040,58.1,0.0,0.0,65.3,34.7,0.0,129338,56307,4435,4385,5,45,3861,523,3.0,0.9,57,0,17,1831,1788,197,136,3,35,0,23,1,8,4634,3681,4,126,784,38,180,677,330,2,35,306,4,39,182625,601311,168047,201,116,1248,167,世
渋谷区,204492,542803,15.1,0.0,0.0,78.6,21.4,0.0,19674,19101,1172,1158,2,12,940,219,4.8,1.1,12,0,6,79,76,72,65,1,3,0,3,0,5,2985,2868,2,10,96,8,156,293,251,1,3,37,1,34,45728,529282,222342,275,12,1053,58,渋
中野区,314750,285636,15.6,0.0,0.0,100.0,0.0,0.0,51464,20821,600,588,1,10,528,60,1.0,0.3,14,0,3,278,276,25,19,1,5,0,1,0,3,869,829,1,8,31,1,67,58,44,0,2,12,0,15,48758,213227,58123,67,14,158,32,中
杉並区,549569,439379,34.0,0.0,0.0,99.8,0.2,0.0,92388,30825,1230,1227,2,1,1121,106,1.2,0.3,2,0,4,1718,1701,74,38,0,31,0,5,0,4,1721,1437,0,103,176,5,109,177,80,0,29,69,0,24,96538,358016,92357,98,47,314,62,杉
豊島区,284678,378475,13.0,0.0,0.0,100.0,0.0,0.0,37098,19923,693,689,2,3,616,74,1.7,0.4,12,0,3,264,261,44,34,0,7,0,2,0,4,1738,1637,0,11,86,3,111,126,88,0,3,34,0,24,47975,374171,140005,151,15,332,38,豊
北区,335544,307317,20.6,0.0,0.0,98.7,1.2,0.0,50151,22372,1324,1200,19,105,1103,97,2.2,0.4,58,0,3,137,135,51,40,7,3,0,1,0,3,1590,1541,8,6,34,2,76,117,98,4,2,13,0,16,66296,247350,69466,80,36,353,64,北
荒川区,203296,184021,10.2,0.0,0.0,68.1,31.9,0.0,26888,11633,2340,2320,16,4,2182,138,8.1,1.2,5,0,6,234,220,96,90,0,5,0,1,0,2,2003,1957,0,9,33,4,43,194,178,0,3,13,0,9,65954,144651,39287,77,67,777,69,荒
板橋区,535824,456425,32.2,0.0,0.5,99.5,0.0,0.0,65083,29528,742,691,6,44,604,88,0.9,0.3,54,0,4,336,334,34,21,3,7,0,3,0,5,1466,1329,3,10,120,3,116,114,63,2,3,47,0,25,75401,377648,104123,109,22,246,49,板
練馬区,716124,530628,48.2,0.0,0.1,99.9,0.0,0.0,114320,32078,556,549,4,3,487,62,0.4,0.2,12,0,5,1141,1137,46,16,0,19,0,11,0,6,1364,928,0,53,378,4,127,201,38,0,15,148,0,28,83020,417116,98294,90,33,151,40,練
足立区,683426,539309,53.2,0.0,0.0,99.4,0.6,0.0,104482,38845,3039,2966,73,0,2741,225,2.6,0.6,0,0,9,867,849,112,94,0,16,0,2,0,6,3263,3153,0,37,69,4,130,252,215,0,10,27,0,28,168535,430379,107115,103,88,803,143,足
葛飾区,442586,343039,34.8,0.0,0.3,95.7,4.0,0.0,78991,27793,2445,2348,97,0,2175,173,2.8,0.6,0,0,7,644,630,91,77,0,12,0,2,0,4,2196,2121,0,18,55,3,89,182,155,0,5,21,0,19,122860,292473,70560,68,63,587,124,葛
江戸川区,678967,534942,49.9,0.0,0.0,55.2,44.8,0.0,87962,33956,3861,3769,92,0,3452,317,3.9,0.9,0,19,19,1073,1039,130,108,0,19,0,3,0,5,3427,3269,0,59,93,6,125,339,286,0,16,36,1,27,204298,414385,102564,154,92,1136,159,江
区部計,8945695,11284699,616.7,0.0,0.1,67.2,32.4,0.3,1221273,605864,56191,54992,625,573,48803,6189,4.0,1.0,592,230,223,21412,20250,2881,2310,50,447,0,72,2,138,80531,76198,62,1637,2490,143,3851,8762,7287,31,458,971,15,839,2176909,10635113,3790824,5033,1313,26623,2248,区
八王子市,580053,549417,186.3,0.0,47.4,25.4,27.2,0.0,118849,35966,3798,3591,7,199,3242,349,2.7,1.0,509,0,15,1121,1095,172,133,13,24,0,1,0,6,3095,2965,16,73,38,2,146,324,281,8,21,15,0,32,94314,489631,146971,154,80,1021,127,八
立川市,179668,193465,24.4,0.0,0.0,98.4,1.6,0.0,35188,11697,533,523,0,10,458,66,1.3,0.6,16,0,2,125,123,25,20,1,3,0,1,0,2,837,807,1,5,22,1,52,67,56,0,1,9,0,11,17531,174410,56735,60,11,176,24,立
武蔵野市,138734,154448,10.7,0.0,0.0,100.0,0.0,0.0,21101,8163,249,249,0,0,221,28,1.0,0.3,0,0,1,169,168,15,10,0,4,0,1,0,2,608,579,0,6,23,0,45,43,32,0,2,9,0,10,28076,151201,53755,52,6,106,13,武
三鷹市,186083,148458,16.5,0.0,0.0,100.0,0.0,0.0,32764,8103,550,532,1,17,497,36,1.5,0.4,9,0,1,215,212,23,18,1,4,0,1,0,2,698,665,1,6,25,1,40,51,39,1,2,10,0,9,33515,131438,36195,36,13,149,23,三
青梅市,139339,127176,103.3,61.2,17.7,21.1,0.0,0.0,37782,7607,92,38,0,54,32,6,0.1,0.1,511,0,1,76,76,6,1,3,2,0,0,0,1,92,83,4,3,2,0,11,7,3,2,1,1,0,2,3604,112351,30734,6,3,10,7,青
府中市,255506,236133,29.3,0.0,0.0,100.0,0.0,0.0,47162,14711,461,445,5,11,405,40,0.9,0.3,8,0,3,202,201,22,16,1,4,0,0,0,3,732,707,1,7,16,0,64,47,38,0,2,6,0,14,35538,212025,66153,58,11,131,25,府
昭島市,112297,100508,17.3,0.0,0.0,76.2,23.8,0.0,20558,5530,448,443,1,5,401,41,2.0,0.7,9,0,2,131,129,19,15,0,3,0,0,0,1,501,486,0,5,9,0,27,41,36,0,1,4,0,6,16408,89744,25772,7,10,141,17,昭
調布市,223593,186275,21.5,0.0,0.0,96.6,3.4,0.0,29412,8668,615,601,3,11,540,61,1.8,0.7,17,0,2,137,135,23,19,1,3,0,1,0,2,822,794,1,5,22,1,49,66,56,0,1,8,0,11,48157,162590,46407,45,14,237,27,調
町田市,426987,364091,71.6,0.0,1.1,6.9,91.3,0.7,87953,22322,8500,8358,7,135,7659,699,8.7,3.1,198,0,25,2701,2497,321,259,8,53,0,2,0,8,4380,4099,10,211,56,5,192,632,546,5,59,22,1,42,142660,319134,86680,124,188,2084,195,町
小金井市,118852,95195,11.3,0.0,0.0,100.0,0.0,0.0,22335,5024,205,203,0,2,190,13,0.8,0.3,4,0,1,120,120,10,8,0,2,0,0,0,1,309,294,0,3,11,0,25,20,15,0,1,4,0,5,16469,80649,22652,6,6,58,10,小
小平市,187035,160499,20.5,0.0,0.0,100.0,0.0,0.0,42481,9322,466,466,0,0,438,29,1.0,0.3,0,0,2,189,187,21,16,0,4,0,1,0,2,600,570,0,6,24,1,42,43,32,0,2,9,0,9,19625,137813,38306,10,12,111,19,小
日野市,180052,154114,27.5,0.0,0.0,47.4,52.6,0.0,33122,9441,1349,1242,4,103,1095,147,3.3,1.6,72,0,6,190,185,52,40,6,4,0,1,0,3,1027,971,8,9,38,2,74,117,95,4,2,15,0,16,35100,135905,38531,38,28,371,48,日
東村山市,153557,115046,17.2,0.0,0.7,99.3,0.0,0.0,31779,6245,116,109,1,5,98,11,0.3,0.2,8,0,2,96,96,6,3,0,2,0,1,0,1,222,186,0,3,33,0,30,22,8,0,1,13,0,7,13741,99112,23310,7,5,28,8,東
国分寺市,120650,95649,11.5,0.0,0.0,100.0,0.0,0.0,20001,4889,368,340,0,28,320,20,1.6,0.4,15,0,1,108,106,16,10,2,2,0,3,0,1,439,339,2,3,92,2,26,58,19,1,1,36,0,6,16648,86028,23791,22,9,93,15,国
国立市,75510,71295,8.2,0.0,0.0,99.8,0.2,0.0,8768,2557,160,155,0,4,143,12,1.6,0.5,2,0,1,79,78,8,5,0,2,0,0,0,1,237,228,0,2,6,0,19,17,14,0,1,2,0,4,10181,61502,18218,3,4,71,7,国
福生市,59796,52442,10.2,0.0,0.0,100.0,0.0,0.0,11631,3475,151,143,0,7,131,12,1.1,0.4,9,0,1,85,84,7,5,0,2,0,0,0,1,187,179,1,3,5,0,13,13,10,0,1,2,0,3,5573,41779,10596,4,4,38,7,福
狛江市,78751,57386,6.4,0.0,0.0,100.0,0.0,0.0,10391,2668,199,199,0,0,186,13,1.8,0.5,0,0,1,127,125,8,6,0,2,0,0,0,1,245,231,0,3,11,0,13,18,13,0,1,4,0,3,17376,43071,8872,3,6,63,8,狛
東大和市,83068,64274,13.5,0.0,0.0,100.0,0.0,0.0,17689,3856,254,245,0,8,230,16,1.3,0.4,8,0,1,160,158,12,9,0,3,0,0,0,1,302,285,1,4,12,0,18,23,17,0,1,5,0,4,10188,59513,15194,4,8,65,10,東
清瀬市,74104,60733,10.2,0.0,15.3,84.7,0.0,0.0,13007,3111,33,31,1,2,26,4,0.2,0.1,5,0,0,22,22,2,1,0,0,0,0,0,1,77,74,0,1,2,0,16,4,3,0,0,1,0,3,7314,51898,12939,3,1,10,3,清
東久留米市,116546,90315,12.9,0.0,0.1,99.9,0.0,0.0,21922,3959,84,71,0,13,63,9,0.3,0.2,11,0,1,79,79,4,2,1,1,0,0,0,1,143,131,1,2,10,0,22,10,5,0,1,4,0,5,11397,72147,16721,4,3,20,6,東
武蔵村山市,70053,59591,15.4,0.0,0.0,99.7,0.3,0.0,16788,3785,153,151,0,1,138,13,0.8,0.3,11,0,1,114,113,7,5,0,2,0,0,0,1,160,154,0,3,2,0,15,10,8,0,1,1,0,3,7169,51159,13997,4,5,34,7,武
多摩市,147648,137622,21.1,0.0,0.0,37.6,62.4,0.0,12107,5304,580,511,2,67,438,72,3.6,1.4,43,0,4,28,28,23,17,5,1,0,0,0,1,905,889,6,4,6,0,38,84,78,3,1,2,0,8,35192,129381,39123,8,10,330,25,多
稲城市,84835,58913,18.0,0.0,0.0,90.3,9.7,0.0,11702,3370,338,308,2,28,287,22,2.5,0.6,46,0,1,19,18,12,10,2,0,0,0,0,1,368,362,2,1,2,0,16,28,26,1,0,1,0,4,19968,54682,14593,4,8,101,13,稲
羽村市,57032,55966,9.9,0.0,1.3,98.7,0.0,0.0,8513,3578,21,17,0,5,11,6,0.1,0.2,12,0,1,171,171,4,0,0,3,0,0,0,1,46,40,0,5,2,0,14,4,2,0,1,1,0,3,4380,45720,13497,4,2,7,3,羽
あきる野市,80868,67814,73.3,26.3,34.9,37.7,1.2,0.0,26124,4269,215,167,0,48,156,11,0.6,0.3,271,0,1,377,375,17,7,3,7,0,0,0,1,187,170,4,9,5,0,18,15,9,2,2,2,0,4,5637,60658,15173,4,9,34,11,あ
西東京市,196511,148056,15.9,0.0,0.0,100.0,0.0,0.0,31416,6457,211,210,0,1,194,16,0.6,0.2,1,0,1,170,169,9,6,0,2,0,1,0,2,349,325,0,3,21,0,39,24,15,0,1,8,0,8,27345,127759,31227,7,12,65,12,西
瑞穂町,33497,36088,16.8,0.0,1.9,98.1,0.0,0.0,8480,2652,23,23,0,0,19,4,0.2,0.1,1,0,1,54,54,2,1,0,1,0,0,0,0,51,48,0,2,1,0,10,3,2,0,1,0,0,2,2125,33909,10651,3,1,7,2,瑞
日の出町,16650,13965,28.1,31.0,23.3,45.5,0.2,0.0,5321,1194,78,34,0,44,31,3,0.6,0.2,183,0,0,87,87,7,2,3,2,0,0,0,0,46,39,4,2,1,0,5,5,2,2,1,0,0,1,1411,15893,4655,1,3,8,4,日
檜原村,2558,2566,105.4,19.7,80.3,0.0,0.0,0.0,1865,307,22,0,0,22,0,0,0.0,0.0,235,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,89,2688,562,0,1,0,1,檜
奥多摩町,6045,6205,225.6,98.3,1.7,0.0,0.0,0.0,3975,868,3,0,0,3,0,0,0.0,0.0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6036,1480,0,0,0,0,奥
多摩計,4185878,3663705,1159.9,28.7,19.9,38.3,13.1,0.0,790186,209098,20275,19407,36,832,17650,1757,2.2,0.8,2592,0,81,7153,6889,855,645,53,142,0,14,0,47,17667,16699,66,386,498,17,1078,1794,1456,33,108,194,2,235,686772,3239826,923490,682,471,5571,678,多
都計,13131573,14948404,1776.6,18.8,13.0,48.3,19.8,0.1,2011459,814962,76465,74399,661,1405,66453,7946,3.3,1.0,3184,230,304,28565,27139,3736,2955,103,589,0,87,2,184,98198,92898,129,2023,2988,160,4929,10556,8743,64,566,1165,17,1074,2863681,13874939,4714314,5716,1784,32194,2926,都
