処理区,施設名,計画排水量計画晴天時汚水（ｍ３／日）,計画排水量計画雨天時汚水（ｍ３／日）,計画排水量計画雨天時汚水（ｍ３／秒）,計画排水量計画雨水量（ｍ３／秒）,現有排水能力（ｍ３／分）,内訳汚水ポンプ（ｍ３／分）,内訳雨水ポンプ（ｍ３／分）,備考
有明,台場その２,21950,21950,,-,18,18,-,
有明,青海その１,57200,57200,,-,20,20,-,
有明,青海その２,45190,45190,,-,24,24,-,
有明,有明南その１,22120,22120,,-,16,16,-,
有明,有明南その２,27730,27730,,-,20,20,-,
有明,有明北その１,27480,27480,,-,30,30,-,
有明,有明北その２,15980,15980,,-,12,12,-,
有明,中防内側,17970,-,,-,12,12,-,
有明,有明,6910,-,,-,6,6,-,
有明,青海ふ頭,23240,-,,-,29,29,-,
有明,有明（セ）,120000,,2.546,-,,-,-,
有明,計,397610,229490,2.546,,205,205,,
小台,神谷,11150,29550,,43.818,3212,32,3180,
小台,新田,14520,38530,,14.353,812,92,720,
小台,王子,-,-,,31.124,2255,-,2255,
小台,みやぎ（セ）,350000,,15.324,13.036,1940,1220,720,
小台,計,375670,68080,15.324,102.331,8219,1344,6875,
落合,中野（セ）,100000,,6.23,-,100,100,-,
落合,落合（セ）,340000,,21.183,-,1815,1815,-,
落合,計,440000,,24.615,,1915,1915,,
森ヶ崎,平和島,65750,175740,,20.011,1514,164,1350,
森ヶ崎,大森東,89160,243130,,36.054,2713,249,2464,
森ヶ崎,鮫洲,89510,90720,,15.943,1444,84,1360,
森ヶ崎,浜川,5180,9070,,3.913,515,20,495,
森ヶ崎,東海,33780,-,,-,42,42,-,
森ヶ崎,八潮,123120,-,,-,120,120,-,
森ヶ崎,京浜島,8990,-,,-,11,11,-,
森ヶ崎,羽田,63330,164770,,25.087,2064,154,1910,
森ヶ崎,六郷,53830,66270,,27.188,2534,69,2465,
森ヶ崎,東糀谷,1404090,3758140,,49.871,6485,2955,3530,
森ヶ崎,矢口,64200,75950,,61.215,3135,-,3135,
森ヶ崎,雑色,-,-,,20.028,1550,-,1550,
森ヶ崎,城南島,34730,-,,-,26,26,-,
森ヶ崎,勝島,-,142820,,24.444,1330,150,1180,
森ヶ崎,森ヶ崎（セ）,1540000,,64.29,62.138,8730,4410,4320,
森ヶ崎,計,3575670,4726610,77.04,345.892,32213,8454,23759,
小菅,本田,205370,543540,,20.505,1980,230,1750,
小菅,堀切,107480,284600,,21.488,2153,198,1955,
小菅,亀有,30150,79830,,14.487,1288,88,1200,
小菅,小菅（セ）,200000,,11.047,82.206,6420,1425,4995,
小菅,計,543000,907970,10.659,138.686,11841,1941,9900,
葛西,東小松川,254190,653700,,40.926,3260,540,2720,
葛西,新川,-,-,,23.31,1680,-,1680,
葛西,西小松川,23070,59360,,30.668,2277,57,2220,
葛西,篠崎,515640,1364950,,88.119,7270,1030,6240,
葛西,細田,-,-,,14,1120,-,1120,
葛西,小岩,-,-,,13,1040,-,1040,
葛西,新宿,-,-,,13,1040,-,1040,
葛西,新小岩,74480,191550,,34.147,2679,254,2425,
葛西,葛西（セ）,630000,,25.938,80.027,7110,1680,5430,
葛西,計,1497380,2269560,25.938,337.197,27476,3561,23915,
新河岸,志村,-,,-,18.546,1485,-,1485,
新河岸,浮間（セ）,220000,,17.574,45.77,4047,729,3318,
新河岸,新河岸（セ）,670000,,33.288,10.066,3730,2990,740,
新河岸,計,890000,,50.862,74.382,9262,3719,5543,
中川,梅田,146280,,-,102.686,7710,255,7455,
中川,加平,-,,-,24.967,1800,-,1800,
中川,東金町,-,,-,42.237,2920,-,2920,
中川,熊の木,-,,-,75.22,5100,-,5100,
中川,中川（セ）,590000,,9.904,37.49,3450,1170,2280,
中川,計,736280,,9.904,282.6,20980,1425,19555,
合計,,13608970,15569720,333.866,2203.798,180413,32716,147697,
