ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
5,（５）洞輪沢漁港,４．４４～６．７４,４．４３～６．７３,5.41,5.40,３８．７～４０．２,39.0,６７．２～９６．６,77.9
5,（６）乙千代ヶ浜・藍ヶ江漁港周辺,２．１０～５．６５,２．０９～５．６４,3.29,3.28,３２．２～３４．０,33.6,５１．９～１７０．１,71.5
5,（７）中之郷漁港,２．７８～５．６５,２．７７～５．６４,3.96,3.95,３３．６～３４．０,33.6,７１．４～９１．４,71.5
5,（８）南原・横間海岸周辺,１．９５～４．９８,１．９４～４．９８,3.39,3.38,３０．８～５０．５,32.6,３８．１～１６５．５,161.0
5,（９）八重根港・八重根漁港,２．９１～４．８７,２．９０～４．８６,3.93,3.92,３１．９～３５．０,32.8,４１．９～１６１．０,60.1
5,（１０）ナズマド漁港,１．７６～２．４７,１．７５～２．４６,2.15,2.14,５０．３～１５０．１,50.8,１４９．８～１６５．５,149.8
5,（１１）永郷地域周辺,１．６９～３．９８,１．６８～３．９８,2.34,2.33,３３．２～１５７．９,33.2,５７．５～１６３．５,110.2
5,（１２）出鼻漁港,２．１９～２．８２,２．１８～２．８２,2.44,2.43,５２．８～５７．６,52.8,５７．８～１５７．９,57.8
5,島全体,１．６９～８．６８,１．６８～８．６７,3.66,3.65,３０．８～１５７．９,38.6,３８．１～１７０．１,71.5
6,（１）神湊・底土海岸周辺,３．２８～９．７０,３．２８～９．６９,5.89,5.89,２４．５～２８．５,27.1,２５．４～８５．２,78.3
6,（２）神湊漁港,３．７０～９．１６,３．７０～９．１６,5.74,5.74,２５．３～２８．５,25.6,２７．５～４１．０,40.2
6,（３）神湊港,４．１５～９．７０,４．１５～９．６９,6.53,6.53,２６．０～２７．２,27.1,２７．６～８５．２,78.3
6,（４）汐間海岸・洞輪沢漁港周辺,４．２２～１３．９４,４．２２～１３．９３,7.36,7.36,２８．８～３２．６,31.7,３２．３～７９．６,41.4
6,（５）洞輪沢漁港,５．９３～９．２８,５．９２～９．２８,7.76,7.75,３１．３～３２．６,32.4,３２．３～４１．７,33.2
6,（６）乙千代ヶ浜・藍ヶ江漁港周辺,６．５０～１１．７２,６．５０～１１．７１,9.53,9.53,２６．０～２７．６,27.0,２６．７～３５．７,27.9
6,（７）中之郷漁港,７．２２～１０．６７,７．２１～１０．６７,9.48,9.48,２７．０～２７．６,27.3,２７．９～２８．８,28.6
6,（８）南原・横間海岸周辺,４．８４～１８．０７,４．８４～１８．０７,10.98,10.97,２２．７～２７．６,25.1,２３．５～３５．４,32.6
6,（９）八重根港・八重根漁港,１０．７０～１８．０７,１０．６９～１８．０７,13.15,13.15,２５．１～２７．６,25.1,２６．８～３５．０,32.6
6,（１０）ナズマド漁港,４．６３～５．３１,４．６３～５．３１,4.81,4.81,２２．５～２２．７,22.7,２３．４～３０．５,30.4
6,（１１）永郷地域周辺,３．６７～８．６５,３．６６～８．６５,4.60,4.60,２２．５～２４．５,23.7,２３．３～３４．４,29.4
6,（１２）出鼻漁港,４．６４～５．３４,４．６３～５．３４,4.85,4.85,２２．７～２２．９,22.9,２３．５～２８．７,28.5
6,島全体,３．２８～１８．０７,３．２８～１８．０７,7.78,7.78,２２．５～３２．６,25.1,２３．３～９１．０,32.6
8,（１）神湊・底土海岸周辺,３．１３～９．６９,３．１３～９．６９,5.70,5.70,２５．２～２９．０,27.9,３５．２～７４．４,73.2
8,（２）神湊漁港,３．２６～７．７０,３．２６～７．７０,5.11,5.11,２６．１～２９．０,26.7,３７．１～４４．０,41.3
8,（３）神湊港,４．２９～９．６９,４．２９～９．６９,6.72,6.72,２６．７～２８．０,27.9,３６．７～７４．４,73.2
8,（４）汐間海岸・洞輪沢漁港周辺,３．１６～１２．２６,３．１５～１２．２５,6.96,6.96,２９．８～３３．６,32.6,３９．６～９０．３,77.3
8,（５）洞輪沢漁港,６．５０～８．８９,６．５０～８．８９,7.26,7.26,３２．２～３３．６,33.3,４１．５～７９．７,78.4
8,（６）乙千代ヶ浜・藍ヶ江漁港周辺,４．４８～８．００,４．４８～８．００,6.33,6.33,２６．７～２８．４,27.8,２７．２～３５．５,28.5
8,（７）中之郷漁港,４．７０～７．２０,４．６９～７．１９,6.30,6.30,２７．８～２８．４,28.0,２８．７～３３．３,33.2
8,（８）南原・横間海岸周辺,３．８２～１２．０４,３．８２～１２．０４,7.82,7.82,２３．４～２８．５,27.2,２４．２～４０．８,32.5
8,（９）八重根港・八重根漁港,７．３８～１２．０４,７．３８～１２．０４,8.99,8.99,２６．１～２８．５,27.2,２７．５～３５．６,32.5
8,（１０）ナズマド漁港,３．５４～４．４１,３．５４～４．４１,3.95,3.95,２３．３～２３．４,23.4,２４．１～３０．０,29.8
8,（１１）永郷地域周辺,２．９６～６．７８,２．９６～６．７８,3.91,3.91,２３．２～２５．３,24.3,２４．０～４６．５,30.1
8,（１２）出鼻漁港,３．８２～４．２５,３．８２～４．２５,4.01,4.01,２３．５～２３．７,23.6,２４．２～３０．０,24.3
8,島全体,２．９６～１２．２６,２．９６～１２．２５,6.24,6.24,２３．２～３３．６,32.6,２４．０～１１１．５,77.3
