区分１,区分２,区分３,指定拠点の種類,箇所,機能
主要初動対応,消防,,・消防署８１,81,二次
主要初動対応,消防,,・稲城市消防本部（消防署）,1,二次
主要初動対応,医療,病院等,・災害拠点病院７５,75,二次
主要初動対応,医療,病院等,・日赤東京都支部,1,二次
主要初動対応,医療,医薬品等備蓄倉庫,・立川地域防災センター,1,二次
主要初動対応,医療,医薬品等備蓄倉庫,・備蓄倉庫７,7,二次
主要初動対応,医療,医薬品等備蓄倉庫,・都薬剤師会医薬品・情報管理センター２０,20,二次
主要初動対応,医療,医薬品等備蓄倉庫,・医薬品卸売販売業者倉庫３５,35,二次
主要初動対応,医療,医薬品等備蓄倉庫,・医療用ガス販売業者倉庫８,8,二次
主要初動対応,医療,血液センター,・日赤東京都支部血液センター４,4,二次
主要初動対応,医療,血液センター,・献血供給事業団,1,二次
主要初動対応,医療,保健所等,・保健所、保健センター５８,58,二次
主要初動対応,救出救助拠点,救出救助拠点,・大規模救出救助活動拠点５８,58,二次
主要初動対応,救出救助拠点,救出救助拠点,・医療機関近接ヘリコプター緊急離着陸場８３,83,二次
主要初動対応,救出救助拠点,救出救助拠点,・河川等船着場（災害拠点病院近接）２０,20,二次
主要初動対応,救出救助拠点,その他,・都建設局公園緑地事務所２,2,二次
ライフライン,電信電話,,・ＮＴＴ東日本１３、ＫＤＤＩ５、ＮＴＴドコモ５、ＮＴＴコミュニケーションズ８、ソフトバンクモバイル２、ソフトバンクテレコム４,37,二次
ライフライン,電気,,・東京電力２１,21,二次
ライフライン,ガス,,・東京ガス１６,16,二次
ライフライン,水道,,・水道局支所等７、給水管理事務所２,9,二次
ライフライン,下水道,,・下水道事務所７、流域下水道本部,8,二次
輸送拠点,広域輸送基地,陸上輸送基地,・立川地域防災センター,1,三次
輸送拠点,広域輸送基地,陸上輸送基地,・トラックターミナル４,4,三次
輸送拠点,広域輸送基地,航空輸送基地,・東京国際空港,1,一次
輸送拠点,広域輸送基地,航空輸送基地,・東京都調布飛行場,1,一次
輸送拠点,広域輸送基地,航空輸送基地,・東京都東京ヘリポート,1,一次
輸送拠点,広域輸送基地,海上輸送基地,＜緊急物資輸送対応施設＞・大井食品ふ頭（２バース）、芝浦ふ頭（５バース）、辰巳ふ頭（２バース）、１０号地その１多目的ふ頭（１バース）、品川ふ頭（１バース）,5,一次
輸送拠点,広域輸送基地,海上輸送基地,＜国際海上コンテナ輸送対応施設＞・大井コンテナふ頭（３バース）,1,一次
輸送拠点,広域輸送基地,海上輸送基地,＜緊急物資輸送等対応施設＞・その他のふ頭７,7,三次
輸送拠点,水上輸送基地,,・河川等船着場（その他）６３,63,三次
輸送拠点,地域内輸送拠点,,・区市町村庁舎等（９１）,91,三次
輸送拠点,その他,,・駅　東京、秋葉原、上野、日暮里、田端、池袋、新宿、渋谷、品川（山手線）、赤羽、蒲田（京浜東北線）、吉祥寺、西国分寺、立川、八王子（中央線）、青梅（青梅線）、町田（横浜線）、北千住、亀有、金町（常磐線）、亀戸、小岩（総武線）,22,三次
輸送拠点,その他,,・駅　多摩センター（京王相模原線）,1,三次
輸送拠点,その他,,・駅　浅草（東武伊勢崎線）,1,三次
輸送拠点,その他,,・駅　テレコムセンター（臨海新交通線）,1,三次
輸送拠点,その他,,・駅　八王子、隅田川、東京貨物ターミナル（ＪＲ貨物）,3,三次
輸送拠点,その他,,・高速道路ＰＡ、ＳＡ（首都高１５、中央高速２）,17,三次
輸送拠点,その他,,・都中央卸売市場７,7,三次
車両基地,,,・都交通局自動車営業所１１／・その他車両基地２,13,三次
備蓄倉庫,,,・備蓄倉庫（直営倉庫）１０,10,三次
備蓄倉庫,,,・備蓄倉庫（兼用倉庫）７,7,三次
その他,,,・火葬場１８,18,三次
