ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
2,（６）大久保漁港周辺,３．６５～５．０５,３．６２～５．０２,4.40,4.37,２６．５～２７．８,26.6,３８．７～１０６．２,105.3
2,（７）大久保港・大久保漁港,３．６５～５．００,３．６２～４．９７,4.37,4.34,２６．８～２７．９,27.5,３８．７～１０６．２,106.1
2,（８）湯の浜漁港周辺,３．４３～５．０４,３．４０～５．０１,4.39,4.36,２８．１～２９．４,28.8,３１．１～１０４．７,39.9
2,（９）湯の浜漁港,３．６５～５．０４,３．６２～５．０１,4.44,4.41,２８．０～２９．４,28.8,３１．１～１０４．８,39.9
2,島全体,２．１４～７．６９,２．０９～７．６６,3.78,3.74,２１．８～３５．６,25.6,２２．９～１４９．１,52.6
5,（１）三池港,３．０１～６．６１,２．９８～６．５９,4.77,4.74,４３．５～１０５．２,94.2,１０４．７～１３３．８,110.9
5,（２）坪田漁港周辺,１．７５～４．５８,１．７２～４．５５,2.79,2.77,２７．９～１０４．７,58.7,９３．３～１４０．７,114.3
5,（３）坪田漁港,１．７５～４．５８,１．７２～４．５５,2.73,2.70,２７．９～１０４．７,58.7,１０３．３～１４０．７,114.3
5,（４）阿古漁港,１．５６～３．６８,１．５３～３．６５,2.65,2.62,２７．０～１４３．４,27.1,１０５．３～１４４．０,141.6
5,（５）伊ヶ谷漁港,３．０４～５．３５,３．０２～５．３３,4.31,4.29,２８．６～２９．２,29.0,１０５．５～１４６．１,105.6
5,（６）大久保漁港周辺,２．３３～５．７２,２．３１～５．７０,3.28,3.25,３０．５～３１．２,30.6,１０８．３～１４７．２,127.1
5,（７）大久保港・大久保漁港,２．３３～３．６９,２．３１～３．６７,2.90,2.88,３０．８～３１．５,30.8,１０８．２～１６９．２,131.3
5,（８）湯の浜漁港周辺,２．２１～３．８１,２．１９～３．７９,2.88,2.86,３１．８～４２．８,32.6,１０５．９～１７３．０,124.6
5,（９）湯の浜漁港,２．２１～３．８１,２．１９～３．７９,2.79,2.77,３１．７～３２．８,32.6,１０６．０～１７３．０,124.6
5,島全体,１．５６～６．８５,１．５３～６．８２,3.22,3.20,２６．４～１６０．７,94.4,５６．１～１７３．０,117.1
6,（１）三池港,４．５０～１０．２１,４．４９～１０．２０,7.48,7.47,２１．４～２２．８,22.7,３０．４～５０．８,36.5
6,（２）坪田漁港周辺,４．１６～８．２４,４．１４～８．２３,5.81,5.79,２０．４～２１．７,20.9,２３．０～５０．０,23.6
6,（３）坪田漁港,４．１６～８．２４,４．１４～８．２３,5.53,5.51,２０．４～２１．７,20.9,２３．０～４９．５,23.6
6,（４）阿古漁港,７．３５～１０．８３,７．３３～１０．８１,9.12,9.11,１９．８～２１．８,21.6,２２．１～２３．６,23.0
6,（５）伊ヶ谷漁港,１０．９０～１６．１０,１０．８８～１６．０９,13.90,13.89,２２．３～２３．１,22.9,２４．３～３２．４,24.6
6,（６）大久保漁港周辺,８．０５～１２．５５,８．０３～１２．５３,10.46,10.45,２３．０～２４．２,24.1,２６．２～４９．３,26.7
6,（７）大久保港・大久保漁港,８．０５～１２．５５,８．０３～１２．５３,10.65,10.64,２３．４～２４．３,24.1,２６．１～４９．３,26.7
6,（８）湯の浜漁港周辺,８．３７～１２．１７,８．３５～１２．１６,10.62,10.61,２４．４～２６．１,25.4,２６．４～２７．７,27.0
6,（９）湯の浜漁港,９．５０～１２．１７,９．４９～１２．１６,10.75,10.74,２４．３～２６．１,25.4,２６．４～２７．３,27.0
6,島全体,４．１６～１６．１０,４．１４～１６．０９,8.57,8.55,１９．３～２６．１,22.9,２１．５～５０．８,24.6
8,（１）三池港,４．２９～１０．７９,４．２５～１０．７６,7.37,7.33,２２．２～２４．３,23.1,２５．４～５７．３,57.1
8,（２）坪田漁港周辺,３．２２～９．８９,３．１８～９．８５,5.72,5.68,２１．１～２２．５,21.6,２３．８～３９．８,24.4
8,（３）坪田漁港,３．２２～９．８９,３．１８～９．８５,5.27,5.23,２１．２～２２．５,21.6,２４．０～３９．８,24.4
8,（４）阿古漁港,６．５２～１０．０５,６．５０～１０．０２,8.14,8.11,２０．６～２２．８,21.4,２３．０～４９．１,23.9
8,（５）伊ヶ谷漁港,９．９５～１６．９８,９．９２～１６．９５,12.95,12.92,２３．１～２３．９,23.7,２５．２～５０．８,49.9
8,（６）大久保漁港周辺,７．９６～１２．５７,７．９３～１２．５４,10.21,10.18,２４．０～２５．２,25.2,２６．９～５１．１,51.0
8,（７）大久保港・大久保漁港,７．９６～１２．９４,７．９３～１２．９１,10.22,10.20,２４．３～２５．２,25.2,２６．９～５１．１,50.9
8,（８）湯の浜漁港周辺,７．４７～１１．２９,７．４４～１１．２６,9.77,9.74,２５．３～２７．０,26.3,２７．３～２８．７,27.8
8,（９）湯の浜漁港,８．４２～１１．２９,８．４０～１１．２６,9.93,9.90,２５．２～２７．０,26.3,２７．３～２８．２,27.8
8,島全体,３．２２～１６．９８,３．１８～１６．９５,8.25,8.22,２０．１～２７．０,23.7,２２．３～６３．２,49.9
