品目階層,品目,Item,平成27年 2015／数量 Quantity,平成27年 2015／金額 Value,平成28年 2016／数量 Quantity,平成28年 2016／金額 Value,平成29年 2017／数量 Quantity,平成29年 2017／金額 Value
2,日本なし類,Japanese pears,23699,7283503,23927,7311237,24533,7435597
2,西洋なし類,European pears,3294,1038190,3346,1089812,3011,1026466
2,かき類,Japanese persimmons,22865,5591235,22071,6296181,22938,5857849
2,びわ類,Loquats,350,576559,259,480373,483,686116
2,もも類,Peaches,14033,7381849,15027,7707879,15101,8306097
2,すもも類,Plums,3151,1685892,3581,1863079,2775,1737377
2,おうとう類,Cherries,1775,3482107,2331,3870878,2178,3848306
2,あんず類,Apricots,77,45712,97,57195,76,51495
2,ぶどう類,Grapes,14731,13123609,14857,14246323,14649,15467449
2,くり類,Chestnuts,1084,574544,773,635694,934,703853
2,いちぢく類,Figs,1244,974314,1209,968775,1185,1007760
2,いちご類,Strawberries,23679,29824223,22990,30350899,24821,32440591
2,メロン類,Melons,20897,10592097,20601,10656101,19286,10356451
2,すいか類,Watermelons,43842,8922763,44705,9541418,42692,9461306
2,その他果実,Other fruits,43848,11894151,42997,11734629,42510,11104449
2,果実加工品,Processed fruits,3764,3302998,3633,3484358,3494,3376138
1,つけ物,Pickles,11374,6407054,11569,6702721,11041,6562786
1,その他食料品,Other foods,14442,3144140,13824,2983996,12749,2884470
1,鳥卵,Poultry eggs,11961,3292467,11968,3092191,11794,3061285
,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-1  品目別農産物の入荷数量 （平成27～29年） 10-1 RECEIVED AGRICULTURAL PRODUCTS BY ITEM（ 2015-2017 ）,,,,,,,,
第10-1～10-4表は， 都中央卸売市場の卸売業者が取扱ったものである。,,,,,,,,
Tables 10-1 through 10-4 show figures for transactions by wholesalers at Tokyo Metropolitan Central Wholesale Market.,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:野菜・果実・つけ物・その他食料品・鳥卵　2:農産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen),,,,,,,,
