年度末,End of fiscal year,地域コード,項番 Item number,地域,District,総額 Total value,行政財産 Administrative assets／総額 Total value,行政財産 Administrative assets／土地 Land／面積 Area(m2),行政財産 Administrative assets／土地 Land／価格 Value,行政財産 Administrative assets／建物 Buildings／延面積 Total floor space(m2),行政財産 Administrative assets／建物 Buildings／価格 Value,行政財産 Administrative assets／工作物 Structures,行政財産 Administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／総額 Total value,普通財産 Non-administrative assets／土地 Land／面積 Area(m2),普通財産 Non-administrative assets／土地 Land／価格 Value,普通財産 Non-administrative assets／建物 Buildings／延面積 Total floor space (m2),普通財産 Non-administrative assets／建物 Buildings／価格 Value,普通財産 Non-administrative assets／工作物 Structures,普通財産 Non-administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／不動産の信託の受益権 Real estate trust beneficiary rights
平成29,2017,13107,7,墨田区,Sumida-ku,252794,236681,575367,82912,511846,145305,8464,-,16113,184588,4184,24005,6509,15,5404,-
平成29,2017,13108,8,江東区,Koto-ku,567437,537719,1394116,363635,908192,165938,8137,8,29719,60513,14969,38406,10312,49,4389,-
平成29,2017,13109,9,品川区,Shinagawa-ku,790579,745162,1151980,579716,774615,155860,8176,1410,45417,90873,34532,32679,6652,5,4227,-
平成29,2017,13110,10,目黒区,Meguro-ku,468635,457348,755307,376606,519399,76569,4173,-,11287,64499,8715,16570,1797,22,753,-
平成29,2017,13111,11,大田区,Ota-ku,919290,891898,2494054,804048,1215791,79073,8635,142,27392,89625,23988,30862,2390,23,992,-
平成29,2017,13112,12,世田谷区,Setagaya-ku,1516993,1462367,2364880,1154976,1191202,277617,29774,-,54625,85104,47591,16986,3535,226,3273,-
平成29,2017,13113,13,渋谷区,Shibuya-ku ,1114616,904885,509453,803464,429964,98146,3035,-,209731,48410,182225,71530,22445,66,4995,-
平成29,2017,13114,14,中野区,Nakano-ku,257446,222304,893402,153474,431379,68830,-,-,35142,113101,26467,56167,8524,-,151,-
平成29,2017,13115,15,杉並区,Suginami-ku,627933,589083,1581226,405400,790418,180158,3525,-,38850,330848,31367,51591,6320,58,1106,-
平成29,2017,13116,16,豊島区,Toshima-ku,478798,431324,667129,360651,400864,70412,260,-,47474,100251,43437,21012,3436,0,600,-
平成29,2017,13117,17,北区,Kita-ku,530733,520525,1159962,425130,689905,89057,6338,-,10207,61641,9917,5296,158,0,132,-
平成29,2017,13118,18,荒川区,Arakawa-ku,159212,142027,541523,87099,427255,53113,1814,-,17185,80711,11186,14394,488,21,5491,-
平成29,2017,13119,19,板橋区,Itabashi-ku,746160,729458,1833726,640914,858463,87345,1199,-,16702,47455,14647,10455,665,1,1389,-
平成29,2017,13120,20,練馬区,Nerima-ku,934121,899448,2859237,735940,1133552,152822,10686,-,34673,81863,27460,47693,6641,26,545,-
平成29,2017,13121,21,足立区,Adachi-ku,904334,842721,3156543,599458,1160340,227064,16199,-,61613,218502,39994,25761,3113,364,18142,-
平成29,2017,13122,22,葛飾区,Katsushika-ku,435756,411333,1659616,330312,760612,66443,14577,-,24423,94175,17254,61019,6984,76,110,-
平成29,2017,13123,23,江戸川区,Edogawa-ku,561525,551388,2663533,446840,1071275,100167,4381,-,10137,38456,5811,30916,4146,7,173,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (2) 区有 (平成25～平成29年度末) 21-9  PUBLIC ASSETS (2) ASSETS OWNED BY KU ( End of Fiscal Years 2013-2017 ) ,,,,,,,,,,,,,,,,,,,,,
注 1) 千代田区は区有財産現在額（価格）を固定資産台帳で管理し，公有財産台帳では現在高（数量）のみ管理しているため，価格は記載していない。,,,,,,,,,,,,,,,,,,,,,
そのため，総額及び行政財産の合計には，行政財産の有価証券出資金等の金額のみを掲載している。,,,,,,,,,,,,,,,,,,,,,
2) 中央区の行政財産の工作物には動産を含む。,,,,,,,,,,,,,,,,,,,,,
3) 港区の行政財産の総額には，地上権を含む。,,,,,,,,,,,,,,,,,,,,,
4) 渋谷区の行政財産の総額には，温泉権及び無体財産権を含む。,,,,,,,,,,,,,,,,,,,,,
"Note1) For Chiyoda-ku, data on asset values are not entered because ku assets' current values are managed under the Fixed Asset Register, with the Public Asset Register managing only their current quantities. ",,,,,,,,,,,,,,,,,,,,,
"Accordingly, the “total value” and “total value of administrative assets” show only the amount of “securities, investments, and others” under administrative assets.",,,,,,,,,,,,,,,,,,,,,
2) The total value of structures under Chuo-ku's administrative assets includes movable property.,,,,,,,,,,,,,,,,,,,,,
3) The total value of the public and administrative property of Shibuya-ku includes the right to hot spring.,,,,,,,,,,,,,,,,,,,,,
4) The total value of administrative assets of Shibuya-ku includes hot spring rights and intangible property rights.,,,,,,,,,,,,,,,,,,,,,
資料：公益財団法人特別区協議会事業部調査研究課 Source: Public Interest Foundation of Tokyo Metropolitan Area Cities,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
