年度,Fiscal Year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self Employed,就職状況 Placement／就職率 Employment Rate (%)
令和2,2020,電気設備システム,Electricalfacilitiesmanagement,25,20,16,-,80
令和2,2020,Ｗｅｂ設計,Webdesign,30,21,20,-,95.2
令和2,2020,組込みシステム技術,Embeddedsystemstechnology,24,11,9,-,81.8
令和2,2020,若年者就業支援科(塗装コース),Employmentsupportcourseforyoungpeople(paintingcourse),7,4,4,-,100
令和2,2020,若年者就業支援科（建築塗装）,Employmentsupportcourseforyoungpeople(Constructionpainting),4,4,4,-,100
令和2,2020,若年者就業支援科（溶接コース）,Employmentsupportcourseforyoungpeople(weldingcourse),6,4,4,-,100
令和2,2020,エンジニア基礎養成,Basicengineertraining,23,22,13,-,59.1
令和2,2020,ネットワーク施工,Networktechnology,49,37,26,-,70.3
令和2,2020,プラスチック加工,Plasticsprocessing,10,10,6,-,60
令和2,2020,アパレルパタンナー,Fashionpatternmaking,30,24,13,2,62.5
令和2,2020,製くつ,Shoemaking,21,21,20,-,95.2
令和2,2020,財務管理,Financialaccounting,117,97,68,-,70.1
令和2,2020,ＣＡＤ,CAD,82,73,43,-,58.9
令和2,2020,建築ＣＡＤ,ArchitectureCAD,55,42,35,-,83.3
令和2,2020,溶接,Welding,43,38,33,1,89.5
令和2,2020,住宅内外装仕上,1nteriorandexteriorfinishing,50,43,38,4,97.7
令和2,2020,建築設備施工,Equipmentinstallation,36,31,30,-,96.8
令和2,2020,住宅リフォーム,Homerenovation,50,42,23,2,59.5
令和2,2020,グリーンエクステリア,Gardeningandexteriorwork,54,51,48,-,94.1
令和2,2020,セキュリティサービス,Securityservices,52,47,43,-,91.5
令和2,2020,電気・通信工事,Electrical/telecommunicationswiring,53,45,28,-,62.2
令和2,2020,印刷企画営業,Printdesignandmarketing,20,17,14,-,82.4
令和2,2020,グラフィック印刷,Graphicprinting,21,14,12,-,85.7
令和2,2020,ＤＴＰ,DTP,58,50,38,2,80
令和2,2020,医療事務,Medicalbilling,151,102,73,-,71.6
令和2,2020,貿易実務,1nternationaltradedocumentation,104,77,42,-,54.5
令和2,2020,ＯＡソフト管理,Officesoftwaremanagement,97,77,32,-,41.6
令和2,2020,ネットワーク構築,Networkconstruction,57,49,33,-,67.3
令和2,2020,配管,Plumbing,19,17,15,-,88.2
令和2,2020,観光ビジネス,Tourismbusiness,33,28,12,-,42.9
令和2,2020,ショップマネジメント,Storemanagement,39,33,19,-,57.6
令和2,2020,ファッションリテール,Fashionretail,12,8,7,-,87.5
令和2,2020,調理,Cooking,56,36,26,-,72.2
令和2,2020,介護サービス,Nursingcare,290,255,231,-,90.6
令和2,2020,ビルクリーニング管理,Buildingcustodialservices,37,33,32,-,97
令和2,2020,福祉調理,Cookingforwelfareinstitutions,55,47,43,-,91.5
令和2,2020,福祉用具,Assistiveequipment,26,25,21,-,84
令和2,2020,介護福祉用具,Nursingcareequipment,29,27,23,-,85.2
令和2,2020,マンション改修施工,Condominiumrenovation,49,46,37,5,91.3
令和2,2020,造園土木施工,Gardeningandlandscapeconstruction,34,29,26,2,96.6
令和2,2020,三次元ＣＡＤ,3DCAD,105,76,39,-,51.3
令和2,2020,マンション維持管理,Condominiummaintenanceandmanagement,54,49,43,-,87.8
令和2,2020,パソコン実践,Computeroperations,420,409,212,-,51.8
令和2,2020,内装施工,1nteriorconstructionwork,41,34,23,2,73.5
令和2,2020,ビル管理,Buildingmanagement,163,149,128,-,85.9
令和2,2020,電気設備管理,Electricalfacilitymanagement,64,58,55,1,96.6
令和2,2020,電気設備管理（高年齢者向）,Electricalfacilitymanagement(forelderlypeople),72,66,52,-,78.8
令和2,2020,電気設備保全,Electricalfacilitymaintenance,52,50,29,-,58
令和2,2020,経営管理実務,Businessmanagement,76,65,36,-,55.4
令和2,2020,ビジネス経理,Businessaccounting,53,48,26,-,54.2
令和2,2020,庭園施工管理,Gardening,60,59,40,19,100
令和2,2020,生活支援サービス,Livingsupportservices,51,49,38,-,77.6
令和2,2020,ホテル・レストランサービス,Hotelandrestaurantservices,51,42,38,-,90.5
令和2,2020,設備保全,Facilitymaintenance,27,23,19,-,82.6
令和2,2020,板金溶接,Sheetmetalwelding,19,18,16,-,88.9
令和2,2020,施　設　警　備,Security services for facilities,20,18,16,-,88.9
令和2,2020,クリーンスタッフ養成,Cleaning staff training,55,54,49,2,94.4
令和2,2020,自動車運転（城東）,Vehicle driving (Joto),-,-,-,-,-
7-2  都立職業能力開発センター(職業訓練校)修了者就職状況 (平成28，29年度) ,,,,,,,,
PLACEMENT OF TRAINEES OF ＴMG VOCATIONAL SKILLS DEVELOPMENT CENTERS ,,,,,,,,
( VOCATIONAL TRAINING FACILITIES ) ( Fiscal Years 2016 and 2017 ) ,,,,,,,,
この表の数字には， ２ ｹ月以下の訓練，障害者訓練，高年齢者向け夜間訓練及び受託訓練を含まない。 ,,,,,,,,
Figures do not include training courses of two months or less those for the disabled night courses for the elderly or courses commissioned by others. ,,,,,,,,
資料：都産業労働局雇用就業部能力開発課,,,,,,,,
"Source: Bureau of Industrial and Labor Affairs, TMG",,,,,,,,
