地域階層,地域コード,項番 Item number,地域,District,登録自動車 Motor vehicles registered／総数 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／計 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／普通車 Ordinary,登録自動車 Motor vehicles registered／貨物自動車 Trucks／小型車 Small,登録自動車 Motor vehicles registered／貨物自動車 Trucks／被けん引車 Trailers,登録自動車 Motor vehicles registered／乗用車 Passenger cars／計 Total,登録自動車 Motor vehicles registered／乗用車 Passenger cars／普通車 Ordinary,登録自動車 Motor vehicles registered／乗用車 Passenger cars／小型車 Small,登録自動車 Motor vehicles registered／乗合自動車 Buses,登録自動車 Motor vehicles registered／特種用途車 Special use motor vehicles,登録自動車 Motor vehicles registered／大型特殊車 Heavy special type motor vehicles,1)小型二輪車（検査） Light two-wheeled motor vehicles ( Inspected ),2)課税登録台数軽自動車(四輪車) Light four-wheeled motor vehicles registered,有料駐車場 Pay parking lots／駐車場数 Quantity,有料駐車場 Pay parking lots／収容台数 Capacity,,
5,13229,26,西東京市,Nishitokyo-shi,45827,3259,821,2406,32,41639,22009,19630,102,714,113,2176,10425,9,799,,
3,13300,,郡部,All gun,27860,5976,2937,2816,223,19612,9347,10265,295,1573,404,1279,17291,-,-,,
3,13350,,島部,All islands,9385,2370,944,1406,20,5142,1460,3682,131,771,971,307,15829,-,-,,
,,,地域不詳,Not reported,3,-,-,-,-,2,1,1,1,-,-,1,-,-,-,,
,,,,,,,,,,,,,,,,,,,,,
4-6  地域別自動車保有台数及び有料駐車場数 (平成29年度末) ,,,,,,,,,,,,,,,,,,,,,
登録自動車台数及び課税登録台数（軽自動車）には，外国軍人軍属の私有車を含む。 また， 駐車場は駐車場法に基づき ,,,,,,,,,,,,,,,,,,,,,
　　　　　 　 届けられた500㎡以上のものである。 ,,,,,,,,,,,,,,,,,,,,,
　　注 1) 総排気量が250㏄を超えるオートバイなど。 ,,,,,,,,,,,,,,,,,,,,,
　　 　 2) 軽自動車の登録台数は年度当初の課税台数である。 ,,,,,,,,,,,,,,,,,,,,,
"　　資料：一般財団法人自動車検査登録情報協会総務部広報・統計課,都総務局行政部区政課,都建設局道路管理部管理課",,,,,,,,,,,,,,,,,,,,, 
4-6  NUMBER OF MOTOR VEHICLES AND PAY PARKING LOTS BY DISTRICT ,,,,,,,,,,,,,,,,,,,,,
( End of Fiscal Year 2017 ) ,,,,,,,,,,,,,,,,,,,,,
"Motor vehicles registered and ""Light four-wheeled motor vehicles registered"" include private vehicles owned by foreign military and civilian ",,,,,,,,,,,,,,,,,,,,,
"personnel.  ""Pay parking lots"" refer to those with an area of at least 500㎡ reported as regulated under the Parking Lot Act. ",,,,,,,,,,,,,,,,,,,,,
　　Note: 1) Such as motorcycles with a displacement of over 250cc. ,,,,,,,,,,,,,,,,,,,,,
　　　 　　 2) The number of light four-wheeled motor vehicles registered is the number of such vehicles taxed as of the beginning of the fiscal year. ,,,,,,,,,,,,,,,,,,,,,
"　　Source: Automobile Inspection & Registration Information Association; Bureau of General Affairs,TMG;BureauofConstruction,TMG",,,,,,,,,,,,,,,,,,,,, 
