地域階層,国名,Country,マーク Mark,総数 Total／輸出 Exports,総数 Total／輸入 Imports,海上 By sea／輸出 Exports,海上 By sea／輸入 Imports,航空 By air／輸出 Exports,航空 By air／輸入 Imports
2,イタリア,Italy,,87604,666515,32154,213367,55450,453148
2,フィンランド,Finland,※,8137,34060,2908,24593,5229,9467
2,オーストリア,Austria,※,28850,90169,6547,42545,22303,47623
2,セルビア,Republic of Serbia,※,185,16768,185,16768,-,-
2,トルコ,Turkey,※,22064,25227,12200,11775,9864,13452
1,中東欧・ロシア等,"Eastern Europe, Russia, etc.",,149799,403912,73329,204866,76471,199046
2,ポーランド,Poland,※,31069,60442,22913,38408,8156,22034
2,ロシア,Russia,※,41482,130203,17161,45523,24321,84680
2,ハンガリー,Hungary,※,18681,55496,8431,20469,10250,35027
2,ルーマニア,Romania,※,6636,30708,2316,14223,4321,16485
2,リトアニア,Lithuania,※,938,30105,938,30105,-,-
2,ウクライナ,Ukraine,※,500,25100,500,25100,-,-
2,ブルガリア,Bulgaria,※,1956,5192,-,-,1956,5192
2,チェコ,Czech Republic,※,32258,39102,15345,20541,16913,18562
2,スロバキア,Slovenia,※,3903,3253,-,-,3903,3253
1,欧州連合,European Union,※,2202042,4254238,817459,1368147,1384582,2886091
1,北米,North America,,3683231,4208578,1616032,1506706,2067199,2701872
2,カナダ,Canada,※,257193,263118,61553,177498,195641,85620
2,アメリカ合衆国,United States of America,,3421482,3934054,1554479,1323485,1867003,2610569
1,中南米,Central and South America,,184241,665138,78763,355306,105478,309831
2,メキシコ,Mexico,※,95437,276228,41209,122485,54227,153743
2,コスタリカ,Costa Rica,※,2734,31613,327,13127,2406,18486
2,ドミニカ共和国,Dominican Republic,※,2556,4747,-,-,2556,4747
2,プエルトリコ（米）,Puerto Rico(U.S.A.),※,2666,100749,-,-,2666,100749
2,コロンビア,Colombia,※,1927,7660,-,-,1927,7660
2,チリ,Chile,※,1721,124404,1721,124404,-,-
2,ブラジル,Brazil,※,51295,56443,25615,48844,25680,7600
2,アルゼンチン,Argentina,※,7723,20508,3020,18864,4703,1644
1,アフリカ,Africa,,53851,309100,23846,37507,30005,271593
2,南アフリカ共和国,Republic of South Africa,※,15528,260375,9126,8259,6402,252116
1,大洋州,Oceania,,298379,194519,42163,153330,256215,41189
2,オーストラリア,Australia,※,278514,116454,33150,93663,245363,22790
2,ニュージーランド,New Zealand,※,16797,64512,7490,56581,9308,7931
,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,
12-6  国別輸出入額 (平成31･令和元年) 12-6   VALUE OF IMPORTS AND EXPORTS BY SELECTED COUNTRY ( 2019 ),,,,,,,,,
この表は， 輸出入申告書， 積みもどし申告書及び船舶， 航空機の入出港届等を資料として作成されたものである。輸出は本船渡価額 (F.O.B.)，輸入は到着価額 (C.I.F.) である。 なお，「海上」 は東京税関管内の「東京港」であり，「航空」は「東京国際空港(羽田)」 と「成田国際空港」分を合計したものである。,,,,,,,,,
"This table has been prepared in reference to import/export declarations， reshipment declarations， notifications of the seaports/airports of entry/departure， and others. Values of exports and imports are based on F.O.B. and C.I.F. prices， respectively.""By sea"" refers to the values of imports/exports passing through the Port of Tokyo， Tokyo Customs， and ""By air"" refers to the value of trade (import/export) through the Tokyo International Airport (Haneda Airport) and Narita International Airport.  ",,,,,,,,,
注 1) 主要国及び地域のみを掲げたので，各国・地域の合計と小計とは一致しない。,,,,,,,,,
 2) ※については総数及び航空には羽田を含まない。,,,,,,,,,
Note: 1) Totals and subtotals by country and region do not match the sum of their components because data only reter to selected countries and regions.,,,,,,,,,
" 2) As for countries marked with asterisks， ""Total"" and ""By air"" data do not include import/export trade through Haneda Airport.",,,,,,,,,
資料：東京税関 「貿易年表」，「貿易概況」 Source: Tokyo Customs ,,,,,,,,,
（単位  百万円）(In millions of yen)  ,,,,,,,,,
地域階層 (0:総額　1:地域　2:内訳),,,,,,,,,
