地域階層,地域コード,項番 Item number,地域,District,総床面積 Total floor space,新設 Newly constructed／総数 Total／戸数 Number,新設 Newly constructed／総数 Total／総床面積 Total floor space,新設 Newly constructed／持家 Owner's dwelling ／戸数 Number,新設 Newly constructed／持家 Owner's dwelling ／総床面積 Total floor space,新設 Newly constructed／貸家 For rent／戸数 Number,新設 Newly constructed／貸家 For rent／総床面積 Total floor space,新設 Newly constructed／給与住宅 Issued dwelling／戸数 Number,新設 Newly constructed／給与住宅 Issued dwelling／総床面積 Total floor space,新設 Newly constructed／分譲住宅 For sale／戸数 Number,新設 Newly constructed／分譲住宅 For sale／総床面積 Total floor space,その他 Others／総数 Total／戸数 Number,その他 Others／総数 Total／総床面積 Total floor space,その他 Others／持家 Owner's dwelling ／戸数 Number,その他 Others／持家 Owner's dwelling ／総床面積 Total floor space,その他 Others／貸家 For rent／戸数 Number,その他 Others／貸家 For rent／総床面積 Total floor space,その他 Others／給与住宅 Issued dwelling／戸数 Number,その他 Others／給与住宅 Issued dwelling／総床面積 Total floor space,その他 Others／分譲住宅 For sale／戸数 Number,その他 Others／分譲住宅 For sale／総床面積 Total floor space
5,13215,15,国立市,Kunitachi-shi,57952,967,57629,127,15260,628,23084,-,-,212,19285,14,323,2,62,4,55,8,206,-,-
5,13218,16,福生市,Fussa-shi,27014,348,26797,100,11014,169,8618,-,-,79,7165,5,217,4,195,-,-,1,22,-,-
5,13219,17,狛江市,Komae-shi,26781,343,26682,94,9780,117,5127,-,-,132,11775,6,99,2,42,2,31,2,26,-,-
5,13220,18,東大和市,Higashiyamato-shi,42558,562,42110,114,13323,259,10752,-,-,189,18035,11,448,3,260,8,188,-,-,-,-
5,13221,19,清瀬市,Kiyose-shi,52601,668,52548,117,14302,282,11412,-,-,269,26834,4,53,-,-,4,53,-,-,-,-
5,13222,20,東久留米市,Higashikurume-shi,80970,954,80642,239,24665,208,10018,2,135,505,45824,15,328,4,116,11,212,-,-,-,-
5,13223,21,武蔵村山市,Musashimurayama-shi,71790,995,70840,164,16878,574,28914,-,-,257,25048,32,950,3,80,6,77,23,793,-,-
5,13224,22,多摩市,Tama-shi,42545,608,42165,70,8535,328,13909,-,-,210,19721,16,380,2,37,2,38,12,305,-,-
5,13225,23,稲城市,Inagi-shi,31640,382,31347,93,10615,143,6794,-,-,146,13938,5,293,2,217,3,76,-,-,-,-
5,13227,24,羽村市,Hamura-shi,25448,302,25186,73,8278,108,5052,-,-,121,11856,10,262,3,162,7,100,-,-,-,-
5,13228,25,あきる野市,Akiruno-shi,52735,611,52333,176,19381,209,10057,-,-,226,22895,17,402,5,228,11,149,1,25,-,-
5,13229,26,西東京市,Nishitokyo-shi,172140,2300,169964,232,24327,579,24559,-,-,1489,121078,55,2176,2,56,9,172,43,1913,1,35
3,13300,,郡部,All gun,31256,316,30799,131,14674,78,5133,-,-,107,10992,11,457,6,397,5,60,-,-,-,-
3,13350,,島部,All islands,6934,98,6838,41,3935,52,2458,4,207,1,238,1,96,1,96,-,-,-,-,-,-
4,13360,1,大島支庁,Oshima-shicho,3547,47,3451,21,1985,22,1259,4,207,-,-,1,96,1,96,-,-,-,-,-,-
4,13380,2,三宅支庁,Miyake-shicho,1317,26,1317,5,487,21,830,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13400,3,八丈支庁,Hachijo-shicho,1258,11,1258,10,1020,-,-,-,-,1,238,-,-,-,-,-,-,-,-,-,-
4,13420,4,小笠原支庁,Ogasawara-shicho,812,14,812,5,443,9,369,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
3-11  地  域  別  着  工  住  宅  数 （平成29年） ,,,,,,,,,,,,,,,,,,,,,,,,,
　この表は， 建築基準法に基づき建築主から知事に届出のあった建築工事届により，着工住宅を工事別に分類したもので， 「新設」 ,,,,,,,,,,,,,,,,,,,,,,,,,
とは建築物の新築， 増築又は改築によって住宅の戸が新たに造られる工事をいい，「その他」とは住宅が増築又は改築されるときで， ,,,,,,,,,,,,,,,,,,,,,,,,,
住宅戸数が新たに増加しない工事をいう。 ,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル） ,,,,,,,,,,,,,,,,,,,,,,,,,
　　資料：都都市整備局市街地建築部建築企画課 ,,,,,,,,,,,,,,,,,,,,,,,,,
3-11  DWELLING CONSTRUCTION STARTS BY DISTRICT ( 2017 ) ,,,,,,,,,,,,,,,,,,,,,,,,,
This table refers to the number of dwelling constructions started after submission of construction notification to the ,,,,,,,,,,,,,,,,,,,,,,,,,
Governor by the builders as prescribed in the Building Standards Act which have been classified by type of construction.,,,,,,,,,,,,,,,,,,,,,,,,,
Newly constructed refers to the building of a new dwelling unit through new construction extension or reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,
"and ""Others"" refers to extension or reconstruction that does not result in an increase of dwelling units. ",,,,,,,,,,,,,,,,,,,,,,,,,
(Space in ㎡) ,,,,,,,,,,,,,,,,,,,,,,,,,
"　　Source: Bureau of Urban Development,TMG",,,,,,,,,,,,,,,,,,,,,,,,,
