年次,Year,項番 Item number,種類,Type,種類,Type,種類,Type,種類,Type,取扱総数 Total number of cases handled,旧受 Previously received,新受計 Newly received total,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／職員受 Received by officials,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／委員受 Received by commissioners,手続開始内訳  Breakdown of case proceedings commenced／委員通報 Notified by commissioners,手続開始内訳  Breakdown of case proceedings commenced／関係官公署の通報 Reported by relevant public authorities,手続開始内訳  Breakdown of case proceedings commenced／情報 Information,手続開始内訳  Breakdown of case proceedings commenced／移送 Transferred,処理件数 Total number of cases disposed,処理内訳 Breakdown of cases processed／措置 Measures／援助 Assisted,処理内訳 Breakdown of cases processed／措置 Measures／調整 Adjusted,処理内訳 Breakdown of cases processed／措置 Measures／要請 Requested,処理内訳 Breakdown of cases processed／措置 Measures／説示 Instructed,処理内訳 Breakdown of cases processed／措置 Measures／勧告 Advised,処理内訳 Breakdown of cases processed／措置 Measures／通告 Informed,処理内訳 Breakdown of cases processed／措置 Measures／告発 Indicted,処理内訳 Breakdown of cases processed／措置猶予 Suspension of sentence,処理内訳 Breakdown of cases processed／侵犯事実不存在 Non-existence of facts about infringement,処理内訳 Breakdown of cases processed／侵犯事実不明確 Uncertainty of facts about infringement,処理内訳 Breakdown of cases processed／打切り Closed,処理内訳 Breakdown of cases processed／中止 Discontinued,処理内訳 Breakdown of cases processed／移送 Transferred,処理内訳 Breakdown of cases processed／啓発 Admonished,未済 Pending
平成29年,2017,8,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,地方公務員,Local government servants,,,21,1,20,13,7,-,-,-,-,18,15,-,-,-,-,-,-,-,-,3,-,-,-,-,3
平成29年,2017,9,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,その他,Others,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,1,私人間の侵犯事件,Infringement cases among private citizens,,,,,,,1693,371,1322,893,424,-,1,-,4,1546,1107,4,276,3,-,-,-,1,-,131,25,-,1,1,147
平成29年,2017,1,私人間の侵犯事件,Infringement cases among private citizens,人身売買,Human trafficking  ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,2,私人間の侵犯事件,Infringement cases among private citizens,売春に伴う侵犯,Infringement relating to prostitution,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,3,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,夫の妻に対するもの,From husband to wife　　　　　　　　　　　　　　,86,2,84,46,38,-,-,-,-,86,85,-,-,-,-,-,-,-,-,1,-,-,-,-,-
平成29年,2017,4,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,妻の夫に対するもの,From wife to husband 　　　　　　　　　　　　　　,5,-,5,2,3,-,-,-,-,5,4,-,-,-,-,-,-,-,-,1,-,-,-,-,-
平成29年,2017,5,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,親の子に対するもの,From parent to child 　　　　　　　　　　　　　　,49,-,49,27,22,-,-,-,-,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,1
平成29年,2017,6,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,子の親に対するもの,From child to parent 　　　　　　　　　　　　　　,17,-,17,12,5,-,-,-,-,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,7,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,その他,Others,21,-,21,12,9,-,-,-,-,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,1
平成29年,2017,8,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,その他,Others,,,31,1,30,14,16,-,-,-,-,31,30,-,-,-,-,-,-,-,-,1,-,-,-,1,-
平成29年,2017,9,私人間の侵犯事件,Infringement cases among private citizens,私的制裁,Lynching,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,10,私人間の侵犯事件,Infringement cases among private citizens,医療に関する侵犯,Infringement related to medical care,,,,,25,2,23,19,4,-,-,-,-,23,17,-,-,-,-,-,-,-,-,6,-,-,-,-,2
平成29年,2017,11,私人間の侵犯事件,Infringement cases among private citizens,人身の自由に対する侵犯,Infringement of personal liberty,精神保健法関係,Related to the Mental Health Act ,,,10,-,10,9,1,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,1
平成29年,2017,12,私人間の侵犯事件,Infringement cases among private citizens,人身の自由に対する侵犯,Infringement of personal liberty,その他,Others　　　　　　　　　　　　　　　　　　　　　　　,,,1,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,13,私人間の侵犯事件,Infringement cases among private citizens,社会福祉施設における侵犯,Infringement in social welfare facilities,施設職員によるもの,By staff of facilities,,,12,1,11,9,2,-,-,-,-,12,11,-,-,-,-,-,-,-,-,1,-,-,-,-,-
平成29年,2017,14,私人間の侵犯事件,Infringement cases among private citizens,社会福祉施設における侵犯,Infringement in social welfare facilities,その他,Others　　　　　　　　　　　　　　　　　　　　　　　,,,3,2,1,-,1,-,-,-,-,3,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-
平成29年,2017,15,私人間の侵犯事件,Infringement cases among private citizens,村八分,Social ostracism,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,16,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,女性に関するもの,Against women,,,1,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,17,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,高齢者に関するもの,Against elderly people,,,4,-,4,2,2,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,18,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,障害者に関するもの,Against persons with disabilities,,,36,8,28,17,11,-,-,-,-,33,23,2,-,-,-,-,-,-,-,7,1,-,-,-,3
平成29年,2017,19,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,同和問題に関するもの,Related to Dowa problem,,,13,7,6,-,1,-,1,-,4,13,1,-,9,3,-,-,-,1,-,-,-,-,1,-,-
平成29年,2017,20,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,アイヌの人々に関するもの,Against Ainu people,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,21,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,外国人に関するもの,Against foreigners,,,18,1,17,11,6,-,-,-,-,18,16,-,-,-,-,-,-,-,-,2,-,-,-,-,-
平成29年,2017,22,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,ＨＩＶ感染者等に関するもの,Against HIV-positive patients， etc.,,,4,-,4,3,1,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,23,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,刑を終えた人に関するもの,Against ex-convicts  ,,,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,24,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,その他,Others,,,15,1,14,10,4,-,-,-,-,14,12,-,-,-,-,-,-,-,-,2,-,-,-,-,1
平成29年,2017,25,私人間の侵犯事件,Infringement cases among private citizens,参政権に対する侵犯,Infringement of suffrage ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,26,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,報道機関等,By media， etc. ,,,2,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,27,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,インターネット等によるもの,Via Internet， etc. ,,,706,326,380,370,10,-,-,-,-,579,214,1,267,-,-,-,-,-,-,77,20,-,-,-,127
平成29年,2017,28,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,相隣間におけるもの,Among neighbors,,,9,-,9,4,5,-,-,-,-,9,8,-,-,-,-,-,-,-,-,1,-,-,-,-,-
平成29年,2017,29,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,その他,Others,,,20,1,19,13,6,-,-,-,-,20,16,-,-,-,-,-,-,-,-,2,2,-,-,-,-
平成29年,2017,30,私人間の侵犯事件,Infringement cases among private citizens,集会，結社及び表現の自由に対する侵犯,Infringement of the freedom of gathering， association and expression,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,31,私人間の侵犯事件,Infringement cases among private citizens,信教の自由に対する侵犯,Infringement of the freedom of religion,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,32,私人間の侵犯事件,Infringement cases among private citizens,教育を受ける権利への侵犯,Infringement of the right of receiving education ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,33,私人間の侵犯事件,Infringement cases among private citizens,労働権に対する侵犯,Infringement of the right of labor,不当労働行為,Unfair labor practice,,,2,-,2,1,1,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,34,私人間の侵犯事件,Infringement cases among private citizens,労働権に対する侵犯,Infringement of the right of labor,労働基準法違反,Violation of the Labor Standards Act ,,,18,-,18,9,9,-,-,-,-,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,35,私人間の侵犯事件,Infringement cases among private citizens,労働権に対する侵犯,Infringement of the right of labor,その他,Others　　,,,282,7,275,156,119,-,-,-,-,274,257,-,-,-,-,-,-,-,-,16,1,-,-,-,8
平成29年,2017,36,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,自力執行,Execution by oneself,,,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,37,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,相隣間におけるもの,Between neighbors,小公害,Small pollution,38,-,38,15,23,-,-,-,-,38,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,38,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,相隣間におけるもの,Between neighbors,その他,Others,51,1,50,15,35,-,-,-,-,51,50,-,-,-,-,-,-,-,-,1,-,-,-,-,-
平成29年,2017,39,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,公害,Pollution,,,1,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,40,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,不動産,Real estate,,,9,-,9,5,4,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,41,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,,,44,8,36,24,12,-,-,-,-,41,31,-,-,-,-,-,-,-,-,10,-,-,-,-,3
平成29年,2017,42,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,家族間におけるもの,Among family members,夫の妻に対するもの,From husband to wife　　　　　　　　　　　　　　,23,-,23,11,12,-,-,-,-,23,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,43,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,家族間におけるもの,Among family members,妻の夫に対するもの,From wife to husband 　　　　　　　　　　　　　　,5,-,5,1,4,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,44,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,家族間におけるもの,Among family members,親の子に対するもの,From parent to child 　　　　　　　　　　　　　　,10,-,10,6,4,-,-,-,-,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,45,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,家族間におけるもの,Among family members,子の親に対するもの,From child to parent 　　　　　　　　　　　　　　,5,-,5,3,2,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,46,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,家族間におけるもの,Among family members,その他,Others,13,2,11,7,4,-,-,-,-,13,11,-,-,-,-,-,-,-,-,2,-,-,-,-,-
平成29年,2017,47,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,セクシュアル・ハラスメント,Sexual harassment,,,37,1,36,18,18,-,-,-,-,37,36,-,-,-,-,-,-,-,-,-,1,-,-,-,-
平成29年,2017,48,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,ストーカー,Stalking,,,25,-,25,14,11,-,-,-,-,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,49,私人間の侵犯事件,Infringement cases among private citizens,強制強要,Coercion,その他,Others,,,38,-,38,21,17,-,-,-,-,38,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,50,私人間の侵犯事件,Infringement cases among private citizens,組織，多衆の圧力による侵犯,Infringement by organizations or pressure of the masses,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,51,私人間の侵犯事件,Infringement cases among private citizens,交通事故,Traffic accidents,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,52,私人間の侵犯事件,Infringement cases among private citizens,犯罪被害者,Victims of crimes,,,,,1,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29年,2017,53,私人間の侵犯事件,Infringement cases among private citizens,その他,Others,,,,,1,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-7  人権侵犯事件の種類別件数 （平成28， 29年） 20-7  CASES OF INFRINGEMENT ON HUMAN RIGHTS BY TYPE ( 2016 and 2017 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京法務局人権擁護部第二課 Source: Tokyo Legal Affairs Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
