品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位, Units,総数 Total／数量 Quantity,総数 Total／価額 Value,海上 By sea／数量 Quantity,海上 By sea／価額 Value,航空 By air／数量 Quantity,航空 By air／価額 Value
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,　　　　　,,,679506,,449177,,230329
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類 (含周辺機器)),(Computers (including peripheral devices)),100万台,1mil.units,6,204244,2,84553,4,119691
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,,,,,　　　　　,,,3896960,,1161450,,2735510
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,重電機器,Heavy electrical power machinery,,,　　　　　,,,211235,,87491,,123744
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,電気回路等の機器,Electrical apparatuses,,,　　　　　,,,718305,,252875,,465430
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,映像機器,Visual apparatuses,,,"10,000台",10，000 units,441,204891,86,33705,354,171187
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,音響・映像機器の部分品,Parts of audio/visual apparatuses,,,"1,000t",,4,143014,2,51416,2,91598
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,通信機,Communication instruments,,,          ,,,255726,,73388,,182338
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,半導体等電子部品,Semiconductors and other electronic parts,,,          ,,,931796,,162410,,769386
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,半導体等電子部品,Semiconductors and other electronic parts,(IC）,(Integrated circuits),"1,000万個",10 mil. Units,3248,559214,1072,104617,2177,454597
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,電気計測機器,Electrical measuring instruments,,,　　　　　,,,492176,,139243,,352933
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,コンデンサー,Condensers,,,1億個,100 mil. units,876,132849,45,26764,831,106084
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,,,,,　　　　　,,,604833,,520914,,83919
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車,Motor vehicles ,,,"1,000台",1，000units,26,54177,26,54177,-,-
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車の部分品,Parts of motor vehicles,,,"1,000t",,290,452743,274,405625,16,47118
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,航空機類,Aircrafts,,,,,,70403,,47010,,23393
雑製品,Miscellaneous manufactured goods,,,,,,,　　　　　,,,1860303,,508337,,1351966
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,,,,,　　　　　,,,945161,,196652,,748509
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,科学光学機器,Scientific and optical instruments,,,　　　　　,,,848458,,178100,,670358
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,時計及び部分品,Watches， clocks and parts,,,,,,77956,,-,,77956
雑製品,Miscellaneous manufactured goods,記録媒体（含記録済）,Blank/recorded media,,,,,100万個,1mil.units,69,95761,-,-,69,95761
特殊取扱品,Special commodities,,,,,,,,,,4285683,,432953,,3852729
特殊取扱品,Special commodities,再輸出品,Re-export goods,,,,,,,,3216095,,428617,,2787479
,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,
12-7  主要品目別輸出入数量及び金額 (1) 輸出 (平成29年) 12-7  QUANTITY AND VALUE OF IMPORTS AND EXPORTS BY SELECTED COMMODITY (1) EXPORTS ( 2017 ),,,,,,,,,,,,,,,
注) 主要品目のみを掲げたので，各品目の合計と総数は一致しない。 ,,,,,,,,,,,,,,,
Note: The sums of each commodity does not add up to the total of all items because data only refer to selected commodities.,,,,,,,,,,,,,,,
資料：東京税関 「貿易年表」 Source: Tokyo Customs,,,,,,,,,,,,,,,
（単位  価額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,
