地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost,,
5,13114,14,中野区,Nakano-ku,1068,278756,7791147,737,88980,1611258,6,14615,687850,88,121978,3984049,230,52837,1501190,-,-,-,7,346,6800,,
5,13115,15,杉並区,Suginami-ku,2227,403280,10132169,1708,192577,3627495,4,25001,936000,89,69630,2199592,415,115768,3365862,-,-,-,11,304,3220,,
5,13116,16,豊島区,Toshima-ku,814,310425,11603963,523,63049,1280430,1,1246,x,88,95564,3811368,201,150330,6484379,-,-,-,1,236,x,,
5,13117,17,北区,Kita-ku,985,342674,10497812,633,72817,1277281,1,3000,x,83,173493,5112998,265,93308,4037053,1,32,x,2,24,x,,
5,13118,18,荒川区,Arakawa-ku,638,178824,4726744,449,53250,933082,2,2140,x,50,87348,2721633,135,36050,1011399,-,-,-,2,36,x,,
5,13119,19,板橋区,Itabashi-ku,1558,385514,9657018,1102,139321,2572545,4,5900,180200,90,129002,3771729,345,110713,3130418,-,-,-,17,578,2126,,
5,13120,20,練馬区,Nerima-ku,2992,582128,13705015,2287,261410,4678050,1,4403,x,120,170931,5274382,542,144612,3553833,-,-,-,42,772,x,,
5,13121,21,足立区,Adachi-ku,2475,551593,13261515,1879,218035,3814907,1,22,x,83,178412,5496902,479,153853,3935621,1,13,x,32,1258,13085,,
5,13122,22,葛飾区,Katsushika-ku,1721,294400,7262166,1390,161610,2867637,-,-,-,38,55656,2579010,278,76731,1813329,-,-,-,15,403,2190,,
5,13123,23,江戸川区,Edogawa-ku,2042,458948,10644081,1619,186479,3152185,1,153,x,74,162076,4524930,339,110032,2955616,1,37,x,8,171,1250,,
2,13200,,市部,All shi,18109,3486075,78444329,14768,1622629,27858931,15,130451,3229117,388,798931,24427845,2867,931562,22895486,6,74,653,65,2428,32297,,
5,13201,1,八王子市,Hachioji-shi,2047,400518,8942549,1574,188150,3190315,1,103,x,60,112262,3069284,401,99301,2670630,1,11,x,10,691,10232,,
5,13202,2,立川市,Tachikawa-shi,789,141737,3063670,588,63405,1078925,-,-,-,28,29201,920829,162,48899,1063297,1,16,x,10,216,x,,
5,13203,3,武蔵野市,Musashino-shi,466,95066,2388118,324,42030,756229,1,5402,x,26,23930,724443,111,23437,654826,-,-,-,4,267,x,,
5,13204,4,三鷹市,Mitaka-shi,779,133623,2991988,612,63824,1132427,-,-,-,20,32751,x,146,36924,957041,-,-,-,1,124,x,,
5,13205,5,青梅市,Ome-shi,563,138825,2173654,494,61809,1025454,-,-,-,1,3270,x,67,73735,983122,1,11,x,-,-,-,,
5,13206,6,府中市,Fuchu-shi,1045,308154,7169525,838,88953,1567085,3,82050,951140,32,74678,2752550,169,62401,1898220,-,-,-,3,72,530,,
5,13207,7,昭島市,Akishima-shi,552,134851,3100629,432,48249,838056,-,-,-,15,39760,1171125,105,46842,1091448,-,-,-,-,-,-,,
5,13208,8,調布市,Chofu-shi,1082,219432,5655582,869,89272,1649434,1,3397,x,38,89615,2976535,157,36842,874091,-,-,-,17,306,x,,
5,13209,9,町田市,Machida-shi,1779,292656,5895816,1525,171533,2809146,1,1169,x,24,43185,x,229,76769,1770290,-,-,-,-,-,-,,
5,13210,10,小金井市,Koganei-shi,704,208887,6227525,608,63412,1108714,-,-,-,11,113606,4200810,85,31869,918001,-,-,-,-,-,-,,
5,13211,11,小平市,Kodaira-shi,701,81648,1499308,599,60472,995261,5,128,1560,6,5149,133320,91,15899,369167,-,-,-,-,-,-,,
5,13212,12,日野市,Hino-shi,968,219880,5498084,786,89529,1618871,1,14857,x,15,37926,1314103,160,77328,1662160,-,-,-,6,240,x,,
5,13213,13,東村山市,Higashimurayama-shi,757,134124,2716941,653,65466,1102822,-,-,-,16,41746,1004538,88,26912,609581,-,-,-,-,-,-,,
5,13214,14,国分寺市,Kokubunji-shi,612,101018,2852912,523,54337,948539,1,10260,x,10,4296,112000,72,31747,1154100,-,-,-,6,378,x,,
5,13215,15,国立市,Kunitachi-shi,377,62747,1385109,264,28993,498376,-,-,-,20,19790,503516,93,13964,383217,-,-,-,-,-,-,,
5,13218,16,福生市,Fussa-shi,216,31738,648213,180,21753,363321,-,-,-,2,1426,x,34,8559,x,-,-,-,-,-,-,,
5,13219,17,狛江市,Komae-shi,257,33309,726062,223,22665,393936,-,-,-,3,2569,78100,31,8075,254026,-,-,-,-,-,-,,
5,13220,18,東大和市,Higashiyamato-shi,391,57807,1100823,316,38951,651095,-,-,-,3,651,18100,72,18205,431628,-,-,-,-,-,-,,
5,13221,19,清瀬市,Kiyose-shi,455,74269,1551561,386,43486,694564,-,-,-,4,4251,167500,65,26532,689497,-,-,-,-,-,-,,
5,13222,20,東久留米市,Higashikurume-shi,823,87956,1667249,750,73840,1270627,-,-,-,3,2680,102000,70,11436,294622,-,-,-,-,-,-,,
5,13223,21,武蔵村山市,Musashimurayama-shi,497,89906,1855259,390,40698,713065,-,-,-,12,23540,x,94,25656,625879,1,12,x,-,-,-,,
5,13224,22,多摩市,Tama-shi,251,93279,2533705,191,22432,376363,-,-,-,10,22081,492699,50,48766,1664643,-,-,-,-,-,-,,
5,13225,23,稲城市,Inagi-shi,258,41516,807509,208,25211,435607,-,-,-,2,4369,x,48,11936,x,-,-,-,-,-,-,,
5,13227,24,羽村市,Hamura-shi,246,44344,653656,200,22521,388066,-,-,-,1,697,x,43,21102,242190,2,24,x,-,-,-,,
5,13228,25,あきる野市,Akiruno-shi,495,70452,1291581,436,51580,899066,-,-,-,7,5151,191105,52,13721,201410,-,-,-,-,-,-,,
5,13229,26,西東京市,Nishitokyo-shi,999,188333,4047301,799,80058,1353567,1,13085,x,19,60351,1439158,172,34705,949606,-,-,-,8,134,x,,
3,13300,,郡部,All gun,333,46785,875100,265,29768,506168,-,-,-,3,1472,77730,65,15545,291202,-,-,-,-,-,-,,
3,13350,,島部,All islands,96,15605,505140,58,5949,115083,-,-,-,14,6969,331050,22,2620,x,-,-,-,2,67,x,,
4,13360,1,大島支庁,Oshima-shicho,55,9235,321644,35,3291,66371,-,-,-,9,4891,235316,9,986,x,-,-,-,2,67,x,,
4,13380,2,三宅支庁,Miyake-shicho,10,2044,63500,7,759,15000,-,-,-,1,737,x,2,548,x,-,-,-,-,-,-,,
4,13400,3,八丈支庁,Hachijo-shicho,15,1982,46645,12,1111,22345,-,-,-,1,758,x,2,113,x,-,-,-,-,-,-,,
4,13420,4,小笠原支庁,Ogasawara-shicho,16,2344,73351,4,788,11367,-,-,-,3,583,28734,9,973,33250,-,-,-,-,-,-,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-7  地 域 別 構 造 別 着 工 建 築 物 (平成29年） ,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル， 金額　万円） ,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　資料：都都市整備局市街地建築部建築企画課 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-7  BUILDING CONSTRUCTION STARTＳ BY DISTRICT AND STRUCTURE（ 2017 ） ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"　　　　(Space in ㎡,Valuein10thousandyen)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"　　Source: Bureau of Urban Development,TMG",,,,,,,,,,,,,,,,,,,,,,,,,,,
