地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,東京都管理道路 TMG managed roads／延長 Length,東京都管理道路 TMG managed roads／面積 Area,東京都管理道路 TMG managed roads／一般国道(指定区間外) General national highways  a)／延長 Length,東京都管理道路 TMG managed roads／一般国道(指定区間外) General national highways  a)／面積 Area,東京都管理道路 TMG managed roads／主要地方道 Major metropolitan roads／延長 Length,東京都管理道路 TMG managed roads／主要地方道 Major metropolitan roads／面積 Area,東京都管理道路 TMG managed roads／一般都道 General metropolitan roads／延長 Length,東京都管理道路 TMG managed roads／一般都道 General metropolitan roads／面積 Area,東京都管理道路 TMG managed roads／特例都道 Metropolitan roads subject to special provisions／延長 Length,東京都管理道路 TMG managed roads／特例都道 Metropolitan roads subject to special provisions／面積 Area,一般国道(指定区間) General national highways( Designated section )／延長 Length,一般国道(指定区間) General national highways( Designated section )／面積 Area,東・中日本高速道路(株) East Nippon Expressway Company Limited・Central Nippon Expressway Company Limited／延長 Length,東・中日本高速道路(株) East Nippon Expressway Company Limited・Central Nippon Expressway Company Limited／面積 Area,首都高速道路(株) Metropolitan Expressway Company Limited／延長 Length,首都高速道路(株) Metropolitan Expressway Company Limited／面積 Area,区市町村道 Municipal roads／延長 Length,区市町村道 Municipal roads／面積 Area,,
5,13113,13,渋谷区,Shibuya-ku,272489,2780864,25891,704390,-,-,11693,357745,-,-,14198,346645,4509,210148,-,-,10614,283368,231475,1582958,,
5,13114,14,中野区,Nakano-ku,368539,2157015,26216,486460,-,-,12375,271595,-,-,13841,214865,-,-,-,-,2328,82644,339995,1587911,,
5,13115,15,杉並区,Suginami-ku,688803,4621693,56681,1055345,-,-,37998,847124,1598,18832,17085,189389,4327,178337,1059,21149,4615,102137,622121,3264725,,
5,13116,16,豊島区,Toshima-ku,308032,2369397,15187,431887,-,-,9026,267917,-,-,6161,163970,4697,153818,-,-,4907,128505,283241,1655187,,
5,13117,17,北区,Kita-ku,375311,3002588,32085,745403,6310,192653,9859,258805,-,-,15916,293945,692,15845,-,-,3565,61070,338969,2180270,,
5,13118,18,荒川区,Arakawa-ku,215236,1663441,16365,394030,-,-,13124,330040,-,-,3241,63990,1049,36055,-,-,-,-,197822,1233356,,
5,13119,19,板橋区,Itabashi-ku,740199,5847270,27219,735895,-,-,9034,266549,-,-,18185,469346,17202,598192,-,-,12631,273305,683147,4239878,,
5,13120,20,練馬区,Nerima-ku,1138290,7457361,75776,1351360,-,-,36356,703462,9403,133633,30017,514265,2522,77085,4700,152990,-,-,1055292,5875926,,
5,13121,21,足立区,Adachi-ku,1057236,9843455,73638,1769029,-,-,27924,812451,19437,412668,26277,543910,7601,254034,-,-,17490,461126,958507,7359266,,
5,13122,22,葛飾区,Katsushika-ku,748736,5616583,44040,786284,-,-,30648,620642,-,-,13392,165642,8080,219499,-,-,6530,209739,690086,4401061,,
5,13123,23,江戸川区,Edogawa-ku,1078709,9267684,66262,1493649,4633,75717,36316,1024322,-,-,25313,393610,6374,231761,3025,112614,16120,423764,986928,7005896,,
1,13200,,市部,All shi,10356829,72686756,930770,14756097,29470,393647,484368,8351687,416932,6010763,-,-,72741,1752519,61966,3440369,-,-,9291352,52737771,,
5,13201,1,八王子市,Hachioji-shi,1543212,14801809,148683,2386480,6313,67423,52304,929052,90066,1390005,-,-,38607,895916,29758,2185514,-,-,1326164,9333899,,
5,13202,2,立川市,Tachikawa-shi,295952,2587464,36930,712393,-,-,27345,443247,9585,269146,-,-,-,-,-,-,-,-,259022,1875071,,
5,13203,3,武蔵野市,Musashino-shi,148942,1152292,21185,313547,-,-,14623,227693,6562,85854,-,-,-,-,-,-,-,-,127757,838745,,
5,13204,4,三鷹市,Mitaka-shi,294417,1942238,27901,428364,-,-,6090,157153,21811,271211,-,-,-,-,1924,72207,-,-,264592,1441667,,
5,13205,5,青梅市,Ome-shi,934352,4740205,114668,1457388,17678,233287,59780,829767,37210,394334,-,-,-,-,5715,140141,-,-,813969,3142676,,
5,13206,6,府中市,Fuchu-shi,483835,3828444,36746,721945,-,-,22895,531597,13851,190348,-,-,6710,130454,7178,283866,-,-,433201,2692179,,
5,13207,7,昭島市,Akishima-shi,256109,1851214,25102,432037,-,-,13540,224397,11562,207640,-,-,3810,72004,-,-,-,-,227197,1347173,,
5,13208,8,調布市,Chofu-shi,442292,2725425,23445,390222,-,-,9512,230264,13933,159958,-,-,6740,131819,4879,146292,-,-,407228,2057092,,
5,13209,9,町田市,Machida-shi,1351682,8627245,78323,1262689,-,-,53999,893813,24324,368876,-,-,5393,213447,537,42725,-,-,1267429,7108384,,
5,13210,10,小金井市,Koganei-shi,177991,1072237,17215,280844,-,-,6510,115416,10705,165428,-,-,-,-,-,-,-,-,160776,791393,,
5,13211,11,小平市,Kodaira-shi,271189,2035132,36488,482435,-,-,20944,294445,15544,187990,-,-,-,-,-,-,-,-,234701,1552697,,
5,13212,12,日野市,Hino-shi,496728,3346203,32370,575976,-,-,6068,108552,26302,467424,-,-,5103,134467,4494,184465,-,-,454761,2451295,,
5,13213,13,東村山市,Higashimurayama-shi,302171,1792300,25466,289622,-,-,12030,192030,13436,97592,-,-,-,-,-,-,-,-,276705,1502678,,
5,13214,14,国分寺市,Kokubunji-shi,240234,1311886,13546,171755,-,-,5210,74440,8336,97315,-,-,-,-,-,-,-,-,226688,1140131,,
5,13215,15,国立市,Kunitachi-shi,154061,1293559,10220,162928,-,-,2502,53279,7718,109649,-,-,2373,73093,1973,164395,-,-,139495,893143,,
5,13218,16,福生市,Fussa-shi,150448,1120167,17277,249777,-,-,12133,177046,5144,72731,-,-,3575,90763,-,-,-,-,129596,779627,,
5,13219,17,狛江市,Komae-shi,128365,819835,10573,166643,-,-,6651,110673,3922,55970,-,-,-,-,-,-,-,-,117792,653192,,
5,13220,18,東大和市,Higashiyamato-shi,235787,1544139,25832,283032,-,-,12190,198251,13642,84781,-,-,-,-,-,-,-,-,209955,1261107,,
5,13221,19,清瀬市,Kiyose-shi,187914,1108394,13071,190452,-,-,11358,171855,1713,18597,-,-,-,-,962,41075,-,-,173881,876867,,
5,13222,20,東久留米市,Higashikurume-shi,253432,1604306,22040,286084,-,-,13713,186068,8327,100016,-,-,-,-,-,-,-,-,231392,1318222,,
5,13223,21,武蔵村山市,Musashimurayama-shi,272311,1558175,18971,279103,-,-,15657,242058,3314,37045,-,-,-,-,-,-,-,-,253340,1279072,,
5,13224,22,多摩市,Tama-shi,292655,3184869,37542,1005968,-,-,20564,511925,16978,494043,-,-,-,-,-,-,-,-,255113,2178901,,
5,13225,23,稲城市,Inagi-shi,263178,2039525,22742,538739,-,-,20537,514318,2205,24421,-,-,-,-,-,-,-,-,240436,1500786,,
5,13227,24,羽村市,Hamura-shi,164528,1327642,16461,275872,-,-,7646,105430,8815,170442,-,-,430,10556,175,4435,-,-,147462,1036779,,
5,13228,25,あきる野市,Akiruno-shi,742525,3471202,64623,965008,5479,92937,31312,542780,27832,329291,-,-,-,-,4371,175254,-,-,673531,2330940,,
5,13229,26,西東京市,Nishitokyo-shi,272519,1800849,33350,446794,-,-,19255,286138,14095,160656,-,-,-,-,-,-,-,-,239169,1354055,,
1,13300,,郡部,All gun,811873,5026643,175234,2497988,26894,371558,33973,545290,114367,1581140,-,-,5820,162871,1019,29580,-,-,629800,2336204,,
5,13303,1,瑞穂町,Mizuho-machi,243304,1484530,17938,257377,-,-,8907,134210,9031,123167,-,-,5820,162871,-,-,-,-,219546,1064282,,
5,13305,2,日の出町,Hinode-machi,142433,897924,25376,302503,-,-,4256,71156,21120,231347,-,-,-,-,1019,29580,-,-,116038,565841,,
5,13307,3,檜原村,Hinohara-mura,120325,1022891,50274,848468,-,-,14417,226207,35857,622261,-,-,-,-,-,-,-,-,70051,174423,,
5,13308,4,奥多摩町,Okutama-machi,305811,1621298,81646,1089640,26894,371558,6393,113717,48359,604365,-,-,-,-,-,-,-,-,224165,531658,,
1,13350,,島部,All islands,1485973,7233402,244267,2869533,-,-,-,-,244267,2869533,-,-,-,-,-,-,-,-,1241706,4363869,,
5,13361,1,大島町,Oshima-machi,499114,2030367,60326,570633,-,-,-,-,60326,570633,-,-,-,-,-,-,-,-,438788,1459734,,
5,13362,2,利島村,Toshima-mura,27706,127434,8803,58934,-,-,-,-,8803,58934,-,-,-,-,-,-,-,-,18903,68500,,
5,13363,3,新島村,Niｉｊima-mura,142711,671920,16408,167361,-,-,-,-,16408,167361,-,-,-,-,-,-,-,-,126303,504559,,
5,13364,4,神津島村,Kozushima-mura,82786,342014,12267,148002,-,-,-,-,12267,148002,-,-,-,-,-,-,-,-,70519,194012,,
5,13381,5,三宅村,Miyake-mura,135205,885904,35006,489643,-,-,-,-,35006,489643,-,-,-,-,-,-,-,-,100199,396261,,
5,13382,6,御蔵島村,Mikurajima-mura,21353,229012,14993,204389,-,-,-,-,14993,204389,-,-,-,-,-,-,-,-,6360,24623,,
5,13401,7,八丈町,Hachijo-machi,489829,2115146,54755,602046,-,-,-,-,54755,602046,-,-,-,-,-,-,-,-,435074,1513100,,
5,13402,8,青ヶ島村,Aogashima-mura,37120,157652,6347,58471,-,-,-,-,6347,58471,-,-,-,-,-,-,-,-,30773,99181,,
5,13421,9,小笠原村,Ogasawara-mura,50149,673953,35362,570054,-,-,-,-,35362,570054,-,-,-,-,-,-,-,-,14787,103899,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
４　運　　　　　輸　 ,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1  地域， 種類別道路の延長及び面積(平成30年) ,,,,,,,,,,,,,,,,,,,,,,,,,,
4月1日現在 ,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　延長　メートル， 面積　平方メートル） ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都建設局道路管理部路政課 ,,,,,,,,,,,,,,,,,,,,,,,,,,
4　TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1  LENGTH AND AREA OF ROADS BY DISTRICT AND CATEGORY ( 2018 ) ,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are as of Apr. 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Length in meters,Areainsquaremeters)",,,,,,,,,,,,,,,,,,,,,,,,,,
"　  　   a) Outside designated sections          Source: Bureau of Construction,TMG",,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　延長　メートル， 面積　平方メートル） ,,,,,,,,,,,,,,,,,,,,,,,,,,
