年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／排出量 Discharged／ピックアップ回収量 Recyclables recovered from refuse (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incinerated (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成28,2016,2,13109,9,品川区,Shinagawa-ku,97036,87566,67269,2735,2242,15320,-,8908,562,…,…,…,…,…,…
平成28,2016,2,13110,10,目黒区,Meguro-ku,72407,59998,48798,2169,2274,6757,-,12337,73,…,…,…,…,…,…
平成28,2016,2,13111,11,大田区,Ota-ku,170307,156266,125703,4289,3921,22354,-,12902,1139,…,…,…,…,…,…
平成28,2016,2,13112,12,世田谷区,Setagaya-ku,222082,211272,163414,4466,6686,36706,-,8014,2796,…,…,…,…,…,…
平成28,2016,2,13113,13,渋谷区,Shibuya-ku,65057,62540,48189,2026,1427,10898,-,2516,-,…,…,…,…,…,…
平成28,2016,2,13114,14,中野区,Nakano-ku ,80882,66166,54847,2216,1782,7321,-,13939,777,…,…,…,…,…,…
平成28,2016,2,13115,15,杉並区,Suginami-ku,134925,127323,90508,3054,3559,30203,-,6330,1271,…,…,…,…,…,…
平成28,2016,2,13116,16,豊島区,Toshima-ku,71485,67738,52589,2034,2013,11103,-,3482,265,…,…,…,…,…,…
平成28,2016,2,13117,17,北区,Kita-ku,85450,77715,62489,1577,1694,11956,-,6592,1143,…,…,…,…,…,…
平成28,2016,2,13118,18,荒川区,Arakawa-ku,53897,43721,40572,1667,1282,200,-,10145,32,…,…,…,…,…,…
平成28,2016,2,13119,19,板橋区,Itabashi-ku,137252,122041,102708,2453,3267,13614,-,13967,1244,…,…,…,…,…,…
平成28,2016,2,13120,20,練馬区,Nerima-ku,170970,159108,120356,4882,4472,29398,-,11007,854,…,…,…,…,…,…
平成28,2016,2,13121,21,足立区,Adachi-ku,165181,148924,130276,263,2722,15663,-,11340,4916,…,…,…,…,…,…
平成28,2016,2,13122,22,葛飾区,Katsushika-ku,110681,103064,79733,3512,2914,16904,-,7306,311,…,…,…,…,…,…
平成28,2016,2,13123,23,江戸川区,Edogawa-ku,162747,149911,123193,2719,4074,19925,-,11295,1540,…,…,…,…,…,…
平成28,2016,,,,継続持込,Carried by enterprise,949413,949413,949413,-,-,-,-,-,-,…,…,…,…,…,…
平成28,2016,1,13200,,市部,All shi,1125584,1048684,718604,58425,27486,242554,1615,76898,-,783780,327348,1154,425017,42881,42881
平成28,2016,2,13201,1,八王子市,Hachioji-shi,164305,156404,115408,6073,2397,32154,372,7901,-,121004,41024,60,55672,8865,8865
平成28,2016,2,13202,2,立川市,Tachikawa-shi,46560,43154,27580,2009,1165,12341,59,3406,-,30600,15198,-,19866,357,357
平成28,2016,2,13203,3,武蔵野市,Musashino-shi,42629,39578,26331,1118,1412,10633,84,3051,-,28246,13247,-,17182,157,157
平成28,2016,2,13204,4,三鷹市,Mitaka-shi,47694,44856,27199,1658,1791,14152,56,2838,-,31398,16781,-,19363,159,159
平成28,2016,2,13205,5,青梅市,Ome-shi,41137,37146,27297,1341,1374,7080,54,3991,-,29142,9849,-,14522,4605,4605
平成28,2016,2,13206,6,府中市,Fuchu-shi,64127,57912,36914,3337,1978,15597,86,6215,-,41990,20998,-,27025,358,358
平成28,2016,2,13207,7,昭島市,Akishima-shi,31820,30342,21350,1370,1041,6538,43,1478,-,23102,9036,-,11495,736,736
平成28,2016,2,13208,8,調布市,Chofu-shi,60132,56100,32356,3489,1537,18640,78,4030,-,37357,22901,-,26560,411,411
平成28,2016,2,13209,9,町田市,Machida-shi,123121,111549,85037,6050,3652,16669,141,11572,-,91851,26569,-,40106,9085,9085
平成28,2016,2,13210,10,小金井市,Koganei-shi,27102,25465,12515,3769,914,8229,38,1637,-,12515,12950,-,14730,82,82
平成28,2016,2,13211,11,小平市,Kodaira-shi,50737,48693,32992,4698,1154,9781,68,2044,-,38086,15702,55,17389,446,446
平成28,2016,2,13212,12,日野市,Hino-shi,44280,42582,26876,5367,1323,8958,58,1698,-,32809,14803,-,15456,6568,6568
平成28,2016,2,13213,13,東村山市,Higashimurayama-shi,38852,36274,23985,1980,1378,8877,54,2578,-,24289,12289,-,16765,321,321
平成28,2016,2,13214,14,国分寺市,Kokubunji-shi,30227,27621,16212,1724,805,8832,48,2606,-,18116,11430,16,13984,221,221
平成28,2016,2,13215,15,国立市,Kunitachi-shi,22365,21187,14385,1620,646,4512,24,1178,-,16076,6802,-,8146,214,214
平成28,2016,2,13218,16,福生市,Fussa-shi　,17102,16026,11079,546,559,3821,21,1076,-,12038,4947,32,6078,113,113
平成28,2016,2,13219,17,狛江市,Komae-shi,20402,19028,13059,884,317,4748,20,1374,-,14084,5741,-,7708,68,68
平成28,2016,2,13220,18,東大和市,Higashiyamato-shi,21317,20140,14462,616,310,4721,31,1177,-,15257,5678,9,7968,365,365
平成28,2016,2,13221,19,清瀬市,Kiyose-shi,18932,17811,12285,1364,84,4050,28,1121,-,13446,5526,-,6994,244,244
平成28,2016,2,13222,20,東久留米市,Higashikurume-shi,32789,29752,21203,2259,162,6092,36,3037,-,23169,8687,-,12481,283,283
平成28,2016,2,13223,21,武蔵村山市,Musashimurayama-shi,20240,19650,14182,909,263,4269,27,590,-,15376,5673,12,7003,220,220
平成28,2016,2,13224,22,多摩市,Tama-shi,43031,38895,30081,1022,1183,6567,42,4136,-,31887,8814,-,15034,375,375
平成28,2016,2,13225,23,稲城市,Inagi-shi,23803,21888,16972,1162,432,3292,30,1915,-,18338,4916,-,7590,1918,1918
平成28,2016,2,13227,24,羽村市,Hamura-shi,17230,16281,11084,380,591,4203,23,949,-,11944,5197,-,6248,649,649
平成28,2016,2,13228,25,あきる野市,Akiruno-shi,25563,23479,18071,354,826,4192,36,2084,-,19171,5408,970,8390,5642,5642
平成28,2016,2,13229,26,西東京市,Nishitokyo-shi,50087,46871,29689,3326,192,13606,58,3216,-,32489,17182,-,21262,419,419
平成28,2016,1,13300,,郡部,All gun,20439,19585,14601,422,694,3842,26,854,-,15572,4983,336,6235,5296,5296
平成28,2016,2,13303,1,瑞穂町,Mizuho-machi,11969,11618,8314,312,427,2549,16,351,-,8952,3304,-,3793,1402,1402
平成28,2016,2,13305,2,日の出町,Hinode-machi,5690,5204,4351,66,145,636,6,486,-,4513,852,230,1628,464,464
平成28,2016,2,13307,3,檜原村,Hinohara-mura,849,832,590,14,55,173,-,17,-,665,242,33,177,602,602
平成28,2016,2,13308,4,奥多摩町,Okutama-machi,1931,1931,1346,30,67,484,4,-,-,1442,585,73,637,2828,2828
平成28,2016,1,13350,,島部,All islands,13882,13881,10886,851,693,1419,32,1,-,11060,2096,2817,1616,26352,26352
平成28,2016,2,13361,1,大島町,Oshima-machi,3687,3687,3096,147,124,313,7,-,-,3235,591,686,265,9933,9933
平成28,2016,2,13362,2,利島村,Toshima-mura,109,109,94,3,-,12,-,-,-,97,12,12,9,674,674
平成28,2016,2,13363,3,新島村,Niijima-mura,1487,1487,1040,405,4,38,-,-,-,1040,42,483,38,1514,1514
平成28,2016,2,13364,4,神津島村,Kouzushima-mura,1939,1939,1401,59,449,30,-,-,-,1412,119,616,81,671,671
平成28,2016,2,13381,5,三宅村,Miyake-mura,1436,1436,1239,116,81,-,-,-,-,1251,197,406,167,2221,2221
平成28,2016,2,13382,6,御蔵島村,Mikurajima-mura,268,268,250,5,8,4,1,-,-,250,5,30,5,73,73
平成28,2016,2,13401,7,八丈町,Hachijo-machi,3706,3706,3014,96,-,593,3,-,-,3014,596,419,593,10618,10618
平成28,2016,2,13402,8,青ヶ島村,Aogashima-mura,103,103,83,20,-,-,-,-,-,84,45,9,24,259,259
平成28,2016,2,13421,9,小笠原村,Ogasawara-mura,1147,1146,669,-,27,429,21,1,-,677,489,156,434,389,389
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,
19-9  ごみ ・ し尿 (平成26～平成28年度) 19-9  REFUSE AND HUMAN WASTE ( Fiscal years 2014-2016 ),,,,,,,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部一般廃棄物対策課「東京都区市町村清掃事業年報」 Source: Bureau of Environment， TMG        ,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,
