地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
2,13111,11,大田区,Ota-ku,1254,19752,8680258,21317168,40190587,17623083,49,3,15,2,9,17,58,17,1,98,10,1,18,27,31,251,107,232,76,32,102,12,58,28,1197,84,187,23,108,259,1125,840,41,1315,226,19,292,399,354,3572,1504,3463,1190,610,1689,236,681,338,3231671,288186,198069,x,212740,399461,1668526,2638776,x,1981847,483093,x,1274187,2322401,1714832,5567556,3125037,6463839,1974459,1112751,2928039,510806,1046009,512432
2,13112,12,世田谷区,Setagaya-ku,143,2023,852837,1920931,3964027,1899701,25,-,7,-,4,2,20,6,-,3,1,-,6,-,2,13,2,11,13,5,15,2,1,5,358,-,60,-,41,11,352,118,-,25,4,-,103,-,24,131,30,112,226,101,200,44,6,77,826666,-,55830,-,55335,x,576568,262894,-,12242,x,-,570393,-,x,164795,x,183456,395746,189121,269315,x,x,173192
2,13113,13,渋谷区,Shibuya-ku,45,866,390446,672251,1382316,659736,3,-,2,-,1,1,15,1,-,2,-,-,-,-,-,1,-,-,5,1,5,1,-,7,18,-,17,-,7,8,501,8,-,11,-,-,-,-,-,12,-,-,139,6,60,4,-,75,15424,-,x,-,x,x,825446,x,-,x,-,-,-,-,-,x,-,-,275663,x,60965,x,-,130562
2,13114,14,中野区,Nakano-ku,59,731,289191,498244,1035100,501413,7,2,7,-,1,2,13,2,-,-,-,-,1,-,-,7,-,5,3,1,2,-,1,5,119,13,109,-,4,17,94,16,-,-,-,-,6,-,-,101,-,71,85,5,26,-,18,47,207213,x,82422,-,x,x,104506,x,-,-,-,-,x,-,-,100069,-,94558,x,x,x,-,x,64785
2,13115,15,杉並区,Suginami-ku,85,1393,521548,686943,1430273,694815,8,-,7,1,5,2,19,1,-,3,-,-,2,2,-,3,3,4,5,1,9,1,3,6,68,-,99,8,33,17,176,16,-,22,-,-,12,13,-,19,22,35,45,14,662,22,38,72,114942,-,107146,x,46246,x,311517,x,-,25825,-,-,x,x,-,9374,42456,50348,46898,x,379012,x,70907,98384
2,13116,16,豊島区,Toshima-ku,130,2368,969045,1732186,3838012,1960373,7,-,11,1,3,8,50,4,-,3,2,2,1,-,-,7,4,2,10,1,4,2,-,8,95,-,104,13,75,86,1273,49,-,41,16,12,12,-,-,56,70,22,140,54,78,32,-,140,152226,-,77250,x,127645,74430,2115170,111784,-,55381,x,x,x,-,-,68226,x,x,207739,x,115117,x,-,400692
2,13117,17,北区,Kita-ku,250,8237,4409692,8834670,17990069,8540342,15,1,11,-,1,13,75,8,-,9,4,8,1,1,2,24,6,11,15,2,15,1,8,19,185,15,134,-,11,197,4145,852,-,70,38,62,11,27,26,274,103,188,801,23,253,16,196,610,229468,x,164023,-,x,311370,8136405,1393170,-,71654,64068,102816,x,x,x,616992,241363,697290,2941355,x,442237,x,556513,1692480
2,13118,18,荒川区,Arakawa-ku,455,5583,2197182,4925604,9044680,3837290,17,1,12,1,13,32,109,6,-,24,12,16,5,3,3,74,12,23,23,4,16,-,4,45,413,22,103,25,94,294,1618,118,-,238,130,200,48,15,31,643,234,197,248,87,299,-,33,493,1196308,x,106965,x,144734,394969,2620241,220187,-,253993,110535,375489,54648,25639,39099,855869,303400,321163,402974,x,581819,-,59779,799025
2,13119,19,板橋区,Itabashi-ku,612,14850,7040308,20167411,35068795,13967794,36,-,18,-,11,31,197,26,2,32,4,3,8,7,10,47,11,40,53,7,18,5,13,33,1188,-,301,-,105,530,5435,891,68,392,38,46,371,847,124,582,206,546,1772,75,310,39,335,649,2467861,-,198424,-,206948,908737,9167519,2247381,x,667698,51177,x,1299442,4841040,258870,761278,529743,1070518,6856701,151372,913879,24662,863647,1253236
2,13120,20,練馬区,Nerima-ku,178,3183,1237860,3864811,6731922,2686688,32,-,14,-,9,12,20,2,-,15,-,2,5,-,3,11,4,9,12,1,10,3,4,10,943,-,111,-,159,196,324,72,-,171,-,17,67,-,189,141,61,92,133,16,168,183,36,104,1701292,-,91644,-,415528,384543,480366,x,-,223366,-,x,477455,-,608627,198777,134404,120462,172683,x,261743,403997,42629,159641
2,13121,21,足立区,Adachi-ku,795,12640,4529655,14546148,26038152,10713250,55,-,41,5,41,55,62,18,2,55,24,59,10,7,5,155,24,64,20,2,23,6,16,46,2308,-,414,36,423,877,678,1005,27,643,349,713,299,203,122,1640,302,836,335,139,294,90,251,656,4259400,-,243636,34540,862548,1810855,1064325,4890810,x,845289,452349,1696454,756398,1565778,428891,2208806,486099,1478108,543014,x,551884,119255,367773,1123121
2,13122,22,葛飾区,Katsushika-ku,692,9055,3361397,9950891,16853310,6437443,26,1,24,3,14,33,54,6,-,63,59,26,8,4,9,163,12,66,21,4,24,5,11,56,502,8,273,31,96,646,611,153,-,753,709,432,103,29,108,2080,177,653,269,87,503,155,80,597,2337092,x,369336,19927,80294,2652667,950414,404856,-,1227821,790937,604936,417100,84895,132301,2674191,285920,1017969,421318,x,976687,332506,106174,845559
2,13123,23,江戸川区,Edogawa-ku,672,8919,3662846,10983677,19144231,7796447,32,-,48,3,23,26,55,10,-,52,15,11,15,17,6,150,35,85,20,2,22,-,15,30,864,-,436,24,164,584,833,193,-,535,203,153,191,171,105,1553,403,1484,218,29,255,-,176,345,3735239,-,365327,x,223567,2448951,996800,398298,-,762120,231945,254615,560135,386205,528579,2662750,631491,3430958,325365,x,428227,-,201135,465213
1,13200,,市部,All shi,2220,104325,54614051,234876104,430006217,182677019,191,21,49,7,44,40,165,39,5,122,6,1,49,13,34,237,79,273,178,169,244,73,93,88,15939,880,879,68,1570,903,5117,2009,81,1996,247,8,995,424,1173,3853,3429,6242,5792,8546,17864,7037,16551,2722,41688052,10429990,x,96696,7457252,1715122,10706861,8374800,880537,2934731,663742,x,4896636,2997512,3101328,5827424,8744460,19237722,12007647,30980401,68075580,55224888,125178530,7904912
2,13201,1,八王子市,Hachioji-shi,521,16029,6868774,18275430,37051291,17843333,36,5,21,2,12,8,31,12,2,30,-,-,12,2,8,52,22,69,47,49,55,14,19,13,2470,124,350,29,135,238,1725,974,27,559,-,-,181,17,252,734,435,1826,1251,1432,1997,385,691,197,6332551,313207,348140,x,190522,234491,3734675,3568989,x,903023,-,-,642579,x,754810,955511,626718,6945167,2616552,2531693,3794187,586332,1178285,337103
2,13202,2,立川市,Tachikawa-shi,81,3736,1733359,6034377,9578890,3707971,12,-,-,-,2,3,8,1,-,5,-,-,2,-,1,7,4,5,6,6,9,1,5,4,788,-,-,-,981,68,454,11,-,181,-,-,18,-,7,110,53,80,126,199,328,11,279,42,1250146,-,-,-,x,52572,511991,x,-,367059,-,-,x,-,x,136232,108953,231057,143432,259438,494706,x,270713,45152
2,13203,3,武蔵野市,Musashino-shi,22,299,136522,181974,452642,251015,2,-,-,-,-,-,5,-,-,1,-,1,1,-,-,-,1,2,1,3,3,-,-,2,11,-,-,-,-,-,87,-,-,9,-,8,16,-,-,-,19,22,16,55,45,-,-,11,x,-,-,-,-,-,86935,-,-,x,-,x,x,-,-,-,x,x,x,95624,72832,-,-,x
2,13204,4,三鷹市,Mitaka-shi,77,1515,734126,1555956,2977149,1336825,4,-,1,-,-,1,13,1,-,4,1,-,-,-,-,11,2,9,11,5,9,2,2,1,109,-,5,-,-,10,234,42,-,53,5,-,-,-,-,174,35,103,169,78,169,142,181,6,129800,-,x,-,-,x,410547,x,-,78992,x,-,-,-,-,203395,x,109166,406249,97754,226496,x,x,x
2,13205,5,青梅市,Ome-shi,237,7370,3340142,10201780,17800135,7240081,15,2,7,-,2,4,9,2,1,25,1,-,5,5,3,29,7,47,18,12,22,7,8,6,723,92,214,-,10,64,192,46,16,362,19,-,126,118,34,409,146,958,729,1517,617,203,635,140,1263286,x,164828,-,x,55258,433298,x,x,466558,x,-,228466,1105476,38679,597082,238400,1992182,1465765,4412940,1804933,302849,2672652,189099
2,13206,6,府中市,Fuchu-shi,118,13150,7781040,51723407,84820382,28799595,8,2,2,-,1,1,10,-,1,5,1,-,5,-,6,11,6,6,5,8,25,11,-,4,1077,155,37,-,16,14,323,-,19,71,6,-,93,-,539,134,413,144,208,569,5631,3607,-,94,2521490,x,x,-,x,x,1290015,-,x,132488,x,-,374587,-,1593859,178028,671318,438120,267053,1577991,25096988,44906204,-,173757
2,13207,7,昭島市,Akishima-shi,118,9560,5339755,25963212,44171035,18360024,12,-,-,1,3,3,2,1,-,1,-,-,2,-,3,17,5,21,8,6,14,1,11,7,2475,-,-,8,92,44,15,10,-,26,-,-,209,-,29,317,40,581,317,1704,2911,18,661,103,5939983,-,-,x,245960,121887,x,x,-,x,-,-,x,-,14619,365214,43229,3070404,847303,16561930,12503054,x,2148396,74862
2,13208,8,調布市,Chofu-shi,85,2099,1062822,2246904,4527576,2139484,7,1,3,-,3,2,12,-,-,3,-,-,2,1,-,4,4,4,7,9,14,2,3,4,143,65,38,-,19,16,156,-,-,42,-,-,26,15,-,113,45,55,141,107,1024,17,45,32,582749,x,65501,-,15706,x,184829,-,-,37723,-,-,x,x,-,99673,48027,56837,302518,116892,2162428,x,26386,34739
2,13209,9,町田市,Machida-shi,129,4482,1892363,5281978,9419242,3916497,13,1,3,1,-,2,8,2,1,10,1,-,-,2,2,13,5,9,10,11,12,7,4,12,1168,6,50,7,-,37,76,52,19,160,12,-,-,20,28,204,174,243,760,222,319,547,49,329,1625766,x,47618,x,-,x,91743,x,x,203461,x,-,-,x,x,417637,427118,1008016,1548515,491026,532711,1497072,47318,821543
2,13210,10,小金井市,Koganei-shi,14,326,143170,190684,395001,189302,2,-,1,-,-,1,1,1,-,1,-,-,1,1,-,-,-,1,2,-,-,-,1,1,13,-,5,-,-,16,4,25,-,15,-,-,6,6,-,-,-,15,37,-,-,-,29,155,x,-,x,-,-,x,x,x,-,x,-,-,x,x,-,-,-,x,x,-,-,-,x,x
2,13211,11,小平市,Kodaira-shi,73,3404,2294977,7960879,10517783,2434303,8,-,3,-,3,3,7,1,-,4,2,-,2,-,1,6,4,10,1,7,8,2,-,1,717,-,39,-,20,61,113,7,-,39,205,-,45,-,20,56,171,138,23,130,90,1525,-,5,1310488,-,19325,-,17771,57001,154555,x,-,42638,x,-,x,-,x,88238,1065813,201723,x,128189,117356,x,-,x
2,13212,12,日野市,Hino-shi,62,12945,9471785,30265085,80062123,46595813,1,1,1,-,-,2,8,-,-,2,-,-,2,-,1,5,2,4,5,9,9,4,3,3,73,7,4,-,-,18,162,-,-,16,-,-,42,-,5,47,13,55,210,1346,3127,209,7597,14,x,x,x,-,-,x,271159,-,-,x,-,-,x,-,x,43209,x,102821,373439,1795644,18197034,324105,58623503,16419
2,13213,13,東村山市,Higashimurayama-shi,82,3059,1190135,4349201,8244633,3632943,13,1,2,-,1,2,9,7,-,7,-,-,1,-,2,7,2,4,4,6,10,1,1,2,966,29,22,-,4,57,174,353,-,76,-,-,38,-,12,117,543,40,29,430,114,14,10,31,2980085,x,x,-,x,x,304901,1141517,-,123283,-,-,x,-,x,162564,x,72547,69430,728271,85700,x,x,x
2,13214,14,国分寺市,Kokubunji-shi,24,966,542629,788393,1662151,821982,-,-,2,-,-,-,5,1,-,-,-,-,-,-,-,2,-,1,5,2,2,1,-,3,-,-,12,-,-,-,59,12,-,-,-,-,-,-,-,53,-,9,616,61,95,4,-,45,-,-,x,-,-,-,87322,x,-,-,-,-,-,-,-,x,-,x,1160698,x,x,x,-,107638
2,13215,15,国立市,Kunitachi-shi,21,296,118888,200640,409745,196404,5,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,4,-,2,2,3,2,66,-,-,-,-,-,4,-,-,11,-,-,-,-,-,-,-,9,111,-,20,29,33,13,53756,-,-,-,-,-,x,-,-,x,-,-,-,-,-,-,-,x,150273,-,x,x,55115,x
2,13218,16,福生市,Fussa-shi,38,1227,555737,1137648,2391365,1152383,4,2,1,-,-,-,4,-,-,1,-,-,1,-,1,4,1,3,3,-,5,1,6,1,233,47,9,-,-,-,436,-,-,8,-,-,32,-,9,64,8,83,55,-,76,7,149,11,394055,x,x,-,-,-,1003201,-,-,x,-,-,x,-,x,192513,x,93724,97404,-,167447,x,258560,x
